chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	1.1214865938066072	1	0		-1.0		0.0
chr1	1000000	2000000	0.6677753746651898	1	2	0.9130433732608817	0.585	-3.8599538775157223	0.020634229270578577
chr1	2000000	3000000	0.8099959133770094	1	4	0.89130429657609	1.3219	-2.8756297131142823	0.053371505862205265
chr1	3000000	4000000	1.3436065736159537	1	5	0.8521738738434801	1.585	-2.1012523832714347	0.10897515575175884
chr1	4000000	5000000	0.573877873525861	1	3	0.8695651507246428	1.0	-3.0004498290964188	0.04740555553816896
chr1	5000000	6000000	0.6280903973719325	1	3	0.8695651507246428	1.0	-2.990847333143125	0.04784107707787533
chr1	6000000	7000000	0.7916221172898354	2	5	0.7826086596521756	1.0	-2.0265424645521755	0.11644417888821738
chr1	7000000	8000000	1.9019300345566008	1	4	0.826086909021742	1.3219	-1.9807143546927781	0.12124270786634586
chr1	8000000	9000000	1.7299843321470625	2	3	0.8695651507246428	0.415	-3.3714625041787434	0.033199334579050936
chr1	9000000	10000000	1.5359733134018452	1	4	0.826086909021742	1.3219	-2.0455351319719695	0.11450430936378023
chr1	10000000	11000000	1.8553876084305625	1	2	0.9130433732608817	0.585	-3.6495958115235574	0.02534268494222129
chr1	11000000	12000000	1.7716192362545904	1	1	0.9565215191304853	0.0	-4.707892093520238	0.008943078468674877
chr1	12000000	13000000	2.582053282132687	1	3	0.9275361607729522	1.0	-3.268307464227039	0.03667457793760147
chr1	13000000	14000000	1.2424472888200475	1	3	0.8695651507246428	1.0	-2.8820282052833193	0.05304915720897694
chr1	14000000	15000000	0.4719640836042864	1	2	0.9130433732608817	0.585	-3.8946373232700697	0.01994486090088868
chr1	15000000	16000000	0.5713069865219875	1	0		-1.0		0.0
chr1	16000000	17000000	1.508023662030905	1	1	0.9565215191304853	0.0	-4.754581958798894	0.008538608444996468
chr1	17000000	18000000	0.7185766932347004	1	3	0.8695651507246428	1.0	-2.9748197766265196	0.04857648302174401
chr1	18000000	19000000	0.7650981884051062	1	3	0.8695651507246428	1.0	-2.9665795686925858	0.048958738893805566
chr1	19000000	20000000	1.012467676555267	1	7	0.6956521510559014	2.0	-0.06782879712175571	0.4830492990433635
chr1	20000000	21000000	0.8512716198256274	1	2	0.9130433732608817	0.585	-3.8274517575885882	0.021301382782312504
chr1	21000000	22000000	0.690439500859191	1	1	0.9565215191304853	0.0	-4.899398101677972	0.007395958725590726
chr1	22000000	23000000	0.958349874859699	1	4	0.826086909021742	1.3219	-2.147847777420413	0.10453251151442551
chr1	23000000	24000000	1.2586366744082862	1	5	0.8521738738434801	1.585	-2.116302837583617	0.10752234048112101
chr1	24000000	25000000	1.1466625938022197	1	0		-1.0		0.0
chr1	25000000	26000000	0.6454036021073897	1	3	0.9275361607729522	1.0	-3.611340206406548	0.026304971091346524
chr1	26000000	27000000	0.9382638810792244	1	2	0.9130433732608817	0.585	-3.8120430885690952	0.02162499768830396
chr1	27000000	28000000	0.4595260729402848	1	5	0.7826086596521756	1.585	-1.509575384340481	0.18100172969567005
chr1	28000000	29000000	0.397590852923805	1	3	0.8695651507246428	1.0	-3.0316750014709024	0.04601524215271767
chr1	29000000	30000000	0.6385604164959657	1	4	0.826086909021742	1.3219	-2.2044910908467106	0.09934791201581979
chr1	30000000	31000000	1.113427827813652	1	0		-1.0		0.0
chr1	31000000	32000000	0.6235465102588589	2	4	0.89130429657609	0.737	-3.484346712045334	0.029760910755417643
chr1	32000000	33000000	0.8490195593755052	1	4	0.826086909021742	1.3219	-2.1672131165990525	0.10273364253176198
chr1	33000000	34000000	0.6639790944130968	1	7	0.7701863100976052	2.0	-0.9312748990285655	0.28266613672957985
chr1	34000000	35000000	0.4752186595104226	1	2	0.9130433732608817	0.585	-3.8940608503492173	0.019956132372576377
chr1	35000000	36000000	0.4194891763567181	1	2	0.9130433732608817	0.585	-3.903932040592675	0.01976398483884794
chr1	36000000	37000000	0.8947665094100947	1	3	0.9275361607729522	1.0	-3.567171329209933	0.02746025307210504
chr1	37000000	38000000	0.5679865673800091	1	1	0.9565215191304853	0.0	-4.921087809420438	0.007238418379937099
chr1	38000000	39000000	0.5449643706041041	1	3	0.8695651507246428	1.0	-3.0055711880574965	0.04717481916121378
chr1	39000000	40000000	0.811469423922313	1	3	0.8695651507246428	1.0	-2.958365975784285	0.04934259832042377
chr1	40000000	41000000	0.7033847443975048	1	4	0.826086909021742	1.3219	-2.1930089590035786	0.10038004593855794
chr1	41000000	42000000	0.666647641911077	1	4	0.89130429657609	1.3219	-2.9010205471690034	0.052103136841194074
chr1	42000000	43000000	0.6742384437973015	1	2	0.9130433732608817	0.585	-3.858809094156011	0.020657376276707776
chr1	43000000	44000000	0.3732026878253691	2	2	0.9130433732608817	0.0	-4.487920843517415	0.011118975816655361
chr1	44000000	45000000	1.07607476074153	2	6	0.7391304064492765	1.2224	-1.289589957765111	0.21592222281129084
chr1	45000000	46000000	0.4700318408844346	1	2	0.9130433732608817	0.585	-3.8949795754210825	0.019938171975440754
chr1	46000000	47000000	0.4288099555172731	2	4	0.89130429657609	0.737	-3.5188397930937994	0.028780908965041485
chr1	47000000	48000000	1.7208930053351137	1	3	0.8695651507246428	1.0	-2.7972826016705588	0.057471195745240414
chr1	48000000	49000000	0.7296732400717945	1	3	0.8695651507246428	1.0	-2.972854279753486	0.04866740265510715
chr1	49000000	50000000	0.6617158278263617	1	2	0.9565216291304475	0.585	-4.328696798877524	0.013013143996841406
chr1	50000000	51000000	0.6715267899396902	1	2	0.9130433732608817	0.585	-3.859289400980839	0.02064766159469585
chr1	51000000	52000000	0.37923799275331	1	1	0.9565215191304853	0.0	-4.954520258151086	0.007002087394260552
chr1	52000000	53000000	0.5932063099759111	1	1	0.9565215191304853	0.0	-4.91662071475228	0.007270589790617594
chr1	53000000	54000000	1.9592628073758431	2	7	0.7701863100976052	1.415	-1.2776355393633505	0.2179529758751079
chr1	54000000	55000000	0.851253439375312	1	4	0.826086909021742	1.3219	-2.1668174363735906	0.10277012184757224
chr1	55000000	56000000	1.2096788685404034	3	4	0.826086909021742	0.3219	-3.0875874414623707	0.04362217441462477
chr1	56000000	57000000	1.020701810479642	1	2	0.9130433732608817	0.585	-3.7974411142040374	0.0219361044968174
chr1	57000000	58000000	1.977356383478385	1	2	0.9130433732608817	0.585	-3.6279918612601394	0.025881819445064548
chr1	58000000	59000000	1.0147348502946314	1	2	0.9130433732608817	0.585	-3.7984980233269683	0.021913440058559656
chr1	59000000	60000000	1.371742589869001	2	1	0.9565215191304853	-0.585	-5.354511222779909	0.004704541943652676
chr1	60000000	61000000	1.3551275281191677	2	1	0.9565215191304853	-0.585	-5.357454197057763	0.0046907818010245355
chr1	61000000	62000000	1.12216806121819	2	1	0.9565215191304853	-0.585	-5.3987175838085735	0.004502016977587552
chr1	62000000	63000000	0.7832899764189447	1	2	0.9130433732608817	0.585	-3.8394931349198567	0.021051790270993468
chr1	63000000	64000000	0.3423376416002983	2	1	0.9565215191304853	-0.585	-5.536846523717328	0.003923474306479382
chr1	64000000	65000000	0.5440401543216287	1	0		-1.0		0.0
chr1	65000000	66000000	0.5974298381870322	2	4	0.89130429657609	0.737	-3.4889726770455116	0.029627625270596192
chr1	66000000	67000000	0.2916597542823282	2	3	0.8695651507246428	0.415	-3.62622846891568	0.025926315195638344
chr1	67000000	68000000	1.634964619250287	1	4	0.89130429657609	1.3219	-2.729505568770172	0.06125458766671963
chr1	68000000	69000000	2.391732508673826	3	2	0.9130433732608817	-0.415	-4.538851493355755	0.01057269571468832
chr1	69000000	70000000	1.3543373581850302	2	3	0.8695651507246428	0.415	-3.437999685837714	0.031128756599947228
chr1	70000000	71000000	0.8128846857662224	1	2	0.9130433732608817	0.585	-3.8342511159805976	0.021160092669513027
chr1	71000000	72000000	1.2244291696338614	1	2	0.9130433732608817	0.585	-3.761355519897302	0.022723821340314733
chr1	72000000	73000000	0.5358791694480782	1	1	0.9565215191304853	0.0	-4.926774893083755	0.0071976651777158306
chr1	73000000	74000000	1.2684759740361375	1	1	0.9565215191304853	0.0	-4.79701229668764	0.008186795008698497
chr1	74000000	75000000	2.7307716888926072	1	3	0.8695651507246428	1.0	-2.6184059273487295	0.067963199323434
chr1	75000000	76000000	0.9083790119383588	1	3	0.8695651507246428	1.0	-2.941200681480672	0.05015404348285266
chr1	76000000	77000000	0.9398710619864574	1	3	0.9275361607729522	1.0	-3.5591820999163586	0.027674422326874858
chr1	77000000	78000000	0.7311704636062202	2	0		-1.585		0.0
chr1	78000000	79000000	0.8888438334470363	2	3	0.8695651507246428	0.415	-3.5204511079532477	0.028735902758624463
chr1	79000000	80000000	0.8498165942618425	1	2	0.9130433732608817	0.585	-3.8277094817470845	0.02129601050623497
chr1	80000000	81000000	1.7601089029593218	2	2	0.9130433732608817	0.0	-4.242262453654676	0.014171319013681764
chr1	81000000	82000000	1.531321454562807	1	1	0.9565215191304853	0.0	-4.7504552931755875	0.008573614506689498
chr1	82000000	83000000	1.3189241591606695	4	2	0.9130433732608817	-0.737	-5.045805389675206	0.00639511385807809
chr1	83000000	84000000	2.43890684861372	4	2	0.9130433732608817	-0.737	-4.8474263347954185	0.007787431070151617
chr1	84000000	85000000	0.9235624551203788	3	2	0.9130433732608817	-0.415	-4.798903894495075	0.008171449947210991
chr1	85000000	86000000	2.0984749298472405	4	4	0.89130429657609	0.0	-3.9484944752877285	0.018918885693317997
chr1	86000000	87000000	1.1243140823256543	2	0		-1.585		0.0
chr1	87000000	88000000	2.3750930339925422	3	1	0.9565215191304853	-1.0	-5.58525744225575	0.0037387527904852893
chr1	88000000	89000000	1.7487928276164428	3	1	0.9565215191304853	-1.0	-5.6961920523902885	0.0033474876977554555
chr1	89000000	90000000	1.770437619527134	1	0		-1.0		0.0
chr1	90000000	91000000	1.6983853389386994	2	3	0.8695651507246428	0.415	-3.3770595356925863	0.0330201544931119
chr1	91000000	92000000	0.8414082800124763	1	2	0.9130433732608817	0.585	-3.8291988203320733	0.021264991102101286
chr1	92000000	93000000	1.2035371457772863	1	3	0.8695651507246428	1.0	-2.888920238057352	0.05270400091329208
chr1	93000000	94000000	1.1694953639972638	1	4	0.826086909021742	1.3219	-2.1104482327920078	0.10808544819185364
chr1	94000000	95000000	0.7082900240594774	1	0		-1.0		0.0
chr1	95000000	96000000	1.5318767269563067	1	2	0.9130433732608817	0.585	-3.7068982890658946	0.023965133906114947
chr1	96000000	97000000	1.543712160229282	1	3	0.8695651507246428	1.0	-2.8286660944029887	0.0557946285697111
chr1	97000000	98000000	2.375118777758765	2	3	0.8695651507246428	0.415	-3.2571918437515315	0.037069316742819734
chr1	98000000	99000000	1.090333385271773	1	1	0.9565215191304853	0.0	-4.828566140086926	0.007934520884989858
chr1	99000000	100000000	1.3729578532987925	1	2	0.9130433732608817	0.585	-3.735047095521228	0.023315459046822282
chr1	100000000	101000000	1.1501582733444675	2	3	0.8695651507246428	0.415	-3.474165292912115	0.030056313004355285
chr1	101000000	102000000	1.396961893983493	2	3	0.8695651507246428	0.415	-3.4304497342125524	0.03135726914588253
chr1	102000000	103000000	1.274861870626415	2	1	0.9565215191304853	-0.585	-5.371671403647351	0.004624870069388506
chr1	103000000	104000000	1.0604830119163022	3	1	0.9565215191304853	-1.0	-5.818110232009437	0.002964404709302672
chr1	104000000	105000000	0.8381173394243961	2	1	0.9565215191304853	-0.585	-5.44903060583831	0.004282056660036067
chr1	105000000	106000000	0.1676919100739278	1	1	0.9565215191304853	0.0	-4.991990758669225	0.006746307737504846
chr1	106000000	107000000	1.6916720749302063	1	3	0.8695651507246428	1.0	-2.802458414306792	0.05719147231001429
chr1	107000000	108000000	0.7948735633396642	2	4	0.826086909021742	0.737	-2.75249562399597	0.05994586134193015
chr1	108000000	109000000	0.5812316141777956	1	3	0.8695651507246428	1.0	-2.999147283857015	0.047464410914648376
chr1	109000000	110000000	1.5095715261416651	1	2	0.9130433732608817	0.585	-3.710849140001522	0.023872893916983707
chr1	110000000	111000000	1.6841441430188169	2	4	0.826086909021742	0.737	-2.5949818884798406	0.06946207656751158
chr1	111000000	112000000	2.2265545675834484	2	3	0.8695651507246428	0.415	-3.2835065608280374	0.03614136585706116
chr1	112000000	113000000	2.1415627717786436	3	1	0.9565215191304853	-1.0	-5.626621932207327	0.0035877996207058045
chr1	113000000	114000000	1.515252107463355	2	3	0.8695651507246428	0.415	-3.4094973561332775	0.03199996370679042
chr1	114000000	115000000	1.730915389329606	1	5	0.7826086596521756	1.585	-1.284378143932467	0.2168058882567228
chr1	115000000	116000000	2.1564591698305606	1	1	0.9565215191304853	0.0	-4.639726591480127	0.009567909243462593
chr1	116000000	117000000	2.754484930176422	3	7	0.8695651888198768	1.0	-2.614206084346132	0.0682297182338495
chr1	117000000	118000000	1.3486074393633536	2	7	0.7701863100976052	1.415	-1.385799027874719	0.20007926509639803
chr1	118000000	119000000	2.640117518049417	3	2	0.9130433732608817	-0.415	-4.494855828181411	0.01104298122858623
chr1	119000000	120000000	3.565841204246004	2	5	0.9043477844869585	1.0	-2.844628660771357	0.05495963361828693
chr1	120000000	121000000	0.0	0	0		0.0		0.0
chr1	121000000	122000000	0.2237820224703256	1	0		-1.0		0.0
chr1	122000000	123000000	0.0	0	0		0.0		0.0
chr1	123000000	124000000	0.0	0	0		0.0		0.0
chr1	124000000	125000000	0.5793374791148103	1	0		-1.0		0.0
chr1	125000000	126000000	0.0	0	0		0.0		0.0
chr1	126000000	127000000	0.0	0	0		0.0		0.0
chr1	127000000	128000000	0.0	0	0		0.0		0.0
chr1	128000000	129000000	0.0	0	0		0.0		0.0
chr1	129000000	130000000	0.0	0	0		0.0		0.0
chr1	130000000	131000000	0.0	0	0		0.0		0.0
chr1	131000000	132000000	0.0	0	0		0.0		0.0
chr1	132000000	133000000	0.0	0	0		0.0		0.0
chr1	133000000	134000000	0.0	0	0		0.0		0.0
chr1	134000000	135000000	0.0	0	0		0.0		0.0
chr1	135000000	136000000	0.0	0	0		0.0		0.0
chr1	136000000	137000000	0.0	0	0		0.0		0.0
