chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	2.131062346340968	1	1	0.9565215191304853	0.0	-4.644225051936934	0.009525374105430221
chr1	1000000	2000000	1.2890871506646555	1	4	0.826086909021742	1.3219	-2.0892653110969874	0.11014456261113058
chr1	2000000	3000000	1.1977972205423444	2	5	0.8521738738434801	1.0	-2.7028693620534865	0.06280425373418125
chr1	3000000	4000000	0.9520563904821366	3	6	0.913043443260871	0.8074	-3.5907021075152707	0.026838774728011223
chr1	4000000	5000000	1.5644745572282877	2	12	0.782608680652174	2.1155	-0.7917112913664237	0.3118013401385201
chr1	5000000	6000000	0.7989945619239056	2	3	0.8695651507246428	0.415	-3.5363658303273056	0.028295036279738495
chr1	6000000	7000000	1.2539400835219348	7	11	0.6640316066690624	0.585	-1.0776575975215517	0.2539495504732892
chr1	7000000	8000000	0.8363184246793334	3	6	0.7391304064492765	0.8074	-1.7405238198627613	0.14924641189611293
chr1	8000000	9000000	1.2664632100723447	4	8	0.8478260625815225	0.848	-2.793546993217091	0.05767388197331892
chr1	9000000	10000000	0.953292388107196	2	10	0.71304346186087	1.8745	-0.3889024950784785	0.403981530564703
chr1	10000000	11000000	1.4912374895770424	2	5	0.8521738738434801	1.0	-2.6508931986868873	0.0659339790090426
chr1	11000000	12000000	0.9404055431919462	1	5	0.7826086596521756	1.585	-1.4243986974881109	0.19397293262940185
chr1	12000000	13000000	1.3509716009205055	4	4	0.826086909021742	0.0	-3.379392958721925	0.03294572983817578
chr1	13000000	14000000	1.3222511443486789	3	2	0.9130433732608817	-0.415	-4.72828540538343	0.008764128763816536
chr1	14000000	15000000	1.141530555841674	1	6	0.8115941717874409	1.8074	-1.4816551692903284	0.18517754591013869
chr1	15000000	16000000	0.9620843626760452	1	7	0.8695651888198768	2.0	-1.9474316412807173	0.12483368171442306
chr1	16000000	17000000	0.8972625294869561	1	3	0.8695651507246428	1.0	-2.9431697094871447	0.05006032475744121
chr1	17000000	18000000	1.785306359113647	5	10	0.7652173737043483	0.8745	-1.7869908196307325	0.14344205418208505
chr1	18000000	19000000	1.35654318599962	2	8	0.6521738942934788	1.585	0.05231928432641553	0.5130768382737118
chr1	19000000	20000000	0.911043653768624	1	5	0.7826086596521756	1.585	-1.429599477757428	0.193161097908715
chr1	20000000	21000000	1.3070905657392775	1	1	0.9565215191304853	0.0	-4.790172614004349	0.008242518897869559
chr1	21000000	22000000	0.9179979477213148	2	4	0.826086909021742	0.737	-2.730686984240818	0.06118668856990353
chr1	22000000	23000000	1.106124951348678	3	4	0.826086909021742	0.3219	-3.1059296251541797	0.042863325287002915
chr1	23000000	24000000	0.9932553101920888	2	4	0.826086909021742	0.737	-2.71735688139165	0.061956901939297086
chr1	24000000	25000000	1.2340255001549123	1	12	0.7318840439432368	2.7004	0.27106368928942093	0.5673540204758678
chr1	25000000	26000000	1.089619888759937	1	6	0.7391304064492765	1.8074	-0.7114005303264399	0.3292894480733618
chr1	26000000	27000000	0.8203213256612689	3	5	0.7826086596521756	0.585	-2.4299256299439778	0.08091899802698221
chr1	27000000	28000000	1.360617920748988	3	7	0.6956521510559014	1.0	-0.9904188138076169	0.2708293620192647
chr1	28000000	29000000	0.7912557883718243	4	5	0.7826086596521756	0.263	-2.7520046040200974	0.05997353745351718
chr1	29000000	30000000	1.0740226312616366	4	4	0.826086909021742	0.0	-3.4284480694555457	0.03141812475907238
chr1	30000000	31000000	1.0771688397752324	4	6	0.8115941717874409	0.4854	-2.7942428338874503	0.05763607633687224
