chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	2.20397851938126	1	1	0.9565215191304853	0.0	-4.631309636699358	0.009648001517369583
chr1	1000000	2000000	2.680319350508608	3	7	0.9068322683407286	1.0	-3.0282025040143115	0.04616791782303617
chr1	2000000	3000000	1.955396739396897	2	2	0.9130433732608817	0.0	-4.207671725791798	0.014662778583952343
chr1	3000000	4000000	3.106054616336333	6	9	0.7439613336446597	0.5146	-1.678646282575647	0.15727480660557644
chr1	4000000	5000000	1.6175015089040643	2	6	0.8115941717874409	1.2224	-1.9731381338276037	0.12205221957314573
chr1	5000000	6000000	1.2287734518502915	6	12	0.7318840439432368	0.8931	-1.5087138826862168	0.18112947388854422
chr1	6000000	7000000	2.7226150004534615	7	6	0.8550724309903395	-0.1926	-3.6377858173292124	0.025636037955035322
chr1	7000000	8000000	0.8126843777608146	1	4	0.826086909021742	1.3219	-2.1736490544537066	0.10214189638479462
chr1	8000000	9000000	2.044042218094457	7	6	0.8695651840579723	-0.1926	-3.913869189313644	0.019572384708828636
chr1	9000000	10000000	1.869767302584684	4	2	0.9130433732608817	-0.737	-4.948236254715779	0.0070459160727070575
chr1	10000000	11000000	2.2486032828503606	4	16	0.7010869464436141	1.7655	-0.13814299942654085	0.46551906741676086
chr1	11000000	12000000	3.419752870615583	7	6	0.8115941717874409	-0.1926	-3.046634303337874	0.045363002831036954
chr1	12000000	13000000	2.6059961742034807	5	3	0.8695651507246428	-0.585	-4.200554035684913	0.014765969450587975
chr1	13000000	14000000	1.566201627567744	5	9	0.6859903206333875	0.737	-1.1089374104029268	0.2480690411755836
chr1	14000000	15000000	1.818585424242153	4	5	0.8521738738434801	0.263	-3.318308328596122	0.03494841871408595
chr1	15000000	16000000	2.06819384174956	7	2	0.9130433732608817	-1.415	-5.580415680460171	0.003756830663256353
chr1	16000000	17000000	1.5970490446491157	1	3	0.8695651507246428	1.0	-2.819218697741343	0.05629442615358004
chr1	17000000	18000000	2.6537508860462635	3	10	0.8521738934434787	1.4594	-1.9928134541956242	0.1199595305231031
