chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	0.1231335264212161	1	0		-1.0		0.0
chr1	1000000	2000000	1.728087952234027	1	3	0.9275361607729522	1.0	-3.4195676905151204	0.03168949122585005
chr1	2000000	3000000	1.1897006524775282	2	3	0.9275361607729522	0.415	-4.0907207815630064	0.01645197750787069
chr1	3000000	4000000	1.2342763496007505	2	1	0.9565215191304853	-0.585	-5.378860190919418	0.004591894200222686
chr1	4000000	5000000	1.0957630396719833	1	4	0.89130429657609	1.3219	-2.8250126696867675	0.0559874094293879
chr1	5000000	6000000	0.8789041170124516	1	5	0.8869564809391324	1.585	-2.5576994018828714	0.07191093247187028
chr1	6000000	7000000	0.8099004585186873	1	1	0.9565215191304853	0.0	-4.878238353318738	0.007552928203971079
chr1	7000000	8000000	0.4706431088549823	1	3	0.8695651507246428	1.0	-3.0187354822935655	0.04658660751557096
chr1	8000000	9000000	0.3723610113603524	1	1	0.9565215191304853	0.0	-4.955738356503862	0.006993622969663718
chr1	9000000	10000000	0.5163259698959175	2	1	0.9565215191304853	-0.585	-5.506028511570859	0.004045773627594423
chr1	10000000	11000000	0.2700439818225866	1	3	0.8695651507246428	1.0	-3.0542669825615123	0.04503361273971898
chr1	11000000	12000000	0.6776101790239166	1	1	0.9565215191304853	0.0	-4.901670519604068	0.007379294978736089
chr1	12000000	13000000	0.4969999805029408	3	3	0.8695651507246428	0.0	-3.998323759500205	0.018015840839534985
chr1	13000000	14000000	0.4983351759414605	1	1	0.9565215191304853	0.0	-4.933424944034001	0.007150300249684227
chr1	14000000	15000000	0.0781962728109499	1	1	0.9565215191304853	0.0	-5.007842842905244	0.0066409124726772685
chr1	15000000	16000000	0.3207540649834066	1	1	0.9565215191304853	0.0	-4.964879334613524	0.006930426745049886
chr1	16000000	17000000	0.3730771384728735	1	1	0.9565215191304853	0.0	-4.955611511132863	0.0069945039293502894
chr1	17000000	18000000	2.2105639187142243	1	7	0.9440993478615805	2.0	-2.5280117373923234	0.0739176355208338
chr1	18000000	19000000	0.6747409076571134	1	1	0.9565215191304853	0.0	-4.902178744728707	0.00737557324237614
chr1	19000000	20000000	0.6606022954462816	1	2	0.9130433732608817	0.585	-3.861224422756667	0.020608569142530876
chr1	20000000	21000000	0.3979684122805391	1	3	0.8695651507246428	1.0	-3.0316081255548237	0.046018177950089244
chr1	21000000	22000000	0.5223977687907606	1	3	0.9275361607729522	1.0	-3.6331278475797975	0.025752646039838713
chr1	22000000	23000000	0.4486009498181089	2	2	0.9130433732608817	0.0	-4.474565783573584	0.011266782133274167
chr1	23000000	24000000	1.183959657743984	1	1	0.9565215191304853	0.0	-4.811982409266921	0.008066131753303236
chr1	24000000	25000000	0.5372832927343798	1	1	0.9565215191304853	0.0	-4.926526185087556	0.007199442627779553
chr1	25000000	26000000	0.2961811541194388	1	0		-1.0		0.0
chr1	26000000	27000000	0.1694619987887846	1	0		-1.0		0.0
chr1	27000000	28000000	0.586337429701671	1	3	0.8695651507246428	1.0	-2.9982429066130134	0.047505315941264725
chr1	28000000	29000000	0.4118867776950727	1	0		-1.0		0.0
chr1	29000000	30000000	0.6136920405695192	1	1	0.9565215191304853	0.0	-4.912992140925244	0.0072968267310415955
chr1	30000000	31000000	0.2088790781249776	1	3	0.8695651507246428	1.0	-3.0651009319623475	0.044569982200205034
chr1	31000000	32000000	0.5145301518773455	2	2	0.9130433732608817	0.0	-4.462887948802873	0.01139761659531672
chr1	32000000	33000000	0.742661702862744	2	0		-1.585		0.0
chr1	33000000	34000000	0.502575614831589	2	2	0.9130433732608817	0.0	-4.465005418816467	0.011373782223266059
chr1	34000000	35000000	0.4866748834198597	4	0		-2.3219		0.0
chr1	35000000	36000000	0.053844036043011	0	3	0.9275361607729522	2.0	-2.731864526822819	0.06111908207689624
chr1	36000000	37000000	0.3552594201802188	1	1	0.9565215191304853	0.0	-4.9587675082284415	0.006972617767747412
chr1	37000000	38000000	0.4852350303273325	1	3	0.8695651507246428	1.0	-3.0161508605687617	0.046701541465251344
chr1	38000000	39000000	0.1630213056865175	1	2	0.9130433732608817	0.585	-3.9493593978810564	0.01890283857657194
chr1	39000000	40000000	0.1567612545022236	1	1	0.9565215191304853	0.0	-4.993926871737713	0.006733346622449483
chr1	40000000	41000000	0.0727303498756772	1	1	0.9565215191304853	0.0	-5.008811004856457	0.006634528741203231
chr1	41000000	42000000	0.3770748925926623	1	1	0.9565215191304853	0.0	-4.954903401363495	0.006999423880359154
chr1	42000000	43000000	0.3247394736805087	2	2	0.9130433732608817	0.0	-4.4965049821019045	0.011024985278278762
chr1	43000000	44000000	0.2672768489875499	1	1	0.9565215191304853	0.0	-4.974351587771331	0.006865538492905757
chr1	44000000	45000000	0.3750934366316651	1	2	0.9130433732608817	0.585	-3.9117957200676194	0.019612212806202633
chr1	45000000	46000000	0.4191826604935698	1	4	0.89130429657609	1.3219	-2.944853250648933	0.0499803257725751
chr1	46000000	47000000	0.5205998081113754	1	4	0.89130429657609	1.3219	-2.926889546314494	0.05084021185504851
chr1	47000000	48000000	1.4174745912250142	3	6	0.8550724309903395	0.8074	-2.884704495962163	0.05291487460128128
chr1	48000000	49000000	1.188656156188399	2	6	0.7391304064492765	1.2224	-1.2696487648912242	0.21931738367520948
chr1	49000000	50000000	0.9899035067188948	3	2	0.9130433732608817	-0.415	-4.787153110094763	0.008267238760317869
chr1	50000000	51000000	1.6267681045371578	3	3	0.9275361607729522	0.0	-4.421770948428425	0.011870341450648973
chr1	51000000	52000000	0.541228611366757	2	2	0.9130433732608817	0.0	-4.458158933604573	0.011451025078099758
chr1	52000000	53000000	1.970855450975368	3	1	0.9565215191304853	-1.0	-5.65685878968818	0.0034813115462188795
chr1	53000000	54000000	0.8655001819165071	2	0		-1.585		0.0
chr1	54000000	55000000	0.4628348319721822	1	3	0.8695651507246428	1.0	-3.020118538123657	0.04652521580738973
chr1	55000000	56000000	0.2945219568861761	2	2	0.9130433732608817	0.0	-4.501857316989688	0.010966778917051064
chr1	56000000	57000000	1.2361464324289977	1	4	0.826086909021742	1.3219	-2.0986425360730054	0.10922882952950515
chr1	57000000	58000000	0.8904011773398728	3	1	0.9565215191304853	-1.0	-5.848236299057821	0.0028766837372969315
chr1	58000000	59000000	0.8273637812776378	2	5	0.7826086596521756	1.0	-2.020211654631181	0.1170971071089986
chr1	59000000	60000000	0.1652977171050738	1	0		-1.0		0.0
chr1	60000000	61000000	0.3814902582009445	3	1	0.9565215191304853	-1.0	-5.938378109379986	0.0026293701651338886
chr1	61000000	62000000	0.456369307973298	2	1	0.9565215191304853	-0.585	-5.5166484488591445	0.00400320619838009
chr1	62000000	63000000	0.5361797628322136	1	3	0.8695651507246428	1.0	-3.007127178345282	0.04710492765952563
chr1	63000000	64000000	0.9461952292279472	3	0		-2.0		0.0
chr1	64000000	65000000	1.2696729694525364	3	3	0.8695651507246428	0.0	-3.8614625930532336	0.020603762496386825
chr1	65000000	66000000	0.938896747855507	3	3	0.9275361607729522	0.0	-4.5436114651635755	0.0105230178860769
chr1	66000000	67000000	0.5308620988752133	2	2	0.9130433732608817	0.0	-4.4599951217616205	0.011430258248518057
chr1	67000000	68000000	0.6424251794977534	4	2	0.9130433732608817	-0.737	-5.165631552594036	0.005677043051635876
chr1	68000000	69000000	1.3738692487375743	3	3	0.8695651507246428	0.0	-3.8430066297591488	0.020979503734539887
chr1	69000000	70000000	1.382643323046516	1	2	0.9130433732608817	0.585	-3.7333315383499306	0.023354557418937605
chr1	70000000	71000000	0.9332851470818636	1	3	0.9275361607729522	1.0	-3.560348642566165	0.027643049646726047
chr1	71000000	72000000	0.7809580864634751	1	1	0.9565215191304853	0.0	-4.8833648257797515	0.007514597624117175
chr1	72000000	73000000	1.1704828124061386	1	1	0.9565215191304853	0.0	-4.8143695210196835	0.008047054718052482
chr1	73000000	74000000	1.8435954298677513	3	2	0.9130433732608817	-0.415	-4.6359413114950145	0.009603846607823156
chr1	74000000	75000000	0.6150648056476986	3	0		-2.0		0.0
chr1	75000000	76000000	0.9209524140030324	3	5	0.9043477844869585	0.585	-3.7215761636281286	0.02362419490900645
chr1	76000000	77000000	0.5463295315901595	1	1	0.9565215191304853	0.0	-4.924923852898562	0.007210904522610179
chr1	77000000	78000000	1.1804398525235706	1	4	0.89130429657609	1.3219	-2.81001412885045	0.05678542405095597
chr1	78000000	79000000	1.348303115743263	4	3	0.8695651507246428	-0.3219	-4.164367339543559	0.015301760676533315
chr1	79000000	80000000	0.5190342343578798	2	3	0.8695651507246428	0.415	-3.585954333533106	0.026963058213371808
