chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	1.849122045599159	1	1	0.9565215191304853	0.0	-4.694164261641147	0.009065573445799734
chr1	1000000	2000000	1.1812820092572809	3	5	0.7826086596521756	0.585	-2.365989785278817	0.08580318262130247
chr1	2000000	3000000	1.473930477692714	3	5	0.8521738738434801	0.585	-3.0624253029675454	0.04468405878583583
chr1	3000000	4000000	0.6852259475019604	1	5	0.8521738738434801	1.585	-2.2178692985055806	0.09815725770340943
chr1	4000000	5000000	0.8955759364593554	1	4	0.89130429657609	1.3219	-2.8604711894553523	0.05414256525839462
chr1	5000000	6000000	0.7553921052711958	2	4	0.826086909021742	0.737	-2.759488852025881	0.059552987104935735
chr1	6000000	7000000	1.028828370549494	1	5	0.7826086596521756	1.585	-1.4087366367382659	0.19643339839164428
chr1	7000000	8000000	0.3920621979211618	2	1	0.9565215191304853	-0.585	-5.528038967511199	0.003958045773439575
chr1	8000000	9000000	1.093534573504484	3	6	0.8115941717874409	0.8074	-2.4744133365676735	0.07767147990421747
chr1	9000000	10000000	0.854991670989234	3	8	0.8369564976766312	1.1699	-2.4326799955090985	0.08071438910203703
chr1	10000000	11000000	1.0306232669217934	2	7	0.819875749458741	1.415	-1.9766021778340095	0.12168151399999587
chr1	11000000	12000000	0.8373816284550246	1	3	0.8695651507246428	1.0	-2.953776227484191	0.04955833966521741
chr1	12000000	13000000	1.25236672916063	1	6	0.7391304064492765	1.8074	-0.6825736880123614	0.33568712438005655
chr1	13000000	14000000	0.8271011808243656	1	3	0.8695651507246428	1.0	-2.9555971712397664	0.049472639324373166
chr1	14000000	15000000	0.7152481412089067	1	6	0.7391304064492765	1.8074	-0.7777118350923526	0.3148132473850884
chr1	15000000	16000000	1.058494078658276	3	1	0.9565215191304853	-1.0	-5.818462525579384	0.0029633636467367754
chr1	16000000	17000000	1.5352047105854574	1	2	0.9130433732608817	0.585	-3.7063088136630835	0.023978926080893324
chr1	17000000	18000000	0.9507374497684618	2	4	0.826086909021742	0.737	-2.7248879379390223	0.06152065137628456
chr1	18000000	19000000	0.7510564988897785	1	7	0.7701863100976052	2.0	-0.9158511488544399	0.2858040049844198
chr1	19000000	20000000	1.0626352285265108	4	4	0.89130429657609	0.0	-4.13196954404555	0.01579766208577716
chr1	20000000	21000000	1.3289978358799006	3	4	0.89130429657609	0.3219	-3.767957302722677	0.02257767360688526
chr1	21000000	22000000	0.8290258360674185	1	6	0.8985506901932381	1.8074	-2.4723474566124946	0.07781960587986601
chr1	22000000	23000000	0.8841080340918772	2	6	0.7391304064492765	1.2224	-1.3235924277673234	0.21022122802588897
