chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	2.0600719270219465	1	1	0.9565215191304853	0.0	-4.656799364399661	0.009407468698199237
chr1	1000000	2000000	0.6384879174727747	2	9	0.7826086756521745	1.737	-1.3282695690364266	0.20944574284058132
chr1	2000000	3000000	0.3187034400636479	1	3	0.8695651507246428	1.0	-3.045648083869839	0.04540573041752234
chr1	3000000	4000000	0.3691745755295805	4	5	0.7826086596521756	0.263	-2.826766538177356	0.05589478468908252
chr1	4000000	5000000	0.3759578034515711	4	0		-2.3219		0.0
chr1	5000000	6000000	1.0327667386523292	2	4	0.9347825549456553	0.737	-3.8795324436580225	0.02024226783583058
chr1	6000000	7000000	0.8996441663128483	2	2	0.9130433732608817	0.0	-4.394673899671465	0.012192414879641596
chr1	7000000	8000000	0.6535343412503423	1	2	0.9130433732608817	0.585	-3.8624763475288333	0.020583315632676596
chr1	8000000	9000000	0.5911190394369106	2	3	0.8695651507246428	0.415	-3.573186175920103	0.02730007519678249
chr1	9000000	10000000	0.3990819958188631	3	1	0.9565215191304853	-1.0	-5.935262139539381	0.0026375543378808273
chr1	10000000	11000000	0.1817915841444297	2	1	0.9565215191304853	-0.585	-5.565283548184487	0.003813893357571395
chr1	11000000	12000000	0.6792990781935422	1	2	0.9130433732608817	0.585	-3.857912719704805	0.020675518307556644
chr1	12000000	13000000	0.290640604760592	1	2	0.9130433732608817	0.585	-3.926754587848591	0.019326647484058105
chr1	13000000	14000000	0.1593665662321988	1	1	0.9565215191304853	0.0	-4.993465400963633	0.006736433645624079
chr1	14000000	15000000	0.120384556018855	1	1	0.9565215191304853	0.0	-5.000370163346356	0.006690390506691572
chr1	15000000	16000000	0.1606452170316279	1	2	0.9130433732608817	0.585	-3.949780267083863	0.018895034918011273
chr1	16000000	17000000	0.1192879100084951	2	0		-1.585		0.0
chr1	17000000	18000000	0.2010638883874733	1	4	0.89130429657609	1.3219	-2.983487951229063	0.04817743165143593
chr1	18000000	19000000	0.4359641998044465	1	1	0.9565215191304853	0.0	-4.944472521299711	0.007072297086995924
chr1	19000000	20000000	0.7932567657317366	2	7	0.8695651888198768	1.415	-2.5531257701000527	0.0722167737950985
chr1	20000000	21000000	1.2650589870718805	1	6	0.8695651840579723	1.8074	-2.083334493314803	0.11072720375278074
chr1	21000000	22000000	0.7061058615843478	3	3	0.8695651507246428	0.0	-3.9612854843113334	0.01868292745695771
chr1	22000000	23000000	0.8055558253438213	2	5	0.9043477844869585	1.0	-3.333549435906307	0.034438009093397746
chr1	23000000	24000000	0.6116170875999467	1	6	0.8115941717874409	1.8074	-1.5755170958967142	0.1714313078425755
chr1	24000000	25000000	1.3638792792024974	3	3	0.8695651507246428	0.0	-3.8447761220319387	0.02094319027797352
chr1	25000000	26000000	1.476105881550183	3	1	0.9565215191304853	-1.0	-5.744492244123696	0.0031901495161577023
chr1	26000000	27000000	1.0885225745412273	4	4	0.826086909021742	0.0	-3.4258797395423217	0.031496375803934565
chr1	27000000	28000000	1.3963551069106162	3	2	0.9130433732608817	-0.415	-4.715159600677409	0.008878895164609915
chr1	28000000	29000000	0.3226111242191627	1	3	0.8695651507246428	1.0	-3.044955927913466	0.0454357407014883
chr1	29000000	30000000	0.6352952448098446	2	2	0.9130433732608817	0.0	-4.441497203013651	0.011641177643674614
chr1	30000000	31000000	0.3455352059567209	3	0		-2.0		0.0
chr1	31000000	32000000	0.1510839824814978	2	1	0.9565215191304853	-0.585	-5.570722690282739	0.0037932838385609604
chr1	32000000	33000000	0.4110187048852571	1	1	0.9565215191304853	0.0	-4.948891039328766	0.007041336500368944
chr1	33000000	34000000	1.5925945778477717	2	5	0.8521738738434801	1.0	-2.6329401324780397	0.06704830271151074
chr1	34000000	35000000	0.6422586220085451	1	3	0.8695651507246428	1.0	-2.988337759522744	0.04795552375500556
chr1	35000000	36000000	1.660023983618737	1	4	0.826086909021742	1.3219	-2.023562422084061	0.11675113097813457
chr1	36000000	37000000	0.7671265517208794	2	2	0.9130433732608817	0.0	-4.418146333116412	0.011912931452692599
chr1	37000000	38000000	0.2163967648298337	1	0		-1.0		0.0
chr1	38000000	39000000	0.1977520299886555	2	2	0.9130433732608817	0.0	-4.518997873553193	0.01078241364073481
chr1	39000000	40000000	0.5077397569848943	3	3	0.8695651507246428	0.0	-3.9964214562519738	0.018049525875505658
chr1	40000000	41000000	0.1064039212234795	1	0		-1.0		0.0
chr1	41000000	42000000	0.2638106810458502	1	1	0.9565215191304853	0.0	-4.974965539332193	0.006861353590973785
chr1	42000000	43000000	0.6228450696252703	1	1	0.9565215191304853	0.0	-4.911370893319842	0.007308579758388567
chr1	43000000	44000000	0.2797397336159246	2	5	0.9043477844869585	1.0	-3.426685606938115	0.03147180261850358
chr1	44000000	45000000	0.63705499519887	2	2	0.9130433732608817	0.0	-4.4411855038934	0.011644764493934829
chr1	45000000	46000000	0.1336923941399721	1	2	0.9130433732608817	0.585	-3.954554336881496	0.018806736126979005
chr1	46000000	47000000	0.4138505567592281	1	0		-1.0		0.0
chr1	47000000	48000000	0.693463788189479	1	1	0.9565215191304853	0.0	-4.8988624190572345	0.007399892348102275
chr1	48000000	49000000	0.906857523685138	2	6	0.8115941717874409	1.2224	-2.099012295518963	0.10919285791274132
chr1	49000000	50000000	0.0917659127856462	1	1	0.9565215191304853	0.0	-5.005439294726697	0.006656787041767285
chr1	50000000	51000000	0.436396977021726	1	2	0.9130433732608817	0.585	-3.900937214380086	0.01982208823661718
chr1	51000000	52000000	0.2870833831915074	1	2	0.9130433732608817	0.585	-3.927384667455641	0.019314709120578696
chr1	52000000	53000000	0.132502833313417	1	2	0.9565216291304475	0.585	-4.42243465274815	0.011862559094577688
chr1	53000000	54000000	0.2774416754107203	1	2	0.9130433732608817	0.585	-3.9290924732056682	0.019282387001496447
chr1	54000000	55000000	0.0906656759711763	1	1	0.9565215191304853	0.0	-5.005634176256076	0.006655498516564118
chr1	55000000	56000000	0.6303411229538165	2	1	0.9565215191304853	-0.585	-5.485833361664885	0.004127968532473154
chr1	56000000	57000000	0.2316702781531621	1	0		-1.0		0.0
chr1	57000000	58000000	0.1988830752003627	1	1	0.9565215191304853	0.0	-4.986465964476733	0.006783429317717828
chr1	58000000	59000000	0.2337059050019432	2	2	0.9130433732608817	0.0	-4.512629475352427	0.010850552008567313
chr1	59000000	60000000	0.2997822709145095	1	0		-1.0		0.0
chr1	60000000	61000000	1.145749595921831	2	5	0.8521738738434801	1.0	-2.712088396131591	0.06226380461978436
chr1	61000000	62000000	0.2738930742687495	1	3	0.8695651507246428	1.0	-3.0535852047726184	0.04506294208978507
chr1	62000000	63000000	0.3561201505269942	1	0		-1.0		0.0
chr1	63000000	64000000	0.4293652861224197	3	2	0.9565216291304475	-0.415	-5.354109116611261	0.00470642514432312
chr1	64000000	65000000	0.7152980341487476	1	3	0.9275361607729522	1.0	-3.5989600227659464	0.026623931424552865
chr1	65000000	66000000	1.2329930729460783	2	2	0.9130433732608817	0.0	-4.335628843291706	0.012924410094897937
chr1	66000000	67000000	1.4771796578744696	4	4	0.9347825549456553	0.0	-4.526212216481263	0.01070573531363824
