chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	0.2796117465079493	1	0		-1.0		0.0
chr1	1000000	2000000	2.029129980383651	1	1	0.9565215191304853	0.0	-4.662280015295474	0.009356531771614645
chr1	2000000	3000000	1.5322549980361624	2	1	0.9565215191304853	-0.585	-5.326080158506737	0.004839560021090286
chr1	3000000	4000000	0.1810536927413464	1	1	0.9565215191304853	0.0	-4.989624027609867	0.006762185245290714
chr1	4000000	5000000	0.0	0	0		0.0		0.0
chr1	5000000	6000000	0.2441593955306777	1	0		-1.0		0.0
chr1	6000000	7000000	0.18364297714283	2	2	0.9130433732608817	0.0	-4.5214969662580735	0.010755790498404175
chr1	7000000	8000000	0.2861057102923223	1	2	0.9565216291304475	0.585	-4.395227452271888	0.012185749824946582
chr1	8000000	9000000	0.0896618940808111	1	1	0.9565215191304853	0.0	-5.005811973024358	0.0066543231691606145
chr1	9000000	10000000	0.2304040826688478	1	2	0.9130433732608817	0.585	-3.9374240958993285	0.01912546063535718
chr1	10000000	11000000	0.1988568987349914	1	1	0.9565215191304853	0.0	-4.986470601032734	0.006783398079390076
chr1	11000000	12000000	1.6048232994574343	1	1	0.9565215191304853	0.0	-4.737436139701672	0.00868498971307515
chr1	12000000	13000000	0.699960711711181	1	0		-1.0		0.0
chr1	13000000	14000000	0.8092881071193241	1	0		-1.0		0.0
chr1	14000000	15000000	0.3009016194615173	1	1	0.9565215191304853	0.0	-4.968395736622923	0.006906267387305374
chr1	15000000	16000000	0.4971971585922774	1	1	0.9565215191304853	0.0	-4.933626517512139	0.007148869386753324
chr1	16000000	17000000	0.7964770594346979	1	1	0.9565215191304853	0.0	-4.880615998302569	0.007535126510725565
chr1	17000000	18000000	1.857627629085334	1	3	0.8695651507246428	1.0	-2.7730632224923335	0.05879726500023008
chr1	18000000	19000000	1.5200577818009269	1	4	0.826086909021742	1.3219	-2.0483542006474336	0.11421878580780935
chr1	19000000	20000000	2.553134153444126	1	4	0.826086909021742	1.3219	-1.865368591891908	0.13407852514644444
chr1	20000000	21000000	0.8490480218997356	2	2	0.9130433732608817	0.0	-4.403635837569038	0.012084949975098848
chr1	21000000	22000000	1.183625363431041	1	2	0.9130433732608817	0.585	-3.7685829713447587	0.0225638705239157
chr1	22000000	23000000	0.380360206450467	1	0		-1.0		0.0
