chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	0.0	0	0		0.0		0.0
chr1	1000000	2000000	0.5505631626709615	1	1	0.9565215191304853	0.0	-4.9241739629757735	0.007216274899415919
chr1	2000000	3000000	1.2684935114488225	2	0		-1.585		0.0
chr1	3000000	4000000	0.578827115759248	2	1	0.9565215191304853	-0.585	-5.494957877745861	0.004090627512072602
chr1	4000000	5000000	0.6027261839697382	1	1	0.9565215191304853	0.0	-4.914934489042494	0.007282770627266572
chr1	5000000	6000000	1.2040845365528043	1	3	0.8695651507246428	1.0	-2.8888232804295964	0.052708841857797624
chr1	6000000	7000000	0.4950497307754897	1	4	0.826086909021742	1.3219	-2.2299106928338457	0.09709647015201639
chr1	7000000	8000000	0.3373657769547287	2	1	0.9565215191304853	-0.585	-5.537727174658335	0.003920034154694614
chr1	8000000	9000000	0.5494281361076752	1	1	0.9565215191304853	0.0	-4.924375006705295	0.00721483472455792
chr1	9000000	10000000	1.9996550786116467	1	5	0.7826086596521756	1.585	-1.2367771175322337	0.22499747324947966
chr1	10000000	11000000	0.6760408475158206	1	1	0.9565215191304853	0.0	-4.901948490419422	0.007377259165500853
chr1	11000000	12000000	0.8599658636074938	1	1	0.9565215191304853	0.0	-4.869370423629092	0.0076196922741259806
chr1	12000000	13000000	0.4007964259265475	1	2	0.9130433732608817	0.585	-3.9072430294127365	0.019699941718883743
chr1	13000000	14000000	0.5568413263475471	1	3	0.8695651507246428	1.0	-3.003467459778996	0.04726947052366698
chr1	14000000	15000000	0.8961531531095979	3	1	0.9565215191304853	-1.0	-5.847217469456583	0.0028796076373673284
chr1	15000000	16000000	1.7544661807834334	1	1	0.9565215191304853	0.0	-4.710930360954826	0.008916190138192009
chr1	16000000	17000000	0.8212229908923594	1	3	0.8695651507246428	1.0	-2.9566383567635217	0.04942370043463034
chr1	17000000	18000000	0.3059055258151475	1	1	0.9565215191304853	0.0	-4.967509410233696	0.0069123489771612655
chr1	18000000	19000000	0.7213678694163184	1	2	0.9130433732608817	0.585	-3.850461205390075	0.020826936997261136
chr1	19000000	20000000	1.349332399851435	1	4	0.826086909021742	1.3219	-2.0785942572430143	0.11119482110201691
chr1	20000000	21000000	0.2837771403971874	1	0		-1.0		0.0
chr1	21000000	22000000	0.3529927550565821	1	2	0.9130433732608817	0.585	-3.915710345145624	0.019537085438979876
chr1	22000000	23000000	0.4800790740356335	1	1	0.9565215191304853	0.0	-4.9366585906572675	0.0071273805785022105
chr1	23000000	24000000	1.3381104644312378	2	1	0.9565215191304853	-0.585	-5.360468376690208	0.004676730253272148
chr1	24000000	25000000	0.3389115369869464	1	3	0.8695651507246428	1.0	-3.0420686864324367	0.0455611286932952
chr1	25000000	26000000	0.7030969159978362	1	0		-1.0		0.0
chr1	26000000	27000000	0.3905159508264137	1	3	0.8695651507246428	1.0	-3.0329281569032718	0.045960262622290755
chr1	27000000	28000000	1.0820468284281648	1	3	0.8695651507246428	1.0	-2.91043944059479	0.05163991040005491
chr1	28000000	29000000	0.7121208914807196	1	1	0.9565215191304853	0.0	-4.895557744304165	0.007424205183123877
chr1	29000000	30000000	0.5728760654895466	1	0		-1.0		0.0
chr1	30000000	31000000	0.5932581752928283	1	3	0.8695651507246428	1.0	-2.9970170564437506	0.04756081467498191
chr1	31000000	32000000	0.4343073444629493	2	0		-1.585		0.0
chr1	32000000	33000000	0.332767615098879	1	1	0.9565215191304853	0.0	-4.962751411798197	0.006945087328931614
chr1	33000000	34000000	0.5183903904093627	1	0		-1.0		0.0
chr1	34000000	35000000	0.5060150560154542	1	0		-1.0		0.0
chr1	35000000	36000000	0.5318782897614818	1	0		-1.0		0.0
chr1	36000000	37000000	0.6533225390866808	1	4	0.826086909021742	1.3219	-2.2018763219264903	0.09958212128642377
chr1	37000000	38000000	0.8611189557537	1	2	0.9130433732608817	0.585	-3.825707529563556	0.021337776187365067
chr1	38000000	39000000	0.396919325124311	1	2	0.9565216291304475	0.585	-4.375599380887215	0.012424294341233315
chr1	39000000	40000000	0.3529557712126445	1	1	0.9565215191304853	0.0	-4.959175546414447	0.006969793079489879
chr1	40000000	41000000	0.7714618661571677	1	1	0.9565215191304853	0.0	-4.885046861785339	0.007502063169759318
chr1	41000000	42000000	0.4920220677722517	1	1	0.9565215191304853	0.0	-4.934543165274164	0.007142366176551576
chr1	42000000	43000000	0.8374344187218652	1	0		-1.0		0.0
chr1	43000000	44000000	0.8846342025760499	1	3	0.8695651507246428	1.0	-2.9454065258066198	0.049954061539596605
chr1	44000000	45000000	0.6032855226207583	1	4	0.826086909021742	1.3219	-2.210739223227547	0.09879024007364777
chr1	45000000	46000000	0.2658335642921865	1	0		-1.0		0.0
chr1	46000000	47000000	0.3863833225983892	1	1	0.9565215191304853	0.0	-4.953254628070532	0.007010892886865789
chr1	47000000	48000000	1.2550600920859756	1	1	0.9565215191304853	0.0	-4.799388610184907	0.0081675224193248
chr1	48000000	49000000	1.7255548955004874	1	1	0.9565215191304853	0.0	-4.71605132711243	0.00887105135381735
chr1	49000000	50000000	0.6637051951568584	1	2	0.9565216291304475	0.585	-4.328344428421668	0.013017670549943992
chr1	50000000	51000000	0.6042503771750662	2	0		-1.585		0.0
chr1	51000000	52000000	0.6918195385759902	2	0		-1.585		0.0
chr1	52000000	53000000	0.1198192614069673	1	0		-1.0		0.0
chr1	53000000	54000000	0.4380799678790876	1	1	0.9565215191304853	0.0	-4.944097761872673	0.00707492923871789
chr1	54000000	55000000	0.0217435923387614	1	0		-1.0		0.0
chr1	55000000	56000000	0.6257136712769356	2	0		-1.585		0.0
chr1	56000000	57000000	0.5992008386581951	1	1	0.9565215191304853	0.0	-4.91555892250706	0.007278257529428841
chr1	57000000	58000000	1.2333672689528288	1	0		-1.0		0.0
chr1	58000000	59000000	1.481372506681243	2	3	0.8695651507246428	0.415	-3.41549834458261	0.03181459844017679
chr1	59000000	60000000	0.1182223833703872	1	0		-1.0		0.0
chr1	60000000	61000000	0.0827880726127237	1	1	0.9565215191304853	0.0	-5.007029511669457	0.006646280018429145
chr1	61000000	62000000	1.00807071308872	1	2	0.9130433732608817	0.585	-3.7996784212500323	0.02188815457751038
chr1	62000000	63000000	0.3749123060696524	1	1	0.9565215191304853	0.0	-4.955286453596865	0.006996762004593869
chr1	63000000	64000000	0.3808683779684725	1	1	0.9565215191304853	0.0	-4.954231473082245	0.007004095619539736
chr1	64000000	65000000	0.1570229017889	2	0		-1.585		0.0
chr1	65000000	66000000	0.6228277029966556	2	0		-1.585		0.0
chr1	66000000	67000000	1.606501685022915	2	1	0.9565215191304853	-0.585	-5.312929073466681	0.00490331169595415
chr1	67000000	68000000	0.6127110382939818	1	1	0.9565215191304853	0.0	-4.91316590281111	0.0072955681801418065
chr1	68000000	69000000	0.4302626822321582	1	0		-1.0		0.0
chr1	69000000	70000000	0.7817929498688403	1	4	0.826086909021742	1.3219	-2.179120757120905	0.10164118367268597
chr1	70000000	71000000	0.7544980809789528	1	3	0.8695651507246428	1.0	-2.9684571327948053	0.04887139016338666
chr1	71000000	72000000	0.6695318319117862	2	1	0.9565215191304853	-0.585	-5.478891633121788	0.004156603935597626
chr1	72000000	73000000	0.4925250712051912	1	1	0.9565215191304853	0.0	-4.934454069838522	0.00714299801146129
chr1	73000000	74000000	0.5981108357879745	1	2	0.9130433732608817	0.585	-3.872293340894257	0.020386337200783627
chr1	74000000	75000000	0.7508319582121072	1	3	0.8695651507246428	1.0	-2.9691065017327443	0.04884121440274515
chr1	75000000	76000000	1.8512298093305344	1	5	0.7826086596521756	1.585	-1.2630672244397294	0.2204463385265969
chr1	76000000	77000000	1.1781635661651224	1	2	0.9130433732608817	0.585	-3.7695504025289734	0.022542543930614025
chr1	77000000	78000000	1.6669181731160414	1	3	0.8695651507246428	1.0	-2.8068429960442822	0.05695551150081129
chr1	78000000	79000000	0.3819000865423456	2	1	0.9565215191304853	-0.585	-5.529838950734062	0.0039509558884566
chr1	79000000	80000000	1.1469168590308234	2	1	0.9565215191304853	-0.585	-5.394333906127021	0.00452170625548559
chr1	80000000	81000000	1.3502499372500956	2	3	0.8695651507246428	0.415	-3.4387236780115247	0.031106928582506608
chr1	81000000	82000000	0.210234265594309	1	0		-1.0		0.0
chr1	82000000	83000000	1.1016259061896685	1	4	0.826086909021742	1.3219	-2.122469739036582	0.10693198742665849
chr1	83000000	84000000	1.0273264350410307	1	1	0.9565215191304853	0.0	-4.839726365468389	0.007847153145839338
chr1	84000000	85000000	0.596196029874366	1	1	0.9565215191304853	0.0	-4.916091154953368	0.007274413006873808
chr1	85000000	86000000	0.4612833495988009	1	2	0.9130433732608817	0.585	-3.8965291685078434	0.019907914447456643
chr1	86000000	87000000	1.0204780635241844	1	2	0.9130433732608817	0.585	-3.7974807458072526	0.0219352542203751
chr1	87000000	88000000	1.2364099524043173	1	3	0.8695651507246428	1.0	-2.8830975799293936	0.052995462902114085
chr1	88000000	89000000	0.4710236205793361	1	1	0.9565215191304853	0.0	-4.938262554999828	0.007116038963418091
chr1	89000000	90000000	0.4446771682073733	1	0		-1.0		0.0
chr1	90000000	91000000	0.8151678891536864	1	3	0.8695651507246428	1.0	-2.9577108781260666	0.049373336653613396
chr1	91000000	92000000	0.3934200605081388	1	1	0.9565215191304853	0.0	-4.952008232542174	0.007019575302673313
chr1	92000000	93000000	0.8200021749454529	1	5	0.7826086596521756	1.585	-1.4457253721072938	0.19066030731179032
chr1	93000000	94000000	1.739786070435109	1	0		-1.0		0.0
chr1	94000000	95000000	1.3453354503999182	1	6	0.8550724309903395	1.8074	-1.9132254898854617	0.128618918602555
chr1	95000000	96000000	1.836426593835173	2	4	0.89130429657609	0.737	-3.2695130303034405	0.036632009609205714
chr1	96000000	97000000	0.7263039320678151	1	3	0.8695651507246428	1.0	-2.973451074814448	0.04863977914956757
chr1	97000000	98000000	1.6058874726996848	1	4	0.89130429657609	1.3219	-2.7346559134189157	0.06095909853036375
chr1	98000000	99000000	1.3476678057437974	3	0		-2.0		0.0
chr1	99000000	100000000	0.4887658854592951	2	2	0.9130433732608817	0.0	-4.467451493284243	0.011346310384790132
chr1	100000000	101000000	0.2359761725074709	1	1	0.9565215191304853	0.0	-4.979895779369728	0.006827839128809197
chr1	101000000	102000000	0.2964932980286736	2	1	0.9565215191304853	-0.585	-5.544966789891946	0.0038918671472794766
chr1	102000000	103000000	0.8251010854613448	1	1	0.9565215191304853	0.0	-4.875545913484746	0.007573137196431134
chr1	103000000	104000000	0.3958720606488093	1	1	0.9565215191304853	0.0	-4.951573917373688	0.007022603258332588
chr1	104000000	105000000	1.5689663565783205	1	3	0.8695651507246428	1.0	-2.8241928970485564	0.056030752498585704
chr1	105000000	106000000	0.3072294099751449	2	0		-1.585		0.0
chr1	106000000	107000000	0.3651773693594533	1	1	0.9565215191304853	0.0	-4.95701077269757	0.0069847919463648595
chr1	107000000	108000000	0.4786217726840847	1	1	0.9565215191304853	0.0	-4.936916717918981	0.007125554152395158
chr1	108000000	109000000	0.3068174659015175	1	3	0.8695651507246428	1.0	-3.0477534095528283	0.045314564361599245
chr1	109000000	110000000	0.8654081305118093	1	1	0.9565215191304853	0.0	-4.868406451797162	0.0076269849357505064
chr1	110000000	111000000	0.2524236686097136	1	0		-1.0		0.0
chr1	111000000	112000000	1.3248024392318047	1	4	0.826086909021742	1.3219	-2.082939172972326	0.11076613562905474
chr1	112000000	113000000	0.6847157625075186	1	2	0.9130433732608817	0.585	-3.8569532792376373	0.02069495403438839
chr1	113000000	114000000	0.4637834450219515	2	2	0.9130433732608817	0.0	-4.471876555358167	0.011296779117446297
chr1	114000000	115000000	3.1410088745077176	3	7	0.8322981092990249	1.0	-2.144882597796232	0.10481039418413632
chr1	115000000	116000000	0.6392526594078327	1	1	0.9565215191304853	0.0	-4.9084646679071	0.007329695121242253
chr1	116000000	117000000	1.0562841890541632	1	3	0.8695651507246428	1.0	-2.915002696882902	0.05141688968343589
chr1	117000000	118000000	0.8283991368204928	1	0		-1.0		0.0
chr1	118000000	119000000	0.5495699346812861	1	0		-1.0		0.0
chr1	119000000	120000000	0.5558425161666389	1	1	0.9565215191304853	0.0	-4.9232388474898725	0.007222977342100241
chr1	120000000	121000000	0.0	0	0		0.0		0.0
chr1	121000000	122000000	1.3430732399579168	2	0		-1.585		0.0
chr1	122000000	123000000	0.0	0	0		0.0		0.0
chr1	123000000	124000000	0.0	0	0		0.0		0.0
chr1	124000000	125000000	0.0	0	0		0.0		0.0
chr1	125000000	126000000	1.0240669279396104	1	0		-1.0		0.0
chr1	126000000	127000000	0.0	0	0		0.0		0.0
chr1	127000000	128000000	0.0	0	0		0.0		0.0
chr1	128000000	129000000	0.0	0	0		0.0		0.0
chr1	129000000	130000000	0.0	0	0		0.0		0.0
chr1	130000000	131000000	0.0	0	0		0.0		0.0
chr1	131000000	132000000	0.0	0	0		0.0		0.0
chr1	132000000	133000000	0.0	0	0		0.0		0.0
chr1	133000000	134000000	0.0	0	0		0.0		0.0
chr1	134000000	135000000	0.0	0	0		0.0		0.0
chr1	135000000	136000000	0.0	0	0		0.0		0.0
chr1	136000000	137000000	0.0	0	0		0.0		0.0
chr1	137000000	138000000	0.0	0	0		0.0		0.0
chr1	138000000	139000000	0.0	0	0		0.0		0.0
chr1	139000000	140000000	0.0	0	0		0.0		0.0
chr1	140000000	141000000	0.0	0	0		0.0		0.0
chr1	141000000	142000000	0.0	0	0		0.0		0.0
chr1	142000000	143000000	0.0	0	0		0.0		0.0
chr1	143000000	144000000	0.5742816602294378	1	0		-1.0		0.0
chr1	144000000	145000000	0.0	0	0		0.0		0.0
chr1	145000000	146000000	0.6677367273901125	1	0		-1.0		0.0
chr1	146000000	147000000	0.701613142197069	1	1	0.9565215191304853	0.0	-4.897418949295487	0.007410502369291545
chr1	147000000	148000000	0.340173899631079	1	2	0.9130433732608817	0.585	-3.917980909189068	0.019493639319343645
chr1	148000000	149000000	1.6202194161387775	1	1	0.9565215191304853	0.0	-4.7347090733775	0.008708500041746479
chr1	149000000	150000000	0.5516789807469895	1	0		-1.0		0.0
chr1	150000000	151000000	0.0727344115152992	1	1	0.9565215191304853	0.0	-5.008810285430847	0.006634533482587863
chr1	151000000	152000000	0.2261677669169901	1	1	0.9565215191304853	0.0	-4.981633111784988	0.0068160679844611475
chr1	152000000	153000000	0.6172778910246461	2	0		-1.585		0.0
chr1	153000000	154000000	0.6985597713687879	1	3	0.8695651507246428	1.0	-2.9783653118198377	0.04841288172280007
chr1	154000000	155000000	0.6288465648808481	1	2	0.9130433732608817	0.585	-3.866849216671709	0.02049534471769501
chr1	155000000	156000000	0.6518887508211981	1	2	0.9130433732608817	0.585	-3.8627678258499962	0.0205774403549029
chr1	156000000	157000000	0.9455427975163144	1	0		-1.0		0.0
chr1	157000000	158000000	0.673192934083656	2	0		-1.585		0.0
chr1	158000000	159000000	0.4901385505872908	1	1	0.9565215191304853	0.0	-4.934876786822533	0.007140000737422619
chr1	159000000	160000000	0.1669658225296406	1	1	0.9565215191304853	0.0	-4.992119368300563	0.0067454460053883334
chr1	160000000	161000000	0.3567775162381603	1	3	0.8695651507246428	1.0	-3.0389041410231776	0.045698938006057406
chr1	161000000	162000000	0.6736916653595442	2	0		-1.585		0.0
chr1	162000000	163000000	2.6559775150709575	1	3	0.8695651507246428	1.0	-2.6316539870312408	0.06712879955886537
chr1	163000000	164000000	0.6580426015805676	1	1	0.9565215191304853	0.0	-4.905136463815577	0.007353950786466798
chr1	164000000	165000000	1.0221395431516394	1	0		-1.0		0.0
