chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	2.4372245348819916	1	1	0.9565215191304853	0.0	-4.589995494485152	0.010050858712521923
chr1	1000000	2000000	2.0146997757123173	1	6	0.8115941717874409	1.8074	-1.3269934176228526	0.20965712407436446
chr1	2000000	3000000	0.7921125895965742	1	2	0.9130433732608817	0.585	-3.8379304128526046	0.021084019920501407
chr1	3000000	4000000	1.451569166676363	2	3	0.8695651507246428	0.415	-3.420777317622199	0.03165239451375836
chr1	4000000	5000000	2.0285107520240375	1	2	0.9565216291304475	0.585	-4.086600659508406	0.016518779473354745
chr1	5000000	6000000	1.87103510204047	2	8	0.7826086731521746	1.585	-1.2595593196728663	0.2210497622122795
chr1	6000000	7000000	1.0221843794865015	2	3	0.9275361607729522	0.415	-4.120392418656945	0.01597867703072251
chr1	7000000	8000000	2.5145234438890527	2	4	0.89130429657609	0.737	-3.149403841565583	0.04111477493070958
chr1	8000000	9000000	3.8284020899915494	4	7	0.819875749458741	0.6781	-2.2063391324819897	0.099182675514787
chr1	9000000	10000000	0.4283612978405386	1	1	0.9565215191304853	0.0	-4.945819199708357	0.007062846609341196
chr1	10000000	11000000	1.8311440272275332	1	8	0.728260848627718	2.1699	-0.10634624030014805	0.47343846839500814
chr1	11000000	12000000	0.7293154117298313	2	1	0.9565215191304853	-0.585	-5.468302353329056	0.004200667371708952
chr1	12000000	13000000	0.5177934583374291	1	3	0.8695651507246428	1.0	-3.010383887348694	0.046958962265426465
chr1	13000000	14000000	0.0678318115360792	1	0		-1.0		0.0
chr1	14000000	15000000	2.077025909946235	2	1	0.9565215191304853	-0.585	-5.229586579053739	0.0053272078845896615
chr1	15000000	16000000	1.2112519922281564	2	6	0.8550724309903395	1.2224	-2.512765497326657	0.07496810252110848
chr1	16000000	17000000	2.31308033460363	1	4	0.826086909021742	1.3219	-1.907888579165209	0.129218245160755
chr1	17000000	18000000	1.495830419019316	1	0		-1.0		0.0
chr1	18000000	19000000	3.1923897633508926	3	5	0.7826086596521756	0.585	-2.009768515722109	0.11818109965546086
chr1	19000000	20000000	2.029084698996789	5	3	0.9275361607729522	-0.585	-4.926300080718996	0.0072010589138598565
chr1	20000000	21000000	1.256735368213409	2	3	0.8695651507246428	0.415	-3.45528762314897	0.030611561777298804
chr1	21000000	22000000	0.8547398210457153	1	4	0.826086909021742	1.3219	-2.1661999044177502	0.10282707746545519
chr1	22000000	23000000	3.183042280517324	1	6	0.8550724309903395	1.8074	-1.5877181873727269	0.1697051742140971
chr1	23000000	24000000	6.786623866247346	5	12	0.7608695506340581	1.1155	-0.6171501646359712	0.350429879138974
chr1	24000000	25000000	2.55077748045435	3	4	0.826086909021742	0.3219	-2.8500428100698896	0.054679104351213356
chr1	25000000	26000000	6.4082081991272695	6	11	0.7667984029392745	0.7776	-1.0805312457211658	0.253405496506963
chr1	26000000	27000000	2.8302332959706105	5	5	0.7826086596521756	0.0	-2.6497063868414212	0.06600710848598029
chr1	27000000	28000000	1.3315797680558603	2	4	0.826086909021742	0.737	-2.657430521077538	0.06553250762217412
chr1	28000000	29000000	1.2157409938292458	2	4	0.826086909021742	0.737	-2.6779486833365738	0.0642871617356314
chr1	29000000	30000000	2.0338370825964867	2	8	0.8152173678668485	1.585	-1.5814749502960828	0.17058669451005853
chr1	30000000	31000000	1.3751044170285345	3	3	0.8695651507246428	0.0	-3.8427878482364646	0.020983997838873204
chr1	31000000	32000000	0.5805945565454653	3	2	0.9130433732608817	-0.415	-4.859652733038843	0.0076935265810563775
chr1	32000000	33000000	1.0302627636512347	1	3	0.8695651507246428	1.0	-2.9196117911364734	0.051192553664946884
