chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	2.4311008652369934	1	1	0.9565215191304853	0.0	-4.591080161067959	0.010040072188062731
chr1	1000000	2000000	2.231552410064959	2	18	0.6956521650241546	2.663	0.8006659951934392	0.6901169259296457
chr1	2000000	3000000	0.3133189222947816	2	2	0.9130433732608817	0.0	-4.498527868894211	0.01100295066652523
chr1	3000000	4000000	0.7675479718275002	2	10	0.8608695454173918	1.8745	-2.011879655878131	0.1179612658879408
chr1	4000000	5000000	0.3914161943295067	1	2	0.9130433732608817	0.585	-3.9089045206985373	0.019667880834146844
chr1	5000000	6000000	0.272837615691202	1	3	0.8695651507246428	1.0	-3.0537721548719823	0.0450548978861955
chr1	6000000	7000000	0.75574905016019	3	5	0.8521738738434801	0.585	-3.1896345484030224	0.03955766176370788
chr1	7000000	8000000	0.9850994282301132	4	9	0.6086956366183578	1.0	-0.12159398361750107	0.46963890252816143
chr1	8000000	9000000	1.2392199781129252	1	5	0.8521738738434801	1.585	-2.11974205668605	0.10719275379700526
chr1	9000000	10000000	1.0487135377737578	4	7	0.9068322683407286	0.6781	-3.634036033572353	0.025729869966604237
chr1	10000000	11000000	0.9274212793891956	2	9	0.830917853161568	1.737	-1.7967246495537488	0.14225023904919393
chr1	11000000	12000000	1.0583827843805618	4	12	0.6304347705253625	1.3785	0.030092793320373623	0.5075226306457157
chr1	12000000	13000000	0.5573743416285595	3	1	0.9565215191304853	-1.0	-5.907224308015603	0.002712348696415251
chr1	13000000	14000000	0.4870047341302497	2	1	0.9565215191304853	-0.585	-5.511222090984075	0.004024900402660419
chr1	14000000	15000000	2.0072330513557444	5	9	0.6859903206333875	0.737	-1.0308188842442076	0.2629253771782738
chr1	15000000	16000000	2.0917380396914065	7	7	0.7701863100976052	0.0	-2.646893967995827	0.06618070636014135
chr1	16000000	17000000	1.946483976720237	4	7	0.6956521510559014	0.6781	-1.2034784391982116	0.23085699957258676
chr1	17000000	18000000	0.8228987314820313	3	6	0.7391304064492765	0.8074	-1.7429008084343947	0.1489448526554913
chr1	18000000	19000000	0.7575580065121117	2	9	0.7536231691465384	1.737	-0.9953992843664796	0.26984693796343634
