chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	1.0272578368016625	2	0		-1.585		0.0
chr1	1000000	2000000	5.701178281134524	2	3	0.8695651507246428	0.415	-2.668057255362629	0.06488474448775494
chr1	2000000	3000000	0.8157011494190844	1	0		-1.0		0.0
chr1	3000000	4000000	1.7932212328194068	1	2	0.9565216291304475	0.585	-4.128276761186128	0.015855180608896433
chr1	4000000	5000000	1.6498540139534246	3	0		-2.0		0.0
chr1	5000000	6000000	2.1520009332275145	3	1	0.9565215191304853	-1.0	-5.624773053093025	0.0035944152991787175
chr1	6000000	7000000	1.0766452665479496	3	0		-2.0		0.0
chr1	7000000	8000000	0.616077058320589	1	1	0.9565215191304853	0.0	-4.9125696901393665	0.007299887425410039
chr1	8000000	9000000	0.2396806605353334	1	0		-1.0		0.0
chr1	9000000	10000000	4.240896699095931	1	3	0.9275361607729522	1.0	-2.9744816824987224	0.0485921110382981
chr1	10000000	11000000	2.87842910243714	1	2	0.9565216291304475	0.585	-3.9360572621258276	0.01915111885652205
chr1	11000000	12000000	0.9051718584802368	1	1	0.9565215191304853	0.0	-4.86136322617666	0.007680479091623891
chr1	12000000	13000000	0.36626345260871	1	0		-1.0		0.0
chr1	13000000	14000000	2.334330630019256	1	1	0.9565215191304853	0.0	-4.608220772243265	0.009871129989154225
chr1	14000000	15000000	0.7713136528290603	1	4	0.89130429657609	1.3219	-2.8824813817698605	0.05302639652400717
chr1	15000000	16000000	0.0	0	0		0.0		0.0
chr1	16000000	17000000	0.1506974418803173	1	0		-1.0		0.0
chr1	17000000	18000000	0.4998618004990374	1	0		-1.0		0.0
chr1	18000000	19000000	0.4264746260023804	1	1	0.9565215191304853	0.0	-4.9461533800306485	0.007060503401188338
chr1	19000000	20000000	0.2807174681342794	1	0		-1.0		0.0
chr1	20000000	21000000	0.5050693702398381	1	0		-1.0		0.0
chr1	21000000	22000000	0.0	0	0		0.0		0.0
chr1	22000000	23000000	0.5208042475967511	1	1	0.9565215191304853	0.0	-4.929445067165386	0.007178609576751759
chr1	23000000	24000000	0.1896100978112498	1	1	0.9565215191304853	0.0	-4.988108458157838	0.006772372117112039
