chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	1.244179804633473	1	0		-1.0		0.0
chr1	1000000	2000000	1.18105065581205	1	1	0.9565215191304853	0.0	-4.81249767174315	0.00806201014735327
chr1	2000000	3000000	0.5342519962152861	1	0		-1.0		0.0
chr1	3000000	4000000	0.3687845632758857	1	4	0.826086909021742	1.3219	-2.2522756497467444	0.09515335270283712
chr1	4000000	5000000	0.3609785691069658	1	0		-1.0		0.0
chr1	5000000	6000000	0.1457336120585708	1	2	0.9565216291304475	0.585	-4.420091126006617	0.01189006098579637
chr1	6000000	7000000	0.3346721287732768	2	0		-1.585		0.0
chr1	7000000	8000000	0.3323554395083765	1	0		-1.0		0.0
chr1	8000000	9000000	0.4514853441238347	1	2	0.9130433732608817	0.585	-3.8982646587829475	0.019874080472614523
chr1	9000000	10000000	0.3063713299333321	1	1	0.9565215191304853	0.0	-4.9674269037971275	0.006912915371281489
chr1	10000000	11000000	0.0827988164363042	1	0		-1.0		0.0
chr1	11000000	12000000	0.2305947304450524	1	3	0.9275361607729522	1.0	-3.6848140133600396	0.024487169807222913
chr1	12000000	13000000	0.3540226165405626	1	0		-1.0		0.0
chr1	13000000	14000000	0.3781014852437518	1	1	0.9565215191304853	0.0	-4.954721564196022	0.007000687840522151
chr1	14000000	15000000	0.4104256897211846	2	1	0.9565215191304853	-0.585	-5.5247862992495484	0.00397088973849196
chr1	15000000	16000000	0.2238677417522128	1	0		-1.0		0.0
chr1	16000000	17000000	0.5961840295491054	1	2	0.9130433732608817	0.585	-3.87263463009828	0.020379522520257792
chr1	17000000	18000000	1.6474655752567735	2	2	0.9130433732608817	0.0	-4.262214616396636	0.013895262534336478
chr1	18000000	19000000	1.021156187608666	1	6	0.8115941717874409	1.8074	-1.5029767072272024	0.1819819781074677
chr1	19000000	20000000	1.0541243187574685	4	3	0.8695651507246428	-0.3219	-4.2164743160721105	0.014536142518310024
chr1	20000000	21000000	1.099624030425673	2	3	0.8695651507246428	0.415	-3.4831162663902786	0.02979646068333278
chr1	21000000	22000000	0.8470529828700561	2	0		-1.585		0.0
chr1	22000000	23000000	1.6804738522735656	1	4	0.89130429657609	1.3219	-2.7214446596860586	0.06171975241761145
chr1	23000000	24000000	1.2246918543059753	2	0		-1.585		0.0
chr1	24000000	25000000	1.36041808205289	3	2	0.9130433732608817	-0.415	-4.72152501426246	0.008823053899580293
chr1	25000000	26000000	2.5195355864486895	1	3	0.9275361607729522	1.0	-3.2793810294703647	0.03628535477514996
chr1	26000000	27000000	1.540975179223424	1	2	0.9565216291304475	0.585	-4.17295632113001	0.015172882513671262
chr1	27000000	28000000	0.9149474984026428	3	0		-2.0		0.0
chr1	28000000	29000000	0.8846577572175152	2	3	0.9275361607729522	0.415	-4.144752082072685	0.015600143158142708
chr1	29000000	30000000	0.7341806866060043	3	2	0.9130433732608817	-0.415	-4.832448498892212	0.007904018956586732
chr1	30000000	31000000	0.6344634019463227	2	2	0.9130433732608817	0.0	-4.441644544756187	0.011639482501566947
chr1	31000000	32000000	0.6163615825879503	2	3	0.9275361607729522	0.415	-4.1922745501001755	0.014886904036077788
chr1	32000000	33000000	1.7307736644771374	2	3	0.8695651507246428	0.415	-3.3713226921949504	0.0332038224365851
chr1	33000000	34000000	1.2854385619235331	2	0		-1.585		0.0
chr1	34000000	35000000	0.9916773908649956	1	2	0.9565216291304475	0.585	-4.270251732146869	0.013785565656814104
chr1	35000000	36000000	1.2832523508596192	2	1	0.9565215191304853	-0.585	-5.370185223946249	0.004631716708227376
chr1	36000000	37000000	0.6202250583636983	1	3	0.8695651507246428	1.0	-2.992240496210248	0.047777655245802915
chr1	37000000	38000000	0.9431931840350378	3	3	0.8695651507246428	0.0	-3.9192909433289937	0.019468615557412843
chr1	38000000	39000000	0.64187080354756	1	0		-1.0		0.0
chr1	39000000	40000000	1.058261242045814	3	2	0.9130433732608817	-0.415	-4.775045116769884	0.008367104252963532
chr1	40000000	41000000	1.996408476271848	2	5	0.8521738738434801	1.0	-2.5614138309815297	0.07166342624728031
chr1	41000000	42000000	1.392921322860206	2	3	0.9275361607729522	0.415	-4.054724935464492	0.017044690042013044
chr1	42000000	43000000	1.4316124538293824	3	2	0.9565216291304475	-0.415	-5.1765841889869355	0.005615550995121688
chr1	43000000	44000000	0.8392689864743033	1	0		-1.0		0.0
chr1	44000000	45000000	0.4942463550304028	2	3	0.9275361607729522	0.415	-4.213904441041728	0.01457300153919791
chr1	45000000	46000000	0.9910530954617124	1	0		-1.0		0.0
chr1	46000000	47000000	0.4385293644922132	1	1	0.9565215191304853	0.0	-4.94401816164651	0.00707548844226715
chr1	47000000	48000000	0.0914784381150251	1	1	0.9565215191304853	0.0	-5.005490214222148	0.00665645034637404
chr1	48000000	49000000	0.4518482266388131	2	0		-1.585		0.0
chr1	49000000	50000000	0.1427994163729207	1	2	0.9130433732608817	0.585	-3.95294123832171	0.018836525820411263
chr1	50000000	51000000	0.6523263747343879	1	1	0.9565215191304853	0.0	-4.906148961321031	0.007346563371599964
chr1	51000000	52000000	0.6103263730892867	2	1	0.9565215191304853	-0.585	-5.4893785121383445	0.004113420262916276
chr1	52000000	53000000	0.5078307055940146	2	1	0.9565215191304853	-0.585	-5.507533251348568	0.004039714943724
chr1	53000000	54000000	0.7268814080142452	1	0		-1.0		0.0
chr1	54000000	55000000	0.7304501921042887	2	0		-1.585		0.0
chr1	55000000	56000000	0.37504289712466	1	0		-1.0		0.0
chr1	56000000	57000000	0.8612710358686755	1	2	0.9130433732608817	0.585	-3.8256805920851837	0.021338338715850252
