chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	1.187203716644868	1	0		-1.0		0.0
chr1	1000000	2000000	0.4132480107743572	1	0		-1.0		0.0
chr1	2000000	3000000	1.1244075536408054	1	1	0.9565215191304853	0.0	-4.822530688485291	0.00798217069768173
chr1	3000000	4000000	0.7869621736839818	2	0		-1.585		0.0
chr1	4000000	5000000	0.0521401914004004	1	0		-1.0		0.0
chr1	5000000	6000000	0.1917752447419025	1	1	0.9565215191304853	0.0	-4.987724952407416	0.0067749522592792655
chr1	6000000	7000000	1.6049841142314922	2	2	0.9130433732608817	0.0	-4.269739225631644	0.013792535187929545
chr1	7000000	8000000	0.8453546565122823	1	0		-1.0		0.0
chr1	8000000	9000000	1.198138433299737	1	1	0.9565215191304853	0.0	-4.809470966795006	0.008086250824298535
chr1	9000000	10000000	0.9540339404127692	1	2	0.9130433732608817	0.585	-3.8092497869444824	0.021684175606199153
chr1	10000000	11000000	0.5941796590826987	1	2	0.9130433732608817	0.585	-3.8729896580129965	0.020372435879599325
chr1	11000000	12000000	0.8684480020401151	1	1	0.9565215191304853	0.0	-4.867868008795837	0.007631061391327045
chr1	12000000	13000000	0.9352710733015096	1	2	0.9130433732608817	0.585	-3.812573195314468	0.021613784874275458
chr1	13000000	14000000	1.6714048202767016	1	0		-1.0		0.0
chr1	14000000	15000000	0.1902979527489146	1	2	0.9130433732608817	0.585	-3.944527970113927	0.018992648501240977
chr1	15000000	16000000	2.195680948539527	1	2	0.9130433732608817	0.585	-3.5893207092131183	0.026874878309694008
chr1	16000000	17000000	0.4574600378764413	1	0		-1.0		0.0
chr1	17000000	18000000	5.795794367901154	1	7	0.6956521510559014	2.0	0.7794270016922997	0.6855566065468688
chr1	18000000	19000000	1.3169401399333889	1	1	0.9565215191304853	0.0	-4.788427989522206	0.00825679271222879
chr1	19000000	20000000	0.6452717176768079	2	0		-1.585		0.0
chr1	20000000	21000000	0.8683474077561679	1	5	0.8869564809391324	1.585	-2.5595692790020657	0.07178623719156926
chr1	21000000	22000000	0.6434713870749995	1	1	0.9565215191304853	0.0	-4.907717417779675	0.007335134093361338
chr1	22000000	23000000	0.8650613771310436	2	2	0.9565216291304475	0.0	-4.868469054350257	0.007626511123272775
chr1	23000000	24000000	0.3569903814088788	2	0		-1.585		0.0
chr1	24000000	25000000	0.7117108691134737	1	0		-1.0		0.0
chr1	25000000	26000000	2.072872815041531	1	2	0.9130433732608817	0.585	-3.611073332431591	0.026311807403879117
chr1	26000000	27000000	1.6899216489193716	1	1	0.9565215191304853	0.0	-4.722362933394946	0.008815729137853941
chr1	27000000	28000000	0.5159880328725208	1	0		-1.0		0.0
chr1	28000000	29000000	0.7110973998856496	1	1	0.9565215191304853	0.0	-4.895739032191218	0.007422869376316633
chr1	29000000	30000000	0.3877209632729603	1	0		-1.0		0.0
chr1	30000000	31000000	1.2225602872074912	1	2	0.9130433732608817	0.585	-3.761686549236341	0.022716471184392534
