chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	1.112937460078114	1	0		-1.0		0.0
chr1	1000000	2000000	1.0309507242653972	1	2	0.9130433732608817	0.585	-3.79562575594046	0.02197508666853201
chr1	2000000	3000000	0.349020907343657	1	1	0.9565215191304853	0.0	-4.959872516629042	0.0069649708559847085
chr1	3000000	4000000	0.6252140312264096	1	0		-1.0		0.0
chr1	4000000	5000000	0.1871799307468307	1	1	0.9565215191304853	0.0	-4.988538906101346	0.006769477320602382
chr1	5000000	6000000	0.4667120451892788	1	1	0.9565215191304853	0.0	-4.939026250956005	0.007110645175838154
chr1	6000000	7000000	2.202815698953381	2	3	0.8695651507246428	0.415	-3.287711352890536	0.035995176568362874
chr1	7000000	8000000	2.266965442913393	1	3	0.8695651507246428	1.0	-2.700558487018765	0.0629404090579198
chr1	8000000	9000000	1.089753827450075	2	1	0.9565215191304853	-0.585	-5.404459016350456	0.004476358384863568
chr1	9000000	10000000	0.5596683696667761	3	3	0.8695651507246428	0.0	-3.987223502388882	0.01821327275143945
chr1	10000000	11000000	1.0564738236013516	1	2	0.9130433732608817	0.585	-3.7911049286352254	0.022072459376035757
chr1	11000000	12000000	1.1029519877222669	1	3	0.8695651507246428	1.0	-2.90673657466487	0.05182155306384752
chr1	12000000	13000000	1.495477273119107	1	0		-1.0		0.0
chr1	13000000	14000000	0.2507573951217137	1	1	0.9565215191304853	0.0	-4.977277627321669	0.006845616336935147
chr1	14000000	15000000	2.3046197694782964	3	3	0.8695651507246428	0.0	-3.6781456811282505	0.024646966017717743
chr1	15000000	16000000	1.755551588990341	3	3	0.9275361607729522	0.0	-4.398959929855964	0.012140902739457086
chr1	16000000	17000000	2.1423639684014772	2	2	0.9130433732608817	0.0	-4.17455480127796	0.015149015460199944
chr1	17000000	18000000	2.3384574541649417	3	1	0.9565215191304853	-1.0	-5.5917465887127555	0.003714659854431419
chr1	18000000	19000000	0.7781587038645585	2	0		-1.585		0.0
chr1	19000000	20000000	0.4125856674805201	2	2	0.9130433732608817	0.0	-4.48094505866296	0.011195939130261756
chr1	20000000	21000000	0.6622017064611052	3	0		-2.0		0.0
chr1	21000000	22000000	0.9790150134828948	2	3	0.8695651507246428	0.415	-3.5044793669242464	0.02918504758081584
chr1	22000000	23000000	0.8368326846225407	3	1	0.9565215191304853	-1.0	-5.857724719777778	0.0028495950496105235
chr1	23000000	24000000	1.6387257113109084	3	2	0.9130433732608817	-0.415	-4.672229248374327	0.009264761196181855
chr1	24000000	25000000	1.1112881875333875	3	1	0.9565215191304853	-1.0	-5.809111269064	0.002991121516060418
chr1	25000000	26000000	1.4587879473561831	3	3	0.8695651507246428	0.0	-3.827965244448267	0.02129068042719525
chr1	26000000	27000000	0.492016160196012	2	1	0.9565215191304853	-0.585	-5.510334432651595	0.004028460326177616
chr1	27000000	28000000	0.5905212936820652	1	2	0.9130433732608817	0.585	-3.8736376529127536	0.020359507604869265
chr1	28000000	29000000	1.2881758599920825	2	1	0.9565215191304853	-0.585	-5.369313138067076	0.00463573899166764
chr1	29000000	30000000	1.0050801453039138	1	1	0.9565215191304853	0.0	-4.843666781667845	0.00781653415729981
chr1	30000000	31000000	1.5344357242192364	2	1	0.9565215191304853	-0.585	-5.325693893251725	0.004841420683978986
chr1	31000000	32000000	2.520834174651785	2	3	0.8695651507246428	0.415	-3.2313817281227015	0.03800170218694151
chr1	32000000	33000000	1.7633268309565544	2	5	0.7826086596521756	1.0	-1.8544274269406777	0.13535390392001262
chr1	33000000	34000000	2.236277559382943	1	3	0.8695651507246428	1.0	-2.705994136505459	0.06262058095846709
chr1	34000000	35000000	0.6026318484899127	1	0		-1.0		0.0
chr1	35000000	36000000	1.3552822247231089	1	1	0.9565215191304853	0.0	-4.781636575142025	0.008312591142604407
chr1	36000000	37000000	1.9045043204719163	2	2	0.9130433732608817	0.0	-4.2166861418733665	0.014533108458962057
chr1	37000000	38000000	1.6376813150097465	3	3	0.8695651507246428	0.0	-3.7962784179164144	0.021961063913845856
