chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	0.4990144135729277	1	0		-1.0		0.0
chr1	1000000	2000000	0.2223388727937738	1	0		-1.0		0.0
chr1	2000000	3000000	0.8153288916186638	1	8	0.8260869327717398	2.1699	-1.3385311391591586	0.2077517159666413
chr1	3000000	4000000	0.4978229154446203	1	4	0.826086909021742	1.3219	-2.2294194872475	0.09713954205304848
chr1	4000000	5000000	1.1217706037389292	2	15	0.5681159333178745	2.415	1.7318291272578437	0.8496462361771439
chr1	5000000	6000000	1.532945009915934	3	12	0.7318840439432368	1.7004	-0.6602464144654343	0.3406842601295457
chr1	6000000	7000000	0.1589651344696205	1	6	0.8550724309903395	1.8074	-2.12336357882916	0.10684665791289333
chr1	7000000	8000000	0.262830881574486	2	5	0.8521738738434801	1.0	-2.8684770454717343	0.05373403659497915
chr1	8000000	9000000	0.1185098658186616	1	2	0.9130433732608817	0.585	-3.9572435709629064	0.018757175738426012
chr1	9000000	10000000	0.1900946014101987	1	0		-1.0		0.0
chr1	10000000	11000000	0.428517244354293	3	0		-2.0		0.0
chr1	11000000	12000000	0.6288523818499576	2	2	0.9130433732608817	0.0	-4.442638407316841	0.01162805464935087
chr1	12000000	13000000	0.7363611426832262	2	5	0.8521738738434801	1.0	-2.7846021012066524	0.05816194322297239
chr1	13000000	14000000	0.4999710305338118	1	2	0.9130433732608817	0.585	-3.889676539755942	0.020042060928507646
chr1	14000000	15000000	0.9718307143352428	3	13	0.5150501581116543	1.8074	1.6780331439618426	0.8426439112668748
chr1	15000000	16000000	0.4745508719373359	1	2	0.9565216291304475	0.585	-4.361848746140222	0.012594149799643914
chr1	16000000	17000000	0.2027346901202391	1	1	0.9565215191304853	0.0	-4.985783739889905	0.006788027294445595
chr1	17000000	18000000	0.7672925499932473	2	10	0.7478260697565221	1.8745	-0.7959837931912404	0.3108852792736007
chr1	18000000	19000000	2.0768096674725416	1	32	0.5543478221025815	4.0444	3.6528355839781126	0.9747372159011353
chr1	19000000	20000000	0.5168313528288158	2	4	0.89130429657609	0.737	-3.5032488364010756	0.029219932753787984
chr1	20000000	21000000	0.8633121735459555	1	7	0.819875749458741	2.0	-1.4304472511132387	0.19302900689475042
chr1	21000000	22000000	0.1508294656502085	1	2	0.9130433732608817	0.585	-3.9515189006362545	0.018862831052882275
chr1	22000000	23000000	0.4894487896919233	3	3	0.8695651507246428	0.0	-3.999661278472966	0.017992193677806436
chr1	23000000	24000000	0.2578100928368561	1	4	0.826086909021742	1.3219	-2.2719322129854413	0.09347435384228239
chr1	24000000	25000000	0.2481053856556889	2	3	0.9275361607729522	0.415	-4.257502626381179	0.013959975195494368
chr1	25000000	26000000	1.422173278368923	2	12	0.7101449139251209	2.1155	-0.03746724575490834	0.4906342841640082
chr1	26000000	27000000	0.203101767095795	1	1	0.9565215191304853	0.0	-4.985718720685444	0.006788465664727419
chr1	27000000	28000000	0.3341323361137576	1	2	0.9130433732608817	0.585	-3.919051032568518	0.019473195883142082
chr1	28000000	29000000	0.6356693054191034	2	5	0.7826086596521756	1.0	-2.0541659016964315	0.1136321164120832
chr1	29000000	30000000	0.2256054080958267	1	5	0.7826086596521756	1.585	-1.5510090250973372	0.17494058136794846
chr1	30000000	31000000	0.5661947949924548	1	4	0.89130429657609	1.3219	-2.918813447915918	0.05123134458977281
chr1	31000000	32000000	0.3633342132283439	2	2	0.9130433732608817	0.0	-4.4896688157692175	0.011099772675049236
chr1	32000000	33000000	0.1131904633614664	1	1	0.9565215191304853	0.0	-5.001644430632386	0.006681927519879306
chr1	33000000	34000000	0.3348170578848908	1	2	0.9130433732608817	0.585	-3.918929749928088	0.01947551178769639
chr1	34000000	35000000	0.5270623400433605	1	1	0.9565215191304853	0.0	-4.928336590689277	0.007186514091382444
chr1	35000000	36000000	0.2521173937913934	1	3	0.8695651507246428	1.0	-3.0574422634157052	0.04489725502759785
chr1	36000000	37000000	0.2212416654655729	1	1	0.9565215191304853	0.0	-4.982505656833565	0.0068101637365926325
chr1	37000000	38000000	0.0580342879472843	1	0		-1.0		0.0
chr1	38000000	39000000	0.8362666056330572	1	8	0.7826086731521746	2.1699	-0.8671528539237796	0.295847079030864
chr1	39000000	40000000	0.3644956471805778	1	3	0.8695651507246428	1.0	-3.0375370524634944	0.045758594524875885
chr1	40000000	41000000	0.1122018741912529	1	0		-1.0		0.0
chr1	41000000	42000000	0.3331596897170295	1	2	0.9130433732608817	0.585	-3.919223314403525	0.01946990660773101
chr1	42000000	43000000	0.1496904962195739	1	2	0.9130433732608817	0.585	-3.9517206427536236	0.018859097768927885
chr1	43000000	44000000	0.153530645506017	1	1	0.9565215191304853	0.0	-4.994499099474257	0.006729520638418665
chr1	44000000	45000000	0.0225497127623062	0	3	0.8695651507246428	2.0	-2.113848085659006	0.10775812868280217
chr1	45000000	46000000	0.4201257918037147	1	4	0.826086909021742	1.3219	-2.2431817374143206	0.09593921906945817
chr1	46000000	47000000	0.3313444413054194	1	2	0.9130433732608817	0.585	-3.919544843716128	0.01946376929479028
chr1	47000000	48000000	0.7344472513608857	2	1	0.9565215191304853	-0.585	-5.467393366515787	0.004204471397450851
chr1	48000000	49000000	0.5974067413135176	1	1	0.9565215191304853	0.0	-4.915876705396877	0.007275961817120308
chr1	49000000	50000000	0.8474534735092201	1	4	0.826086909021742	1.3219	-2.167490512523954	0.10270807514809815
chr1	50000000	51000000	0.7608709830097506	2	8	0.793478238057066	1.585	-1.5731166549195459	0.17177254172564593
chr1	51000000	52000000	0.215523801574232	1	4	0.89130429657609	1.3219	-2.98092671172184	0.04829501679785205
chr1	52000000	53000000	0.2720984485413051	1	1	0.9565215191304853	0.0	-4.973497552819281	0.006871364100401598
chr1	53000000	54000000	0.4151356757443398	1	3	0.9275361607729522	1.0	-3.6521268489423706	0.025280242271798425
chr1	54000000	55000000	0.5049094393685274	2	2	0.9130433732608817	0.0	-4.464592035725592	0.011378431415095088
chr1	55000000	56000000	1.066891214021767	1	10	0.565217378304348	2.4594	1.7969875367072587	0.8577818341387773
chr1	56000000	57000000	0.5017295761163467	2	9	0.8888888661728401	1.737	-2.495685637976595	0.07616118683618141
chr1	57000000	58000000	0.9682881633362554	2	5	0.8521738738434801	1.0	-2.7435215884527437	0.06045357094825232
chr1	58000000	59000000	0.3871460360050798	4	1	0.9565215191304853	-1.3219	-6.254208579086525	0.0019186584128546864
chr1	59000000	60000000	0.494137099899099	2	4	0.89130429657609	0.737	-3.507268598929369	0.029106123183460467
chr1	60000000	61000000	0.8496005436106646	1	4	0.89130429657609	1.3219	-2.8686146679813502	0.053727039375662554
chr1	61000000	62000000	0.495904990486228	2	3	0.8695651507246428	0.415	-3.59005114465577	0.026855782109947764
chr1	62000000	63000000	0.7447266761700466	4	3	0.8695651507246428	-0.3219	-4.271276959449127	0.013771634100415472
chr1	63000000	64000000	0.4998756070181569	2	5	0.8521738738434801	1.0	-2.8264900495649323	0.055909376939057044
chr1	64000000	65000000	0.4564379892301566	2	4	0.89130429657609	0.737	-3.51394612530075	0.028918015440491267
chr1	65000000	66000000	0.7803556700145156	2	4	0.826086909021742	0.737	-2.7550671333450074	0.059801114609726876
chr1	66000000	67000000	1.004816869467115	1	9	0.7826086756521745	2.3219	-0.6876910643568461	0.3345469041540068
chr1	67000000	68000000	0.2847282951441854	1	3	0.9275361607729522	1.0	-3.67522550319518	0.024717263145517344
chr1	68000000	69000000	0.5869164327618712	1	3	0.8695651507246428	1.0	-2.998140349599466	0.04750995671389576
chr1	69000000	70000000	0.5448569103564878	1	3	0.8695651507246428	1.0	-3.0055902221573625	0.04717396359806463
chr1	70000000	71000000	0.5636446156608574	2	7	0.7701863100976052	1.415	-1.524837054576647	0.17875034257614514
chr1	71000000	72000000	0.4538273321323949	3	2	0.9130433732608817	-0.415	-4.882106617733328	0.00752398731841689
chr1	72000000	73000000	0.563207754654079	3	0		-2.0		0.0
chr1	73000000	74000000	0.5094468347258281	1	1	0.9565215191304853	0.0	-4.931456770428687	0.007164286217566561
chr1	74000000	75000000	0.5213206971263307	2	6	0.8115941717874409	1.2224	-2.167301236048427	0.10272552001450701
chr1	75000000	76000000	0.1676110370167229	1	1	0.9565215191304853	0.0	-4.992005083462638	0.0067462117506779905
chr1	76000000	77000000	0.3893777987420148	1	4	0.826086909021742	1.3219	-2.2486280339155718	0.0954678735913999
chr1	77000000	78000000	1.0553234528626851	1	5	0.8521738738434801	1.585	-2.152315076982137	0.10411508600724623
chr1	78000000	79000000	0.6606064297658132	1	1	0.9565215191304853	0.0	-4.904682340892916	0.007357266566610006
chr1	79000000	80000000	0.3115748348301297	3	1	0.9565215191304853	-1.0	-5.950762011149571	0.0025970931397390315
chr1	80000000	81000000	1.5117817409242442	1	5	0.8869564809391324	1.585	-2.445599754211085	0.07976092671206314
chr1	81000000	82000000	0.2982773992359435	2	2	0.9130433732608817	0.0	-4.501192127151472	0.010973996251935684
chr1	82000000	83000000	0.3750899779440009	1	1	0.9565215191304853	0.0	-4.955254983129648	0.006996980658728964
chr1	83000000	84000000	0.4634604756960958	1	1	0.9565215191304853	0.0	-4.93960219136027	0.0071065801423353765
chr1	84000000	85000000	0.679514150992957	2	4	0.826086909021742	0.737	-2.772928878374217	0.05880470006411265
chr1	85000000	86000000	0.7241702621883013	1	7	0.819875749458741	2.0	-1.455093025667825	0.18921898167930562
chr1	86000000	87000000	0.4915098275425289	2	1	0.9565215191304853	-0.585	-5.51042411778173	0.0040281005046490514
chr1	87000000	88000000	0.3839827996510476	1	1	0.9565215191304853	0.0	-4.953679825243663	0.007007933394989946
chr1	88000000	89000000	0.4877267306479025	1	3	0.8695651507246428	1.0	-3.0157095134307266	0.04672119439530097
chr1	89000000	90000000	0.4246636630290084	1	1	0.9565215191304853	0.0	-4.946474150276888	0.007058254947943167
chr1	90000000	91000000	0.9072671783783606	1	4	0.89130429657609	1.3219	-2.8584003560897084	0.054248712980010674
chr1	91000000	92000000	0.5588566675073348	1	3	0.8695651507246428	1.0	-3.0031104886594386	0.047285549340550646
chr1	92000000	93000000	0.2070071439922354	1	1	0.9565215191304853	0.0	-4.985026973406704	0.006793131281022269
chr1	93000000	94000000	0.6414331427975029	1	7	0.7701863100976052	2.0	-0.9352683934057433	0.2818570951409946
chr1	94000000	95000000	0.8578965210030876	1	8	0.793478238057066	2.1699	-0.9802390274486203	0.27284435796311973
chr1	95000000	96000000	0.6710613765104725	1	1	0.9565215191304853	0.0	-4.902830488651309	0.007370803243258424
chr1	96000000	97000000	1.0910573006260904	2	7	0.7701863100976052	1.415	-1.431418083944065	0.19287782648685808
chr1	97000000	98000000	0.3118783207820041	1	3	0.8695651507246428	1.0	-3.046856996047933	0.0453533600548264
chr1	98000000	99000000	0.2805516725439623	1	1	0.9565215191304853	0.0	-4.9720002595091914	0.006881589400255269
chr1	99000000	100000000	0.1773091405375457	1	0		-1.0		0.0
chr1	100000000	101000000	0.4262700725967678	1	2	0.9130433732608817	0.585	-3.902730961504573	0.019787267214620145
chr1	101000000	102000000	0.700719313995593	1	4	0.826086909021742	1.3219	-2.1934810784112795	0.10033741976140634
chr1	102000000	103000000	0.5770050489974112	1	1	0.9565215191304853	0.0	-4.919490393784859	0.0072499064868837395
chr1	103000000	104000000	0.595344200566831	1	0		-1.0		0.0
chr1	104000000	105000000	0.6448202957704696	2	4	0.826086909021742	0.737	-2.7790740931833264	0.05846550336973874
chr1	105000000	106000000	0.4806495273733042	1	2	0.9130433732608817	0.585	-3.893098897594088	0.019974954824455465
chr1	106000000	107000000	0.6659206165593781	3	2	0.9130433732608817	-0.415	-4.844539193069361	0.00780977113093332
chr1	107000000	108000000	0.4234279318008016	2	3	0.8695651507246428	0.415	-3.602888780931652	0.026522306403755885
chr1	108000000	109000000	0.1497972533957532	1	0		-1.0		0.0
chr1	109000000	110000000	0.2639143449321572	1	2	0.9130433732608817	0.585	-3.9314885272345883	0.01923712839002719
chr1	110000000	111000000	0.4811755751263664	1	3	0.9275361607729522	1.0	-3.640429406698723	0.025570086924137734
chr1	111000000	112000000	0.6624534486146345	1	3	0.8695651507246428	1.0	-2.984760712615408	0.0481191009901823
chr1	112000000	113000000	0.4652988311932802	1	4	0.826086909021742	1.3219	-2.235180377264258	0.09663546339271045
chr1	113000000	114000000	0.3971930466263824	1	3	0.8695651507246428	1.0	-3.031745463664695	0.04601214911357749
chr1	114000000	115000000	0.600407139488353	1	6	0.7391304064492765	1.8074	-0.7980532650066818	0.3104420982960076
chr1	115000000	116000000	0.4265252377034363	1	3	0.8695651507246428	1.0	-3.0265499437712036	0.046240745297918856
chr1	116000000	117000000	0.309807108958696	1	6	0.913043443260871	1.8074	-2.7202049397778314	0.0617915841440475
chr1	117000000	118000000	0.2328462553088801	2	0		-1.585		0.0
chr1	118000000	119000000	0.5487205240429289	1	3	0.8695651507246428	1.0	-3.004905872266284	0.04720473368859652
chr1	119000000	120000000	0.6134996775920638	2	1	0.9565215191304853	-0.585	-5.488816434568722	0.004115723455601551
chr1	120000000	121000000	0.0	0	0		0.0		0.0
chr1	121000000	122000000	0.7843649225703064	1	1	0.9565215191304853	0.0	-4.882761383482501	0.0075190995120440265
chr1	122000000	123000000	0.0	0	0		0.0		0.0
chr1	123000000	124000000	0.0	0	0		0.0		0.0
chr1	124000000	125000000	0.7529050067029761	1	0		-1.0		0.0
chr1	125000000	126000000	0.7517574300824279	1	1	0.9565215191304853	0.0	-4.888537047341114	0.007476120627419775
chr1	126000000	127000000	0.0	0	0		0.0		0.0
chr1	127000000	128000000	0.0	0	0		0.0		0.0
chr1	128000000	129000000	0.0	0	0		0.0		0.0
chr1	129000000	130000000	0.0	0	0		0.0		0.0
chr1	130000000	131000000	0.0	0	0		0.0		0.0
chr1	131000000	132000000	0.0	0	0		0.0		0.0
chr1	132000000	133000000	0.0	0	0		0.0		0.0
chr1	133000000	134000000	0.0	0	0		0.0		0.0
chr1	134000000	135000000	0.0	0	0		0.0		0.0
chr1	135000000	136000000	0.0	0	0		0.0		0.0
chr1	136000000	137000000	0.0	0	0		0.0		0.0
chr1	137000000	138000000	0.0	0	0		0.0		0.0
chr1	138000000	139000000	0.0	0	0		0.0		0.0
chr1	139000000	140000000	0.0	0	0		0.0		0.0
chr1	140000000	141000000	0.0	0	0		0.0		0.0
chr1	141000000	142000000	0.0	0	0		0.0		0.0
chr1	142000000	143000000	0.0	0	0		0.0		0.0
chr1	143000000	144000000	0.2989260194482295	1	0		-1.0		0.0
chr1	144000000	145000000	0.0	0	0		0.0		0.0
chr1	145000000	146000000	0.9306012032869496	1	0		-1.0		0.0
chr1	146000000	147000000	0.1161063930318946	0	1	0.9565215191304853	1.0	-4.016871153055731	0.01769063044380135
chr1	147000000	148000000	0.8281915431826525	1	4	0.826086909021742	1.3219	-2.1709023184110707	0.1023940720283952
chr1	148000000	149000000	1.0567247725553894	1	0		-1.0		0.0
chr1	149000000	150000000	1.3611080139751068	1	0		-1.0		0.0
chr1	150000000	151000000	1.026498639858176	2	4	0.826086909021742	0.737	-2.711468593668706	0.06230000286038257
chr1	151000000	152000000	0.0826327352648008	1	2	0.9130433732608817	0.585	-3.963598375655959	0.018640570366826297
chr1	152000000	153000000	0.5408526106945386	2	5	0.8521738738434801	1.0	-2.819231920186972	0.05629372371046764
chr1	153000000	154000000	0.1260808057300728	1	3	0.8695651507246428	1.0	-3.0797667327627165	0.04394961578726907
chr1	154000000	155000000	0.1086581329956088	1	0		-1.0		0.0
chr1	155000000	156000000	0.045692297157867	1	0		-1.0		0.0
chr1	156000000	157000000	1.3092091909843702	3	10	0.7652173737043483	1.4594	-1.295628636855005	0.2149016294323434
chr1	157000000	158000000	0.8711812200625606	4	7	0.819875749458741	0.6781	-2.7301424794192437	0.061217973968216516
chr1	158000000	159000000	1.1406744514651992	3	1	0.9565215191304853	-1.0	-5.803906171413707	0.0030066842519722884
chr1	159000000	160000000	0.892661828702412	4	5	0.8869564809391324	0.263	-3.8564500148969616	0.020705155988840016
chr1	160000000	161000000	0.7943610058181965	3	4	0.826086909021742	0.3219	-3.161151404421262	0.04065412346830133
chr1	161000000	162000000	0.4122370513848059	3	2	0.9130433732608817	-0.415	-4.889473374973943	0.007469176065756713
chr1	162000000	163000000	0.4528470622599032	2	1	0.9565215191304853	-0.585	-5.517272333301518	0.004000719428071687
chr1	163000000	164000000	0.5048666514833231	1	1	0.9565215191304853	0.0	-4.932268044059414	0.00715851796791907
chr1	164000000	165000000	0.2736313774027321	2	1	0.9565215191304853	-0.585	-5.54901625087846	0.0038762000150050183
chr1	165000000	166000000	0.52412612846181	1	4	0.826086909021742	1.3219	-2.224760480829107	0.09754892063034516
chr1	166000000	167000000	0.510304966774406	1	1	0.9565215191304853	0.0	-4.931304772164462	0.007165367456015265
chr1	167000000	168000000	0.432032989602003	2	2	0.9130433732608817	0.0	-4.4775004149030755	0.011234137648497863
chr1	168000000	169000000	0.7155829492432821	1	3	0.8695651507246428	1.0	-2.975350049200518	0.04855198138155047
chr1	169000000	170000000	0.3496039680755771	2	1	0.9565215191304853	-0.585	-5.535559461879508	0.003928507460830099
chr1	170000000	171000000	0.360344915541225	2	2	0.9130433732608817	0.0	-4.490198300783146	0.011093962251189386
chr1	171000000	172000000	0.24355656526332	1	1	0.9565215191304853	0.0	-4.978553087947187	0.006836950246203623
chr1	172000000	173000000	0.6862659247037621	3	4	0.826086909021742	0.3219	-3.1802979503728857	0.03991391469262056
chr1	173000000	174000000	0.3859499084450291	1	3	0.8695651507246428	1.0	-3.033736925807194	0.045924812810186864
chr1	174000000	175000000	0.3238925200691773	2	3	0.8695651507246428	0.415	-3.620519179233641	0.02607088931950705
chr1	175000000	176000000	0.5908059221182813	1	5	0.8521738738434801	1.585	-2.23459362431323	0.09668669731910715
chr1	176000000	177000000	1.0240483620998972	1	10	0.7043478098869569	2.4594	0.29285601725544996	0.5726951890256575
chr1	177000000	178000000	1.137559046495641	1	4	0.826086909021742	1.3219	-2.116105013510116	0.10754132540772676
chr1	178000000	179000000	0.9773014290840352	2	3	0.956521665797107	0.415	-4.4401221499656724	0.011657009166066577
chr1	179000000	180000000	0.5369844225457778	3	2	0.9130433732608817	-0.415	-4.86737726061191	0.00763477864118057
