chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	2.147354884486395	1	0		-1.0		0.0
chr1	1000000	2000000	1.7562063575820623	4	4	0.826086909021742	0.0	-3.3076149850192973	0.035310872411488434
chr1	2000000	3000000	1.3792750515832497	4	6	0.7391304064492765	0.4854	-1.961282284817094	0.123328341927082
chr1	3000000	4000000	0.950656630859768	3	4	0.826086909021742	0.3219	-3.1334672458449058	0.04174767994408684
chr1	4000000	5000000	0.765647008373818	1	4	0.89130429657609	1.3219	-2.883485096900422	0.05297601797819105
chr1	5000000	6000000	0.6935292573088461	2	3	0.8695651507246428	0.415	-3.555046572136236	0.02778592101064912
chr1	6000000	7000000	1.6628525508902618	4	4	0.89130429657609	0.0	-4.025654914137165	0.01753863403304602
chr1	7000000	8000000	1.7563566915720623	4	3	0.8695651507246428	-0.3219	-4.0920900771576845	0.01642983517579284
chr1	8000000	9000000	1.668199548342419	5	2	0.9130433732608817	-1.0	-5.242798860159707	0.005257653869605743
chr1	9000000	10000000	2.374651732668802	5	1	0.9565215191304853	-1.585	-6.16112582957525	0.0021054343660149456
chr1	10000000	11000000	0.6801502085197049	3	3	0.8695651507246428	0.0	-3.9658829285149277	0.018598824739506508
chr1	11000000	12000000	0.9106572471202852	2	2	0.9130433732608817	0.0	-4.392723186877002	0.012215931166164434
chr1	12000000	13000000	0.7213799770803839	1	4	0.826086909021742	1.3219	-2.1898215193354575	0.10066825100848836
chr1	13000000	14000000	0.5901322168831644	4	2	0.9130433732608817	-0.737	-5.17489404262896	0.005624996690816345
chr1	14000000	15000000	1.0051710844626744	2	4	0.826086909021742	0.737	-2.7152462773080153	0.06207968001004021
chr1	15000000	16000000	0.8616022558174983	3	4	0.826086909021742	0.3219	-3.1492411706744257	0.041121188603641064
chr1	16000000	17000000	0.6493901678620149	2	4	0.9130434257608727	0.737	-3.7136039250216886	0.02380878334966153
chr1	17000000	18000000	1.679902088545945	1	6	0.8550724309903395	1.8074	-1.853964740505372	0.13540806274205852
chr1	18000000	19000000	0.6189975662361484	2	3	0.8695651507246428	0.415	-3.5682481390647522	0.027431510214303928
chr1	19000000	20000000	1.1875244963689662	2	4	0.9347825549456553	0.737	-3.8521206827439904	0.020793121880782767
chr1	20000000	21000000	1.0833802383514215	4	4	0.89130429657609	0.0	-4.12829504489365	0.015854895316218726
chr1	21000000	22000000	1.3308709213937997	3	5	0.8521738738434801	0.585	-3.0877649978015436	0.04361476749216224
chr1	22000000	23000000	1.436281765985981	1	7	0.8322981092990249	2.0	-1.462578827274231	0.18807321714689576
chr1	23000000	24000000	0.3426257422614043	2	1	0.9565215191304853	-0.585	-5.536795493342128	0.003923673742350233
chr1	24000000	25000000	0.6895446131855123	1	6	0.8695651840579723	1.8074	-2.1852735666919694	0.10108074449031604
chr1	25000000	26000000	0.833542238420371	1	1	0.9565215191304853	0.0	-4.87405075828112	0.007584382738655491
chr1	26000000	27000000	0.9701605347754524	2	4	0.89130429657609	0.737	-3.4229520465391543	0.03158580578944412
chr1	27000000	28000000	1.2758247027017502	3	3	0.9275361607729522	0.0	-4.483932463091125	0.011162915048597196
chr1	28000000	29000000	1.2184404367241068	1	1	0.9565215191304853	0.0	-4.805874935990762	0.008115145177213234
chr1	29000000	30000000	1.3192470437831276	3	6	0.7391304064492765	0.8074	-1.6549841736393027	0.1604364615608989
chr1	30000000	31000000	1.6191211192724122	6	6	0.7391304064492765	0.0	-2.3965573407607543	0.08343559346697009
chr1	31000000	32000000	0.9881665295382588	7	2	0.9130433732608817	-1.415	-5.771717563478977	0.003104734335442158
chr1	32000000	33000000	0.9146098222883112	1	2	0.9565216291304475	0.585	-4.283902471180695	0.013601203219622734
chr1	33000000	34000000	0.8546052642596424	5	4	0.89130429657609	-0.263	-4.427676780678145	0.011801268691160419
chr1	34000000	35000000	0.9268208096651204	1	5	0.7826086596521756	1.585	-1.4268049191406629	0.1935970030525551
chr1	35000000	36000000	0.4385995564805069	2	3	0.8695651507246428	0.415	-3.600201478178409	0.026591777886217974
chr1	36000000	37000000	0.6810080958007307	4	5	0.7826086596521756	0.263	-2.7715324353525723	0.058882036221869195
chr1	37000000	38000000	0.9611508832775648	2	5	0.9043477844869585	1.0	-3.30598936660565	0.035366289351180656
chr1	38000000	39000000	0.2311640807615136	1	1	0.9565215191304853	0.0	-4.980748130233315	0.0068220615792819956
chr1	39000000	40000000	0.603101654886089	2	2	0.9130433732608817	0.0	-4.447199553596749	0.011575750710858847
chr1	40000000	41000000	0.999410306293004	1	5	0.8521738738434801	1.585	-2.162218798955969	0.10319493021163022
chr1	41000000	42000000	0.4821889658555052	2	3	0.9275361607729522	0.415	-4.216040128933478	0.014542363492110442
chr1	42000000	43000000	0.6091258036138565	2	4	0.826086909021742	0.737	-2.785396547704388	0.05811843940659091
chr1	43000000	44000000	0.984704794033775	1	7	0.819875749458741	2.0	-1.4089453533173764	0.19640045512671309
chr1	44000000	45000000	1.0167417385885127	1	2	0.9565216291304475	0.585	-4.265812162089766	0.013846054407989535
chr1	45000000	46000000	0.8478928237989658	1	4	0.826086909021742	1.3219	-2.1674126917718457	0.10271524726237256
chr1	46000000	47000000	0.7856540599743456	2	4	0.826086909021742	0.737	-2.7541286459893417	0.05985390281025541
chr1	47000000	48000000	1.8781881138073049	4	5	0.8521738738434801	0.263	-3.307751089332003	0.03530623644539393
chr1	48000000	49000000	0.7699582033754124	3	2	0.9130433732608817	-0.415	-4.826111338479378	0.007953867372952401
chr1	49000000	50000000	1.0605657235208104	5	4	0.826086909021742	-0.263	-3.6896911849707354	0.024370935929789117
chr1	50000000	51000000	1.809415089010978	3	5	0.9043477844869585	0.585	-3.5642055297568875	0.027539569368932787
chr1	51000000	52000000	2.4037257623609243	4	6	0.8695651840579723	0.4854	-3.182833458098978	0.03981686528824574
chr1	52000000	53000000	1.4231570077433378	5	7	0.7701863100976052	0.415	-2.35685108240592	0.08652275029632733
chr1	53000000	54000000	2.736852869311391	7	8	0.728260848627718	0.1699	-1.9144344224482452	0.12848348698682852
chr1	54000000	55000000	2.294307485223396	5	8	0.6521738942934788	0.585	-0.7658342262578879	0.3173809349290732
chr1	55000000	56000000	2.5209443619102108	6	4	0.826086909021742	-0.4854	-3.649917562651426	0.025334738763581437
chr1	56000000	57000000	2.1838524315793073	4	13	0.8026755710830976	1.4854	-1.518030561474153	0.1797517123392874
chr1	57000000	58000000	0.6440458469549566	2	2	0.9130433732608817	0.0	-4.439947236036907	0.01165902454315168
chr1	58000000	59000000	1.452867616893966	2	4	0.826086909021742	0.737	-2.6359471811585466	0.06686044802402215
chr1	59000000	60000000	1.593004144437229	4	3	0.8695651507246428	-0.3219	-4.121024206424129	0.01596874624205656
chr1	60000000	61000000	0.8091834504598552	4	0		-2.3219		0.0
chr1	61000000	62000000	0.9372733696407818	3	2	0.9130433732608817	-0.415	-4.796475322795075	0.008191156265615103
chr1	62000000	63000000	1.2551406491840638	8	4	0.89130429657609	-0.848	-4.932521413080875	0.007156717429808922
chr1	63000000	64000000	0.8227840434269593	6	3	0.8695651507246428	-0.8074	-4.735307571029241	0.00870333493265642
chr1	64000000	65000000	1.1878523266376386	5	1	0.9565215191304853	-1.585	-6.37133992191567	0.0017069479489176648
chr1	65000000	66000000	1.4085407387315088	1	1	0.9565215191304853	0.0	-4.772203059987922	0.008390718048856367
chr1	66000000	67000000	1.412838640811549	3	6	0.8985506901932381	0.8074	-3.3531952959658007	0.03379068578940138
chr1	67000000	68000000	2.043935044330055	2	6	0.8550724309903395	1.2224	-2.365274934797462	0.0858592728106774
chr1	68000000	69000000	1.4297106136005544	5	3	0.8695651507246428	-0.585	-4.408905843242857	0.012022193395678445
chr1	69000000	70000000	1.7549723166755569	6	5	0.8521738738434801	-0.2224	-3.807334165644475	0.02172485080017981
chr1	70000000	71000000	1.3939020686275971	1	4	0.89130429657609	1.3219	-2.772204229570719	0.05884481981434139
chr1	71000000	72000000	0.9744410270309216	7	8	0.8152173678668485	0.1699	-3.161944263625527	0.04062321213593826
chr1	72000000	73000000	0.9512001773183912	2	2	0.9130433732608817	0.0	-4.385541943585924	0.012302889322003808
chr1	73000000	74000000	1.4162331017781518	3	0		-2.0		0.0
chr1	74000000	75000000	1.0269385639494044	3	4	0.89130429657609	0.3219	-3.8214601232997625	0.02142665310422352
chr1	75000000	76000000	1.3664586760711377	2	3	0.8695651507246428	0.415	-3.4358526744519233	0.031193575167992066
chr1	76000000	77000000	0.8759254968411807	7	0		-3.0		0.0
chr1	77000000	78000000	1.3588706413672416	2	5	0.8521738738434801	1.0	-2.674338927350873	0.0645046459883779
