chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	5.576733509453888	1	1	0.9565215191304853	0.0	-4.033904021797894	0.017397057667761166
chr1	1000000	2000000	1.135753156219978	2	4	0.89130429657609	0.737	-3.3936211398683795	0.03249541567852921
chr1	2000000	3000000	1.4399590840065477	1	0		-1.0		0.0
chr1	3000000	4000000	0.9616731908172924	1	2	0.9565216291304475	0.585	-4.27556628290193	0.013713497948741491
chr1	4000000	5000000	1.95901789044424	2	8	0.728260848627718	1.585	-0.659388135419829	0.340877071829812
chr1	5000000	6000000	0.3542438905552596	2	2	0.9130433732608817	0.0	-4.491278956387837	0.01108211276317233
chr1	6000000	7000000	0.2850068950539528	1	2	0.9130433732608817	0.585	-3.927752469349435	0.01930774357698616
chr1	7000000	8000000	0.8831055726213228	1	2	0.9130433732608817	0.585	-3.821813108412875	0.021419253120786453
chr1	8000000	9000000	0.6277316130456652	1	2	0.9130433732608817	0.585	-3.8670467046269987	0.020491380466010622
chr1	9000000	10000000	0.7916776667861307	1	2	0.9130433732608817	0.585	-3.838007449379056	0.021082429985004317
chr1	10000000	11000000	1.4635461182500271	3	8	0.728260848627718	1.1699	-1.155714504092134	0.23944685397763604
chr1	11000000	12000000	1.6113013783557042	2	6	0.7391304064492765	1.2224	-1.1947869295141498	0.23240389064991296
chr1	12000000	13000000	1.2246176974714214	2	3	0.8695651507246428	0.415	-3.460976526403223	0.030443196492264037
chr1	13000000	14000000	1.3451744986758003	2	3	0.9275361607729522	0.415	-4.063182182120545	0.016903573134981996
chr1	14000000	15000000	1.316535862200253	2	4	0.89130429657609	0.737	-3.361599660707401	0.03351736526400963
chr1	15000000	16000000	0.8017019903830138	1	4	0.826086909021742	1.3219	-2.1755943306163186	0.10196363521091668
chr1	16000000	17000000	1.31316672595371	1	3	0.9275361607729522	1.0	-3.493061398493097	0.029510301031736727
chr1	17000000	18000000	0.8984565056469438	1	2	0.9130433732608817	0.585	-3.8190940453292903	0.021476320183197187
chr1	18000000	19000000	0.5141022719768067	1	1	0.9565215191304853	0.0	-4.930632167289193	0.007170153970357238
chr1	19000000	20000000	0.9935604127673648	1	5	0.7826086596521756	1.585	-1.4149835405504803	0.1954492109424271
chr1	20000000	21000000	0.5978869540053071	1	2	0.9130433732608817	0.585	-3.8723329963789963	0.020385545266690303
chr1	21000000	22000000	0.684976394485227	1	4	0.89130429657609	1.3219	-2.897774032158525	0.052263710372609705
chr1	22000000	23000000	1.0778430827058632	2	3	0.8695651507246428	0.415	-3.4869742580036602	0.029685133515177105
chr1	23000000	24000000	0.5217808585484991	1	3	0.8695651507246428	1.0	-3.0096776115350155	0.046990580920507986
chr1	24000000	25000000	0.5333980749488636	1	0		-1.0		0.0
chr1	25000000	26000000	1.0073726229939828	2	2	0.9130433732608817	0.0	-4.3755922927669	0.012424381312282861
chr1	26000000	27000000	0.9586677505700804	3	3	0.8695651507246428	0.0	-3.9165499814259173	0.019521008367139287
chr1	27000000	28000000	1.497049780889388	1	4	0.826086909021742	1.3219	-2.0524295363811795	0.11380712024285929
chr1	28000000	29000000	0.621601533962231	2	0		-1.585		0.0
chr1	29000000	30000000	2.31445263355654	2	7	0.6956521510559014	1.415	-0.4130024669154775	0.3981924048932509
chr1	30000000	31000000	0.8583688190636387	1	2	0.9130433732608817	0.585	-3.826194652732961	0.021327606221223316
chr1	31000000	32000000	1.3635259848129255	2	6	0.8695651840579723	1.2224	-2.641683560851048	0.06650344257141493
chr1	32000000	33000000	0.5055777064490505	1	2	0.9130433732608817	0.585	-3.8886834466665965	0.02006157495051915
chr1	33000000	34000000	1.377168427745502	2	4	0.89130429657609	0.737	-3.350860002709939	0.03386701355385793
chr1	34000000	35000000	1.1463650276319617	2	2	0.9130433732608817	0.0	-4.3509729998731705	0.012730114944597614
chr1	35000000	36000000	1.7462090700418842	2	4	0.826086909021742	0.737	-2.5839885207430306	0.07017602792414392
chr1	36000000	37000000	0.6919599168246893	1	1	0.9565215191304853	0.0	-4.899128795120737	0.007397936036949688
chr1	37000000	38000000	1.0402753893949126	1	3	0.8695651507246428	1.0	-2.917838285839828	0.051278764742681546
chr1	38000000	39000000	3.2832807772247543	4	11	0.6640316066690624	1.263	-0.050880681735346656	0.4872825730670852
chr1	39000000	40000000	0.4827515275041909	1	1	0.9565215191304853	0.0	-4.936185227275587	0.007130731154479861
chr1	40000000	41000000	0.3200842698318951	1	0		-1.0		0.0
chr1	41000000	42000000	0.608267148564646	2	2	0.9130433732608817	0.0	-4.446284605746581	0.011586223997499829
chr1	42000000	43000000	0.5450991409597963	2	1	0.9565215191304853	-0.585	-5.500932009155867	0.0040663614956470825
chr1	43000000	44000000	0.4235983370605254	1	3	0.9275361607729522	1.0	-3.65062788403025	0.025317204788646904
chr1	44000000	45000000	1.00916225256511	1	4	0.89130429657609	1.3219	-2.8403519981066534	0.05518218274536949
chr1	45000000	46000000	0.9339491430807324	3	1	0.9565215191304853	-1.0	-5.840522783155332	0.0028988943091582875
chr1	46000000	47000000	1.0455635935642291	1	1	0.9565215191304853	0.0	-4.836496074227645	0.00787234284624962
chr1	47000000	48000000	4.051883866824436	1	8	0.7826086731521746	2.1699	-0.2975805568360421	0.42614904243627005
chr1	48000000	49000000	0.9124941038194678	1	2	0.9130433732608817	0.585	-3.816607609168739	0.02152863507583485
chr1	49000000	50000000	0.221157445996861	1	0		-1.0		0.0
chr1	50000000	51000000	0.8624621774260972	2	1	0.9565215191304853	-0.585	-5.444718480303282	0.0043004817155401455
chr1	51000000	52000000	0.4028748950162506	1	1	0.9565215191304853	0.0	-4.950333527074467	0.007031258146234129
chr1	52000000	53000000	0.5482188685008302	2	1	0.9565215191304853	-0.585	-5.500379421507057	0.004068599992981013
chr1	53000000	54000000	0.5877830859929847	1	1	0.9565215191304853	0.0	-4.917581313570695	0.007263659729963392
chr1	54000000	55000000	0.845009025629821	1	3	0.9275361607729522	1.0	-3.575984717754668	0.027225858758167448
chr1	55000000	56000000	0.4761225240055262	1	1	0.9565215191304853	0.0	-4.937359402074219	0.007122422942350965
chr1	56000000	57000000	0.8118030903744224	1	5	0.8521738738434801	1.585	-2.1954490823639494	0.10015990807188775
chr1	57000000	58000000	1.2333367096174013	1	3	0.8695651507246428	1.0	-2.8836419338780983	0.052968150087741216
chr1	58000000	59000000	0.5585250552081069	2	2	0.9130433732608817	0.0	-4.455095268233366	0.01148575741947181
chr1	59000000	60000000	1.1461314240632543	1	7	0.7701863100976052	2.0	-0.8458727545447102	0.3002993574994835
chr1	60000000	61000000	0.6635362499057118	1	1	0.9565215191304853	0.0	-4.904163390952177	0.007361057498317541
chr1	61000000	62000000	0.2896234255058618	1	0		-1.0		0.0
chr1	62000000	63000000	0.7150265406754173	1	5	0.8521738738434801	1.585	-2.212590812003709	0.09862551419383019
chr1	63000000	64000000	0.6164866690245132	1	2	0.9130433732608817	0.585	-3.8690384866322916	0.020451440604605707
chr1	64000000	65000000	0.161923431021334	1	1	0.9565215191304853	0.0	-4.993012511445695	0.006739464630945079
chr1	65000000	66000000	0.7660540111474248	1	3	0.8695651507246428	1.0	-2.966410266779226	0.04896662249437086
chr1	66000000	67000000	1.2416152347682634	1	3	0.8695651507246428	1.0	-2.882175584432976	0.0530417541132927
chr1	67000000	68000000	0.599685705868144	1	1	0.9565215191304853	0.0	-4.915473039484262	0.007278878084961316
chr1	68000000	69000000	1.0823129531371656	3	4	0.826086909021742	0.3219	-3.1101473704322835	0.042690621058131276
chr1	69000000	70000000	1.0424970538988585	3	4	0.826086909021742	0.3219	-3.117199836987764	0.04240332768210852
chr1	70000000	71000000	0.6507820546860819	2	4	0.826086909021742	0.737	-2.7780181053450876	0.05852365974699708
chr1	71000000	72000000	0.9475299370122752	1	4	0.89130429657609	1.3219	-2.8512687387175237	0.05461577154100862
chr1	72000000	73000000	1.1857193621917703	2	3	0.8695651507246428	0.415	-3.4678664677048534	0.030240486783951748
chr1	73000000	74000000	0.375585921572926	1	0		-1.0		0.0
chr1	74000000	75000000	1.1020895832876565	3	3	0.8695651507246428	0.0	-3.8911461176951887	0.020013218213142926
chr1	75000000	76000000	1.474066900763059	2	1	0.9565215191304853	-0.585	-5.336386835432188	0.004790174111813951
