chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	0.6289574613422333	1	1	0.9565215191304853	0.0	-4.9102882243613974	0.0073164388911591705
chr1	1000000	2000000	0.4478539694138064	1	2	0.9130433732608817	0.585	-3.898907872905517	0.019861555108062538
chr1	2000000	3000000	0.3422606151512983	2	2	0.9130433732608817	0.0	-4.493401516737554	0.011058875112284271
chr1	3000000	4000000	0.2228210306376254	1	2	0.9130433732608817	0.585	-3.9387672583510556	0.019100279609104168
chr1	4000000	5000000	0.5097813073307584	1	0		-1.0		0.0
chr1	5000000	6000000	0.0832311265804359	1	0		-1.0		0.0
chr1	6000000	7000000	1.1100368887413268	1	1	0.9565215191304853	0.0	-4.825076119720612	0.007962040035799083
chr1	7000000	8000000	0.2762380739189685	1	0		-1.0		0.0
chr1	8000000	9000000	0.1058394451698228	1	0		-1.0		0.0
chr1	9000000	10000000	0.502828578845099	3	5	0.7826086596521756	0.585	-2.4861621339879267	0.07683397745432843
chr1	10000000	11000000	0.4146391451408848	1	1	0.9565215191304853	0.0	-4.948249761992139	0.00704582157276851
chr1	11000000	12000000	0.3914392051631941	1	2	0.9130433732608817	0.585	-3.908900444861043	0.019667959420748803
chr1	12000000	13000000	0.3126865824537912	1	2	0.9130433732608817	0.585	-3.922849652299263	0.019400797312955267
chr1	13000000	14000000	0.3080057433133518	1	1	0.9565215191304853	0.0	-4.967137405231958	0.006914903099420029
chr1	14000000	15000000	0.3391783263137555	1	1	0.9565215191304853	0.0	-4.9616159024337305	0.006952923156392499
chr1	15000000	16000000	0.5523813378537472	2	1	0.9565215191304853	-0.585	-5.499642136240085	0.004071588599784545
chr1	16000000	17000000	2.7031751389803413	2	2	0.9130433732608817	0.0	-4.075220060631394	0.016704688573790535
chr1	17000000	18000000	1.7928354461645246	1	5	0.8521738738434801	1.585	-2.0216818684767652	0.11694519404649845
chr1	18000000	19000000	3.3527786435506233	5	11	0.6640316066690624	1.0	-0.2974302757951701	0.4261857934769198
chr1	19000000	20000000	2.840086981304834	3	8	0.728260848627718	1.1699	-0.9118920968461985	0.2866128118024404
chr1	20000000	21000000	2.867259877581453	5	10	0.7043478098869569	0.8745	-0.9406102357316071	0.28077709429187875
chr1	21000000	22000000	3.523784960382154	3	7	0.7701863100976052	1.0	-1.408983157162762	0.19639448871572665
chr1	22000000	23000000	2.9459360490955535	2	6	0.8115941717874409	1.2224	-1.7378366501220386	0.1495879286844465
chr1	23000000	24000000	2.554954616833085	2	5	0.7826086596521756	1.0	-1.7142088561916449	0.15261860433987895
chr1	24000000	25000000	1.111986616862875	1	2	0.9130433732608817	0.585	-3.7812721199992847	0.022285703560340396
chr1	25000000	26000000	2.188491476724703	2	5	0.8521738738434801	1.0	-2.5273907657617274	0.0739601546487997
chr1	26000000	27000000	0.1955369092531094	1	1	0.9565215191304853	0.0	-4.9870586604570715	0.006779437246391472
chr1	27000000	28000000	0.2902684492341412	1	2	0.9130433732608817	0.585	-3.926820506600998	0.01932539815708006
chr1	28000000	29000000	0.3146049940056845	1	1	0.9565215191304853	0.0	-4.965968500455493	0.006922934698720098
chr1	29000000	30000000	0.408232098541414	1	1	0.9565215191304853	0.0	-4.949384622254662	0.0070378863284974915
chr1	30000000	31000000	0.1943657811515491	1	1	0.9565215191304853	0.0	-4.987266098739929	0.006778040608492398
chr1	31000000	32000000	0.2949258923857134	1	1	0.9565215191304853	0.0	-4.9694541985979885	0.0068990116384536615
chr1	32000000	33000000	0.3589818620469072	1	0		-1.0		0.0
chr1	33000000	34000000	0.6226609010492865	1	3	0.8695651507246428	1.0	-2.9918090429615924	0.047797288020469376
chr1	34000000	35000000	0.5701621836128501	1	3	0.9275361607729522	1.0	-3.6246674851487324	0.02596576568656847
chr1	35000000	36000000	0.6053335027427247	1	2	0.9130433732608817	0.585	-3.8710140123316927	0.02041190201444896
