chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	0.8519445986810132	1	0		-1.0		0.0
chr1	1000000	2000000	0.9656864658300536	1	2	0.9130433732608817	0.585	-3.807185811312527	0.021728003980965745
chr1	2000000	3000000	0.5155856958258522	1	2	0.9130433732608817	0.585	-3.886910762595215	0.02009645400365305
chr1	3000000	4000000	0.3730807819779005	1	3	0.8695651507246428	1.0	-3.036016394204088	0.04582503956468222
chr1	4000000	5000000	0.3098169328340612	1	2	0.9130433732608817	0.585	-3.9233579444226665	0.019391129718895943
chr1	5000000	6000000	0.4382090848154374	1	0		-1.0		0.0
chr1	6000000	7000000	0.3190810911126065	1	2	0.9130433732608817	0.585	-3.9217170128432226	0.019422356839774262
chr1	7000000	8000000	0.3855230023068436	2	3	0.9275361607729522	0.415	-4.233162270791931	0.014299016739186784
chr1	8000000	9000000	0.5256895643754631	1	3	0.8695651507246428	1.0	-3.008985274613152	0.047021595201257496
chr1	9000000	10000000	0.3732235029953052	1	0		-1.0		0.0
chr1	10000000	11000000	0.6010251572426029	1	3	0.8695651507246428	1.0	-2.995641315056875	0.04762317289070104
chr1	11000000	12000000	0.1994852197152323	1	0		-1.0		0.0
chr1	12000000	13000000	0.9908690312578464	1	1	0.9565215191304853	0.0	-4.8461839521561	0.007797036568846562
chr1	13000000	14000000	2.0537338609854787	1	2	0.9130433732608817	0.585	-3.6144633559139017	0.026225096035553033
chr1	14000000	15000000	0.5513696978949092	1	4	0.9347825549456553	1.3219	-3.3891090108583937	0.032637574228356184
chr1	15000000	16000000	0.9706453743040764	1	2	0.9130433732608817	0.585	-3.806307455257941	0.021746682072851815
chr1	16000000	17000000	0.4208063794357706	1	3	0.956521665797107	1.0	-3.962902168531784	0.018653310422031104
chr1	17000000	18000000	0.3655150811862495	2	4	0.826086909021742	0.737	-2.8285465582615794	0.05580092625785393
chr1	18000000	19000000	0.6911216759346832	1	3	0.8695651507246428	1.0	-2.979682798559783	0.04835222242651655
chr1	19000000	20000000	0.4688480022303189	1	5	0.7826086596521756	1.585	-1.5079242199612208	0.1812466274107552
chr1	20000000	21000000	1.0488428043930167	1	2	0.9130433732608817	0.585	-3.792456587364039	0.02204330230271124
chr1	21000000	22000000	0.7360131430045329	1	2	0.9130433732608817	0.585	-3.847867133570711	0.020879904168618995
chr1	22000000	23000000	0.2801175820234816	1	4	0.89130429657609	1.3219	-2.9694854160328035	0.04882361466357763
chr1	23000000	24000000	0.7553133633137223	1	2	0.9130433732608817	0.585	-3.844448545497909	0.020949908149108392
chr1	24000000	25000000	0.964393810905166	1	3	0.8695651507246428	1.0	-2.931278954133491	0.05062881596915369
chr1	25000000	26000000	0.512870468562745	1	2	0.9565216291304475	0.585	-4.355061315018732	0.012678834985047004
chr1	26000000	27000000	0.7104751860327441	1	1	0.9565215191304853	0.0	-4.895849242998255	0.007422057412476434
chr1	27000000	28000000	0.8299519678312817	1	1	0.9565215191304853	0.0	-4.874686691758426	0.007579597655060082
