chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	1.1520256370997586	1	0		-1.0		0.0
chr1	1000000	2000000	0.1336432644572256	2	0		-1.585		0.0
chr1	2000000	3000000	1.3819993218831752	2	1	0.9565215191304853	-0.585	-5.352694479697817	0.004713056337345557
chr1	3000000	4000000	0.2631907968851541	1	1	0.9565215191304853	0.0	-4.975075337488086	0.006860605436609262
chr1	4000000	5000000	0.655292407400279	1	3	0.9275361607729522	1.0	-3.6095886330417386	0.026349871417089225
chr1	5000000	6000000	0.5871233203741815	3	2	0.9130433732608817	-0.415	-4.858496313381583	0.0077023601055975525
chr1	6000000	7000000	0.1619606380836029	1	0		-1.0		0.0
chr1	7000000	8000000	0.5791001710767896	2	2	0.9130433732608817	0.0	-4.451450861870207	0.01152720915974365
chr1	8000000	9000000	0.0608938999239563	2	0		-1.585		0.0
chr1	9000000	10000000	0.0525085262964086	1	1	0.9565215191304853	0.0	-5.012392833653793	0.006610964323427295
chr1	10000000	11000000	0.1104050630796864	1	0		-1.0		0.0
chr1	11000000	12000000	0.4667038945294037	2	0		-1.585		0.0
chr1	12000000	13000000	0.8624558211403892	2	2	0.9130433732608817	0.0	-4.401260955737	0.012113336340297744
chr1	13000000	14000000	1.171207743258877	2	4	0.89130429657609	0.737	-3.387341178995623	0.032693434996243886
chr1	14000000	15000000	1.9702986708127208	6	4	0.826086909021742	-0.4854	-3.747451723493585	0.023034646809061535
chr1	15000000	16000000	1.2129360211506	4	0		-2.3219		0.0
chr1	16000000	17000000	0.4714412578829989	2	1	0.9565215191304853	-0.585	-5.513978801188302	0.0040138646725643755
chr1	17000000	18000000	0.1835058821423096	2	0		-1.585		0.0
chr1	18000000	19000000	0.0343698710291997	2	0		-1.585		0.0
chr1	19000000	20000000	0.2616753443081965	1	2	0.9130433732608817	0.585	-3.931885114460301	0.019229647380996525
chr1	20000000	21000000	0.140720873856099	1	1	0.9565215191304853	0.0	-4.996768054536748	0.006714371373100013
chr1	21000000	22000000	0.3201221344076748	1	0		-1.0		0.0
chr1	22000000	23000000	0.0633307354546661	1	0		-1.0		0.0
chr1	23000000	24000000	0.0959991332299972	1	0		-1.0		0.0
chr1	24000000	25000000	0.2550261537871492	1	2	0.9130433732608817	0.585	-3.933062864923502	0.01920744773528954
chr1	25000000	26000000	0.249385881581416	2	0		-1.585		0.0
chr1	26000000	27000000	0.1164688140835648	1	3	0.8695651507246428	1.0	-3.0814692749861843	0.043878133807098124
chr1	27000000	28000000	0.485342471379671	2	0		-1.585		0.0
chr1	28000000	29000000	1.1055378109444995	4	1	0.9565215191304853	-1.3219	-6.1269620754682474	0.00217844731004298
chr1	29000000	30000000	1.3067006048644147	4	1	0.9565215191304853	-1.3219	-6.091330734635383	0.002257289378621884
chr1	30000000	31000000	1.664601595972691	2	3	0.8695651507246428	0.415	-3.383043545144707	0.032829619127984905
chr1	31000000	32000000	0.922265657692277	5	1	0.9565215191304853	-1.585	-6.418382463617615	0.0016286359951435967
chr1	32000000	33000000	1.007678071295644	4	2	0.9130433732608817	-0.737	-5.100935442422583	0.0060541698492849625
chr1	33000000	34000000	0.3750476636810291	1	0		-1.0		0.0
chr1	34000000	35000000	1.0625286231959103	2	0		-1.585		0.0
chr1	35000000	36000000	0.6812823973305062	4	0		-2.3219		0.0
chr1	36000000	37000000	1.4848514484461175	4	6	0.8115941717874409	0.4854	-2.7220312797619552	0.061685789732865405
chr1	37000000	38000000	1.3007785814021655	1	5	0.9043477844869585	1.585	-2.670041946405476	0.06476442786675736
chr1	38000000	39000000	0.4189759066411631	1	3	0.8695651507246428	1.0	-3.0278871333324453	0.046181807613386
chr1	39000000	40000000	1.712232769303057	3	0		-2.0		0.0
chr1	40000000	41000000	0.1494827065774284	2	1	0.9565215191304853	-0.585	-5.571006319309726	0.00379221218512568
chr1	41000000	42000000	0.3364008271084957	2	1	0.9565215191304853	-0.585	-5.53789809322726	0.003919366831099134
chr1	42000000	43000000	0.260591309338126	1	1	0.9565215191304853	0.0	-4.975535776642733	0.006857468929381847
chr1	43000000	44000000	0.0846350836119	2	0		-1.585		0.0
chr1	44000000	45000000	1.2901193827103263	4	3	0.956521665797107	-0.3219	-5.1100125046043186	0.0059997926521247495
chr1	45000000	46000000	0.7528742094934757	1	2	0.9130433732608817	0.585	-3.8448805852375614	0.02094104841173095
chr1	46000000	47000000	0.3310360138720702	1	0		-1.0		0.0
chr1	47000000	48000000	1.6097184311144552	1	2	0.9130433732608817	0.585	-3.693110429801153	0.024289768648779613
chr1	48000000	49000000	0.1054046215027759	1	0		-1.0		0.0
chr1	49000000	50000000	0.1555502050681281	1	0		-1.0		0.0
chr1	50000000	51000000	0.2909500553356752	2	0		-1.585		0.0
chr1	51000000	52000000	0.2782583046727271	1	1	0.9565215191304853	0.0	-4.972406476636539	0.006878813773739204
chr1	52000000	53000000	0.0052450207873406	0	1	0.9565215191304853	1.0	-4.036507683562547	0.017352605512748327
chr1	53000000	54000000	0.1803988727193548	1	2	0.9130433732608817	0.585	-3.946281363410927	0.018960006942011724
chr1	54000000	55000000	0.1920412499000567	1	0		-1.0		0.0
chr1	55000000	56000000	0.4775629654928193	3	2	0.9130433732608817	-0.415	-4.877902398724092	0.0075554468964634846
chr1	56000000	57000000	0.8026672755504407	1	1	0.9565215191304853	0.0	-4.879519544550108	0.007543330602968549
chr1	57000000	58000000	1.4596965579531314	2	5	0.7826086596521756	1.0	-1.9082085140579492	0.12918225007205394
chr1	58000000	59000000	0.2150902347715644	1	1	0.9565215191304853	0.0	-4.983595240644751	0.006802797984386622
chr1	59000000	60000000	0.6713824663245611	1	1	0.9565215191304853	0.0	-4.902773615009913	0.007371219369464335
chr1	60000000	61000000	0.3948351324994501	2	1	0.9565215191304853	-0.585	-5.5275478062226675	0.003959982589547287
chr1	61000000	62000000	0.0037373965847575	0	1	0.9565215191304853	1.0	-4.036774724354551	0.017348052655490092
chr1	62000000	63000000	0.8579201202939801	1	2	0.9130433732608817	0.585	-3.826274129352277	0.021325947389565475
chr1	63000000	64000000	0.7534508047209507	3	0		-2.0		0.0
chr1	64000000	65000000	1.2894086763533736	5	0		-2.585		0.0
chr1	65000000	66000000	1.2389643718080574	3	0		-2.0		0.0
chr1	66000000	67000000	0.986335769286328	2	1	0.9565215191304853	-0.585	-5.422777135754647	0.004395463521661142
chr1	67000000	68000000	0.5370525147547749	2	0		-1.585		0.0
chr1	68000000	69000000	0.9792431955956004	3	1	0.9565215191304853	-1.0	-5.832499988326277	0.002922176852331557
chr1	69000000	70000000	1.084509298781701	2	1	0.9565215191304853	-0.585	-5.4053879634228705	0.004472220603869209
chr1	70000000	71000000	0.0567267047647379	1	0		-1.0		0.0
chr1	71000000	72000000	1.0742567551570814	1	1	0.9565215191304853	0.0	-4.83141374364173	0.007912137169964584
chr1	72000000	73000000	1.893292986949565	1	2	0.9130433732608817	0.585	-3.6428817495686063	0.025509054756886477
chr1	73000000	74000000	1.1432579613890308	2	1	0.9565215191304853	-0.585	-5.394981995301002	0.004518789973894184
chr1	74000000	75000000	0.7578695549781433	1	1	0.9565215191304853	0.0	-4.887454425643887	0.007484158212511464
chr1	75000000	76000000	0.5719009718785393	1	1	0.9565215191304853	0.0	-4.920394463110582	0.0072434024855797564
chr1	76000000	77000000	0.3213407391525513	1	1	0.9565215191304853	0.0	-4.9647754188402775	0.006931141971190664
chr1	77000000	78000000	0.6503621983635237	2	1	0.9565215191304853	-0.585	-5.482287090767257	0.004142572664259879
chr1	78000000	79000000	0.5787925519441086	1	0		-1.0		0.0
chr1	79000000	80000000	0.4677745054866391	3	1	0.9565215191304853	-1.0	-5.923094848675386	0.0026697560577365886
chr1	80000000	81000000	1.5665305455214558	3	3	0.8695651507246428	0.0	-3.808881132706542	0.021691997606119413
chr1	81000000	82000000	0.9049007818412456	3	0		-2.0		0.0
