chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	0.0	0	0		0.0		0.0
chr1	1000000	2000000	0.6066015560757254	1	0		-1.0		0.0
chr1	2000000	3000000	1.566851468377687	1	1	0.9565215191304853	0.0	-4.744161972192292	0.008627274188876436
chr1	3000000	4000000	1.3614816404528614	1	1	0.9565215191304853	0.0	-4.78053849189051	0.00832164807212222
chr1	4000000	5000000	0.7520760219712854	1	1	0.9565215191304853	0.0	-4.888480616149454	0.0074765393713805235
chr1	5000000	6000000	0.2692254903177042	1	2	0.9130433732608817	0.585	-3.930547780549986	0.01925488554520268
chr1	6000000	7000000	0.7733339610738916	2	0		-1.585		0.0
chr1	7000000	8000000	0.346041866466773	1	0		-1.0		0.0
chr1	8000000	9000000	0.2336164293447917	2	1	0.9565215191304853	-0.585	-5.556103974333074	0.003848929083118604
chr1	9000000	10000000	0.1741924949914346	1	0		-1.0		0.0
chr1	10000000	11000000	0.4038803572462468	1	0		-1.0		0.0
chr1	11000000	12000000	0.292376945730858	1	1	0.9565215191304853	0.0	-4.969905685601396	0.006895919002063325
chr1	12000000	13000000	0.0	0	0		0.0		0.0
chr1	13000000	14000000	2.0576796856136497	1	2	0.9565216291304475	0.585	-4.081434056906553	0.016602925637297605
chr1	14000000	15000000	0.8323946485142044	2	2	0.9130433732608817	0.0	-4.4065855978679185	0.012049783708118942
chr1	15000000	16000000	0.5395777295648876	1	2	0.9130433732608817	0.585	-3.882661128183349	0.020180311190444885
chr1	16000000	17000000	0.3387448505246748	1	0		-1.0		0.0
chr1	17000000	18000000	1.110082932549652	1	3	0.8695651507246428	1.0	-2.9054734925578183	0.05188365111152025
chr1	18000000	19000000	0.9310127487271456	2	0		-1.585		0.0
chr1	19000000	20000000	0.9985414236094026	1	1	0.9565215191304853	0.0	-4.844824965130941	0.007807557057930173
chr1	20000000	21000000	0.3297919711995831	1	1	0.9565215191304853	0.0	-4.963278478359101	0.0069414531727942305
chr1	21000000	22000000	0.5323501092434548	2	0		-1.585		0.0
chr1	22000000	23000000	0.0567556021117061	1	0		-1.0		0.0
chr1	23000000	24000000	0.2215385460568248	1	1	0.9565215191304853	0.0	-4.982453071296611	0.0068105194231046
chr1	24000000	25000000	0.2654106292358045	1	1	0.9565215191304853	0.0	-4.974682145479084	0.006863284984644693
chr1	25000000	26000000	0.7217640033899024	2	2	0.9130433732608817	0.0	-4.4261812603966115	0.011818722186549706
chr1	26000000	27000000	0.3835157532798892	1	0		-1.0		0.0
chr1	27000000	28000000	0.7551892660897943	1	0		-1.0		0.0
chr1	28000000	29000000	0.1905948857157344	1	0		-1.0		0.0
chr1	29000000	30000000	0.3481340715087047	1	1	0.9565215191304853	0.0	-4.960029599105787	0.006963884485450343
chr1	30000000	31000000	0.2519974823381998	1	1	0.9565215191304853	0.0	-4.977057974524986	0.006847109864014448
chr1	31000000	32000000	0.1053716337234655	1	1	0.9565215191304853	0.0	-5.003029355639227	0.006672741663034041
chr1	32000000	33000000	0.4192934957403902	2	2	0.9130433732608817	0.0	-4.479756921879222	0.011209100147474416
chr1	33000000	34000000	0.1250890754597939	1	0		-1.0		0.0
chr1	34000000	35000000	0.0493241606877767	1	0		-1.0		0.0
chr1	35000000	36000000	0.2246904831607388	1	1	0.9565215191304853	0.0	-4.981894778467978	0.006814296831853205
chr1	36000000	37000000	1.369707400479046	1	3	0.8695651507246428	1.0	-2.8594870170019737	0.05419298798090079
chr1	37000000	38000000	0.6580174082047563	1	0		-1.0		0.0
chr1	38000000	39000000	0.288250589490802	1	2	0.9130433732608817	0.585	-3.9271779238294364	0.019318625575417987
chr1	39000000	40000000	0.3925440034210927	1	1	0.9565215191304853	0.0	-4.952163405812784	0.007018493781026667
chr1	40000000	41000000	0.2171559185100178	1	2	0.9130433732608817	0.585	-3.939770702065183	0.0190814886998506
chr1	41000000	42000000	0.4037144110371744	2	1	0.9565215191304853	-0.585	-5.525975047196197	0.003966190866865197
chr1	42000000	43000000	0.4302076196661031	1	1	0.9565215191304853	0.0	-4.94549216645846	0.00706514045112195
chr1	43000000	44000000	0.2843226730522068	1	0		-1.0		0.0
chr1	44000000	45000000	0.319553176091178	1	0		-1.0		0.0
