chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	1.0672883286290662	1	1	0.9565215191304853	0.0	-4.832648039387231	0.007902454404361124
chr1	1000000	2000000	1.871030177586861	2	6	0.8550724309903395	1.2224	-2.395901036764611	0.08348579744486598
chr1	2000000	3000000	1.0486988153050874	2	5	0.8521738738434801	1.0	-2.7292786994419904	0.06126763451050389
chr1	3000000	4000000	0.7328062198644343	1	1	0.9565215191304853	0.0	-4.891893816340561	0.0074512537707164634
chr1	4000000	5000000	0.0242538832719159	1	1	0.9565215191304853	0.0	-5.017397490807827	0.0065781784659966576
chr1	5000000	6000000	0.5448109593710408	1	3	0.8695651507246428	1.0	-3.005598361312681	0.047173597755932856
chr1	6000000	7000000	1.8795779285598977	5	2	0.9130433732608817	-1.0	-5.205358064257726	0.005457141558436503
chr1	7000000	8000000	0.5570749876615069	2	8	0.7826086731521746	1.585	-1.492296993294886	0.18357721158079504
chr1	8000000	9000000	0.5594582803923758	1	3	0.8695651507246428	1.0	-3.003003926837848	0.04729035014237278
chr1	9000000	10000000	0.8281645288958206	3	0		-2.0		0.0
chr1	10000000	11000000	0.7772332028003532	1	2	0.9130433732608817	0.585	-3.8405659524172977	0.02102969234757886
chr1	11000000	12000000	1.1021618554695651	1	2	0.9130433732608817	0.585	-3.7830123494670955	0.02224781711754662
chr1	12000000	13000000	0.6061836168584183	1	1	0.9565215191304853	0.0	-4.914322084694439	0.007287199482738761
chr1	13000000	14000000	0.415539623896878	1	2	0.9130433732608817	0.585	-3.904631612551742	0.019750436324930256
chr1	14000000	15000000	0.2966257311434734	2	1	0.9565215191304853	-0.585	-5.544943332425687	0.0038919580863785042
chr1	15000000	16000000	1.4135722010798766	1	6	0.8115941717874409	1.8074	-1.433469277688154	0.19255870605724285
chr1	16000000	17000000	0.7465831119403576	1	4	0.89130429657609	1.3219	-2.886861825659188	0.05280686447816128
chr1	17000000	18000000	0.9129529291603636	2	2	0.9130433732608817	0.0	-4.392316559848116	0.012220838786765387
chr1	18000000	19000000	1.3835354638721054	3	6	0.8115941717874409	0.8074	-2.4230463796609367	0.08143209274219472
chr1	19000000	20000000	2.003120577119893	4	5	0.8521738738434801	0.263	-3.285622190172089	0.0360677398350024
chr1	20000000	21000000	1.160121285368919	3	6	0.8695651840579723	0.8074	-3.0861785704703877	0.043680989305387205
chr1	21000000	22000000	0.6021313895237879	1	4	0.826086909021742	1.3219	-2.210943651238032	0.09877204119164898
chr1	22000000	23000000	0.9738236873688466	1	2	0.9130433732608817	0.585	-3.8057444905372906	0.021758661676467315
chr1	23000000	24000000	0.4436943430062023	2	2	0.9130433732608817	0.0	-4.475434875597219	0.011257104696801879
chr1	24000000	25000000	0.4916214783694723	2	5	0.7826086596521756	1.0	-2.0796806458587263	0.11108749807933567
chr1	25000000	26000000	0.4996209257921942	2	1	0.9565215191304853	-0.585	-5.508987424143553	0.004033868448823093
chr1	26000000	27000000	0.6173510837225837	2	3	0.9275361607729522	0.415	-4.192099282837797	0.014889474598832336
chr1	27000000	28000000	0.7640997270127157	2	2	0.9130433732608817	0.0	-4.418682465175011	0.011906622286112301
chr1	28000000	29000000	0.713816779869406	1	4	0.826086909021742	1.3219	-2.191161164964549	0.10054703219018275
chr1	29000000	30000000	0.2948430788283169	1	4	0.826086909021742	1.3219	-2.2653726752090577	0.09403167289240548
chr1	30000000	31000000	0.0887926648653349	2	2	0.9130433732608817	0.0	-4.538297507446662	0.01057849248510475
chr1	31000000	32000000	0.5961679556374389	1	3	0.9275361607729522	1.0	-3.620061163529443	0.02608252141170189
chr1	32000000	33000000	0.600329867724875	2	2	0.9130433732608817	0.0	-4.447690511646858	0.011570134637084124
chr1	33000000	34000000	0.5736882304688784	1	2	0.9130433732608817	0.585	-3.8766192411126523	0.02030012480079366
chr1	34000000	35000000	0.4296139361861169	1	0		-1.0		0.0
chr1	35000000	36000000	0.318804720690216	1	2	0.9130433732608817	0.585	-3.9217659654776753	0.019421424552474132
chr1	36000000	37000000	1.2113731009368491	2	7	0.819875749458741	1.415	-1.9445865211821225	0.1251448436721538
chr1	37000000	38000000	0.5089377504713375	1	0		-1.0		0.0
chr1	38000000	39000000	1.5293031327258388	4	5	0.8521738738434801	0.263	-3.369548002320447	0.03326083955850227
chr1	39000000	40000000	0.6883925503407613	1	3	0.8695651507246428	1.0	-2.980166200098994	0.04832998390602327
chr1	40000000	41000000	0.6762394569510741	2	2	0.9130433732608817	0.0	-4.434244881898454	0.01172491660335787
chr1	41000000	42000000	0.8530521949400605	4	2	0.9130433732608817	-0.737	-5.128323843600783	0.005891569566525931
chr1	42000000	43000000	0.2388765191485409	1	3	0.9275361607729522	1.0	-3.6833470858519775	0.024522235562535532
chr1	43000000	44000000	0.3168482054626769	2	1	0.9565215191304853	-0.585	-5.541361388364807	0.0039058693114226214
chr1	44000000	45000000	0.6647003591717944	2	1	0.9565215191304853	-0.585	-5.479747416880647	0.004153063069866818
chr1	45000000	46000000	0.3412128770552725	1	3	0.8695651507246428	1.0	-3.041661057214583	0.045578857861064914
chr1	46000000	47000000	0.4304339757494775	1	2	0.9130433732608817	0.585	-3.9019934222730965	0.019801577395025433
chr1	47000000	48000000	0.4869777293776942	1	0		-1.0		0.0
chr1	48000000	49000000	0.073314006872688	1	0		-1.0		0.0
chr1	49000000	50000000	0.2594405325894704	1	0		-1.0		0.0
chr1	50000000	51000000	0.1764595846516403	1	1	0.9565215191304853	0.0	-4.990437767705526	0.006756721987112316
chr1	51000000	52000000	0.5348025500774125	3	4	0.826086909021742	0.3219	-3.207126187443186	0.03889843067356682
chr1	52000000	53000000	0.3918048727064227	3	1	0.9565215191304853	-1.0	-5.936551113752004	0.0026341657382102476
chr1	53000000	54000000	0.1655032706374637	1	2	0.9130433732608817	0.585	-3.948919775138803	0.018910993334099416
chr1	54000000	55000000	0.0674211314202919	1	0		-1.0		0.0
chr1	55000000	56000000	0.3287410968995221	1	0		-1.0		0.0
chr1	56000000	57000000	0.6020769705714857	1	2	0.9130433732608817	0.585	-3.8715908317597068	0.020400371552221522
chr1	57000000	58000000	0.1779156338238254	1	0		-1.0		0.0
chr1	58000000	59000000	0.3804231146057755	1	1	0.9565215191304853	0.0	-4.954310341198598	0.007003547110099928
chr1	59000000	60000000	0.7038074876707587	2	3	0.8695651507246428	0.415	-3.5532260211185873	0.02783514342994207
chr1	60000000	61000000	0.3549579313415454	1	1	0.9565215191304853	0.0	-4.958820910009948	0.00697224802352746
chr1	61000000	62000000	0.4002751270481561	1	2	0.9130433732608817	0.585	-3.9073353654638012	0.019698158617625288
chr1	62000000	63000000	0.0901661072886734	1	1	0.9565215191304853	0.0	-5.0057226633050425	0.00665491353627073
chr1	63000000	64000000	0.1808865753608048	1	2	0.9130433732608817	0.585	-3.9461949781569547	0.018961613819867097
chr1	64000000	65000000	0.3371067802410867	1	4	0.89130429657609	1.3219	-2.959391096373018	0.04929453426864189
chr1	65000000	66000000	0.5753727977606773	2	3	0.8695651507246428	0.415	-3.575975258797058	0.027226109276104048
chr1	66000000	67000000	0.4953583318606371	2	2	0.9130433732608817	0.0	-4.466283793730706	0.011359416615103844
chr1	67000000	68000000	0.3567950111417808	1	3	0.9275361607729522	1.0	-3.6624605496449822	0.025026853268919586
chr1	68000000	69000000	0.3151686019179256	1	2	0.9130433732608817	0.585	-3.9224100199012577	0.01940916282574042
chr1	69000000	70000000	0.1402027669268131	1	1	0.9565215191304853	0.0	-4.996859825207783	0.006713759355716707
chr1	70000000	71000000	0.3344569076218548	1	0		-1.0		0.0
chr1	71000000	72000000	0.5635909904457161	1	0		-1.0		0.0
chr1	72000000	73000000	0.6289650227283192	1	2	0.9130433732608817	0.585	-3.866828234601142	0.020495765942991274
chr1	73000000	74000000	0.2881768483780145	1	0		-1.0		0.0
chr1	74000000	75000000	0.3608952266502743	1	0		-1.0		0.0
chr1	75000000	76000000	0.4879646615710422	1	3	0.8695651507246428	1.0	-3.0156673694653753	0.04672307145275794
chr1	76000000	77000000	0.4055256624583876	1	1	0.9565215191304853	0.0	-4.949864004871285	0.0070345370244020156
chr1	77000000	78000000	0.5293246487178416	3	1	0.9565215191304853	-1.0	-5.912192662992601	0.002698942486960112
chr1	78000000	79000000	1.023803426218353	2	4	0.826086909021742	0.737	-2.711945988488824	0.06227211989646933
chr1	79000000	80000000	0.7829744777729157	2	5	0.7826086596521756	1.0	-2.0280741940784113	0.11628667956217091
chr1	80000000	81000000	0.2695960876726291	1	0		-1.0		0.0
chr1	81000000	82000000	0.4149129415744954	1	2	0.9130433732608817	0.585	-3.9047426148448974	0.019748287395511533
chr1	82000000	83000000	0.2052435568662498	1	0		-1.0		0.0
chr1	83000000	84000000	0.5643577753107385	1	3	0.8695651507246428	1.0	-3.002136094521825	0.047329464800801156
