chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	0.1379719687659174	0	1	0.9565215191304853	1.0	-4.012998171545065	0.01775805971823478
chr1	1000000	2000000	4.236959112359051	1	2	0.9565216291304475	0.585	-3.6954250613498045	0.02423497275992892
chr1	2000000	3000000	0.4918909968375922	1	0		-1.0		0.0
chr1	3000000	4000000	0.697378847599317	1	0		-1.0		0.0
chr1	4000000	5000000	0.6028948083799461	1	1	0.9565215191304853	0.0	-4.914904621124497	0.007282986567483341
chr1	5000000	6000000	0.4044574473361599	1	3	0.8695651507246428	1.0	-3.030458742931736	0.04606866276532536
chr1	6000000	7000000	0.3484149120060262	1	1	0.9565215191304853	0.0	-4.959979854700847	0.006964228495788099
chr1	7000000	8000000	0.8942488057896782	1	0		-1.0		0.0
chr1	8000000	9000000	0.6865495433484567	1	0		-1.0		0.0
chr1	9000000	10000000	0.4153329741903473	1	1	0.9565215191304853	0.0	-4.9481268662077875	0.007046681425638254
chr1	10000000	11000000	0.2724593895477878	1	2	0.9130433732608817	0.585	-3.9299749700245368	0.01926570555572723
chr1	11000000	12000000	0.0131157417037517	0	1	0.9565215191304853	1.0	-4.035113567214746	0.017376393279470475
chr1	12000000	13000000	0.8415394839239889	1	2	0.9130433732608817	0.585	-3.829175580590774	0.021265474791367128
chr1	13000000	14000000	0.1179527901935824	1	0		-1.0		0.0
chr1	14000000	15000000	0.6975512425974011	1	1	0.9565215191304853	0.0	-4.898138420954457	0.007405212108155511
chr1	15000000	16000000	0.9499177431559732	1	1	0.9565215191304853	0.0	-4.853437526614226	0.007741121032282464
chr1	16000000	17000000	1.5867623597253893	1	3	0.9275361607729522	1.0	-3.4446002537290044	0.030930299982870373
chr1	17000000	18000000	0.2402972997301065	1	1	0.9565215191304853	0.0	-4.979130391527117	0.006833031351601877
chr1	18000000	19000000	1.1368944519739914	1	1	0.9565215191304853	0.0	-4.82031892297048	0.00799970353739681
chr1	19000000	20000000	3.884045151078485	1	4	0.826086909021742	1.3219	-1.6296284609718867	0.16388126470241318
chr1	20000000	21000000	0.5897296901365632	1	0		-1.0		0.0
chr1	21000000	22000000	1.3177083751795196	1	0		-1.0		0.0
chr1	22000000	23000000	0.3375664246421115	1	2	0.9130433732608817	0.585	-3.918442763134496	0.019484813569324685
chr1	23000000	24000000	2.051565211882646	1	1	0.9565215191304853	0.0	-4.6583061324286295	0.009393437549414038
chr1	24000000	25000000	0.439173083388011	1	1	0.9565215191304853	0.0	-4.943904141718025	0.00707628952584909
chr1	25000000	26000000	1.2144808080282583	2	3	0.8695651507246428	0.415	-3.4627720421429684	0.030390243974932278
chr1	26000000	27000000	0.2127106298530083	2	3	0.9275361607729522	0.415	-4.263771989532913	0.013873939267747442
chr1	27000000	28000000	0.5587422679576082	1	1	0.9565215191304853	0.0	-4.92272522346238	0.00722666137268268
chr1	28000000	29000000	0.6276806072799506	1	3	0.8695651507246428	1.0	-2.990919917989223	0.0478377707790929
chr1	29000000	30000000	0.7970618588226519	2	4	0.826086909021742	0.737	-2.7521080180143764	0.05996770757781126
chr1	30000000	31000000	1.510299799475891	1	5	0.8521738738434801	1.585	-2.0717265299592675	0.11187537679934074
chr1	31000000	32000000	0.6783543140518584	1	5	0.7826086596521756	1.585	-1.470815017719172	0.18681876689638663
chr1	32000000	33000000	0.9458098159501538	1	3	0.8695651507246428	1.0	-2.9345706794340547	0.05047083125313607
chr1	33000000	34000000	0.3945851441919239	1	1	0.9565215191304853	0.0	-4.951801864888261	0.0070210138936601975
chr1	34000000	35000000	0.2889524299799149	1	0		-1.0		0.0
chr1	35000000	36000000	0.7457358413246857	1	2	0.9130433732608817	0.585	-3.8461449822180187	0.020915140782447925
chr1	36000000	37000000	0.9406860050013396	1	2	0.9130433732608817	0.585	-3.8116140652823995	0.021634076550364006
chr1	37000000	38000000	0.5872335754987215	1	1	0.9565215191304853	0.0	-4.917678646657648	0.007262957904566012
chr1	38000000	39000000	0.6818877429543013	1	3	0.8695651507246428	1.0	-2.9813183764260502	0.048277018051038664
chr1	39000000	40000000	0.7554426982942832	2	1	0.9565215191304853	-0.585	-5.463674508216771	0.004220070233438144
chr1	40000000	41000000	1.5643559145233064	2	2	0.9130433732608817	0.0	-4.276935572446177	0.01369499003471391
chr1	41000000	42000000	2.286782952717161	2	6	0.913043443260871	1.2224	-2.945819570464659	0.049934462639883416
chr1	42000000	43000000	3.8480412639851647	2	9	0.8792270306709614	1.737	-1.7990372531709111	0.14196829985120354
chr1	43000000	44000000	5.511265229331783	3	8	0.8478260625815225	1.1699	-1.7248461367372743	0.1512480031908549
chr1	44000000	45000000	2.9339767800750227	2	6	0.8695651840579723	1.2224	-2.363514489638483	0.08599754645203483
chr1	45000000	46000000	1.4358009788732595	2	3	0.8695651507246428	0.415	-3.4235702877484373	0.03156690041460059
chr1	46000000	47000000	0.7927445562150508	3	2	0.9130433732608817	-0.415	-4.822075262580123	0.007985777775716324
chr1	47000000	48000000	2.515735670313462	2	4	0.9130434257608727	0.737	-3.3830239434361955	0.032830241523903375
chr1	48000000	49000000	1.52964464190183	1	4	0.9347825549456553	1.3219	-3.2158302087552606	0.03857433065482638
chr1	49000000	50000000	1.1591063178463332	2	3	0.8695651507246428	0.415	-3.472580353584018	0.03010255306271654
chr1	50000000	51000000	1.2261996957918253	3	2	0.9565216291304475	-0.415	-5.212968312762671	0.005415993056103271
chr1	51000000	52000000	2.0661943608046487	5	3	0.8695651507246428	-0.585	-4.296167454153686	0.013437631492324251
chr1	52000000	53000000	1.123709095634274	4	2	0.9565216291304475	-0.737	-5.548052840150849	0.0038799216910717547
chr1	53000000	54000000	1.5490418409759643	3	3	0.8695651507246428	0.0	-3.8119788526190703	0.021626356793004647
chr1	54000000	55000000	0.8293041751485788	1	1	0.9565215191304853	0.0	-4.874801433264132	0.007578734601310891
chr1	55000000	56000000	0.596285227929247	1	3	0.8695651507246428	1.0	-2.996480884012928	0.047585108526640774
chr1	56000000	57000000	0.3997520892299104	2	1	0.9565215191304853	-0.585	-5.526676880950109	0.003963419265555943
chr1	57000000	58000000	0.1602599294798978	3	0		-2.0		0.0
chr1	58000000	59000000	0.8060209796197575	1	1	0.9565215191304853	0.0	-4.878925513365624	0.00754777907631784
chr1	59000000	60000000	0.3299494683299233	1	2	0.9565216291304475	0.585	-4.38746154359867	0.012279585072453646
chr1	60000000	61000000	0.2519191480160603	1	0		-1.0		0.0
chr1	61000000	62000000	0.1222561333068799	1	1	0.9565215191304853	0.0	-5.000038656674843	0.006692593937420465
chr1	62000000	63000000	0.4021489843689361	2	1	0.9565215191304853	-0.585	-5.526252326359396	0.003965095637212286
chr1	63000000	64000000	0.445495047258805	2	1	0.9565215191304853	-0.585	-5.518574572881749	0.003995533726440786
chr1	64000000	65000000	1.1317676080981292	2	3	0.9275361607729522	0.415	-4.100982281761645	0.01628675426831565
chr1	65000000	66000000	0.7207027483739226	1	3	0.9275361607729522	1.0	-3.5980027025234262	0.026648751718146763
chr1	66000000	67000000	0.8159121501470419	1	8	0.728260848627718	2.1699	-0.28617110916255406	0.4289415002672943
chr1	67000000	68000000	0.3101070319285499	1	1	0.9565215191304853	0.0	-4.966765210506595	0.006917459462183464
chr1	68000000	69000000	0.4798495516679435	4	2	0.9130433732608817	-0.737	-5.194428068557256	0.005516784389316139
chr1	69000000	70000000	0.7632545368133781	2	0		-1.585		0.0
chr1	70000000	71000000	0.8559236738467408	4	0		-2.3219		0.0
chr1	71000000	72000000	1.4597664210713828	3	0		-2.0		0.0
chr1	72000000	73000000	0.7097808596358695	3	3	0.8695651507246428	0.0	-3.960634543321788	0.01869486546799904
chr1	73000000	74000000	0.4667070383118439	1	0		-1.0		0.0
chr1	74000000	75000000	0.8654369603550238	1	3	0.9275361607729522	1.0	-3.5723663811302773	0.027321853106054866
