chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	0.3563975761848721	1	0		-1.0		0.0
chr1	1000000	2000000	1.105084424761139	1	1	0.9565215191304853	0.0	-4.825953334282023	0.00795511421833786
chr1	2000000	3000000	1.8195105700542815	1	2	0.9130433732608817	0.585	-3.655950599889481	0.025186191481484342
chr1	3000000	4000000	0.673265713469493	1	1	0.9565215191304853	0.0	-4.902440041292895	0.0073736604909441575
chr1	4000000	5000000	0.2391150573916407	1	2	0.9130433732608817	0.585	-3.9358811480048095	0.019154427326594982
chr1	5000000	6000000	0.2126691742416286	1	1	0.9565215191304853	0.0	-4.984024075576092	0.006799901165351085
chr1	6000000	7000000	0.2689496728190117	2	0		-1.585		0.0
chr1	7000000	8000000	0.1765228394590186	1	0		-1.0		0.0
chr1	8000000	9000000	0.3235854680262902	1	1	0.9565215191304853	0.0	-4.964377816987475	0.006933879241589943
chr1	9000000	10000000	0.4068573747879607	2	2	0.9130433732608817	0.0	-4.481959693354304	0.011184712094612071
chr1	10000000	11000000	0.433378043772906	1	2	0.9565216291304475	0.585	-4.369141561301478	0.012503781346164164
chr1	11000000	12000000	0.5184523211406762	1	2	0.9130433732608817	0.585	-3.8864030061575443	0.02010645547812875
chr1	12000000	13000000	0.698513626794826	3	1	0.9565215191304853	-1.0	-5.882224744842563	0.0027808199784771824
chr1	13000000	14000000	0.0813023454189227	1	0		-1.0		0.0
chr1	14000000	15000000	0.0200952694416614	1	0		-1.0		0.0
chr1	15000000	16000000	0.1457387091872135	1	2	0.9130433732608817	0.585	-3.9524206105155795	0.018846150323911733
chr1	16000000	17000000	0.4479702650855968	1	1	0.9565215191304853	0.0	-4.942345924249838	0.007087246311310314
chr1	17000000	18000000	1.083379634511004	1	0		-1.0		0.0
chr1	18000000	19000000	0.981996173032075	3	1	0.9565215191304853	-1.0	-5.832012361984284	0.0029235979632744806
chr1	19000000	20000000	0.067106281177121	1	0		-1.0		0.0
chr1	20000000	21000000	0.2392882939732299	1	0		-1.0		0.0
chr1	21000000	22000000	0.1818717851199078	1	1	0.9565215191304853	0.0	-4.989479121448021	0.006763158571019609
chr1	22000000	23000000	0.1843354828021133	1	1	0.9565215191304853	0.0	-4.989042734330337	0.006766090596860299
chr1	23000000	24000000	0.2846489320217356	2	2	0.9130433732608817	0.0	-4.503606095216224	0.010947826991560822
chr1	24000000	25000000	0.4828877954769157	1	1	0.9565215191304853	0.0	-4.936161090552855	0.007130902041705691
chr1	25000000	26000000	0.6464651320644914	1	2	0.9130433732608817	0.585	-3.863728494593465	0.020558087942666215
chr1	26000000	27000000	0.1283922891219386	1	0		-1.0		0.0
chr1	27000000	28000000	0.1447830270073655	1	0		-1.0		0.0
chr1	28000000	29000000	0.4537534484636141	1	0		-1.0		0.0
chr1	29000000	30000000	2.61758998356972	2	3	0.9275361607729522	0.415	-3.8378031796728083	0.021086646107703756
chr1	30000000	31000000	0.5996592080933763	2	2	0.9130433732608817	0.0	-4.447809303504174	0.011568776180552657
chr1	31000000	32000000	0.068214165914048	1	0		-1.0		0.0
chr1	32000000	33000000	0.4976229329899713	1	0		-1.0		0.0
chr1	33000000	34000000	0.3194102383089507	1	3	0.8695651507246428	1.0	-3.045522890892113	0.045411157097052554
chr1	34000000	35000000	0.1248620614753228	1	0		-1.0		0.0
chr1	35000000	36000000	0.289038892081785	1	1	0.9565215191304853	0.0	-4.970496944675555	0.006891871024249678
chr1	36000000	37000000	1.2632722064138826	2	2	0.9130433732608817	0.0	-4.330265594433944	0.012993010083303806
chr1	37000000	38000000	1.3507819573977562	2	1	0.9565215191304853	-0.585	-5.358223914501385	0.004687189530598755
chr1	38000000	39000000	0.4771573007538348	1	3	0.8695651507246428	1.0	-3.017581643716979	0.04663788357095906
chr1	39000000	40000000	0.0722164071313051	1	0		-1.0		0.0
chr1	40000000	41000000	0.166468252391136	1	0		-1.0		0.0
chr1	41000000	42000000	0.6327699376132885	1	2	0.9130433732608817	0.585	-3.8661542818464367	0.020509300382567333
chr1	42000000	43000000	0.4925150483488116	2	2	0.9130433732608817	0.0	-4.466787415707316	0.011353762140424512
chr1	43000000	44000000	0.2088477600114813	1	0		-1.0		0.0
chr1	44000000	45000000	0.1182379523231236	1	1	0.9565215191304853	0.0	-5.000750384591176	0.006687864171178638
chr1	45000000	46000000	0.175739427632894	1	2	0.9130433732608817	0.585	-3.9471066764458707	0.018944661779239664
chr1	46000000	47000000	0.0566669021413326	1	0		-1.0		0.0
chr1	47000000	48000000	0.2070921703436341	1	1	0.9565215191304853	0.0	-4.9850119129531905	0.0067932328944256964
chr1	48000000	49000000	0.3487791804930946	1	0		-1.0		0.0
chr1	49000000	50000000	1.0697245644365387	1	0		-1.0		0.0
chr1	50000000	51000000	0.7998103218797268	1	1	0.9565215191304853	0.0	-4.8800255878795	0.007539543089576233
chr1	51000000	52000000	1.2068467644443537	1	0		-1.0		0.0
chr1	52000000	53000000	0.3024259581696311	1	0		-1.0		0.0
chr1	53000000	54000000	0.2363405810715813	1	1	0.9565215191304853	0.0	-4.979831232812697	0.006828276847129534
chr1	54000000	55000000	0.7319458276380435	2	0		-1.585		0.0
chr1	55000000	56000000	0.3641375234462165	2	1	0.9565215191304853	-0.585	-5.5329851783610025	0.003938593698325789
chr1	56000000	57000000	0.957152915181258	5	2	0.9130433732608817	-1.0	-5.3687443416303635	0.004638364299648718
chr1	57000000	58000000	0.696908373004995	2	1	0.9565215191304853	-0.585	-5.474042511435273	0.00417672437213253
chr1	58000000	59000000	0.7374491858727419	4	0		-2.3219		0.0
chr1	59000000	60000000	0.5893173405653251	2	1	0.9565215191304853	-0.585	-5.4930997768108165	0.004098204198196015
chr1	60000000	61000000	1.4571448609136293	5	0		-2.585		0.0
chr1	61000000	62000000	2.4027995376676623	6	0		-2.8074		0.0
chr1	62000000	63000000	2.2175351804325985	4	1	0.9565215191304853	-1.3219	-5.92999743550976	0.0026514399829206895
chr1	63000000	64000000	0.5678907594279337	1	0		-1.0		0.0
chr1	64000000	65000000	0.5515986762130427	1	0		-1.0		0.0
chr1	65000000	66000000	0.3318775645846892	1	0		-1.0		0.0
chr1	66000000	67000000	0.2095558451423786	1	1	0.9565215191304853	0.0	-4.984575529888784	0.006796177841787684
chr1	67000000	68000000	0.0586500717167153	1	0		-1.0		0.0
chr1	68000000	69000000	0.1535873709666657	1	0		-1.0		0.0
chr1	69000000	70000000	0.1412651729474241	1	1	0.9565215191304853	0.0	-4.9966716445294095	0.0067150143898418125
chr1	70000000	71000000	0.8348118782783529	1	0		-1.0		0.0
chr1	71000000	72000000	0.5940369818690616	1	1	0.9565215191304853	0.0	-4.916473580420088	0.007271651843247273
chr1	72000000	73000000	0.8014077396576664	1	0		-1.0		0.0
chr1	73000000	74000000	0.5918517341199676	1	0		-1.0		0.0
chr1	74000000	75000000	0.4174558185202168	1	0		-1.0		0.0
chr1	75000000	76000000	1.283079060405696	1	0		-1.0		0.0
chr1	76000000	77000000	2.4120689734064333	3	1	0.9565215191304853	-1.0	-5.578708008962453	0.003763227413389204
chr1	77000000	78000000	0.5150158317093139	1	0		-1.0		0.0
chr1	78000000	79000000	2.128261209916653	4	2	0.9130433732608817	-0.737	-4.902450031846797	0.007373587367546548
chr1	79000000	80000000	0.3350936942852662	1	0		-1.0		0.0
chr1	80000000	81000000	0.4512851571248717	2	0		-1.585		0.0
chr1	81000000	82000000	0.6746045500669373	1	1	0.9565215191304853	0.0	-4.9022028973250995	0.0073753964191153746
chr1	82000000	83000000	1.7993712743697885	4	0		-2.3219		0.0
chr1	83000000	84000000	1.0400944528887202	5	0		-2.585		0.0
chr1	84000000	85000000	1.3723282216978636	2	2	0.9565216291304475	0.0	-4.778618453850207	0.008337507958189843
chr1	85000000	86000000	2.701482183150784	4	1	0.9565215191304853	-1.3219	-5.844277406159999	0.0028880618369495617
chr1	86000000	87000000	1.5936652557948712	5	1	0.9565215191304853	-1.585	-6.299459538314808	0.0018339280262692674
chr1	87000000	88000000	0.7030913218817192	2	1	0.9565215191304853	-0.585	-5.472947344906285	0.004181281950007129
chr1	88000000	89000000	0.8075724642612543	2	1	0.9565215191304853	-0.585	-5.454440924697117	0.004259050330703976
chr1	89000000	90000000	1.0289698622725605	3	1	0.9565215191304853	-1.0	-5.8236920583193275	0.002947952655233323
chr1	90000000	91000000	1.4924380160440367	1	1	0.9565215191304853	0.0	-4.757342595860235	0.008515269398133367
chr1	91000000	92000000	2.2654637854656055	4	2	0.9130433732608817	-0.737	-4.878147765820019	0.007553607267417253
chr1	92000000	93000000	1.0487483009982497	2	1	0.9565215191304853	-0.585	-5.411722197879033	0.004444107534503453
chr1	93000000	94000000	0.5337784272171731	1	0		-1.0		0.0
chr1	94000000	95000000	2.630355868528976	6	3	0.9275361607729522	-0.8074	-5.0386974957889255	0.006440437781577893
chr1	95000000	96000000	0.6654629146060214	2	0		-1.585		0.0
chr1	96000000	97000000	1.3403290756985975	3	1	0.9565215191304853	-1.0	-5.7685419679927215	0.0031145786304450558
chr1	97000000	98000000	1.6037291800029507	2	1	0.9565215191304853	-0.585	-5.3134201586688805	0.004900916141528018
chr1	98000000	99000000	1.7272083864878902	3	2	0.9130433732608817	-0.415	-4.656556586966125	0.009409731402877403
