chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	1.5490095871265854	2	1	0.9565215191304853	-0.585	-5.323112470184446	0.004853873843005362
chr1	1000000	2000000	1.4461230869252997	2	7	0.7701863100976052	1.415	-1.36852638412629	0.20285803558212026
chr1	2000000	3000000	1.8084421654407428	1	7	0.8695651888198768	2.0	-1.7975189126432873	0.14215335448670766
chr1	3000000	4000000	1.7468947087694429	3	6	0.8115941717874409	0.8074	-2.358685685282911	0.08637785953858831
chr1	4000000	5000000	1.2074108650816346	4	4	0.89130429657609	0.0	-4.106325885246278	0.016201362667964726
chr1	5000000	6000000	1.098594181050042	2	1	0.9565215191304853	-0.585	-5.402893151977302	0.004483341795688097
chr1	6000000	7000000	1.443925601356082	4	4	0.89130429657609	0.0	-4.064432764674762	0.01688280370185072
chr1	7000000	8000000	0.3789570518589125	1	0		-1.0		0.0
chr1	8000000	9000000	1.5951862671271075	3	4	0.89130429657609	0.3219	-3.720808172733407	0.023641915940296732
chr1	9000000	10000000	1.2470475599458362	1	4	0.89130429657609	1.3219	-2.7982161125323666	0.05742064997299219
chr1	10000000	11000000	0.6557568086008616	2	2	0.9130433732608817	0.0	-4.437872909777291	0.011682951423672223
chr1	11000000	12000000	1.5738271133095054	2	3	0.9275361607729522	0.415	-4.022681654733842	0.017589939915670354
chr1	12000000	13000000	1.7869271258923316	3	4	0.826086909021742	0.3219	-2.985341250692758	0.0480925172000506
chr1	13000000	14000000	0.1731427358652166	1	0		-1.0		0.0
chr1	14000000	15000000	0.0281787294863691	0	2	0.9130433732608817	1.585	-2.98898685654221	0.047925897410847365
chr1	15000000	16000000	0.3771986093636101	2	1	0.9565215191304853	-0.585	-5.53067170878295	0.003947680050937708
chr1	16000000	17000000	0.3176818905258272	2	2	0.9130433732608817	0.0	-4.497755069883747	0.011011363355766114
chr1	17000000	18000000	1.1617141835191052	2	7	0.7701863100976052	1.415	-1.4189028497524427	0.19483363975883353
chr1	18000000	19000000	2.0006799626303273	4	11	0.6640316066690624	1.263	-0.2780637799951471	0.43092852997122694
chr1	19000000	20000000	1.109567794494656	4	2	0.9130433732608817	-0.737	-5.082888032243364	0.006163744265408197
chr1	20000000	21000000	2.4228798804994054	2	4	0.826086909021742	0.737	-2.4641319219692956	0.07841123185526261
chr1	21000000	22000000	1.489971247954149	3	7	0.8322981092990249	1.0	-2.4373257641157187	0.08037034582099077
chr1	22000000	23000000	2.1437969605017324	2	11	0.782608679288538	2.0	-0.8027793579199924	0.3094313013967532
chr1	23000000	24000000	2.3555758515317846	5	6	0.8115941717874409	0.2224	-2.826662106144542	0.05590029588129692
chr1	24000000	25000000	0.9600539910509164	2	3	0.8695651507246428	0.415	-3.5078378739306775	0.029090040377526202
chr1	25000000	26000000	0.698324113022375	2	4	0.826086909021742	0.737	-2.769597128227665	0.05898937275357055
chr1	26000000	27000000	0.7409214756703122	1	4	0.89130429657609	1.3219	-2.8878646537054617	0.05275672721320372
chr1	27000000	28000000	1.029691197392061	1	3	0.8695651507246428	1.0	-2.919713030892555	0.0511876364834836
chr1	28000000	29000000	1.4114792236450395	2	5	0.7826086596521756	1.0	-1.9167491007107067	0.1282245225858298
chr1	29000000	30000000	0.3774452492591473	2	1	0.9565215191304853	-0.585	-5.530628022224368	0.003947851834397079
chr1	30000000	31000000	0.9991365224371972	2	7	0.819875749458741	1.415	-1.9821793270800798	0.12108671202492946
chr1	31000000	32000000	1.241019188940895	2	6	0.8695651840579723	1.2224	-2.6633828090718508	0.06516894270128634
chr1	32000000	33000000	1.7328247249934967	1	3	0.9275361607729522	1.0	-3.4187286806696537	0.031715246585496765
chr1	33000000	34000000	2.1226126902547624	4	5	0.8521738738434801	0.263	-3.264456923340277	0.03681085879092967
chr1	34000000	35000000	1.692258437340421	3	8	0.7826086731521746	1.1699	-1.699790467676693	0.15449263319050363
chr1	35000000	36000000	0.4748708807915731	2	4	0.826086909021742	0.737	-2.8091767051597234	0.056830293818155936
chr1	36000000	37000000	1.1706770309734789	4	5	0.8521738738434801	0.263	-3.4330703297553455	0.03127776888253261
chr1	37000000	38000000	1.0418141952708435	2	8	0.728260848627718	1.585	-0.8218495769172911	0.30537118715864714
chr1	38000000	39000000	1.1073122670448816	1	3	0.8695651507246428	1.0	-2.9059642519324047	0.051859515113421746
chr1	39000000	40000000	1.3234605743632142	2	1	0.9565215191304853	-0.585	-5.363063266212301	0.004664666921739678
chr1	40000000	41000000	1.020581793882119	2	4	0.826086909021742	0.737	-2.7125166262174707	0.06223880622617813
chr1	41000000	42000000	0.7779625330233246	2	5	0.8521738738434801	1.0	-2.777233376158425	0.05856691224087985
chr1	42000000	43000000	1.231812209628499	1	2	0.9130433732608817	0.585	-3.7600477849563356	0.022752880931116732
chr1	43000000	44000000	0.6902044790538446	2	6	0.7391304064492765	1.2224	-1.3579379621657708	0.20457564185397986
chr1	44000000	45000000	0.8169954620952469	3	6	0.8115941717874409	0.8074	-2.5233958503826424	0.07423423271803276
chr1	45000000	46000000	0.6693440991581237	4	4	0.826086909021742	0.0	-3.5001275208299596	0.029308602615910975
chr1	46000000	47000000	1.4818009069650957	5	7	0.7701863100976052	0.415	-2.34646367069712	0.08734726948838771
chr1	47000000	48000000	0.7478143867904645	3	3	0.9275361607729522	0.0	-4.577457290236812	0.010176381276580673
chr1	48000000	49000000	0.0590325848103625	1	0		-1.0		0.0
chr1	49000000	50000000	1.0413701942489109	2	1	0.9565215191304853	-0.585	-5.413029059009585	0.004438329256700344
chr1	50000000	51000000	0.9349537879286168	2	4	0.826086909021742	0.737	-2.727683648933324	0.06135943632772694
chr1	51000000	52000000	2.1081596974067582	5	5	0.7826086596521756	0.0	-2.777605040441771	0.058546423212598384
chr1	52000000	53000000	1.1435817155449683	2	2	0.9130433732608817	0.0	-4.3514659992975835	0.012723920386891893
chr1	53000000	54000000	1.2315909714667517	2	3	0.8695651507246428	0.415	-3.4597413720408934	0.030479674964680164
chr1	54000000	55000000	1.300001238545621	3	2	0.9130433732608817	-0.415	-4.732226462085413	0.008729957746716817
chr1	55000000	56000000	1.876290723274833	1	5	0.9043477844869585	1.585	-2.568103268377963	0.07121966600526194
chr1	56000000	57000000	0.6411389214662933	1	3	0.9275361607729522	1.0	-3.612095596041506	0.02628563020339002
chr1	57000000	58000000	0.2516110695162701	1	3	0.8695651507246428	1.0	-3.0575319470618076	0.044893409416050425
chr1	58000000	59000000	0.8696243180171881	2	1	0.9565215191304853	-0.585	-5.443449872587506	0.004305917295439381
chr1	59000000	60000000	1.278780024446074	5	2	0.9130433732608817	-1.0	-5.31177553080809	0.004908943356856505
chr1	60000000	61000000	1.499805429989948	5	1	0.9565215191304853	-1.585	-6.31608463771117	0.0018037453753391684
chr1	61000000	62000000	1.6234345882406132	2	5	0.7826086596521756	1.0	-1.8792061053580689	0.13248008853162835
chr1	62000000	63000000	1.1094469433657848	2	2	0.9130433732608817	0.0	-4.357512185463863	0.012648191402368983
chr1	63000000	64000000	1.362583248916474	2	3	0.8695651507246428	0.415	-3.4365391168259336	0.031172837185966674
chr1	64000000	65000000	0.6905225692096595	1	2	0.9130433732608817	0.585	-3.8559247376036563	0.020715809430823667
chr1	65000000	66000000	0.6002361581546438	2	0		-1.585		0.0
chr1	66000000	67000000	0.6806079415631849	1	0		-1.0		0.0
chr1	67000000	68000000	1.4482203961861044	5	5	0.7826086596521756	0.0	-2.8944980389559856	0.05242621578661952
chr1	68000000	69000000	0.9847383928610384	1	1	0.9565215191304853	0.0	-4.847269853092268	0.007788640264071681
chr1	69000000	70000000	1.3523776399269294	1	1	0.9565215191304853	0.0	-4.782151055224718	0.008308351102841748
chr1	70000000	71000000	1.0554109360993804	2	2	0.9130433732608817	0.0	-4.367083415583698	0.012529219684614413
chr1	71000000	72000000	0.6534108102813194	3	0		-2.0		0.0
chr1	72000000	73000000	0.3246021116137987	1	0		-1.0		0.0
chr1	73000000	74000000	1.0210096228953909	1	1	0.9565215191304853	0.0	-4.840845242782392	0.007838446837334801
chr1	74000000	75000000	0.8949698473659078	5	1	0.9565215191304853	-1.585	-6.423217285714166	0.0016207935658953192
chr1	75000000	76000000	0.6672583309274476	1	3	0.9275361607729522	1.0	-3.6074691461760597	0.02640430265329482
