chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	1.6959357516700544	1	0		-1.0		0.0
chr1	1000000	2000000	1.653876182930559	2	3	0.9275361607729522	0.415	-4.0085028116812	0.01783664120195091
chr1	2000000	3000000	0.3843104844985956	1	1	0.9565215191304853	0.0	-4.953621783444476	0.0070083373091119495
chr1	3000000	4000000	0.3791047103676797	1	1	0.9565215191304853	0.0	-4.954543866046049	0.00700192324910412
chr1	4000000	5000000	0.6770152387783885	1	1	0.9565215191304853	0.0	-4.901775899521749	0.007378523127665434
chr1	5000000	6000000	0.6836283729320334	1	1	0.9565215191304853	0.0	-4.900604535610907	0.0073871072436598505
chr1	6000000	7000000	0.1686350582394173	1	1	0.9565215191304853	0.0	-4.9918237017642895	0.006747427243836073
chr1	7000000	8000000	0.5510921988963173	1	0		-1.0		0.0
chr1	8000000	9000000	0.5322864799020723	1	0		-1.0		0.0
chr1	9000000	10000000	0.4411467335901395	2	1	0.9565215191304853	-0.585	-5.519344776175099	0.003992469819592791
chr1	10000000	11000000	0.9464817418675118	1	0		-1.0		0.0
chr1	11000000	12000000	0.6250033213448045	2	1	0.9565215191304853	-0.585	-5.486778829883549	0.004124083601980139
chr1	12000000	13000000	0.3929121421341457	2	3	0.9275361607729522	0.415	-4.231853455406552	0.014317475640995125
chr1	13000000	14000000	0.6758850918017116	1	0		-1.0		0.0
chr1	14000000	15000000	0.8769792677878776	1	3	0.9275361607729522	1.0	-3.5703219280675436	0.02737623773815861
chr1	15000000	16000000	0.809867802837076	3	1	0.9565215191304853	-1.0	-5.8625009255298135	0.0028360557557428525
chr1	16000000	17000000	0.131020394348345	2	0		-1.585		0.0
chr1	17000000	18000000	0.8437206654059115	1	2	0.9565216291304475	0.585	-4.296458847342565	0.013433769022535388
chr1	18000000	19000000	1.0204901629875651	3	1	0.9565215191304853	-1.0	-5.82519404111394	0.0029435412281747443
chr1	19000000	20000000	1.2109410374793788	4	0		-2.3219		0.0
chr1	20000000	21000000	0.8035765647942359	2	2	0.9565216291304475	0.0	-4.879359668174649	0.007544527600304522
chr1	21000000	22000000	0.8166516404582285	2	2	0.9130433732608817	0.0	-4.409374107983762	0.012016632776892047
chr1	22000000	23000000	1.3016443336737105	1	2	0.9130433732608817	0.585	-3.7476786377375486	0.023029540871787324
chr1	23000000	24000000	0.461786699090422	2	0		-1.585		0.0
chr1	24000000	25000000	0.8564804563536268	1	1	0.9565215191304853	0.0	-4.869987782989557	0.007615025448231725
chr1	25000000	26000000	0.7713847195359436	1	2	0.9130433732608817	0.585	-3.841601876091297	0.021008375905178796
chr1	26000000	27000000	0.1674595578672906	1	2	0.9130433732608817	0.585	-3.9485732640584255	0.018917423353410793
chr1	27000000	28000000	0.9803172027616532	1	0		-1.0		0.0
chr1	28000000	29000000	0.1838082067904434	1	1	0.9565215191304853	0.0	-4.989136129092453	0.00676546298396081
chr1	29000000	30000000	0.8479004323418486	1	3	0.9275361607729522	1.0	-3.5754725718650873	0.02723942602775669
chr1	30000000	31000000	0.4552504941849444	1	3	0.9275361607729522	1.0	-3.6450214357570943	0.02545591967024427
chr1	31000000	32000000	1.258408510494594	1	3	0.8695651507246428	1.0	-2.8792010436670354	0.053191359106736856
chr1	32000000	33000000	0.4618081092716046	1	1	0.9565215191304853	0.0	-4.93989486989244	0.0071045152780660125
chr1	33000000	34000000	0.537931201464477	1	1	0.9565215191304853	0.0	-4.926411423026735	0.007200262948700298
chr1	34000000	35000000	0.9123694930006344	1	1	0.9565215191304853	0.0	-4.860088331531437	0.007690201788750207
