chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	0.0	0	0		0.0		0.0
chr1	1000000	2000000	0.9659619296451308	1	3	0.8695651507246428	1.0	-2.9310011981319892	0.050642168127537066
chr1	2000000	3000000	0.2131733118164591	1	0		-1.0		0.0
chr1	3000000	4000000	1.2148641062816354	4	11	0.7114624357168525	1.263	-0.9274379817082847	0.28344478142614316
chr1	4000000	5000000	0.0836962347352257	1	0		-1.0		0.0
chr1	5000000	6000000	0.1658105914666499	1	1	0.9565215191304853	0.0	-4.992323990790359	0.006744075184331481
chr1	6000000	7000000	0.0596608147879154	1	0		-1.0		0.0
chr1	7000000	8000000	0.920383407349485	1	4	0.826086909021742	1.3219	-2.154572659878622	0.10390469778045376
chr1	8000000	9000000	0.1599631362865761	1	1	0.9565215191304853	0.0	-4.993359732362973	0.006737140716802183
chr1	9000000	10000000	0.0391057800638279	1	0		-1.0		0.0
chr1	10000000	11000000	0.4242305706576159	1	1	0.9565215191304853	0.0	-4.946550862583356	0.007057717334983957
chr1	11000000	12000000	0.2545102504870242	1	1	0.9565215191304853	0.0	-4.976612895707975	0.006850137165399172
chr1	12000000	13000000	0.3830033932360797	1	1	0.9565215191304853	0.0	-4.953853304459703	0.007006726287198499
chr1	13000000	14000000	0.1101770830486819	1	0		-1.0		0.0
chr1	14000000	15000000	0.180833870124327	1	1	0.9565215191304853	0.0	-4.989662964107204	0.0067619237349602745
chr1	15000000	16000000	0.7120632154771993	2	1	0.9565215191304853	-0.585	-5.471358181262316	0.00418790412419351
chr1	16000000	17000000	2.4812508285178225	1	7	0.7701863100976052	2.0	-0.6093872015968271	0.35219899818920625
chr1	17000000	18000000	0.1657875468966647	1	0		-1.0		0.0
chr1	18000000	19000000	0.2972941246452016	1	2	0.9130433732608817	0.585	-3.9255760705386695	0.019348996731553363
chr1	19000000	20000000	1.755123003432013	1	9	0.8019323466559318	2.3219	-0.7626448492273177	0.31807231644934675
chr1	20000000	21000000	1.0543865948747255	2	3	0.8695651507246428	0.415	-3.4911290328323785	0.02956569325130121
chr1	21000000	22000000	0.8184665202198516	1	1	0.9565215191304853	0.0	-4.87672107341761	0.007564310056390639
chr1	22000000	23000000	2.7969359109338496	3	6	0.7391304064492765	0.8074	-1.3932457346149443	0.19889009931040602
chr1	23000000	24000000	3.0706361947899268	2	11	0.806324093812433	2.0	-0.8937037433032913	0.2903460965859651
chr1	24000000	25000000	1.6092492150097937	1	11	0.782608679288538	2.585	-0.3216719186738608	0.42026834258497797
chr1	25000000	26000000	1.268500905782605	1	4	0.826086909021742	1.3219	-2.0929116887077157	0.10978767888505422
chr1	26000000	27000000	1.3497997777830235	1	5	0.8521738738434801	1.585	-2.1001554002547236	0.10908171803122321
chr1	27000000	28000000	2.062051495188001	1	9	0.7536231691465384	2.3219	-0.18864660944190348	0.4529777156293671
chr1	28000000	29000000	0.1151463678435451	1	1	0.9565215191304853	0.0	-5.001297987346929	0.006684227353782941
chr1	29000000	30000000	0.2427727074602557	1	2	0.9130433732608817	0.585	-3.93523327980959	0.019166602965728464
chr1	30000000	31000000	0.4813675529502963	1	0		-1.0		0.0
chr1	31000000	32000000	0.1230472746033126	1	2	0.9130433732608817	0.585	-3.956439873839032	0.01877197378323514
chr1	32000000	33000000	0.1754723341213129	1	0		-1.0		0.0
chr1	33000000	34000000	0.4504814005014896	1	1	0.9565215191304853	0.0	-4.9419011346337385	0.00709037698983798
chr1	34000000	35000000	0.1150144823112806	1	0		-1.0		0.0
chr1	35000000	36000000	0.1108892405545431	1	2	0.9130433732608817	0.585	-3.9585933886446663	0.018732348011140234
