chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	1.436662331676338	1	1	0.9565215191304853	0.0	-4.767221969581218	0.008432263934199682
chr1	1000000	2000000	1.1023852996682533	3	6	0.8115941717874409	0.8074	-2.4728456349345116	0.07778386227121005
chr1	2000000	3000000	1.037571224722654	3	5	0.7826086596521756	0.585	-2.3914448301473543	0.08382740166695042
chr1	3000000	4000000	0.8599541251646818	1	5	0.7826086596521756	1.585	-1.4386488072641663	0.19175467570812432
chr1	4000000	5000000	0.6926862610375415	1	2	0.9130433732608817	0.585	-3.855541489591068	0.02072358568302414
chr1	5000000	6000000	0.4796631589078068	1	4	0.826086909021742	1.3219	-2.2326360685148234	0.09685780210507379
chr1	6000000	7000000	0.9923136161757856	2	6	0.8695651840579723	1.2224	-2.7074352546436415	0.06253604171455053
chr1	7000000	8000000	1.2958629249528166	4	6	0.8550724309903395	0.4854	-3.2231758783971536	0.03830282804089425
chr1	8000000	9000000	1.5743361197704222	2	5	0.8521738738434801	1.0	-2.6361741964426493	0.06684628590388449
chr1	9000000	10000000	0.8324537064376059	4	9	0.6859903206333875	1.0	-0.980044365249471	0.2728829807123341
chr1	10000000	11000000	0.7965880294949375	1	8	0.7826086731521746	2.1699	-0.8741809968650784	0.29438506888809474
chr1	11000000	12000000	1.043437027143291	1	7	0.8695651888198768	2.0	-1.9330218965222103	0.1264164789907023
chr1	12000000	13000000	1.3247964911734638	3	1	0.9565215191304853	-1.0	-5.7712932064421665	0.0031060480377569665
chr1	13000000	14000000	0.8912659852969687	3	3	0.8695651507246428	0.0	-3.9284886467446096	0.019293809023136384
chr1	14000000	15000000	1.2952123006543892	1	6	0.8115941717874409	1.8074	-1.4544339991996447	0.18932010703759666
chr1	15000000	16000000	1.2212198640156626	3	6	0.8115941717874409	0.8074	-2.4517968376769366	0.07930724917579424
chr1	16000000	17000000	1.2186408733069256	4	3	0.8695651507246428	-0.3219	-4.187334009787968	0.014959532385628697
chr1	17000000	18000000	0.7547000439822447	1	2	0.9130433732608817	0.585	-3.844557180845994	0.020947680044408747
chr1	18000000	19000000	0.5440352984748187	1	2	0.9130433732608817	0.585	-3.8818715728484836	0.020195929036292876
chr1	19000000	20000000	0.8757470979490285	3	2	0.9130433732608817	-0.415	-4.807373280186227	0.008103093455397661
chr1	20000000	21000000	0.6748098097017854	1	2	0.9565216291304475	0.585	-4.326377502540606	0.013042966249835442
chr1	21000000	22000000	1.188471195564723	3	4	0.89130429657609	0.3219	-3.792848350016248	0.022034858501594295
chr1	22000000	23000000	0.8346432963929149	3	5	0.7826086596521756	0.585	-2.4273888237553507	0.0811078638157747
chr1	23000000	24000000	0.950064780741942	5	7	0.7701863100976052	0.415	-2.440648439050195	0.08012510591086383
chr1	24000000	25000000	1.0367981594086868	5	5	0.7826086596521756	0.0	-2.9673719817919144	0.04892185591310075
chr1	25000000	26000000	0.8805017421169987	2	3	0.8695651507246428	0.415	-3.5219287166782376	0.028694691181436666
chr1	26000000	27000000	0.8300593463720056	3	2	0.9130433732608817	-0.415	-4.815465809707249	0.008038308531159985
chr1	27000000	28000000	1.1120266956899534	1	5	0.9043477844869585	1.585	-2.703474981618415	0.06276861647651788
chr1	28000000	29000000	1.1538324160338471	5	6	0.8115941717874409	0.2224	-3.039523188005097	0.04567194862093782
chr1	29000000	30000000	0.6398215816949109	1	4	0.89130429657609	1.3219	-2.9057721638876783	0.05186896091599352
chr1	30000000	31000000	1.0792539361565532	2	1	0.9565215191304853	-0.585	-5.406318829480396	0.004468078094647554
chr1	31000000	32000000	1.6132345307906468	4	6	0.8985506901932381	0.4854	-3.6346304801855513	0.025714972672189206
chr1	32000000	33000000	1.1137297777363853	2	3	0.8695651507246428	0.415	-3.4806177591845655	0.02986877402432384
chr1	33000000	34000000	1.1145879131987262	1	1	0.9565215191304853	0.0	-4.824270010894917	0.007968409730119915
chr1	34000000	35000000	1.0433164010493692	1	6	0.8550724309903395	1.8074	-1.9667211859619016	0.12274149999822685
chr1	35000000	36000000	0.5926535735934353	2	2	0.9130433732608817	0.0	-4.4490501897821675	0.011554595317580412
chr1	36000000	37000000	1.6744532966508516	4	10	0.7652173737043483	1.1375	-1.5477663430046595	0.17540911179507676
chr1	37000000	38000000	1.0167825812163716	2	4	0.826086909021742	0.737	-2.713189568955796	0.062199541399347795
chr1	38000000	39000000	0.7786166933698055	2	2	0.9565216291304475	0.0	-4.88378073266942	0.007511496372380293
chr1	39000000	40000000	1.332381069964343	1	4	0.826086909021742	1.3219	-2.0815967936515003	0.11089842506474079
chr1	40000000	41000000	1.74563786203833	6	3	0.8695651507246428	-0.8074	-4.571845340717689	0.010233065115672823
chr1	41000000	42000000	1.6532134177420983	2	13	0.816053497267816	2.2224	-1.030522105310621	0.2629828956831731
chr1	42000000	43000000	0.8251824998878554	4	0		-2.3219		0.0
chr1	43000000	44000000	1.218811310659388	4	5	0.8521738738434801	0.263	-3.4245444543098307	0.031537133308778595
chr1	44000000	45000000	0.9164669917466006	3	5	0.8521738738434801	0.585	-3.1611670786337287	0.040653512157010026
chr1	45000000	46000000	1.0717318662587378	1	9	0.7536231691465384	2.3219	-0.36405884917199316	0.40997738932054467
chr1	46000000	47000000	1.5730580030896055	1	3	0.8695651507246428	1.0	-2.823468156411532	0.056069097314559405
chr1	47000000	48000000	1.2881304281841477	2	8	0.7826086731521746	1.585	-1.362807413927876	0.20378440280501958
chr1	48000000	49000000	1.4271625860027783	2	6	0.7391304064492765	1.2224	-1.2274028618296011	0.22663630888527797
chr1	49000000	50000000	1.1087209033766738	1	7	0.7701863100976052	2.0	-0.8524991638689379	0.29890886379486964
chr1	50000000	51000000	0.5845828618580882	1	0		-1.0		0.0
chr1	51000000	52000000	0.9812342758169944	3	2	0.9130433732608817	-0.415	-4.788688664035952	0.00825465842178682
chr1	52000000	53000000	0.9755183780087822	1	6	0.8115941717874409	1.8074	-1.511060390680944	0.18078169647535042
chr1	53000000	54000000	0.9148254119527874	4	2	0.9130433732608817	-0.737	-5.117382145551991	0.005956001248619476
chr1	54000000	55000000	0.7310685889203161	1	1	0.9565215191304853	0.0	-4.892201597512243	0.00744897784851656
chr1	55000000	56000000	0.8569584970965285	1	3	0.8695651507246428	1.0	-2.9503086375516148	0.04972192651344078
chr1	56000000	57000000	1.585753248939358	3	3	0.8695651507246428	0.0	-3.8054762749599096	0.021764371437028057
chr1	57000000	58000000	0.6423511635759751	2	4	0.89130429657609	0.737	-3.4810159022145024	0.02985723934012237
chr1	58000000	59000000	1.202829078460991	4	10	0.7478260697565221	1.1375	-1.444235813536861	0.19089026545500146
chr1	59000000	60000000	1.6406858612808106	2	6	0.8115941717874409	1.2224	-1.9690315615066112	0.12249294469876976
chr1	60000000	61000000	1.0118304731865495	2	5	0.8521738738434801	1.0	-2.7358090743605814	0.06089312144894925
chr1	61000000	62000000	0.6209644580252363	1	3	0.8695651507246428	1.0	-2.9921095286449315	0.04778361396166225
chr1	62000000	63000000	0.8951199058589903	1	4	0.89130429657609	1.3219	-2.8605519647390674	0.05413842881236808
