chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	2.064133734688547	1	0		-1.0		0.0
chr1	1000000	2000000	0.842791077610983	2	4	0.9347825549456553	0.737	-3.913182242393707	0.019585571095162662
chr1	2000000	3000000	0.5118774437568603	3	0		-2.0		0.0
chr1	3000000	4000000	1.226343776968258	5	9	0.8405796886634467	0.737	-2.8319608139707677	0.05562131132303212
chr1	4000000	5000000	0.438206336846946	2	1	0.9565215191304853	-0.585	-5.519865599516726	0.003990399284880649
chr1	5000000	6000000	0.4213528685132481	1	0		-1.0		0.0
chr1	6000000	7000000	0.5779276345461288	2	6	0.8550724309903395	1.2224	-2.624944273563516	0.06755020110565027
chr1	7000000	8000000	0.7246988756883233	1	2	0.9130433732608817	0.585	-3.8498711945959245	0.0208389725933686
chr1	8000000	9000000	0.1604478845471013	2	4	0.826086909021742	0.737	-2.8648694738202014	0.053917765264276045
chr1	9000000	10000000	1.651698357443443	4	5	0.8521738738434801	0.263	-3.3478685163516637	0.0339650317104167
chr1	10000000	11000000	1.4154291596366728	7	8	0.728260848627718	0.1699	-2.148494099521497	0.1044720276949898
chr1	11000000	12000000	1.6382909761914877	7	5	0.8521738738434801	-0.415	-4.017569426418544	0.0176785001640837
chr1	12000000	13000000	2.347877557005605	10	5	0.7826086596521756	-0.8745	-3.59587712170155	0.026703941808346898
chr1	13000000	14000000	1.5672326239073815	5	1	0.9565215191304853	-1.585	-6.304141468295696	0.0018253774092541403
chr1	14000000	15000000	1.0046723696361144	4	3	0.8695651507246428	-0.3219	-4.2252335862117665	0.014411199443495086
chr1	15000000	16000000	1.2129923744875684	3	3	0.8695651507246428	0.0	-3.871502250777466	0.020402141847174288
chr1	16000000	17000000	2.6827787479132144	4	8	0.728260848627718	0.848	-1.2565878756551667	0.22156182961280613
chr1	17000000	18000000	0.7487302149851014	3	6	0.7391304064492765	0.8074	-1.7560380473784027	0.14728724109342273
chr1	18000000	19000000	0.981514204064276	6	4	0.9347825549456553	-0.4854	-5.091766143573809	0.006109596908254861
chr1	19000000	20000000	1.0410214214685165	2	4	0.89130429657609	0.737	-3.4104006777881084	0.03197199427200481
chr1	20000000	21000000	1.0513641045815336	2	7	0.819875749458741	1.415	-1.9729284176847663	0.12207469358735068
chr1	21000000	22000000	1.4924393799606164	1	14	0.7391304226397516	2.9069	0.4421397991749485	0.608768783775856
chr1	22000000	23000000	1.3960359401225388	4	8	0.793478238057066	0.848	-2.186009111787376	0.1010139299497472
chr1	23000000	24000000	1.1510127720798682	1	4	0.826086909021742	1.3219	-2.113721996887498	0.10777025225305104
chr1	24000000	25000000	1.2461584880760763	3	9	0.7439613336446597	1.3219	-1.2134934015819878	0.2290835175357775
chr1	25000000	26000000	1.499576675068519	4	3	0.956521665797107	-0.3219	-5.072911985027547	0.0062251571049061856
chr1	26000000	27000000	1.031919545204063	1	5	0.9043477844869585	1.585	-2.7176641123542344	0.06193904861802268
chr1	27000000	28000000	1.921057376572405	2	9	0.6859903206333875	1.737	-0.06182612582708735	0.48454839017239576
chr1	28000000	29000000	2.253513983877811	3	12	0.6231883938526571	1.7004	0.6365598733298743	0.6539754018228426
chr1	29000000	30000000	0.9830358984963268	3	4	0.89130429657609	0.3219	-3.8292364660605047	0.02126420760353434
chr1	30000000	31000000	1.668657214072892	2	3	0.9275361607729522	0.415	-4.005884693547966	0.01788256463821599
chr1	31000000	32000000	1.2543159248446585	6	9	0.8019323466559318	0.5146	-2.6301985444182376	0.06722000049081743
chr1	32000000	33000000	1.379776217015103	3	5	0.7826086596521756	0.585	-2.3308311228236516	0.08860152605802464
chr1	33000000	34000000	1.455511228647787	8	7	0.8322981092990249	-0.1699	-3.5949115765901514	0.026729048609679323
chr1	34000000	35000000	1.2577623275790972	4	7	0.819875749458741	0.6781	-2.661668568647495	0.06527345545219525
chr1	35000000	36000000	1.6143697621777404	3	5	0.7826086596521756	0.585	-2.2892782968661445	0.092014829105372
chr1	36000000	37000000	2.29496730774038	4	19	0.6773455295579911	2.0	0.35624976493285754	0.5881323057212121
chr1	37000000	38000000	2.2183697065961216	10	17	0.6445012700526553	0.7105	-0.5732307889660726	0.3604916718690766
chr1	38000000	39000000	1.8842638382728656	7	8	0.7826086731521746	0.1699	-2.650037935430527	0.06598667139993446
chr1	39000000	40000000	2.003762449104118	4	4	0.826086909021742	0.0	-3.2637661434895566	0.03683535879469682
chr1	40000000	41000000	0.9782471334656556	5	6	0.8115941717874409	0.2224	-3.0706240637013886	0.04433537864410644
chr1	41000000	42000000	1.5229507594450218	4	3	0.8695651507246428	-0.3219	-4.133432544907174	0.015774931314263482
chr1	42000000	43000000	1.0428319668003017	5	3	0.8695651507246428	-0.585	-4.477432456223711	0.011234892553948012
chr1	43000000	44000000	0.7278521826122621	4	3	0.9275361607729522	-0.3219	-4.897825393517013	0.00740751333200779
chr1	44000000	45000000	0.9899708960722476	3	5	0.8521738738434801	0.585	-3.1481475603791944	0.0411643315624971
chr1	45000000	46000000	2.324110493299817	2	9	0.7536231691465384	1.737	-0.7179207084250132	0.32785102133805566
chr1	46000000	47000000	1.7545235119965397	3	4	0.826086909021742	0.3219	-2.991080802169644	0.04783044314739266
chr1	47000000	48000000	1.1249249501293082	5	4	0.826086909021742	-0.263	-3.6782914350749376	0.024643462409476645
chr1	48000000	49000000	1.5707593551521677	3	3	0.8695651507246428	0.0	-3.8081320967922307	0.021707898934176295
chr1	49000000	50000000	0.67063845212828	2	2	0.9130433732608817	0.0	-4.435236970484811	0.011713426400414175
chr1	50000000	51000000	2.138426832372114	5	2	0.9130433732608817	-1.0	-5.1595089619648915	0.005711708747090564
chr1	51000000	52000000	1.355887352061334	2	3	0.8695651507246428	0.415	-3.4377251402370126	0.03113703789455105
chr1	52000000	53000000	1.1656988858801869	2	7	0.8695651888198768	1.415	-2.4871562542421284	0.07676349364716274
chr1	53000000	54000000	1.286597538463638	3	9	0.7826086756521745	1.3219	-1.6220369177394538	0.1649241458781035
chr1	54000000	55000000	0.7184832956543912	6	4	0.89130429657609	-0.4854	-4.670686351807364	0.009278934056886567
chr1	55000000	56000000	1.0443172121099398	3	2	0.9130433732608817	-0.415	-4.77751497947932	0.008346636429184989
chr1	56000000	57000000	0.7723613834627012	3	0		-2.0		0.0
chr1	57000000	58000000	0.5397090104488278	3	0		-2.0		0.0
chr1	58000000	59000000	0.522282752062281	1	3	0.8695651507246428	1.0	-3.0095887126959067	0.04699456219009895
chr1	59000000	60000000	1.112244234703185	2	1	0.9565215191304853	-0.585	-5.400475360373673	0.004494145922057042
chr1	60000000	61000000	0.4077905981999374	1	1	0.9565215191304853	0.0	-4.949462823838754	0.007037339849173891
chr1	61000000	62000000	0.2804570200285723	1	1	0.9565215191304853	0.0	-4.972017025015232	0.006881474821825753
chr1	62000000	63000000	0.1374342682012606	1	2	0.9130433732608817	0.585	-3.953891550352072	0.018818970456603343
chr1	63000000	64000000	0.2261932025859003	2	0		-1.585		0.0
chr1	64000000	65000000	0.0355192533766359	1	0		-1.0		0.0
chr1	65000000	66000000	0.1716724438652521	1	0		-1.0		0.0
chr1	66000000	67000000	0.2746729733026378	1	3	0.9275361607729522	1.0	-3.6770065711190174	0.024674364477645424
chr1	67000000	68000000	0.1088434306136174	1	1	0.9565215191304853	0.0	-5.00241440704021	0.006676818912079227
chr1	68000000	69000000	0.2304135493724395	1	0		-1.0		0.0
chr1	69000000	70000000	0.6193852842652658	1	0		-1.0		0.0
chr1	70000000	71000000	0.2776249274824582	3	1	0.9565215191304853	-1.0	-5.956775452782474	0.002581562731602992
chr1	71000000	72000000	0.5530439051578062	3	1	0.9565215191304853	-1.0	-5.907991344776416	0.002710274659438205
chr1	72000000	73000000	0.9720111441647205	1	0		-1.0		0.0
chr1	73000000	74000000	0.5096502900863062	1	0		-1.0		0.0
chr1	74000000	75000000	0.4888420443137131	2	0		-1.585		0.0
chr1	75000000	76000000	0.346594334574601	1	0		-1.0		0.0
chr1	76000000	77000000	0.3176800884622683	1	1	0.9565215191304853	0.0	-4.965423818526292	0.006926680397053396
chr1	77000000	78000000	0.0990867125629866	1	0		-1.0		0.0
chr1	78000000	79000000	0.2199364095931013	1	1	0.9565215191304853	0.0	-4.982736852751855	0.006808600155306408
chr1	79000000	80000000	0.4637161488643158	1	0		-1.0		0.0
chr1	80000000	81000000	0.619664480002792	1	0		-1.0		0.0
chr1	81000000	82000000	0.2995907084842115	1	1	0.9565215191304853	0.0	-4.968627934212367	0.006904675026009938
chr1	82000000	83000000	1.0053971660168246	1	3	0.8695651507246428	1.0	-2.924016157207653	0.05097904772672788
chr1	83000000	84000000	0.709172129677687	1	0		-1.0		0.0
chr1	84000000	85000000	0.6783911832506226	1	4	0.89130429657609	1.3219	-2.8989404501694525	0.052205965268763144
chr1	85000000	86000000	1.3275558324204382	1	0		-1.0		0.0
chr1	86000000	87000000	1.386918887086846	1	2	0.9130433732608817	0.585	-3.732574220972273	0.02337183740020922
chr1	87000000	88000000	1.4294628903218731	1	2	0.9130433732608817	0.585	-3.7250385338299212	0.02354446314664749
chr1	88000000	89000000	0.4800233006377095	1	4	0.826086909021742	1.3219	-2.232572277728882	0.09686338243486356
chr1	89000000	90000000	1.0591196587413836	2	1	0.9565215191304853	-0.585	-5.4098851514976225	0.0044522426879573
chr1	90000000	91000000	0.3718265655174013	2	0		-1.585		0.0
chr1	91000000	92000000	0.8974081450905227	2	3	0.8695651507246428	0.415	-3.5189341380343997	0.028778271898889228
chr1	92000000	93000000	0.243831811414136	3	1	0.9565215191304853	-1.0	-5.9627611224630925	0.0025661960395242595
chr1	93000000	94000000	0.7310460717927696	1	4	0.89130429657609	1.3219	-2.889613853319198	0.052669382019080876
chr1	94000000	95000000	0.7514316307081019	1	0		-1.0		0.0
chr1	95000000	96000000	0.7271688297776167	3	3	0.8695651507246428	0.0	-3.9575546661812924	0.018751450781027714
chr1	96000000	97000000	1.0146079317779688	2	1	0.9565215191304853	-0.585	-5.417769375431817	0.004417432677707556
chr1	97000000	98000000	0.3820585247036141	1	2	0.9130433732608817	0.585	-3.910562015652471	0.01963594801284906
chr1	98000000	99000000	1.3130631758396496	1	1	0.9565215191304853	0.0	-4.78911470412946	0.008251171367053141
chr1	99000000	100000000	0.8668076787642818	1	1	0.9565215191304853	0.0	-4.868158554162494	0.007628861455882288
chr1	100000000	101000000	1.4683698869829955	1	2	0.9130433732608817	0.585	-3.7181470583646945	0.023703420308047157
chr1	101000000	102000000	1.109437123525609	3	2	0.9130433732608817	-0.415	-4.765980491846475	0.008442650466502092
chr1	102000000	103000000	1.9915813913909952	1	1	0.9565215191304853	0.0	-4.668930880229887	0.009295085727876086
chr1	103000000	104000000	0.8922298143010035	2	1	0.9565215191304853	-0.585	-5.439445831248205	0.004323118244781121
chr1	104000000	105000000	1.4378513819812384	1	1	0.9565215191304853	0.0	-4.7670113567941526	0.008434025083917444
chr1	105000000	106000000	1.459782755122526	1	4	0.826086909021742	1.3219	-2.0590305288960025	0.11314307198961061
chr1	106000000	107000000	0.704334265910012	2	0		-1.585		0.0
