chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	0.0	0	0		0.0		0.0
chr1	1000000	2000000	0.4108942894410012	1	2	0.9130433732608817	0.585	-3.9054544262145203	0.019734512652243463
chr1	2000000	3000000	0.4330886614243758	1	4	0.826086909021742	1.3219	-2.2408856645838267	0.09613855352864849
chr1	3000000	4000000	0.942202763658334	1	4	0.826086909021742	1.3219	-2.150707865071169	0.10426509432865727
chr1	4000000	5000000	0.1814276859512151	1	2	0.9130433732608817	0.585	-3.9460991329188797	0.01896339682199719
chr1	5000000	6000000	0.0946967792178061	1	3	0.8695651507246428	1.0	-3.0853256878934125	0.043716630604521335
chr1	6000000	7000000	0.230648575427248	1	1	0.9565215191304853	0.0	-4.980839440091905	0.0068214429352717945
chr1	7000000	8000000	0.3907175373090914	1	2	0.9130433732608817	0.585	-3.9090282716463873	0.01966549492710328
chr1	8000000	9000000	0.1889819852455434	2	0		-1.585		0.0
chr1	9000000	10000000	0.4901907855671554	1	2	0.9130433732608817	0.585	-3.891408884167377	0.020008065305899998
chr1	10000000	11000000	0.7728403931023666	1	3	0.8695651507246428	1.0	-2.965208216023485	0.049022631025767385
chr1	11000000	12000000	0.8004228743435875	2	5	0.9043477844869585	1.0	-3.3344586195729473	0.03440778968184946
chr1	12000000	13000000	0.7552986337543679	1	3	0.8695651507246428	1.0	-2.9683153333683823	0.048877981844575896
chr1	13000000	14000000	0.9128441143803832	2	4	0.826086909021742	0.737	-2.7315998667316013	0.06113427097396256
chr1	14000000	15000000	0.7235346022031921	2	0		-1.585		0.0
chr1	15000000	16000000	0.7464090701728114	2	3	0.9275361607729522	0.415	-4.169239642579261	0.015228519791796492
chr1	16000000	17000000	0.4613862042931722	1	1	0.9565215191304853	0.0	-4.939969600610744	0.007103988143921551
chr1	17000000	18000000	0.4762008522981582	1	4	0.89130429657609	1.3219	-2.934753795445145	0.05046205641047031
chr1	18000000	19000000	1.3830159102116673	1	3	0.8695651507246428	1.0	-2.85712972201208	0.05431394080071595
chr1	19000000	20000000	0.4150438486572807	2	4	0.826086909021742	0.737	-2.819773681526259	0.056264949697454075
chr1	20000000	21000000	0.9581092530424646	1	7	0.7701863100976052	2.0	-0.8791765376610066	0.2933484495919375
chr1	21000000	22000000	0.6691076953085804	2	1	0.9565215191304853	-0.585	-5.478966759120856	0.0041562929761364996
chr1	22000000	23000000	0.3248522889217033	1	1	0.9565215191304853	0.0	-4.9641534289372835	0.006935424503910138
chr1	23000000	24000000	0.7297460377586362	2	6	0.8695651840579723	1.2224	-2.753943034218258	0.05986434830023546
chr1	24000000	25000000	0.7328709058427871	2	7	0.7701863100976052	1.415	-1.4948625274493583	0.18319301009886113
chr1	25000000	26000000	0.3229342664336312	1	3	0.9275361607729522	1.0	-3.6684581981765048	0.024880923736756558
chr1	26000000	27000000	0.3896991636562452	1	3	0.8695651507246428	1.0	-3.03307283187761	0.04595391934273067
chr1	27000000	28000000	0.8894375170709128	1	5	0.7826086596521756	1.585	-1.4334265056374642	0.19256535633675106
chr1	28000000	29000000	0.7426253128683116	1	2	0.9130433732608817	0.585	-3.8466959404615375	0.020903861403651424
chr1	29000000	30000000	0.9183895932982278	1	5	0.8521738738434801	1.585	-2.1765697461812694	0.1018743539534655
chr1	30000000	31000000	0.86260927287042	1	4	0.826086909021742	1.3219	-2.164806012860222	0.10295574028563094
chr1	31000000	32000000	1.255515319660236	1	4	0.826086909021742	1.3219	-2.0952117852415952	0.10956308213858272
chr1	32000000	33000000	0.6865685685700349	1	9	0.7826086756521745	2.3219	-0.7440613973482364	0.32211666716728193
chr1	33000000	34000000	0.2750187785343798	2	0		-1.585		0.0
chr1	34000000	35000000	0.303929491161691	3	2	0.9130433732608817	-0.415	-4.908657556690082	0.007328291801473348
chr1	35000000	36000000	0.3281301673399035	1	1	0.9565215191304853	0.0	-4.9635728285148515	0.006939424432322043
chr1	36000000	37000000	0.8345804914070913	2	3	0.8695651507246428	0.415	-3.5300626051753694	0.028468856081230183
chr1	37000000	38000000	0.4543412730876901	1	4	0.826086909021742	1.3219	-2.2371212554950093	0.09646616304282678
chr1	38000000	39000000	0.4295007171029552	1	1	0.9565215191304853	0.0	-4.945617377913682	0.007064262118898729
chr1	39000000	40000000	0.9468805190401804	1	4	0.826086909021742	1.3219	-2.1498793087904797	0.104342501794783
chr1	40000000	41000000	1.0200748115652982	1	3	0.8695651507246428	1.0	-2.921416351443522	0.05110497374002907
chr1	41000000	42000000	0.5800540419043347	1	4	0.89130429657609	1.3219	-2.9163586025601678	0.05135079804342667
chr1	42000000	43000000	0.6283010360343173	2	1	0.9565215191304853	-0.585	-5.486194715923995	0.004126483297132686
chr1	43000000	44000000	0.4549093508152726	3	2	0.9565216291304475	-0.415	-5.349584575777483	0.004727666902543116
chr1	44000000	45000000	1.2260031683081247	3	5	0.8521738738434801	0.585	-3.1063398971641956	0.04284649659910716
chr1	45000000	46000000	1.7427659175870454	2	5	0.8521738738434801	1.0	-2.6063407495339534	0.06873145367832355
chr1	46000000	47000000	1.13787262355812	2	2	0.9130433732608817	0.0	-4.352477233027567	0.012711223503760392
chr1	47000000	48000000	0.885989811349333	6	2	0.9130433732608817	-1.2224	-5.600247950818252	0.003683329866724389
chr1	48000000	49000000	0.4163690013557386	2	0		-1.585		0.0
chr1	49000000	50000000	0.7989932368094084	2	3	0.9275361607729522	0.415	-4.159925572480461	0.015368831808827409
chr1	50000000	51000000	0.7913391935847289	3	2	0.9565216291304475	-0.415	-5.289993802749952	0.005016499360974628
chr1	51000000	52000000	0.6479549390791002	2	0		-1.585		0.0
chr1	52000000	53000000	1.10141133211954	2	2	0.9130433732608817	0.0	-4.3589355083236025	0.012630428965043525
chr1	53000000	54000000	1.600945186834581	4	3	0.9275361607729522	-0.3219	-4.743177141690583	0.00863570136823776
chr1	54000000	55000000	1.2837270655643946	3	5	0.9043477844869585	0.585	-3.657319016451834	0.0251526161476647
chr1	55000000	56000000	0.129118568570405	2	1	0.9565215191304853	-0.585	-5.574613355819591	0.0037786097705441186
chr1	56000000	57000000	0.7608360004562393	1	2	0.9565216291304475	0.585	-4.311139950587807	0.013240579401671964
chr1	57000000	58000000	0.3108893331740403	1	3	0.8695651507246428	1.0	-3.047032172350927	0.04534577614982477
chr1	58000000	59000000	0.2523597061834022	1	3	0.8695651507246428	1.0	-3.0573993433743825	0.0448990955389363
chr1	59000000	60000000	0.4341914703797473	2	0		-1.585		0.0
