chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	0.2038227522735822	1	0		-1.0		0.0
chr1	1000000	2000000	0.6152103256831007	1	3	0.9275361607729522	1.0	-3.616688247672882	0.02616833806927503
chr1	2000000	3000000	0.6258671197276366	1	0		-1.0		0.0
chr1	3000000	4000000	0.6710379196330187	2	1	0.9565215191304853	-0.585	-5.478624864481953	0.004157708324195995
chr1	4000000	5000000	0.2172231734254901	1	1	0.9565215191304853	0.0	-4.983217439846339	0.006805351078696837
chr1	5000000	6000000	0.0718969731890331	2	0		-1.585		0.0
chr1	6000000	7000000	0.9664177276473748	2	3	0.8695651507246428	0.415	-3.5067106850344585	0.029121893390813863
chr1	7000000	8000000	1.0964457512338377	1	4	0.826086909021742	1.3219	-2.1233872837932513	0.10684439575859489
chr1	8000000	9000000	0.3375661486111041	1	3	0.9275361607729522	1.0	-3.665866498336129	0.0249438806919984
chr1	9000000	10000000	0.5076694773215018	2	2	0.9130433732608817	0.0	-4.464103158776243	0.011383932087537955
chr1	10000000	11000000	0.6204361545913728	2	1	0.9565215191304853	-0.585	-5.487587797943998	0.004120762441506585
chr1	11000000	12000000	1.1579714309971116	3	1	0.9565215191304853	-1.0	-5.800842411157295	0.003015882313236234
chr1	12000000	13000000	1.1053141697473854	1	2	0.9130433732608817	0.585	-3.7824539898308194	0.0222599662725013
chr1	13000000	14000000	0.796201026043335	2	2	0.9130433732608817	0.0	-4.41299646179114	0.011973703278547288
chr1	14000000	15000000	0.1661846857671656	1	1	0.9565215191304853	0.0	-4.992257728628925	0.006744519062065621
chr1	15000000	16000000	0.6946016283131313	1	0		-1.0		0.0
chr1	16000000	17000000	0.2831710146559665	1	2	0.9130433732608817	0.585	-3.928077653141697	0.01930158719901635
chr1	17000000	18000000	0.8683948535747406	1	1	0.9565215191304853	0.0	-4.867877422818418	0.0076309901008809345
chr1	18000000	19000000	0.9524850650822518	2	4	0.826086909021742	0.737	-2.724578388266954	0.061538525919060554
chr1	19000000	20000000	0.972149036612243	2	2	0.9130433732608817	0.0	-4.381831337210791	0.012348060552524472
chr1	20000000	21000000	0.4530214092635858	1	1	0.9565215191304853	0.0	-4.941451230771513	0.00709354506211731
chr1	21000000	22000000	0.627775761189183	2	3	0.9275361607729522	0.415	-4.1902527920993915	0.014916582789846717
chr1	22000000	23000000	1.5517497914076612	2	3	0.8695651507246428	0.415	-3.4030326347457454	0.032200821691141544
chr1	23000000	24000000	1.334073856089113	2	1	0.9565215191304853	-0.585	-5.361183368587289	0.004673403245608755
chr1	24000000	25000000	1.945871935462269	2	10	0.8086956335739135	1.8745	-1.241963205509176	0.2240944462752528
chr1	25000000	26000000	1.7265147007214066	1	4	0.826086909021742	1.3219	-2.011785127897891	0.11797110153970801
chr1	26000000	27000000	1.7302232606594163	2	2	0.9130433732608817	0.0	-4.247556004644134	0.014097555372610268
chr1	27000000	28000000	0.4751062775397225	1	0		-1.0		0.0
chr1	28000000	29000000	0.9421526586676788	1	1	0.9565215191304853	0.0	-4.854812931909643	0.007730563424273002
chr1	29000000	30000000	1.2553141119587865	2	2	0.9130433732608817	0.0	-4.331675186985251	0.012974945602027024
chr1	30000000	31000000	1.2765882235073271	1	7	0.6956521510559014	2.0	-0.021045945054399162	0.49473870793443175
chr1	31000000	32000000	0.6438454877331048	1	1	0.9565215191304853	0.0	-4.90765115449214	0.007335616593969556
chr1	32000000	33000000	0.6089816974207736	1	2	0.9130433732608817	0.585	-3.8703678189404336	0.020424826821941723
chr1	33000000	34000000	0.3275823207727288	2	1	0.9565215191304853	-0.585	-5.539460087862369	0.003913273518413414
chr1	34000000	35000000	0.8973388764239889	2	2	0.9130433732608817	0.0	-4.395082228508762	0.012187498044597891
chr1	35000000	36000000	0.7672707001408483	2	2	0.9130433732608817	0.0	-4.418120800554538	0.011913232000568978
chr1	36000000	37000000	0.6451524262959567	3	2	0.9130433732608817	-0.415	-4.848217798100331	0.007781317983569317
chr1	37000000	38000000	1.3722233197986569	3	1	0.9565215191304853	-1.0	-5.7628926396055435	0.0031321684350532784
chr1	38000000	39000000	0.9297589736307268	1	3	0.8695651507246428	1.0	-2.9374137152767847	0.050334756948105665
chr1	39000000	40000000	0.6445379110742309	1	0		-1.0		0.0
chr1	40000000	41000000	1.1781653028487442	1	2	0.9130433732608817	0.585	-3.7695500949155987	0.022542550708684286
chr1	41000000	42000000	0.5711266152570138	3	0		-2.0		0.0
chr1	42000000	43000000	0.942653511534814	1	1	0.9565215191304853	0.0	-4.854724217397043	0.007731243965436899
chr1	43000000	44000000	0.6669799252937065	1	1	0.9565215191304853	0.0	-4.903553423427486	0.007365515792697805
chr1	44000000	45000000	1.187920303795038	1	1	0.9565215191304853	0.0	-4.811280872334502	0.00807174673645157
chr1	45000000	46000000	0.4329945706895701	1	0		-1.0		0.0
chr1	46000000	47000000	1.024234054132681	1	3	0.8695651507246428	1.0	-2.9206796377270487	0.051140711203455355
chr1	47000000	48000000	1.3818575731339284	2	0		-1.585		0.0
chr1	48000000	49000000	0.870941514115195	1	0		-1.0		0.0
chr1	49000000	50000000	1.2869750651265872	1	3	0.8695651507246428	1.0	-2.874141138578829	0.053446763116052065
chr1	50000000	51000000	1.289822264592737	3	0		-2.0		0.0
chr1	51000000	52000000	0.8097115878777243	4	3	0.8695651507246428	-0.3219	-4.259766383895221	0.01392884862100739
chr1	52000000	53000000	0.7155014263751744	2	0		-1.585		0.0
chr1	53000000	54000000	0.5760269753630887	1	1	0.9565215191304853	0.0	-4.919663636929603	0.007248659702578315
chr1	54000000	55000000	1.1902991838256902	1	2	0.9130433732608817	0.585	-3.7674008582685516	0.02258995644257067
chr1	55000000	56000000	0.7333061470665632	3	2	0.9130433732608817	-0.415	-4.832603403364328	0.007902804358718268
chr1	56000000	57000000	0.6610559192479575	5	3	0.9275361607729522	-0.585	-5.168614769089275	0.0056602281576315075
chr1	57000000	58000000	1.5810553405600212	3	1	0.9565215191304853	-1.0	-5.725902872444492	0.0032498124985702844
chr1	58000000	59000000	0.4707826789092033	2	2	0.9565216291304475	0.0	-4.938306415453293	0.007115729078427567
chr1	59000000	60000000	0.9856794453581216	2	1	0.9565215191304853	-0.585	-5.422893388373369	0.004394954812838416
chr1	60000000	61000000	1.0135283053428965	2	4	0.826086909021742	0.737	-2.7137659887327965	0.062165926880354924
chr1	61000000	62000000	0.9642041740760976	4	6	0.8115941717874409	0.4854	-2.814251914230603	0.056558870570400564
chr1	62000000	63000000	1.2085545180854762	1	1	0.9565215191304853	0.0	-4.80762599805147	0.008101062504884581
chr1	63000000	64000000	1.5846801249379014	2	9	0.830917853161568	1.737	-1.6803064318266445	0.15705489652436366
chr1	64000000	65000000	1.6470873520971128	3	6	0.8550724309903395	0.8074	-2.8440339008546704	0.0549905330745287
chr1	65000000	66000000	1.4491323324627703	2	5	0.7826086596521756	1.0	-1.9100797225043395	0.12897189600298856
chr1	66000000	67000000	0.937946786406056	2	3	0.8695651507246428	0.415	-3.5117536544197705	0.028979647520951814
chr1	67000000	68000000	1.6544834612666062	3	5	0.8521738738434801	0.585	-3.030444513822843	0.04606928808663695
chr1	68000000	69000000	1.6416952401752982	2	6	0.8115941717874409	1.2224	-1.9688527733583747	0.12251216365201889
chr1	69000000	70000000	1.165918717805782	1	5	0.8521738738434801	1.585	-2.1327256812350424	0.10595651117309629
chr1	70000000	71000000	2.110146414400381	3	4	0.826086909021742	0.3219	-2.9280904221067754	0.05078229425846101
chr1	71000000	72000000	2.112271349312233	1	2	0.9130433732608817	0.585	-3.604094792436399	0.026491186319022704
chr1	72000000	73000000	1.7279564149311342	2	2	0.9130433732608817	0.0	-4.247957523986683	0.014091975818469944
chr1	73000000	74000000	2.040182979726509	3	3	0.8695651507246428	0.0	-3.724984548300405	0.02354570431244961
chr1	74000000	75000000	1.448356386077737	5	3	0.8695651507246428	-0.585	-4.4056031754816845	0.012061484648493815
chr1	75000000	76000000	2.1207140416761967	2	5	0.8521738738434801	1.0	-2.5393959723008255	0.07314211131883823
chr1	76000000	77000000	1.2334177494566236	3	4	0.826086909021742	0.3219	-3.0833826472236634	0.04379793242037058
chr1	77000000	78000000	1.8635538725159333	4	6	0.8550724309903395	0.4854	-3.1226225442234092	0.042183682674875836
chr1	78000000	79000000	1.549690356290319	1	2	0.9565216291304475	0.585	-4.171412628887333	0.015195966663636292
chr1	79000000	80000000	1.186903005735644	5	2	0.9130433732608817	-1.0	-5.328049421742823	0.004830085018397059
chr1	80000000	81000000	2.1836939559939426	3	3	0.8695651507246428	0.0	-3.6995648948495896	0.024137268049969553
chr1	81000000	82000000	0.963831802177427	2	4	0.826086909021742	0.737	-2.7225685759706497	0.061654698000402755
chr1	82000000	83000000	1.699416241685353	3	3	0.8695651507246428	0.0	-3.785343502116099	0.022197164335177915
chr1	83000000	84000000	1.405549113614657	3	2	0.9130433732608817	-0.415	-4.713531094828451	0.008893237582222492
chr1	84000000	85000000	1.573940112460515	2	1	0.9565215191304853	-0.585	-5.31869660367153	0.004875250569206202
chr1	85000000	86000000	1.557567363097312	3	4	0.826086909021742	0.3219	-3.025967033036723	0.046266459942011576
chr1	86000000	87000000	1.5354969468952715	3	6	0.8115941717874409	0.8074	-2.3961299141975383	0.08346828634715288
chr1	87000000	88000000	1.0107107991756248	3	2	0.9130433732608817	-0.415	-4.7834675790137515	0.008297510857604272
chr1	88000000	89000000	1.5807205479963868	3	3	0.8695651507246428	0.0	-3.8063677016453052	0.021745400442359755
chr1	89000000	90000000	1.54133942496274	5	4	0.9130434257608727	-0.263	-4.539872511706041	0.010562020265319003
chr1	90000000	91000000	0.8373618239068898	3	4	0.89130429657609	0.3219	-3.8550392623980567	0.02073378039499363
