chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	1.1616960433206949	1	0		-1.0		0.0
chr1	1000000	2000000	3.5350387270148467	1	5	0.8521738738434801	1.585	-1.7130908129914921	0.1527632527448715
chr1	2000000	3000000	1.0099732438373574	1	2	0.9130433732608817	0.585	-3.7993414318881893	0.021895370366607873
chr1	3000000	4000000	0.1873423257416955	1	2	0.9130433732608817	0.585	-3.9450514911449135	0.01898289675107141
chr1	4000000	5000000	0.3867178851471231	1	1	0.9565215191304853	0.0	-4.953195368045497	0.007011305451821119
chr1	5000000	6000000	0.5296350042542914	1	2	0.9130433732608817	0.585	-3.8844222522334073	0.020145517778154032
chr1	6000000	7000000	0.4364924965050241	1	1	0.9565215191304853	0.0	-4.944378945746139	0.0070729542310172125
chr1	7000000	8000000	0.349308178592735	1	2	0.9130433732608817	0.585	-3.9163629827295923	0.019524587832305866
chr1	8000000	9000000	0.1796501046494021	1	0		-1.0		0.0
chr1	9000000	10000000	0.6108199938703489	2	0		-1.585		0.0
chr1	10000000	11000000	0.0823345842711047	1	0		-1.0		0.0
chr1	11000000	12000000	0.1310374920721555	1	1	0.9565215191304853	0.0	-4.998483241873506	0.006702941966727827
chr1	12000000	13000000	0.4359494844747371	1	0		-1.0		0.0
chr1	13000000	14000000	0.0	0	0		0.0		0.0
chr1	14000000	15000000	0.2872759479476059	1	0		-1.0		0.0
chr1	15000000	16000000	0.2373672656037957	1	1	0.9565215191304853	0.0	-4.979649379370605	0.0068295102244066925
chr1	16000000	17000000	1.2741823706324058	1	3	0.9275361607729522	1.0	-3.49996657625751	0.029313181772861064
chr1	17000000	18000000	3.2443209193789597	1	4	0.89130429657609	1.3219	-2.444445286329315	0.07984570476100096
chr1	18000000	19000000	0.5285545641619889	1	0		-1.0		0.0
chr1	19000000	20000000	0.7615395369658957	1	0		-1.0		0.0
chr1	20000000	21000000	0.18408959580346	1	2	0.9130433732608817	0.585	-3.945627637095206	0.018972170419339265
chr1	21000000	22000000	0.8155813669145915	1	1	0.9565215191304853	0.0	-4.877232111660675	0.007560474610944238
chr1	22000000	23000000	0.6078730827101557	1	2	0.9130433732608817	0.585	-3.870564184420534	0.020420898379463377
chr1	23000000	24000000	0.6698815301846097	1	1	0.9565215191304853	0.0	-4.903039471166158	0.007369274385419837
chr1	24000000	25000000	0.3111507497593573	1	2	0.9565216291304475	0.585	-4.39079130222628	0.012239264623766831
chr1	25000000	26000000	0.5971558641269494	1	0		-1.0		0.0
chr1	26000000	27000000	0.3373855093001769	1	3	0.8695651507246428	1.0	-3.0423389869764295	0.04554937603344995
chr1	27000000	28000000	0.4123146845103806	1	2	0.9130433732608817	0.585	-3.905202836047928	0.01973938026765856
chr1	28000000	29000000	0.2467278298243238	1	0		-1.0		0.0
chr1	29000000	30000000	0.8750440588308788	1	2	0.9130433732608817	0.585	-3.82324101930981	0.021389343883278625
chr1	30000000	31000000	0.0738515465142519	1	0		-1.0		0.0
chr1	31000000	32000000	1.112610677655292	2	7	0.7701863100976052	1.415	-1.4276004012202286	0.193472844883512
chr1	32000000	33000000	0.1364900227815613	1	1	0.9565215191304853	0.0	-4.9975174520456624	0.006709375271971949
chr1	33000000	34000000	0.7065813207591498	1	1	0.9565215191304853	0.0	-4.896538951258998	0.0074169780779117876
chr1	34000000	35000000	0.92922324643975	1	1	0.9565215191304853	0.0	-4.857103078536088	0.00771301595352512
chr1	35000000	36000000	0.4173310698718784	1	3	0.8695651507246428	1.0	-3.0281784781601777	0.04616897584768504
chr1	36000000	37000000	0.7202055649675398	1	0		-1.0		0.0
chr1	37000000	38000000	0.2033868009789965	1	2	0.9130433732608817	0.585	-3.9422095830836623	0.019035892725923143
chr1	38000000	39000000	0.585651851511813	1	0		-1.0		0.0
chr1	39000000	40000000	0.196731163531302	1	0		-1.0		0.0
chr1	40000000	41000000	0.5466016138552923	1	1	0.9565215191304853	0.0	-4.924875659812084	0.00721124954064634
chr1	41000000	42000000	0.102701342035576	1	1	0.9565215191304853	0.0	-5.003502336111413	0.006669607377608943
chr1	42000000	43000000	0.1598083699795083	1	0		-1.0		0.0
chr1	43000000	44000000	0.3857278523399188	1	0		-1.0		0.0
chr1	44000000	45000000	0.4249102401499423	1	2	0.9130433732608817	0.585	-3.902971824401952	0.01978259604290514
chr1	45000000	46000000	0.2527784764517928	1	1	0.9565215191304853	0.0	-4.976919639463579	0.006848050638005652
chr1	46000000	47000000	0.3663574474100497	1	0		-1.0		0.0
chr1	47000000	48000000	0.2457920492402414	1	1	0.9565215191304853	0.0	-4.978157123614241	0.006839639450833789
chr1	48000000	49000000	0.3638364297483081	1	1	0.9565215191304853	0.0	-4.95724828916565	0.006983144723939292
chr1	49000000	50000000	0.0	0	0		0.0		0.0
chr1	50000000	51000000	0.3382842159113819	1	0		-1.0		0.0
chr1	51000000	52000000	0.1952804237070817	1	0		-1.0		0.0
chr1	52000000	53000000	0.1399430150284493	0	3	0.9275361607729522	2.0	-2.7166140821167613	0.06200008617819723
chr1	53000000	54000000	0.245891251480919	1	1	0.9565215191304853	0.0	-4.978139552229493	0.0068397588118033256
chr1	54000000	55000000	0.165386518282999	1	0		-1.0		0.0
chr1	55000000	56000000	0.1061298314617862	1	1	0.9565215191304853	0.0	-5.002895058428961	0.006673631872953561
chr1	56000000	57000000	0.1135375080555634	1	1	0.9565215191304853	0.0	-5.001582959683716	0.006682335532111167
chr1	57000000	58000000	0.0664012283033157	1	0		-1.0		0.0
chr1	58000000	59000000	0.6712527317446844	1	1	0.9565215191304853	0.0	-4.902796594493064	0.0073710512331437465
chr1	59000000	60000000	0.1611128717455656	1	0		-1.0		0.0
chr1	60000000	61000000	0.0618445076951026	1	0		-1.0		0.0
chr1	61000000	62000000	0.2358228834649591	1	0		-1.0		0.0
chr1	62000000	63000000	0.1676010868859236	1	0		-1.0		0.0
chr1	63000000	64000000	0.0620622075808379	1	0		-1.0		0.0
chr1	64000000	65000000	0.3358144576216419	1	0		-1.0		0.0
chr1	65000000	66000000	0.1521505974939683	1	0		-1.0		0.0
chr1	66000000	67000000	0.0	0	0		0.0		0.0
chr1	67000000	68000000	0.0199122363078516	0	1	0.9565215191304853	1.0	-4.033909725236871	0.017396960171161976
chr1	68000000	69000000	0.0	0	0		0.0		0.0
chr1	69000000	70000000	0.1662178077828522	1	0		-1.0		0.0
chr1	70000000	71000000	0.6231878139310103	1	0		-1.0		0.0
chr1	71000000	72000000	0.066492484911016	1	0		-1.0		0.0
chr1	72000000	73000000	0.3719597046931557	1	1	0.9565215191304853	0.0	-4.95580943870728	0.006993129341516816
chr1	73000000	74000000	0.7531369868647895	1	3	0.9275361607729522	1.0	-3.5922577266071416	0.026798174253437515
chr1	74000000	75000000	0.4662695653414581	1	1	0.9565215191304853	0.0	-4.939104626037013	0.007110091862565396
chr1	75000000	76000000	0.1563214813311293	1	0		-1.0		0.0
chr1	76000000	77000000	0.1035392543840125	1	1	0.9565215191304853	0.0	-5.003353919299867	0.006670590729344583
chr1	77000000	78000000	0.2353852737355888	1	0		-1.0		0.0
chr1	78000000	79000000	0.476419550816257	1	1	0.9565215191304853	0.0	-4.937306790637862	0.007122795003979401
chr1	79000000	80000000	0.6144461128583183	1	1	0.9565215191304853	0.0	-4.912858574443037	0.007297794294620846
chr1	80000000	81000000	0.2482320775174202	2	0		-1.585		0.0
chr1	81000000	82000000	0.600055637878993	4	0		-2.3219		0.0
chr1	82000000	83000000	0.7163490575691105	3	0		-2.0		0.0
chr1	83000000	84000000	0.4419270469725838	1	0		-1.0		0.0
chr1	84000000	85000000	0.0	0	0		0.0		0.0
chr1	85000000	86000000	0.0608648480602536	1	0		-1.0		0.0
chr1	86000000	87000000	0.6466411071520088	1	1	0.9565215191304853	0.0	-4.907155975108255	0.007339223273644992
chr1	87000000	88000000	0.2613587144884288	1	1	0.9565215191304853	0.0	-4.975399848552183	0.006858394722093504
chr1	88000000	89000000	0.3108424987413616	1	0		-1.0		0.0
chr1	89000000	90000000	1.0048709014661026	2	0		-1.585		0.0
chr1	90000000	91000000	0.7014776626828647	1	1	0.9565215191304853	0.0	-4.89744294636101	0.007410325858879054
chr1	91000000	92000000	1.5928589659792656	1	1	0.9565215191304853	0.0	-4.739555344926911	0.008666763271267109
chr1	92000000	93000000	0.8503133483880201	1	1	0.9565215191304853	0.0	-4.871080143667164	0.007606774876842346
chr1	93000000	94000000	1.9107537853440864	2	2	0.9130433732608817	0.0	-4.215579193572718	0.014548970581223652
chr1	94000000	95000000	1.2040450552822255	2	1	0.9565215191304853	-0.585	-5.384214966177266	0.004567483362222563
chr1	95000000	96000000	0.5351967032699316	3	1	0.9565215191304853	-1.0	-5.911152564209633	0.002701743525937484
chr1	96000000	97000000	0.5015088689795055	1	1	0.9565215191304853	0.0	-4.932862797644333	0.007154292130272239
chr1	97000000	98000000	0.8184157373072414	2	0		-1.585		0.0
chr1	98000000	99000000	0.8673838481013796	2	3	0.8695651507246428	0.415	-3.5242522484982723	0.028630002184923075
chr1	99000000	100000000	0.4630099684981226	2	2	0.9130433732608817	0.0	-4.472013558852252	0.011295249005689708
chr1	100000000	101000000	0.4154424953157969	1	0		-1.0		0.0
chr1	101000000	102000000	0.4272708335001907	2	1	0.9565215191304853	-0.585	-5.5218025712565515	0.003982708228828431
chr1	102000000	103000000	0.2186373819876572	2	1	0.9565215191304853	-0.585	-5.558757166463355	0.0038387698192834446
chr1	103000000	104000000	0.0	0	0		0.0		0.0
chr1	104000000	105000000	0.8373096580022925	1	2	0.9130433732608817	0.585	-3.8299247965175507	0.021249886761476683
