chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	0.0	0	0		0.0		0.0
chr1	1000000	2000000	0.6220229585676842	1	4	0.89130429657609	1.3219	-2.9089247787159174	0.051714138679970975
chr1	2000000	3000000	1.8559682560371211	1	1	0.9565215191304853	0.0	-4.692951613652047	0.009076473622065562
chr1	3000000	4000000	2.915668170842278	3	2	0.9130433732608817	-0.415	-4.446048396970799	0.011588929368581262
chr1	4000000	5000000	0.0458790128738431	1	0		-1.0		0.0
chr1	5000000	6000000	0.6402238925592743	1	2	0.9130433732608817	0.585	-3.8648339859604146	0.020535840167253315
chr1	6000000	7000000	0.4964372026795973	1	1	0.9565215191304853	0.0	-4.933761126142368	0.007147914029972773
chr1	7000000	8000000	1.7881060005284746	1	1	0.9565215191304853	0.0	-4.70497184417578	0.008968998080630874
chr1	8000000	9000000	1.0981976849456498	1	1	0.9565215191304853	0.0	-4.82717316111387	0.007945493327636182
chr1	9000000	10000000	1.557245504059097	1	1	0.9565215191304853	0.0	-4.745863446813888	0.00861273390134309
chr1	10000000	11000000	1.3039126801499377	1	1	0.9565215191304853	0.0	-4.790735503007604	0.008237918790258801
chr1	11000000	12000000	0.5017206340149971	1	1	0.9565215191304853	0.0	-4.932825288361384	0.007154558567694228
chr1	12000000	13000000	0.2018569391569449	1	2	0.9130433732608817	0.585	-3.9424805627561286	0.019030833238995057
chr1	13000000	14000000	0.0	0	0		0.0		0.0
chr1	14000000	15000000	0.3970670199740143	1	0		-1.0		0.0
chr1	15000000	16000000	1.094131902330767	2	0		-1.585		0.0
chr1	16000000	17000000	0.8993188048927334	2	0		-1.585		0.0
chr1	17000000	18000000	0.5618180585055064	1	0		-1.0		0.0
chr1	18000000	19000000	0.4765513638258496	1	1	0.9565215191304853	0.0	-4.937283443008912	0.007122960121730851
chr1	19000000	20000000	0.3534088897666447	1	1	0.9565215191304853	0.0	-4.959095286932459	0.006970348594607268
chr1	20000000	21000000	1.6779834548679684	2	2	0.9130433732608817	0.0	-4.256809079176092	0.013969525156995552
chr1	21000000	22000000	1.1859974145277987	1	2	0.9565216291304475	0.585	-4.235832429954556	0.014261430801879062
chr1	22000000	23000000	0.6421020743761829	1	1	0.9565215191304853	0.0	-4.907959959884641	0.0073333682752898905
chr1	23000000	24000000	0.8412853463725751	1	2	0.9130433732608817	0.585	-3.829220595185851	0.02126453791133924
chr1	24000000	25000000	0.1156801025898772	1	1	0.9565215191304853	0.0	-5.001203448569203	0.0066848550778538475
chr1	25000000	26000000	1.0210899951370904	1	0		-1.0		0.0
chr1	26000000	27000000	0.4587997238134051	1	0		-1.0		0.0
chr1	27000000	28000000	0.2025508914577329	1	0		-1.0		0.0
chr1	28000000	29000000	2.4390100565194257	2	1	0.9565215191304853	-0.585	-5.165469451570523	0.005677958155126193
chr1	29000000	30000000	3.533103763672222	3	4	0.9347825549456553	0.3219	-3.8452205056953224	0.020934080320204922
chr1	30000000	31000000	5.18901117584315	5	7	0.7701863100976052	0.415	-1.6898170311496612	0.15579990382296352
chr1	31000000	32000000	4.169184144722942	3	5	0.7826086596521756	0.585	-1.8367519610795497	0.13743588545580543
chr1	32000000	33000000	0.8161782337122325	1	2	0.9565216291304475	0.585	-4.3013373527158505	0.013369265953154777
chr1	33000000	34000000	0.1887193256528836	1	1	0.9565215191304853	0.0	-4.988266237863323	0.006771310893391983
chr1	34000000	35000000	0.6815184701730135	1	1	0.9565215191304853	0.0	-4.900978256132808	0.007384367428203333
chr1	35000000	36000000	0.056630475803352	0	2	0.9130433732608817	1.585	-2.9839472870942227	0.048156372548491415
chr1	36000000	37000000	1.6532688478054918	1	2	0.9130433732608817	0.585	-3.685396479769471	0.024473259965727193
chr1	37000000	38000000	0.5379167759606793	1	1	0.9565215191304853	0.0	-4.926413978171414	0.0072002446834781115
chr1	38000000	39000000	0.216917904617238	1	1	0.9565215191304853	0.0	-4.9832715111621155	0.00680498561834997
chr1	39000000	40000000	0.0827545433267782	1	0		-1.0		0.0
chr1	40000000	41000000	0.3493213130811359	1	1	0.9565215191304853	0.0	-4.959819306693886	0.006965338890029833
chr1	41000000	42000000	0.3742364892933052	1	0		-1.0		0.0
chr1	42000000	43000000	0.4081337649727077	1	0		-1.0		0.0
chr1	43000000	44000000	0.4197005797043673	1	2	0.9130433732608817	0.585	-3.9038945953743696	0.019764710291952658
chr1	44000000	45000000	1.2198038501758606	3	1	0.9565215191304853	-1.0	-5.78989022681273	0.0030489930892200587
chr1	45000000	46000000	3.5800466388482457	2	0		-1.585		0.0
chr1	46000000	47000000	2.483431459714816	1	3	0.8695651507246428	1.0	-2.662216533851945	0.0652400305066876
chr1	47000000	48000000	1.0990606153573816	1	4	0.89130429657609	1.3219	-2.82442858034858	0.05601828820501826
chr1	48000000	49000000	1.048891962010289	1	3	0.8695651507246428	1.0	-2.916312059097363	0.051353065404066665
chr1	49000000	50000000	0.0653968912940134	1	0		-1.0		0.0
chr1	50000000	51000000	1.125444874015602	1	1	0.9565215191304853	0.0	-4.82234695114944	0.007983625745161845
chr1	51000000	52000000	0.2422974878998176	1	0		-1.0		0.0
chr1	52000000	53000000	0.4325465018479222	2	1	0.9565215191304853	-0.585	-5.520868108509459	0.003986416817582497
chr1	53000000	54000000	1.710126629909427	1	3	0.8695651507246428	1.0	-2.799189616307072	0.057367983218784765
chr1	54000000	55000000	2.196762772894069	1	2	0.9130433732608817	0.585	-3.5891290890255743	0.026879890133853043
chr1	55000000	56000000	0.334405950530837	1	1	0.9565215191304853	0.0	-4.962461218532151	0.006947089035648094
chr1	56000000	57000000	0.4341115160089073	1	3	0.8695651507246428	1.0	-3.0252062098595394	0.04630004352194189
chr1	57000000	58000000	0.2203339611295423	1	2	0.9130433732608817	0.585	-3.9392077852476586	0.019092027883781563
chr1	58000000	59000000	0.5069169416273791	2	1	0.9565215191304853	-0.585	-5.507695103521634	0.004039063800665587
chr1	59000000	60000000	1.8458901389990985	1	4	0.826086909021742	1.3219	-1.9906405273211139	0.12018911426516478
chr1	60000000	61000000	1.0838491990829686	1	1	0.9565215191304853	0.0	-4.829714663845296	0.007925485313854176
chr1	61000000	62000000	0.5505481740830804	1	4	0.89130429657609	1.3219	-2.921584885275883	0.05109680160412712
chr1	62000000	63000000	0.6154274426921291	1	1	0.9565215191304853	0.0	-4.912684754537792	0.007299053647117217
chr1	63000000	64000000	0.3382061559469154	1	1	0.9565215191304853	0.0	-4.961788099951042	0.006951734305793783
chr1	64000000	65000000	0.7105916397311622	1	2	0.9130433732608817	0.585	-3.8523699654809587	0.020788046899091573
chr1	65000000	66000000	0.1012621950189487	1	1	0.9565215191304853	0.0	-5.003757247752173	0.006667918768813762
chr1	66000000	67000000	0.8074084745334171	2	1	0.9565215191304853	-0.585	-5.454469971688222	0.004258927146778912
chr1	67000000	68000000	0.690651074434689	3	1	0.9565215191304853	-1.0	-5.883617414319364	0.002776960657886223
chr1	68000000	69000000	0.9770454103379236	3	0		-2.0		0.0
chr1	69000000	70000000	1.443554207061709	3	0		-2.0		0.0
chr1	70000000	71000000	1.093100260332481	3	0		-2.0		0.0
chr1	71000000	72000000	1.7550256901083494	5	2	0.9130433732608817	-1.0	-5.227419615369062	0.005338702571135213
chr1	72000000	73000000	0.8377226907127984	2	0		-1.585		0.0
chr1	73000000	74000000	0.3510463958024821	1	0		-1.0		0.0
chr1	74000000	75000000	0.7782062777210115	2	2	0.9130433732608817	0.0	-4.41618381566598	0.011936054413715098
chr1	75000000	76000000	0.9514388201212104	3	1	0.9565215191304853	-1.0	-5.837424890987787	0.002907862541319979
chr1	76000000	77000000	0.1843393451356823	1	1	0.9565215191304853	0.0	-4.989042050207189	0.006766095194381906
chr1	77000000	78000000	0.8972613847021145	1	1	0.9565215191304853	0.0	-4.862764383825375	0.007669807546712792
chr1	78000000	79000000	0.6179060748969207	1	0		-1.0		0.0
chr1	79000000	80000000	0.839899489867018	1	0		-1.0		0.0
chr1	80000000	81000000	2.221181248993368	1	2	0.9565216291304475	0.585	-4.052473532855528	0.017082451463929983
chr1	81000000	82000000	0.9659586912345132	1	0		-1.0		0.0
chr1	82000000	83000000	1.8973684710588583	2	2	0.9565216291304475	0.0	-4.685619705366918	0.009142655392812536
chr1	83000000	84000000	1.5862795172145665	1	0		-1.0		0.0
chr1	84000000	85000000	0.271521664344736	1	1	0.9565215191304853	0.0	-4.973599716812406	0.0068706669532685475
chr1	85000000	86000000	1.0046372233163057	2	1	0.9565215191304853	-0.585	-5.419535456050503	0.004409672392378337
chr1	86000000	87000000	1.0744964306479967	1	1	0.9565215191304853	0.0	-4.831371290666507	0.00791247041305189
chr1	87000000	88000000	0.6449338760382886	2	1	0.9565215191304853	-0.585	-5.483248592639209	0.004138607963681121
chr1	88000000	89000000	1.0433315098524862	3	0		-2.0		0.0
chr1	89000000	90000000	6.029841720670556	4	6	0.8985506901932381	0.4854	-2.852330567557857	0.054560972171282605
chr1	90000000	91000000	0.4401175220582125	2	0		-1.585		0.0
chr1	91000000	92000000	0.6439614891583112	1	1	0.9565215191304853	0.0	-4.9076306075200185	0.007335766214535097
chr1	92000000	93000000	0.8517182046887846	1	2	0.9130433732608817	0.585	-3.827372655398964	0.02130303193824667
chr1	93000000	94000000	0.6327333294660331	1	0		-1.0		0.0
