chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	1.168308938549168	1	0		-1.0		0.0
chr1	1000000	2000000	0.5130767851496323	1	2	0.9130433732608817	0.585	-3.8873551581500863	0.020087704571839782
chr1	2000000	3000000	0.7389247528031007	1	1	0.9565215191304853	0.0	-4.890810059606592	0.007459273225735691
chr1	3000000	4000000	0.7925828354112952	1	4	0.826086909021742	1.3219	-2.1772095782104364	0.10181582681216794
chr1	4000000	5000000	0.6102894285594309	1	0		-1.0		0.0
chr1	5000000	6000000	1.2225085869896466	1	2	0.9130433732608817	0.585	-3.7616957067353365	0.02271626788483709
chr1	6000000	7000000	1.8484348511119209	2	10	0.565217378304348	1.8745	1.3597281381972586	0.79571550949714
chr1	7000000	8000000	0.8247038300213623	3	1	0.9565215191304853	-1.0	-5.859873066118498	0.002843497092773628
chr1	8000000	9000000	1.540554672115252	1	9	0.7439613336446597	2.3219	-0.17709113194829484	0.4558425595191308
chr1	9000000	10000000	1.6618462992131158	1	6	0.8115941717874409	1.8074	-1.3894932578776542	0.19948866766459883
chr1	10000000	11000000	1.1610447562865125	1	3	0.9275361607729522	1.0	-3.520006290457247	0.02874832028478816
chr1	11000000	12000000	0.5052538528604322	3	2	0.9130433732608817	-0.415	-4.872997597858418	0.007592313841863995
chr1	12000000	13000000	1.3636544581274077	5	2	0.9130433732608817	-1.0	-5.296741986008051	0.0049829291836194466
chr1	13000000	14000000	1.8166531151253744	3	6	0.8550724309903395	0.8074	-2.8139992439565864	0.056572354558043915
chr1	14000000	15000000	1.3406934159166588	2	4	0.89130429657609	0.737	-3.3573207082560836	0.03365625446098518
chr1	15000000	16000000	1.0708075076392878	1	2	0.9130433732608817	0.585	-3.7885660477050385	0.022127328344630104
chr1	16000000	17000000	1.0502364683387384	2	1	0.9565215191304853	-0.585	-5.411458603420575	0.004445273922961249
chr1	17000000	18000000	0.4612043057308459	1	4	0.826086909021742	1.3219	-2.2359056278409577	0.09657216967515452
chr1	18000000	19000000	0.4428782256772727	1	0		-1.0		0.0
chr1	19000000	20000000	0.9569403226934848	1	2	0.9130433732608817	0.585	-3.808734988478937	0.021695099216049608
chr1	20000000	21000000	0.4305295429048597	1	3	0.8695651507246428	1.0	-3.0258406736290935	0.046272035981076945
chr1	21000000	22000000	0.4767721843695423	1	2	0.9130433732608817	0.585	-3.8937856793164975	0.01996151484699134
chr1	22000000	23000000	0.4615276724246682	1	0		-1.0		0.0
chr1	23000000	24000000	0.51680721125128	1	1	0.9565215191304853	0.0	-4.930153049797619	0.007173565490055
chr1	24000000	25000000	1.4713263826950014	2	3	0.8695651507246428	0.415	-3.417277783318908	0.03175983304337791
chr1	25000000	26000000	0.9771663954393092	2	3	0.8695651507246428	0.415	-3.5048068068961076	0.029175771562328083
chr1	26000000	27000000	0.4813113953620052	2	2	0.9130433732608817	0.0	-4.4687718839599535	0.011331508360432332
chr1	27000000	28000000	0.9767680114067336	1	1	0.9565215191304853	0.0	-4.848681622001578	0.007777737723784261
chr1	28000000	29000000	0.8925540923155353	2	3	0.8695651507246428	0.415	-3.5197939213247187	0.028754250618259754
chr1	29000000	30000000	1.0980246281146455	3	2	0.9130433732608817	-0.415	-4.768001951708996	0.00842574487799031
chr1	30000000	31000000	0.4289323660109581	1	4	0.826086909021742	1.3219	-2.241621856280073	0.09607460048240524
chr1	31000000	32000000	1.1518160226202885	1	2	0.9130433732608817	0.585	-3.7742172610760294	0.022439941414833405
chr1	32000000	33000000	1.0752890556874737	1	2	0.9130433732608817	0.585	-3.787772245019899	0.022144510933761144
chr1	33000000	34000000	0.6556003012078078	1	6	0.7391304064492765	1.8074	-0.7882770717129448	0.3125387351992377
chr1	34000000	35000000	0.506808756092699	1	1	0.9565215191304853	0.0	-4.9319240451025435	0.007160963277165855
chr1	35000000	36000000	0.6180154546755601	2	3	0.8695651507246428	0.415	-3.5684220974348335	0.027426869556548526
chr1	36000000	37000000	0.8077515272307614	2	2	0.9130433732608817	0.0	-4.410950557394109	0.011997931192333791
chr1	37000000	38000000	0.8066327117798826	1	2	0.9130433732608817	0.585	-3.8353585087128446	0.02113716812964055
chr1	38000000	39000000	1.9408139391513777	2	5	0.8521738738434801	1.0	-2.5712611186532923	0.07101106496463015
chr1	39000000	40000000	1.7191279053132231	1	6	0.913043443260871	1.8074	-2.4705763247679204	0.07794680395794608
chr1	40000000	41000000	1.3417985260182537	2	0		-1.585		0.0
chr1	41000000	42000000	0.9791495894312168	2	5	0.7826086596521756	1.0	-1.9933263059117499	0.11990539970791997
chr1	42000000	43000000	1.760440478197015	3	4	0.826086909021742	0.3219	-2.990032748325902	0.04787819696671674
chr1	43000000	44000000	1.4116311081319308	2	3	0.8695651507246428	0.415	-3.4278514218761202	0.03143628643426191
chr1	44000000	45000000	1.168024954997335	2	2	0.9130433732608817	0.0	-4.347136444219256	0.012778423253000095
chr1	45000000	46000000	1.1992009888673438	2	5	0.9043477844869585	1.0	-3.2638242908364914	0.03683329586872729
chr1	46000000	47000000	1.3868986522441662	2	1	0.9565215191304853	-0.585	-5.35182667652933	0.004717128816286355
chr1	47000000	48000000	0.5498026671907343	1	2	0.9130433732608817	0.585	-3.8808500167425004	0.020216153554381253
chr1	48000000	49000000	1.4274648445691942	3	2	0.9130433732608817	-0.415	-4.709649229479368	0.008927518227494909
chr1	49000000	50000000	0.5427904423395176	1	0		-1.0		0.0
chr1	50000000	51000000	0.5459185799107771	1	2	0.9130433732608817	0.585	-3.881537993057603	0.0202025309876374
chr1	51000000	52000000	0.3644410463548424	1	3	0.8695651507246428	1.0	-3.0375467237381546	0.04575817223298385
chr1	52000000	53000000	0.4894309511853332	2	2	0.9130433732608817	0.0	-4.467333692258024	0.011347631902309478
chr1	53000000	54000000	0.6110316743673438	1	4	0.89130429657609	1.3219	-2.9108716307450715	0.05161874875336402
chr1	54000000	55000000	0.6995296456823432	1	5	0.7826086596521756	1.585	-1.467064297002521	0.1873892365043832
chr1	55000000	56000000	1.258780759538213	1	6	0.8115941717874409	1.8074	-1.4608870049134834	0.18833169761213647
chr1	56000000	57000000	0.8715742901274317	1	2	0.9130433732608817	0.585	-3.8238556086624165	0.021376483180743193
chr1	57000000	58000000	0.1062448315214878	1	1	0.9565215191304853	0.0	-5.002874688825601	0.006673766906336302
chr1	58000000	59000000	0.8252687307509152	1	3	0.8695651507246428	1.0	-2.955921747429299	0.049457378329240985
chr1	59000000	60000000	0.729275420368078	1	1	0.9565215191304853	0.0	-4.8925192158879405	0.007446629907387886
chr1	60000000	61000000	0.5638787546398549	1	2	0.9130433732608817	0.585	-3.8783567630959412	0.020265597698575766
chr1	61000000	62000000	0.3450173715427298	1	2	0.9130433732608817	0.585	-3.9171230000542057	0.019510043844867198
chr1	62000000	63000000	0.8663800109656874	3	1	0.9565215191304853	-1.0	-5.852491093642859	0.0028645050269145433
chr1	63000000	64000000	0.6258457908135062	2	3	0.9275361607729522	0.415	-4.190594641757139	0.014911560457072892
chr1	64000000	65000000	1.018389537606928	1	4	0.89130429657609	1.3219	-2.8387175977690946	0.05526745763140409
chr1	65000000	66000000	0.218227117231355	1	0		-1.0		0.0
chr1	66000000	67000000	0.3579019689419391	1	2	0.9130433732608817	0.585	-3.9148407913391674	0.01955374904010452
chr1	67000000	68000000	0.7644333945747341	2	5	0.9043477844869585	1.0	-3.340833324333471	0.03419662462427447
chr1	68000000	69000000	1.0649842891569294	2	4	0.826086909021742	0.737	-2.7046517501529816	0.06269942430186656
chr1	69000000	70000000	1.419390374814795	2	3	0.9275361607729522	0.415	-4.050036554510248	0.017123418084907145
chr1	70000000	71000000	0.4926972031778889	1	0		-1.0		0.0
chr1	71000000	72000000	1.1778959802329658	1	1	0.9565215191304853	0.0	-4.813056449629384	0.00805754282080922
chr1	72000000	73000000	0.2010881280977781	1	2	0.9130433732608817	0.585	-3.9426167398709486	0.019028291161155942
chr1	73000000	74000000	0.8797827985050941	1	4	0.9347825549456553	1.3219	-3.330938218467838	0.03452494301559399
chr1	74000000	75000000	0.4296170656580567	1	1	0.9565215191304853	0.0	-4.94559676945552	0.007064406675477189
chr1	75000000	76000000	0.2912108119398917	2	2	0.9130433732608817	0.0	-4.5024438098089075	0.010960419341798781
chr1	76000000	77000000	0.8950967235576477	2	6	0.7391304064492765	1.2224	-1.3216460353354442	0.21054456644937575
chr1	77000000	78000000	0.3810190577593828	1	0		-1.0		0.0
chr1	78000000	79000000	0.960299670268956	2	1	0.9565215191304853	-0.585	-5.427388829099965	0.004375328146781882
chr1	79000000	80000000	1.0274586138680433	1	5	0.8521738738434801	1.585	-2.1572506893591763	0.10365561480645616
chr1	80000000	81000000	0.8495669309605285	2	0		-1.585		0.0
chr1	81000000	82000000	1.302410042889214	2	3	0.8695651507246428	0.415	-3.447197409898841	0.030852548583911323
chr1	82000000	83000000	2.010199558338191	3	4	0.826086909021742	0.3219	-2.945793698265005	0.04993569005751195
chr1	83000000	84000000	2.213327497929652	1	1	0.9565215191304853	0.0	-4.6296536811689855	0.009663836890707208
chr1	84000000	85000000	0.1978539724766785	1	0		-1.0		0.0
chr1	85000000	86000000	1.047504399083845	1	1	0.9565215191304853	0.0	-4.836152305374508	0.007875028262152724
chr1	86000000	87000000	0.8284381224560455	1	4	0.826086909021742	1.3219	-2.170858642590302	0.10239808632209221
chr1	87000000	88000000	1.047702781251485	1	6	0.9275361963285038	1.8074	-2.745393654240295	0.060347327056931604
chr1	88000000	89000000	1.898378311332076	2	9	0.7439613336446597	1.737	-0.6894027375176961	0.3341659504288816
chr1	89000000	90000000	1.6511221479770395	2	5	0.7826086596521756	1.0	-1.8743018939053702	0.1330447418087891
chr1	90000000	91000000	0.7162376690111154	1	2	0.9130433732608817	0.585	-3.8513699018523617	0.020808413857327793
chr1	91000000	92000000	1.0198366612606011	3	4	0.826086909021742	0.3219	-3.121213601947807	0.04224064662238713
chr1	92000000	93000000	1.261242403014205	1	3	0.8695651507246428	1.0	-2.8786990850877068	0.0532166444344438
chr1	93000000	94000000	1.1394569763771618	4	3	0.8695651507246428	-0.3219	-4.201359607489211	0.014754254623712673
chr1	94000000	95000000	3.1376124982861824	1	6	0.8115941717874409	1.8074	-1.1280953750776774	0.24451276393893454
chr1	95000000	96000000	0.8812829529727928	3	3	0.8695651507246428	0.0	-3.9302569102507823	0.01926037914733559
chr1	96000000	97000000	0.5403517950513104	1	2	0.9130433732608817	0.585	-3.88252402036815	0.02018302241071444
chr1	97000000	98000000	0.7731621509050397	1	0		-1.0		0.0
chr1	98000000	99000000	0.4814368220676299	1	1	0.9565215191304853	0.0	-4.936418096965812	0.0071290826533391164
chr1	99000000	100000000	0.4475229340127185	1	1	0.9565215191304853	0.0	-4.942425158613272	0.007086688759503782
chr1	100000000	101000000	0.549636679204907	2	0		-1.585		0.0
chr1	101000000	102000000	0.2790567486702833	1	0		-1.0		0.0
chr1	102000000	103000000	0.1808220798289395	1	1	0.9565215191304853	0.0	-4.989665052485603	0.006761909709007463
chr1	103000000	104000000	0.3833824984471161	1	1	0.9565215191304853	0.0	-4.953786154731253	0.007007193505769721
chr1	104000000	105000000	0.4997247169548067	1	1	0.9565215191304853	0.0	-4.933178818950514	0.007152047746310967
chr1	105000000	106000000	0.2110396832873249	2	1	0.9565215191304853	-0.585	-5.560102923234086	0.0038336270347633337
chr1	106000000	107000000	0.6569745383385812	1	2	0.9130433732608817	0.585	-3.861866996104573	0.020595603529021782
chr1	107000000	108000000	0.6698066390314277	1	1	0.9565215191304853	0.0	-4.9030527364034935	0.00736917735126493
chr1	108000000	109000000	1.7743166816305638	1	1	0.9565215191304853	0.0	-4.707414303399627	0.00894731416391236
chr1	109000000	110000000	0.2103625310017811	1	0		-1.0		0.0
chr1	110000000	111000000	0.5492985216318762	1	1	0.9565215191304853	0.0	-4.924397964914784	0.007214670281794274
chr1	111000000	112000000	0.6575267127454958	1	1	0.9565215191304853	0.0	-4.905227841602473	0.0073532837705112715
chr1	112000000	113000000	0.5297895901052896	3	3	0.8695651507246428	0.0	-3.9925158378028014	0.018118878498657946
chr1	113000000	114000000	0.7381130889834564	1	2	0.9130433732608817	0.585	-3.84749517666234	0.0208875097863441
chr1	114000000	115000000	0.2394245063790432	1	0		-1.0		0.0
chr1	115000000	116000000	0.5519877609198929	2	3	0.9275361607729522	0.415	-4.203676885173538	0.014720607212196611
chr1	116000000	117000000	0.7950994219609306	1	3	0.8695651507246428	1.0	-2.961265543383017	0.04920676326756744
chr1	117000000	118000000	0.4801592997145825	1	0		-1.0		0.0
chr1	118000000	119000000	1.0890788894839702	2	1	0.9565215191304853	-0.585	-5.404578566015893	0.004475825664785507
chr1	119000000	120000000	1.4961621564994778	2	1	0.9565215191304853	-0.585	-5.332473171416133	0.004808867647638059
chr1	120000000	121000000	0.0	0	0		0.0		0.0
chr1	121000000	122000000	0.0	0	0		0.0		0.0
chr1	122000000	123000000	0.0	0	0		0.0		0.0
chr1	123000000	124000000	0.0	0	0		0.0		0.0
chr1	124000000	125000000	3.3796243596140867	1	1	0.9565215191304853	0.0	-4.423071140823463	0.011855100601527759
chr1	125000000	126000000	0.3851415536148781	1	1	0.9565215191304853	0.0	-4.953474578753385	0.007009361813365553
chr1	126000000	127000000	0.0	0	0		0.0		0.0
chr1	127000000	128000000	0.0	0	0		0.0		0.0
