chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	0.0	0	0		0.0		0.0
chr1	1000000	2000000	2.1057223016951303	1	2	0.9130433732608817	0.585	-3.60525480489809	0.02646128671622883
chr1	2000000	3000000	0.5266675911853165	1	2	0.9130433732608817	0.585	-3.8849478608929022	0.020135145049973182
chr1	3000000	4000000	0.6651931216261651	2	4	0.89130429657609	0.737	-3.4769699771370233	0.029974655919650813
chr1	4000000	5000000	1.2119033938186998	4	4	0.9347825549456553	0.0	-4.5731997771292985	0.010219356006473997
chr1	5000000	6000000	2.498212680690781	3	9	0.8019323466559318	1.3219	-1.6152804708997488	0.1658567797874077
chr1	6000000	7000000	0.6823567425917898	1	2	0.9130433732608817	0.585	-3.8573711251076954	0.020686487384599172
chr1	7000000	8000000	2.2440824741702494	1	6	0.8550724309903395	1.8074	-1.7540332212633007	0.14753921273427398
chr1	8000000	9000000	0.4185011284765743	1	3	0.8695651507246428	1.0	-3.0279712293139776	0.04617810340680768
chr1	9000000	10000000	0.7439494436584697	1	3	0.9275361607729522	1.0	-3.593885087596825	0.026755765293806792
chr1	10000000	11000000	0.9779922212956156	1	2	0.9130433732608817	0.585	-3.80500613107119	0.02177438337269133
chr1	11000000	12000000	1.912905447925529	1	5	0.7826086596521756	1.585	-1.2521428101529715	0.2223294285484622
chr1	12000000	13000000	0.6526633406772939	1	4	0.89130429657609	1.3219	-2.9034975430083474	0.051980937614976436
chr1	13000000	14000000	1.1140899543441003	2	0		-1.585		0.0
chr1	14000000	15000000	0.4361958458377146	2	1	0.9565215191304853	-0.585	-5.520221711544181	0.003988984176147442
chr1	15000000	16000000	0.8467616975881409	1	2	0.9130433732608817	0.585	-3.8282505861057423	0.02128473546464688
chr1	16000000	17000000	0.4377590465092504	1	1	0.9565215191304853	0.0	-4.9441546056780625	0.007074529929301039
chr1	17000000	18000000	0.9063498164586012	1	1	0.9565215191304853	0.0	-4.861154578138939	0.007682069463777286
chr1	18000000	19000000	0.9358395619377288	1	1	0.9565215191304853	0.0	-4.855931151123606	0.007721990506284564
chr1	19000000	20000000	0.6486158927006573	2	1	0.9565215191304853	-0.585	-5.482596408464926	0.0041412967970930435
chr1	20000000	21000000	0.5646730230059154	1	4	0.89130429657609	1.3219	-2.919082994660948	0.051218244398372234
chr1	21000000	22000000	0.6751283129880004	2	1	0.9565215191304853	-0.585	-5.477900345812611	0.004160709215008415
chr1	22000000	23000000	1.0713579666722568	1	2	0.9130433732608817	0.585	-3.788468546606371	0.02212943814339746
chr1	23000000	24000000	0.3977406387383579	1	6	0.8115941717874409	1.8074	-1.6134003669380972	0.16611705242293864
chr1	24000000	25000000	0.720948267647926	2	3	0.8695651507246428	0.415	-3.5501899280041185	0.027917419048748192
chr1	25000000	26000000	0.6363999262015989	1	1	0.9565215191304853	0.0	-4.908969963678728	0.0073260195191158835
chr1	26000000	27000000	0.733568100373835	1	2	0.9130433732608817	0.585	-3.8483002163770665	0.020871052089341792
chr1	27000000	28000000	0.6816698232394205	1	4	0.89130429657609	1.3219	-2.8983597148523854	0.052234707817734
