chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	0.7596212962154363	1	0		-1.0		0.0
chr1	1000000	2000000	0.902481113340354	2	1	0.9565215191304853	-0.585	-5.437630050492066	0.0043309411827439056
chr1	2000000	3000000	0.5374922505381177	2	2	0.9130433732608817	0.0	-4.458820743592224	0.011443535877545392
chr1	3000000	4000000	0.4845829967867692	3	4	0.89130429657609	0.3219	-3.917525880240218	0.019502338479525365
chr1	4000000	5000000	0.1135813135524865	1	1	0.9565215191304853	0.0	-5.001575200552114	0.00668238703495588
chr1	5000000	6000000	0.0790681831914437	1	0		-1.0		0.0
chr1	6000000	7000000	0.5645972376814301	1	1	0.9565215191304853	0.0	-4.921688150861973	0.007234105588084603
chr1	7000000	8000000	0.678205427145369	1	3	0.9275361607729522	1.0	-3.605530121026975	0.02645419519806038
chr1	8000000	9000000	1.0295924851280231	2	3	0.8695651507246428	0.415	-3.495520736476065	0.02943994840135965
chr1	9000000	10000000	0.6719162686277986	1	4	0.826086909021742	1.3219	-2.1985828723689274	0.09987781984851826
chr1	10000000	11000000	0.7355283231313887	1	5	0.8521738738434801	1.585	-2.2089593949601536	0.09894881267334033
chr1	11000000	12000000	0.8464428467375313	3	1	0.9565215191304853	-1.0	-5.856022501613546	0.0028544359552148246
chr1	12000000	13000000	0.826850714682037	1	7	0.9192546281810126	2.0	-2.5058647585063802	0.07544805999801464
chr1	13000000	14000000	1.465351724160926	4	3	0.8695651507246428	-0.3219	-4.143634883112263	0.015617309023215589
chr1	14000000	15000000	1.019604499445251	4	5	0.9043477844869585	0.263	-4.021032911907728	0.01761845374460641
chr1	15000000	16000000	0.9296468951009064	4	6	0.8115941717874409	0.4854	-2.8203729377132625	0.05623313813024998
chr1	16000000	17000000	0.7247151005706209	2	0		-1.585		0.0
chr1	17000000	18000000	0.737035306708445	2	1	0.9565215191304853	-0.585	-5.466934952311121	0.0042063911194891584
chr1	18000000	19000000	0.5421130312896878	3	4	0.89130429657609	0.3219	-3.907335763929167	0.019698150923204302
chr1	19000000	20000000	0.7872575773710455	1	0		-1.0		0.0
chr1	20000000	21000000	0.9053785693716234	3	5	0.8521738738434801	0.585	-3.163131136446024	0.04057698139238009
chr1	21000000	22000000	1.0077944449204337	3	5	0.8869564809391324	0.585	-3.5191262464727675	0.02877290293814378
chr1	22000000	23000000	1.0426693741401645	2	5	0.7826086596521756	1.0	-1.9820752437521358	0.12109778950085259
chr1	23000000	24000000	1.3187959566729797	1	11	0.7114624357168525	2.585	0.3921586178686036	0.5968022344224675
chr1	24000000	25000000	1.211206371461551	4	5	0.7826086596521756	0.263	-2.677620061692715	0.06430693257870379
chr1	25000000	26000000	0.9672650691503462	1	3	0.9275361607729522	1.0	-3.5543298845189977	0.0278052880657512
chr1	26000000	27000000	0.528125716335047	2	6	0.7391304064492765	1.2224	-1.386646469955246	0.19994366853736684
chr1	27000000	28000000	1.1785267065412777	3	3	0.8695651507246428	0.0	-3.8776070474831412	0.020280488584555466
chr1	28000000	29000000	1.187704384897044	2	4	0.826086909021742	0.737	-2.682914720789099	0.06398907871140233
chr1	29000000	30000000	0.9271032213987392	4	5	0.8521738738434801	0.263	-3.476213802053568	0.029996650415673017
chr1	30000000	31000000	0.5581569020185269	2	2	0.9565216291304475	0.0	-4.922830090716749	0.0072259090480779695
chr1	31000000	32000000	0.7456963410304684	2	5	0.8869564809391324	1.0	-3.1570843024578457	0.040813042674204915
chr1	32000000	33000000	0.9875934490711282	4	2	0.9130433732608817	-0.737	-5.104492969170128	0.006032799946318818
chr1	33000000	34000000	0.5507915471644704	5	3	0.9275361607729522	-0.585	-5.18814555481197	0.005551359753350286
chr1	34000000	35000000	0.7302131337159072	3	4	0.89130429657609	0.3219	-3.874018177065099	0.020351919436435415
chr1	35000000	36000000	0.5235698100664972	3	3	0.8695651507246428	0.0	-3.9936175281211206	0.018099289185321752
chr1	36000000	37000000	0.6801805832428052	1	3	0.8695651507246428	1.0	-2.981620760322948	0.04826312651301266
chr1	37000000	38000000	0.7206398228272652	4	3	0.9275361607729522	-0.3219	-4.899102896402614	0.007398126219013293
chr1	38000000	39000000	1.299441255936543	4	4	0.89130429657609	0.0	-4.09002482798	0.016463242739103462
chr1	39000000	40000000	1.2467055078102387	2	4	0.826086909021742	0.737	-2.6724640351574473	0.06461787652194512
chr1	40000000	41000000	1.0184677269905844	4	7	0.819875749458741	0.6781	-2.704054077950114	0.06273455760677946
chr1	41000000	42000000	1.4362131454742313	3	2	0.9565216291304475	-0.415	-5.175769282766605	0.005620103278727179
chr1	42000000	43000000	1.2040007830042967	4	3	0.8695651507246428	-0.3219	-4.189927163508056	0.014921368357751869
chr1	43000000	44000000	0.8943350371879832	2	9	0.7439613336446597	1.737	-0.8672458038961448	0.2958277159127568
chr1	44000000	45000000	0.964883764921356	2	2	0.9130433732608817	0.0	-4.383118212217927	0.012332376202596728
chr1	45000000	46000000	0.8384955130097311	4	4	0.89130429657609	0.0	-4.17167071562969	0.015192104866038681
chr1	46000000	47000000	1.019207891348116	2	2	0.9130433732608817	0.0	-4.373495948446178	0.012450129799546515
chr1	47000000	48000000	1.1315923737481128	3	2	0.9130433732608817	-0.415	-4.762056201193455	0.008475565615402901
chr1	48000000	49000000	0.9560130648826162	3	5	0.8521738738434801	0.585	-3.154162405537611	0.04092758075509645
