chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	0.1208616088178846	1	0		-1.0		0.0
chr1	1000000	2000000	0.256690627945785	1	0		-1.0		0.0
chr1	2000000	3000000	1.1153396407381604	1	1	0.9565215191304853	0.0	-4.824136859730882	0.007969462347604348
chr1	3000000	4000000	0.9652991157510806	1	1	0.9565215191304853	0.0	-4.8507130718642495	0.007762076194203105
chr1	4000000	5000000	0.3296624308956435	1	0		-1.0		0.0
chr1	5000000	6000000	0.0487501635775062	2	0		-1.585		0.0
chr1	6000000	7000000	0.1004827204402007	1	2	0.9130433732608817	0.585	-3.960436663227668	0.01869849599680357
chr1	7000000	8000000	1.7698987777300692	2	2	0.9565216291304475	0.0	-4.708198016198428	0.008940367452726779
chr1	8000000	9000000	1.0589663706076888	2	1	0.9565215191304853	-0.585	-5.409912302948598	0.004452122342936143
chr1	9000000	10000000	0.8906171058586234	2	2	0.9130433732608817	0.0	-4.396272834849764	0.012173172700733956
chr1	10000000	11000000	0.5405500684021391	1	1	0.9565215191304853	0.0	-4.925947551260822	0.0072035796566468566
chr1	11000000	12000000	0.4594591975307778	1	0		-1.0		0.0
chr1	12000000	13000000	0.3985622790989493	1	1	0.9565215191304853	0.0	-4.951097407336002	0.007025926879935723
chr1	13000000	14000000	0.7008300901778064	1	3	0.8695651507246428	1.0	-2.9779631773012865	0.04843141105259065
chr1	14000000	15000000	0.5822642092947499	1	0		-1.0		0.0
chr1	15000000	16000000	0.1671764420523933	1	0		-1.0		0.0
chr1	16000000	17000000	1.0136651694707015	1	3	0.9275361607729522	1.0	-3.5461111788777746	0.028028321682466387
chr1	17000000	18000000	0.9346062646430487	2	0		-1.585		0.0
chr1	18000000	19000000	0.1149845834966893	1	1	0.9565215191304853	0.0	-5.001326643705751	0.006684037091189586
chr1	19000000	20000000	0.2707640113027758	1	0		-1.0		0.0
chr1	20000000	21000000	0.3436744225574357	1	0		-1.0		0.0
chr1	21000000	22000000	0.221803439135344	1	0		-1.0		0.0
chr1	22000000	23000000	0.2317807462818089	1	2	0.9130433732608817	0.585	-3.9371802517497727	0.019130035609368153
chr1	23000000	24000000	0.1150238383866835	1	1	0.9565215191304853	0.0	-5.00131969060902	0.006684083255465381
chr1	24000000	25000000	0.4015387467841442	1	3	0.8695651507246428	1.0	-3.0309757232944134	0.04604594870087425
chr1	25000000	26000000	0.0	0	0		0.0		0.0
chr1	26000000	27000000	0.3936761549963665	1	0		-1.0		0.0
chr1	27000000	28000000	0.2823936404694995	1	2	0.9130433732608817	0.585	-3.928215347016658	0.01929898095921891
chr1	28000000	29000000	0.6215893774459293	2	4	0.826086909021742	0.737	-2.7831889135860086	0.0582394047676984
chr1	29000000	30000000	0.3188459583102845	1	0		-1.0		0.0
chr1	30000000	31000000	0.117164056859305	1	1	0.9565215191304853	0.0	-5.000940600358936	0.006686600660407849
chr1	31000000	32000000	0.5332898638364716	1	1	0.9565215191304853	0.0	-4.927233528743808	0.007194388572676308
chr1	32000000	33000000	0.379343697304749	3	2	0.9130433732608817	-0.415	-4.895299672608432	0.007426107177507667
chr1	33000000	34000000	0.1761880167431626	2	1	0.9565215191304853	-0.585	-5.5662760906724085	0.0038101242002426617
chr1	34000000	35000000	0.2299603129250553	1	0		-1.0		0.0
chr1	35000000	36000000	0.1234633578706736	1	0		-1.0		0.0
chr1	36000000	37000000	0.2157811411134851	1	2	0.9565216291304475	0.585	-4.407683824767555	0.012036716774704984
chr1	37000000	38000000	0.5743462253474525	1	0		-1.0		0.0
chr1	38000000	39000000	0.1062858340807815	1	3	0.8695651507246428	1.0	-3.083272954603588	0.04380252654138305
chr1	39000000	40000000	0.5683206775548548	3	2	0.9130433732608817	-0.415	-4.861826767099186	0.007676947025544576
chr1	40000000	41000000	0.0023806681339952	0	1	0.9565215191304853	1.0	-4.037015037450749	0.01734395648977878
chr1	41000000	42000000	0.3052970731394233	2	1	0.9565215191304853	-0.585	-5.5434074045529655	0.003897917127600103
chr1	42000000	43000000	0.7432056207051967	1	1	0.9565215191304853	0.0	-4.8900518027723745	0.007464889177786959
chr1	43000000	44000000	0.6611230456743895	1	2	0.9130433732608817	0.585	-3.8611321838863226	0.02061043096093494
chr1	44000000	45000000	0.2914769370856578	1	1	0.9565215191304853	0.0	-4.970065101337103	0.006894827350685571
chr1	45000000	46000000	0.7991225107096023	1	2	0.9130433732608817	0.585	-3.836688767300151	0.021109662088709836
chr1	46000000	47000000	1.2177218924247	1	4	0.826086909021742	1.3219	-2.10190601761345	0.10891170435706783
chr1	47000000	48000000	2.561081933278228	3	3	0.8695651507246428	0.0	-3.632719334680073	0.02576289738860651
chr1	48000000	49000000	1.983501572513974	4	1	0.9565215191304853	-1.3219	-5.971451081522518	0.00254404900144458
chr1	49000000	50000000	0.516417246017832	3	2	0.9130433732608817	-0.415	-4.871020260704307	0.007607226941379864
chr1	50000000	51000000	0.6597872575296573	1	1	0.9565215191304853	0.0	-4.904827438326585	0.00735620697588791
chr1	51000000	52000000	1.380892330748595	4	3	0.8695651507246428	-0.3219	-4.158594913118656	0.0153889811766247
chr1	52000000	53000000	0.2653767494704158	3	0		-2.0		0.0
chr1	53000000	54000000	0.2711733527454578	1	3	0.8695651507246428	1.0	-3.054066940598009	0.0450422164446916
chr1	54000000	55000000	0.5099742799626248	1	4	0.826086909021742	1.3219	-2.2272671537951334	0.09732847287252983
chr1	55000000	56000000	0.0485425698839381	1	1	0.9565215191304853	0.0	-5.013095311194036	0.006606352569744873
chr1	56000000	57000000	0.3632655791697514	1	1	0.9565215191304853	0.0	-4.957349402155448	0.006982443602955032
chr1	57000000	58000000	0.3546795341178255	1	3	0.8695651507246428	1.0	-3.0392757500793772	0.045682734668235817
chr1	58000000	59000000	0.1601397002316469	2	2	0.9130433732608817	0.0	-4.525660028691203	0.010711585182573147
chr1	59000000	60000000	0.8496580130229958	2	2	0.9130433732608817	0.0	-4.403527791736137	0.01208623999192585
chr1	60000000	61000000	0.1956019496837591	1	1	0.9565215191304853	0.0	-4.987047140047619	0.0067795148192383
chr1	61000000	62000000	0.4299108653169288	1	0		-1.0		0.0
