chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	3.164225671415972	1	1	0.9565215191304853	0.0	-4.461224041390128	0.011416380273397114
chr1	1000000	2000000	1.747260083165771	1	2	0.9130433732608817	0.585	-3.6687481042067542	0.024873891044991697
chr1	2000000	3000000	0.7332438326610564	1	0		-1.0		0.0
chr1	3000000	4000000	0.5080385796825846	1	2	0.9130433732608817	0.585	-3.888247559834733	0.020070145889787568
chr1	4000000	5000000	1.2944340574989712	2	0		-1.585		0.0
chr1	5000000	6000000	0.8979164772016559	1	0		-1.0		0.0
chr1	6000000	7000000	1.2137744623250208	2	1	0.9565215191304853	-0.585	-5.382491626529371	0.004575325428848901
chr1	7000000	8000000	0.7863924626593444	1	2	0.9130433732608817	0.585	-3.8389436011690723	0.021063118380315635
chr1	8000000	9000000	1.0405695677986602	1	1	0.9565215191304853	0.0	-4.837380650499	0.007865436985844933
chr1	9000000	10000000	1.2638448044951345	1	3	0.9275361607729522	1.0	-3.5017976372367388	0.029261125791122902
chr1	10000000	11000000	1.540282275701118	1	0		-1.0		0.0
chr1	11000000	12000000	1.5255865087807785	2	0		-1.585		0.0
chr1	12000000	13000000	0.3146113390005403	1	1	0.9565215191304853	0.0	-4.9659673765862635	0.006922942425333957
chr1	13000000	14000000	0.4746225382291609	2	0		-1.585		0.0
chr1	14000000	15000000	0.830723421994723	1	2	0.9130433732608817	0.585	-3.8310913960433295	0.021225636987125193
chr1	15000000	16000000	0.4606303874296955	1	2	0.9130433732608817	0.585	-3.896644825668619	0.019905657917724383
chr1	16000000	17000000	0.5373014493463351	1	0		-1.0		0.0
chr1	17000000	18000000	1.8967851290342297	1	1	0.9565215191304853	0.0	-4.685721847723907	0.00914173012472326
chr1	18000000	19000000	0.6110869262583676	2	0		-1.585		0.0
chr1	19000000	20000000	1.213285676214959	1	2	0.9130433732608817	0.585	-3.763329332272546	0.022680029270790908
chr1	20000000	21000000	0.7741384592123741	2	3	0.8695651507246428	0.415	-3.5407685145922887	0.028174238062722724
chr1	21000000	22000000	0.6099992282004538	1	0		-1.0		0.0
chr1	22000000	23000000	0.9107015326574596	1	0		-1.0		0.0
chr1	23000000	24000000	0.6146692039779054	2	2	0.9130433732608817	0.0	-4.445150629557369	0.011599217469043695
chr1	24000000	25000000	0.5921155325085512	1	0		-1.0		0.0
chr1	25000000	26000000	3.547610407927648	1	6	0.8115941717874409	1.8074	-1.0554737188830785	0.25817538263041834
chr1	26000000	27000000	1.4380367123507796	1	2	0.9130433732608817	0.585	-3.7235198793660453	0.023579402471517973
chr1	27000000	28000000	0.1920256640593818	1	1	0.9565215191304853	0.0	-4.9876805964115665	0.0067752507396242724
chr1	28000000	29000000	0.7934289922658295	1	1	0.9565215191304853	0.0	-4.8811558929722505	0.007531090063602838
chr1	29000000	30000000	0.8559553282148582	1	2	0.9130433732608817	0.585	-3.826622146870193	0.021318685073154472
chr1	30000000	31000000	1.049170561450909	2	3	0.8695651507246428	0.415	-3.492052932630637	0.029539196640219603
chr1	31000000	32000000	0.6991517440001416	1	1	0.9565215191304853	0.0	-4.897854929112485	0.007407296170505216
chr1	32000000	33000000	0.6366619142392853	1	2	0.9130433732608817	0.585	-3.8654649081159764	0.02052315356183845
chr1	33000000	34000000	2.5791557315802014	2	2	0.9130433732608817	0.0	-4.09718723303368	0.01634766837381385
chr1	34000000	35000000	0.7616549439056928	2	0		-1.585		0.0
chr1	35000000	36000000	0.3622506766913957	1	1	0.9565215191304853	0.0	-4.957529168678938	0.006981197268236969
chr1	36000000	37000000	0.2722352980543587	1	2	0.9130433732608817	0.585	-3.930014662654692	0.019264955596123217
chr1	37000000	38000000	1.6649299271152225	1	2	0.9130433732608817	0.585	-3.6833309890131165	0.02452262061628329
chr1	38000000	39000000	0.8885780736291999	1	0		-1.0		0.0
chr1	39000000	40000000	0.1929395418991251	2	1	0.9565215191304853	-0.585	-5.563308945055312	0.0038214029163870893
chr1	40000000	41000000	0.591588815793338	1	2	0.9130433732608817	0.585	-3.8734485660371334	0.020363279284292136
chr1	41000000	42000000	0.4623390088303494	1	1	0.9565215191304853	0.0	-4.9398008333026855	0.007105178646785663
chr1	42000000	43000000	0.3597871374586576	1	0		-1.0		0.0
chr1	43000000	44000000	3.121041990130057	1	4	0.826086909021742	1.3219	-1.7647768408215425	0.14619308307532664
chr1	44000000	45000000	0.4156683684250715	1	1	0.9565215191304853	0.0	-4.948067458868796	0.007047097112489617
chr1	45000000	46000000	0.3461803317806811	1	0		-1.0		0.0
chr1	46000000	47000000	1.912623640167892	2	5	0.8521738738434801	1.0	-2.5762543787472083	0.07068237187904616
chr1	47000000	48000000	2.120852631798896	2	2	0.9565216291304475	0.0	-4.646034650164089	0.009508316339642732
chr1	48000000	49000000	1.9164163250984516	1	0		-1.0		0.0
chr1	49000000	50000000	0.9141743264223678	1	1	0.9565215191304853	0.0	-4.85976864699364	0.007692641705448314
chr1	50000000	51000000	0.705799686979633	2	3	0.8695651507246428	0.415	-3.552873149043199	0.02784469386231391
chr1	51000000	52000000	1.3733830144684591	1	2	0.9130433732608817	0.585	-3.734971788043885	0.02331717399884333
chr1	52000000	53000000	3.1203847657182324	1	1	0.9565215191304853	0.0	-4.468989444837247	0.011329071262129562
chr1	53000000	54000000	2.729550109211274	2	6	0.7391304064492765	1.2224	-0.9967150053346918	0.2695877805441273
chr1	54000000	55000000	3.729448073543687	2	2	0.9130433732608817	0.0	-3.8934395235529085	0.01996828783584875
chr1	55000000	56000000	0.1926471595490251	1	0		-1.0		0.0
chr1	56000000	57000000	0.4445779752412928	2	0		-1.585		0.0
chr1	57000000	58000000	2.1811072053707004	3	1	0.9565215191304853	-1.0	-5.619617549518538	0.0036129270465627404
chr1	58000000	59000000	1.8909966120046948	2	3	0.9275361607729522	0.415	-3.9665024066254846	0.018587520833646825
chr1	59000000	60000000	1.5805388489608183	4	0		-2.3219		0.0
chr1	60000000	61000000	0.534059665758944	2	2	0.9130433732608817	0.0	-4.459428746671824	0.011436659835935338
chr1	61000000	62000000	0.0801761057175931	1	1	0.9565215191304853	0.0	-5.00749216125227	0.006643226253464996
chr1	62000000	63000000	0.3367057319116933	1	0		-1.0		0.0
chr1	63000000	64000000	0.5430065528814181	2	1	0.9565215191304853	-0.585	-5.5013026627821695	0.004064860688775122
chr1	64000000	65000000	1.8471564756496832	2	2	0.9130433732608817	0.0	-4.226843987492197	0.0143883439596593
chr1	65000000	66000000	1.6524485944071547	6	3	0.8695651507246428	-0.8074	-4.588351666227631	0.0100672277187331
chr1	66000000	67000000	0.6142289448938794	1	3	0.8695651507246428	1.0	-2.993302569163961	0.04772935948957548
chr1	67000000	68000000	1.812125467989575	3	2	0.9130433732608817	-0.415	-4.641515488090141	0.009550971871610905
chr1	68000000	69000000	1.4358091986964885	3	2	0.9130433732608817	-0.415	-4.708171219952129	0.008940604882310736
chr1	69000000	70000000	1.4020411791619267	1	2	0.9130433732608817	0.585	-3.72989565635005	0.02343305534951988
chr1	70000000	71000000	0.9465354429281824	2	4	0.826086909021742	0.737	-2.7256322263583197	0.06147769326527202
chr1	71000000	72000000	0.735124298060458	2	3	0.8695651507246428	0.415	-3.5476789717708943	0.02798564230586493
chr1	72000000	73000000	2.1908388703681716	4	2	0.9130433732608817	-0.737	-4.891365845230464	0.007455159519466037
chr1	73000000	74000000	1.9763435832364415	4	2	0.9130433732608817	-0.737	-4.929358729172394	0.007179224940470897
chr1	74000000	75000000	0.776063704046364	3	2	0.9565216291304475	-0.415	-5.292699502762982	0.005003012379278902
chr1	75000000	76000000	0.8807247856694644	2	1	0.9565215191304853	-0.585	-5.441483681232658	0.004314355319024013
chr1	76000000	77000000	0.8460383202726578	1	2	0.9130433732608817	0.585	-3.828378715682671	0.02128206647202886
chr1	77000000	78000000	0.332845154064795	1	2	0.9130433732608817	0.585	-3.919279027126591	0.01946884303411653
chr1	78000000	79000000	1.1259366107490711	5	3	0.8695651507246428	-0.585	-4.46271238878166	0.011399594924580949
chr1	79000000	80000000	0.5854553333314905	4	0		-2.3219		0.0
chr1	80000000	81000000	0.9683096330012252	2	2	0.9130433732608817	0.0	-4.382511398846411	0.012339769552285784
chr1	81000000	82000000	0.5907854262777881	2	1	0.9565215191304853	-0.585	-5.492839739348753	0.004099265654285371
chr1	82000000	83000000	0.6097015003848956	1	1	0.9565215191304853	0.0	-4.913698972912685	0.0072917085175114365
chr1	83000000	84000000	0.61872788819722	2	0		-1.585		0.0
chr1	84000000	85000000	0.3431515284232644	1	0		-1.0		0.0
chr1	85000000	86000000	1.0020292553503043	2	2	0.9130433732608817	0.0	-4.376538746879994	0.01241277366253873
chr1	86000000	87000000	0.8487933170501898	3	3	0.9275361607729522	0.0	-4.559571205981815	0.01035813210774978
chr1	87000000	88000000	0.9190395030687312	1	2	0.9130433732608817	0.585	-3.8154482429311107	0.021553070855317952
chr1	88000000	89000000	0.8065110954276364	5	0		-2.585		0.0
chr1	89000000	90000000	1.208991129387544	4	1	0.9565215191304853	-1.3219	-6.108637710520311	0.002218644578162985
chr1	90000000	91000000	1.5984772424460671	2	4	0.89130429657609	0.737	-3.3116602597939977	0.03517333284587033
chr1	91000000	92000000	1.4274427220019938	3	1	0.9565215191304853	-1.0	-5.753111798416405	0.0031628566156787765
chr1	92000000	93000000	0.9036517956354468	3	3	0.8695651507246428	0.0	-3.926294786632301	0.019335364081786502
chr1	93000000	94000000	0.3253337414126145	2	1	0.9565215191304853	-0.585	-5.5398583717398635	0.003911721330573438
chr1	94000000	95000000	0.1607915352719495	1	1	0.9565215191304853	0.0	-4.993213000623876	0.006738122680229767
chr1	95000000	96000000	1.829169124570639	3	3	0.8695651507246428	0.0	-3.7623607770105156	0.02270150785151804
chr1	96000000	97000000	1.8915640958440645	5	3	0.8695651507246428	-0.585	-4.327099170547629	0.013033679591725906
chr1	97000000	98000000	1.0962393447255518	4	3	0.8695651507246428	-0.3219	-4.209014612340559	0.01464338949231464
chr1	98000000	99000000	1.3845531703100824	3	2	0.9130433732608817	-0.415	-4.7172500410481515	0.008860518036858495
chr1	99000000	100000000	1.4882320653730554	3	2	0.9565216291304475	-0.415	-5.16655533306669	0.005671830862970127
chr1	100000000	101000000	1.3357540481189931	2	3	0.9275361607729522	0.415	-4.064850797265761	0.01687586669220342
chr1	101000000	102000000	1.4267627782357448	3	1	0.9565215191304853	-1.0	-5.753232234743671	0.003162476920368999
chr1	102000000	103000000	0.4938171594725729	2	0		-1.585		0.0
chr1	103000000	104000000	1.5774714808744874	2	2	0.9130433732608817	0.0	-4.274612452918114	0.013726404902690318
chr1	104000000	105000000	1.55327603222928	1	3	0.8695651507246428	1.0	-2.826972075463037	0.05588393936188368
chr1	105000000	106000000	1.2411544358797555	1	1	0.9565215191304853	0.0	-4.801851675874806	0.008147593734305916
chr1	106000000	107000000	2.312559957056337	2	6	0.8695651840579723	1.2224	-2.473584121247744	0.07773090455352674
