chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	2.637134189401338	3	0		-2.0		0.0
chr1	1000000	2000000	0.5682999158889119	2	1	0.9565215191304853	-0.585	-5.496822527959185	0.004083038144305397
chr1	2000000	3000000	0.4556020974192156	4	0		-2.3219		0.0
chr1	3000000	4000000	0.4124240305494222	1	2	0.9130433732608817	0.585	-3.9051834679236848	0.019739755039257467
chr1	4000000	5000000	1.9215974962394824	2	7	0.7701863100976052	1.415	-1.2843070789285136	0.21681795541506438
chr1	5000000	6000000	0.3408503852331512	2	2	0.9130433732608817	0.0	-4.493651306382483	0.011056143602370335
chr1	6000000	7000000	0.1378616954154834	1	1	0.9565215191304853	0.0	-4.997274491932721	0.006710994639595374
chr1	7000000	8000000	0.0561350332381689	1	1	0.9565215191304853	0.0	-5.0117504817438965	0.006615184152335999
chr1	8000000	9000000	0.8027502118537599	6	1	0.9565215191304853	-1.8074	-6.658450572952534	0.0012814886315657532
chr1	9000000	10000000	2.32891492950153	5	8	0.8478260625815225	0.585	-2.8642177556013317	0.05395101949411456
chr1	10000000	11000000	2.670290886352264	4	8	0.728260848627718	0.848	-1.2587998117835193	0.22118056712529802
chr1	11000000	12000000	1.6812292202464558	5	9	0.7536231691465384	0.737	-1.8160490594074234	0.1399086302039134
chr1	12000000	13000000	2.078224323130154	2	10	0.7652173737043483	1.8745	-0.7508503825179886	0.3206360349713577
chr1	13000000	14000000	1.119789750223959	2	6	0.8695651840579723	1.2224	-2.6848558029875136	0.06387291695725478
chr1	14000000	15000000	0.8732062359858324	3	0		-2.0		0.0
chr1	15000000	16000000	1.6225025156579616	6	14	0.7142857025510205	1.0995	-1.0465284352540332	0.2598922935497335
chr1	16000000	17000000	2.9311068465724346	4	5	0.8521738738434801	0.263	-3.1212508647855177	0.04223913912878779
chr1	17000000	18000000	2.238742827673973	8	4	0.9130434257608727	-0.848	-4.992133834253023	0.006745349084994574
chr1	18000000	19000000	1.01258612642477	4	2	0.9130433732608817	-0.737	-5.100066093863018	0.006059403415935876
chr1	19000000	20000000	2.8296545554927537	10	10	0.7652173737043483	0.0	-2.4627412286885733	0.07851178633839788
chr1	20000000	21000000	1.4904423403307092	5	3	0.8695651507246428	-0.585	-4.398148621132727	0.012150637023957252
chr1	21000000	22000000	0.6213864300745202	1	4	0.826086909021742	1.3219	-2.2075330657155074	0.09907605402232061
chr1	22000000	23000000	0.1457603109981002	2	2	0.9130433732608817	0.0	-4.528207005240718	0.010684628869140898
chr1	23000000	24000000	0.1799030035873476	2	0		-1.585		0.0
chr1	24000000	25000000	1.73695252691945	7	10	0.8347825894956526	0.4594	-2.952392025518612	0.04962357944291177
chr1	25000000	26000000	5.0787901229589485	8	11	0.7667984029392745	0.415	-1.6728984514322534	0.1580381225117109
chr1	26000000	27000000	2.6163566654620727	7	12	0.6231883938526571	0.7004	-0.28342771755881824	0.4296136265361321
chr1	27000000	28000000	3.203414529933202	7	15	0.6608695550840581	1.0	-0.2898743782535327	0.42803462163002853
chr1	28000000	29000000	0.6703791606132485	3	3	0.8695651507246428	0.0	-3.967613643879657	0.01856726045662987
chr1	29000000	30000000	0.8143700361673547	6	4	0.89130429657609	-0.4854	-4.653702231304793	0.009436374680638522
chr1	30000000	31000000	1.5687305129930715	6	10	0.6434782460695655	0.6521	-0.7347759002788719	0.32414756519201704
chr1	31000000	32000000	0.8972672939699935	2	6	0.7391304064492765	1.2224	-1.3212615689405558	0.2106084778550732
chr1	32000000	33000000	0.8630766735073063	3	2	0.9130433732608817	-0.415	-4.809617553110572	0.00808507516026587
chr1	33000000	34000000	2.1857157898087483	7	4	0.89130429657609	-0.6781	-4.600466300701988	0.009947208566062292
chr1	34000000	35000000	0.7230959928487102	1	2	0.9565216291304475	0.585	-4.317824720906886	0.01315352468557361
chr1	35000000	36000000	0.5189476444804724	2	1	0.9565215191304853	-0.585	-5.505564142495173	0.004047645189827297
chr1	36000000	37000000	0.9278531954658568	6	3	0.8695651507246428	-0.8074	-4.716696998495593	0.008865376181124908
