chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	1.554883539550333	1	2	0.9130433732608817	0.585	-3.7028231638151388	0.024060639510668724
chr1	1000000	2000000	0.7724712278403358	3	3	0.8695651507246428	0.0	-3.94953039313127	0.018899667641387733
chr1	2000000	3000000	0.7997090786437195	2	6	0.7391304064492765	1.2224	-1.338541752584855	0.20774996909834256
chr1	3000000	4000000	0.902894273695583	1	7	0.7701863100976052	2.0	-0.888956595443319	0.2913251964281339
chr1	4000000	5000000	0.4910444775150231	2	11	0.7114624357168525	2.0	-0.33024865145034177	0.418180123660236
chr1	5000000	6000000	0.7199660821755729	5	5	0.7826086596521756	0.0	-3.0234914634847962	0.04637581939572876
chr1	6000000	7000000	0.70056828617756	4	6	0.7391304064492765	0.4854	-2.0814995059666925	0.11090801799012837
chr1	7000000	8000000	0.7816732354151923	2	5	0.7826086596521756	1.0	-2.0283046790953003	0.11626299607435409
chr1	8000000	9000000	0.6510318905322685	2	4	0.826086909021742	0.737	-2.777973852697696	0.058526098055364476
chr1	9000000	10000000	0.6928864528632563	2	8	0.728260848627718	1.585	-0.8836540640866053	0.2924211397171401
chr1	10000000	11000000	0.4244201088334791	2	6	0.8695651840579723	1.2224	-2.8080244676018813	0.05689208600240114
chr1	11000000	12000000	0.8328029501844472	5	5	0.8521738738434801	0.0	-3.7517764514242327	0.022937523399691077
chr1	12000000	13000000	0.5330401436584604	2	1	0.9565215191304853	-0.585	-5.503067981890058	0.004057720334180028
chr1	13000000	14000000	0.5565003683780287	1	0		-1.0		0.0
chr1	14000000	15000000	0.5468987560656049	2	9	0.8019323466559318	1.737	-1.552345652471364	0.17474774123344458
chr1	15000000	16000000	0.8257557398959521	5	7	0.819875749458741	0.415	-2.997146514545869	0.04755495072390212
chr1	16000000	17000000	0.9732126124123924	3	6	0.8115941717874409	0.8074	-2.495725591790464	0.07615837570705383
chr1	17000000	18000000	1.12793080817618	1	15	0.5681159333178745	3.0	2.3087104861217194	0.9095958729889665
chr1	18000000	19000000	1.0262055085126742	4	14	0.6583850823513754	1.585	-0.07300244007373813	0.4817574909978302
chr1	19000000	20000000	0.5102333651752118	1	10	0.7043478098869569	2.4594	0.2018455628681961	0.5502907625691776
chr1	20000000	21000000	0.6773114863569618	5	4	0.826086909021742	-0.263	-3.757575817530876	0.022807910482425364
chr1	21000000	22000000	1.2347750736734464	3	9	0.7439613336446597	1.3219	-1.2155097104158337	0.22872762333543645
chr1	22000000	23000000	0.7507271753107099	2	6	0.8550724309903395	1.2224	-2.594336827659795	0.06950378300737398
chr1	23000000	24000000	0.7031497381276366	4	9	0.830917853161568	1.0	-2.561846423787153	0.07163465214061343
chr1	24000000	25000000	0.5648840828170729	2	3	0.8695651507246428	0.415	-3.5778330922948527	0.02717694803203149
chr1	25000000	26000000	0.8628939733090548	2	3	0.8695651507246428	0.415	-3.5250475260737364	0.028607893545987594
chr1	26000000	27000000	1.1443446346592068	4	8	0.728260848627718	0.848	-1.5290859314342224	0.17812746429204993
chr1	27000000	28000000	1.2446255507055022	2	12	0.7898550573248794	2.1155	-0.9263100952849648	0.28367391542838616
chr1	28000000	29000000	0.8905297887689794	3	9	0.6859903206333875	1.3219	-0.6529252691217629	0.3423306377163306
chr1	29000000	30000000	0.6011843378308046	1	7	0.819875749458741	2.0	-1.476877140428984	0.18589957222293618
chr1	30000000	31000000	0.4738373065265082	2	5	0.7826086596521756	1.0	-2.0828307009758724	0.11077682024626664
chr1	31000000	32000000	0.6752970766562219	1	5	0.8521738738434801	1.585	-2.2196279685573144	0.09800168597522624
chr1	32000000	33000000	0.7667084801772801	3	4	0.826086909021742	0.3219	-3.1660494103934465	0.04046352375342855
chr1	33000000	34000000	0.743630624022027	2	6	0.8115941717874409	1.2224	-2.1279241692390283	0.10641221842753656
chr1	34000000	35000000	0.8009659240681084	3	7	0.6956521510559014	1.0	-1.0895482335822724	0.2517033585005149
chr1	35000000	36000000	0.8762865024388495	4	8	0.7826086731521746	0.848	-2.161153301985401	0.10329357911249581
chr1	36000000	37000000	0.9061457089717496	5	12	0.6739130305615944	1.1155	-0.7234016796841143	0.32664435015876636
chr1	37000000	38000000	0.5901468221934008	3	5	0.8521738738434801	0.585	-3.2189671566472464	0.03845816094936301
chr1	38000000	39000000	0.9258026452135576	2	5	0.7826086596521756	1.0	-2.002775484434136	0.1189118218097712
chr1	39000000	40000000	0.8635291813693189	4	6	0.7391304064492765	0.4854	-2.0526347487923706	0.11378642517308225
chr1	40000000	41000000	1.06758982720079	4	8	0.728260848627718	0.848	-1.542681272062671	0.17614583472039982
chr1	41000000	42000000	1.1014950949537528	6	8	0.7826086731521746	0.3626	-2.5990210484395835	0.06920145058140593
chr1	42000000	43000000	1.180178787103428	5	9	0.8019323466559318	0.737	-2.4244315156869316	0.08132854336285342
chr1	43000000	44000000	0.773119586061775	4	8	0.7826086731521746	0.848	-2.179426937425017	0.10161322968127096
chr1	44000000	45000000	0.7525677074334465	8	7	0.7701863100976052	-0.1699	-3.0513222774856628	0.045160421307577386
chr1	45000000	46000000	1.2585754655635388	8	7	0.6956521510559014	-0.1699	-2.1599752932239777	0.10340274201620382
chr1	46000000	47000000	1.1882855504495882	5	8	0.728260848627718	0.585	-1.7801623487571039	0.14428308846588764
chr1	47000000	48000000	1.1523956250299654	1	11	0.7667984029392745	2.585	-0.23253128265371537	0.4421277113737883
chr1	48000000	49000000	1.22950915319595	4	8	0.6521738942934788	0.848	-0.6955791120741024	0.33279312333316563
chr1	49000000	50000000	0.5841574883379432	1	1	0.9565215191304853	0.0	-4.9182235044214595	0.007259030421629086
chr1	50000000	51000000	1.2018289465296834	5	5	0.8521738738434801	0.0	-3.686412022964369	0.024449026267983832
chr1	51000000	52000000	1.102760141348067	3	3	0.8695651507246428	0.0	-3.891027343828844	0.02001554782088962
chr1	52000000	53000000	0.8637052651484889	2	6	0.8115941717874409	1.2224	-2.106655721033521	0.10845160143207164
chr1	53000000	54000000	1.341311501926103	3	11	0.6007905012720088	1.585	0.6023217917556236	0.6461873157718352
chr1	54000000	55000000	0.796564152674327	5	7	0.8322981092990249	0.415	-3.135937030020391	0.04164898844219428
chr1	55000000	56000000	1.119965281689831	2	6	0.8550724309903395	1.2224	-2.528934828808487	0.07385447123622456
chr1	56000000	57000000	1.376935558046244	4	9	0.7439613336446597	1.0	-1.5071615254603445	0.1813598359599598
chr1	57000000	58000000	0.5140076487500331	1	3	0.8695651507246428	1.0	-3.0110544560413848	0.046928960871512965
chr1	58000000	59000000	1.8888730298232388	10	8	0.7826086731521746	-0.2895	-3.1013890920608738	0.04304999260723135
chr1	59000000	60000000	1.960379570095292	5	12	0.6304347705253625	1.1155	-0.06899885306575992	0.48275712707322216
chr1	60000000	61000000	0.782354998222615	4	3	0.8695651507246428	-0.3219	-4.264611971645479	0.013862451783331498
chr1	61000000	62000000	1.184052139617472	3	6	0.8115941717874409	0.8074	-2.4583802412487783	0.07882787418887227
chr1	62000000	63000000	0.6062675591081921	4	5	0.7826086596521756	0.263	-2.784770994457012	0.05815269208776116
chr1	63000000	64000000	1.2459984845477972	4	10	0.6434782460695655	1.1375	-0.314182177102623	0.4220942465016969
chr1	64000000	65000000	0.7524852715996153	5	4	0.89130429657609	-0.263	-4.445764977771727	0.01159217627896392
chr1	65000000	66000000	1.1769404107417976	4	3	0.8695651507246428	-0.3219	-4.194720283191676	0.01485107918790359
chr1	66000000	67000000	1.5248398557786451	4	7	0.7701863100976052	0.6781	-2.0798823544559912	0.11106758150966164
chr1	67000000	68000000	0.8192268243249763	2	5	0.8521738738434801	1.0	-2.769924360415777	0.05897121083813899
chr1	68000000	69000000	0.7735438703192941	2	0		-1.585		0.0
chr1	69000000	70000000	0.7313783828015743	4	2	0.9565216291304475	-0.737	-5.61754516065276	0.003620395064683884
chr1	70000000	71000000	0.933277231170126	3	3	0.8695651507246428	0.0	-3.9210473252589093	0.01943511523178086
chr1	71000000	72000000	0.9551456478948904	1	2	0.9130433732608817	0.585	-3.809052873651373	0.021688353312783164
chr1	72000000	73000000	0.8294744506006357	1	3	0.8695651507246428	1.0	-2.955176801336173	0.049492411004214906
chr1	73000000	74000000	0.6555463872724454	1	2	0.9130433732608817	0.585	-3.862119960066779	0.02059050150428056
chr1	74000000	75000000	1.2812354025050352	4	2	0.9130433732608817	-0.737	-5.052481082072372	0.0063528345380225535
chr1	75000000	76000000	0.9355108206266824	5	1	0.9565215191304853	-1.585	-6.41603638904932	0.0016324551374271047
chr1	76000000	77000000	1.1678018108877848	2	6	0.8695651840579723	1.2224	-2.6763515758177414	0.06438330153785465
chr1	77000000	78000000	1.4239480246044338	4	2	0.9565216291304475	-0.737	-5.494872451267957	0.004090975545255972
chr1	78000000	79000000	0.8699820525612689	2	6	0.7391304064492765	1.2224	-1.3260945189975546	0.20980611136240168
chr1	79000000	80000000	1.1052302224057944	1	5	0.7826086596521756	1.585	-1.3952038140392649	0.19857829691626522
chr1	80000000	81000000	0.7228546316532474	2	4	0.826086909021742	0.737	-2.765252113659556	0.0592310255644129
chr1	81000000	82000000	1.148026332956603	1	5	0.8521738738434801	1.585	-2.1358949037858466	0.10565666628071575
chr1	82000000	83000000	1.0163427275119423	1	3	0.9275361607729522	1.0	-3.545636911338991	0.02804124491978723
chr1	83000000	84000000	1.513462170144991	2	5	0.7826086596521756	1.0	-1.8986851781777645	0.13025735862486074
chr1	84000000	85000000	1.49387850492398	6	8	0.8586956274864138	0.3626	-3.3479412865880978	0.033962644097447994
chr1	85000000	86000000	1.4215996516165863	4	2	0.9130433732608817	-0.737	-5.0276187986282785	0.006511718941508348
chr1	86000000	87000000	1.448403563960881	1	7	0.7701863100976052	2.0	-0.7923322293258197	0.3116681140591018
chr1	87000000	88000000	1.6123891204242953	3	7	0.9192546281810126	1.0	-3.3509815687572555	0.03386303613344431
chr1	88000000	89000000	1.7258809915010715	3	10	0.6434782460695655	1.4594	0.08765018079842424	0.5218985272758514
chr1	89000000	90000000	1.5822123564693782	7	5	0.8521738738434801	-0.415	-4.027502458137872	0.017506827306862715
chr1	90000000	91000000	1.3977881597814554	6	3	0.8695651507246428	-0.8074	-4.6334588779837285	0.009627487321524105
chr1	91000000	92000000	0.7089825243750281	2	4	0.89130429657609	0.737	-3.4692136962472606	0.030201002954301805
chr1	92000000	93000000	1.0447232882810271	7	3	0.8695651507246428	-1.0	-4.885564019349499	0.0074982135077552034
chr1	93000000	94000000	1.3875724361216668	4	5	0.7826086596521756	0.263	-2.6463808884897544	0.06621242215330649
chr1	94000000	95000000	1.5903301421821063	5	10	0.8260869375217396	0.8745	-2.4762638692477683	0.07753901385904148
chr1	95000000	96000000	0.8276581775779008	3	2	0.9130433732608817	-0.415	-4.815891121277211	0.008034917936281395
chr1	96000000	97000000	1.3175943032425046	6	3	0.9275361607729522	-0.8074	-5.271222874133139	0.0051110672185937485
