chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	0.7939589746519526	1	0		-1.0		0.0
chr1	1000000	2000000	2.0886935913030755	2	4	0.826086909021742	0.737	-2.5233253013213703	0.07423908124288504
chr1	2000000	3000000	1.8308015596769975	2	2	0.9130433732608817	0.0	-4.229740882956612	0.014347319899419873
chr1	3000000	4000000	0.4176328331192143	1	1	0.9565215191304853	0.0	-4.9477194993395655	0.007049532354550923
chr1	4000000	5000000	0.4560707726364383	1	3	0.8695651507246428	1.0	-3.021316634943199	0.046472096356041014
chr1	5000000	6000000	0.8651960840262407	1	3	0.9275361607729522	1.0	-3.5724090468061815	0.027320719272821262
chr1	6000000	7000000	1.266164056230645	2	4	0.826086909021742	0.737	-2.669017402918106	0.06482651214150807
chr1	7000000	8000000	0.5556405875444743	1	0		-1.0		0.0
chr1	8000000	9000000	0.9531186044374502	2	2	0.9130433732608817	0.0	-4.385202138549365	0.012307019156864881
chr1	9000000	10000000	1.2323072259087993	1	5	0.7826086596521756	1.585	-1.3726950591368183	0.20218476804240532
chr1	10000000	11000000	0.6076757930338328	1	3	0.8695651507246428	1.0	-2.9944633085974557	0.047676630097999155
chr1	11000000	12000000	0.8702541018466747	2	2	0.9130433732608817	0.0	-4.3998796704986045	0.012129876777106282
chr1	12000000	13000000	1.7346298759591052	1	3	0.8695651507246428	1.0	-2.794849432446555	0.057603138285777074
chr1	13000000	14000000	0.6515770569044288	1	2	0.9130433732608817	0.585	-3.8628230352252864	0.02057632769409055
chr1	14000000	15000000	0.5859196799892352	1	1	0.9565215191304853	0.0	-4.917911372888006	0.00726128009259706
chr1	15000000	16000000	0.9979663497808118	1	5	0.7826086596521756	1.585	-1.4142031306130605	0.19557195864953664
chr1	16000000	17000000	0.7191144332138837	2	2	0.9130433732608817	0.0	-4.4266505705317645	0.011813242350289618
chr1	17000000	18000000	0.8061139494008178	1	4	0.826086909021742	1.3219	-2.174812854019973	0.10203521498097128
chr1	18000000	19000000	0.3983332716480898	1	3	0.8695651507246428	1.0	-3.0315434991483796	0.04602101516522519
chr1	19000000	20000000	0.5264995850889198	1	1	0.9565215191304853	0.0	-4.928436269726321	0.0071858029295352585
chr1	20000000	21000000	0.8563703130444917	1	4	0.89130429657609	1.3219	-2.8674155597498716	0.053788035204656894
chr1	21000000	22000000	1.3661802481792331	1	3	0.8695651507246428	1.0	-2.8601117705327592	0.05416097446386205
chr1	22000000	23000000	0.3218980939694598	1	1	0.9565215191304853	0.0	-4.964676696312821	0.006931821521419949
chr1	23000000	24000000	0.8742154629239987	1	4	0.826086909021742	1.3219	-2.1627502444673112	0.10314575756602376
