chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	0.0	0	0		0.0		0.0
chr1	1000000	2000000	0.2787345705257356	1	1	0.9565215191304853	0.0	-4.972322117145377	0.006879390099214372
chr1	2000000	3000000	0.1451376643616009	1	2	0.9130433732608817	0.585	-3.952527071718568	0.018844181853523132
chr1	3000000	4000000	0.4972803518690614	1	2	0.9130433732608817	0.585	-3.8901531313100124	0.02003270263167351
chr1	4000000	5000000	0.0704873818028457	1	0		-1.0		0.0
chr1	5000000	6000000	0.1603310164102316	1	2	0.9130433732608817	0.585	-3.9498359204639577	0.018894003242574817
chr1	6000000	7000000	0.1116884132422448	1	2	0.9130433732608817	0.585	-3.958451833668893	0.018734950173716246
chr1	7000000	8000000	0.2587430418905923	1	0		-1.0		0.0
chr1	8000000	9000000	0.0976007923017086	1	2	0.9130433732608817	0.585	-3.9609471302069608	0.018689131809397012
chr1	9000000	10000000	0.3157952353229851	1	1	0.9565215191304853	0.0	-4.965757676708101	0.006924384264281639
chr1	10000000	11000000	0.3322430704103509	1	1	0.9565215191304853	0.0	-4.962844322769529	0.006944446564965797
chr1	11000000	12000000	0.1201901293665774	1	1	0.9565215191304853	0.0	-5.000404601535344	0.006690161647145922
chr1	12000000	13000000	0.2164796217355911	1	0		-1.0		0.0
chr1	13000000	14000000	0.3184184569980632	2	2	0.9130433732608817	0.0	-4.497624604152452	0.011012784232997565
chr1	14000000	15000000	0.1458075778739562	1	0		-1.0		0.0
chr1	15000000	16000000	0.0971374065997858	1	0		-1.0		0.0
chr1	16000000	17000000	0.1677090757191086	1	0		-1.0		0.0
chr1	17000000	18000000	0.4083171893390527	1	3	0.8695651507246428	1.0	-3.029775078819939	0.0460987166272057
chr1	18000000	19000000	0.0487670746479058	1	1	0.9565215191304853	0.0	-5.013055545362553	0.0066066135464325155
chr1	19000000	20000000	0.0	0	0		0.0		0.0
chr1	20000000	21000000	0.1812330586550499	2	1	0.9565215191304853	-0.585	-5.565382478069523	0.0038135175070025066
chr1	21000000	22000000	0.3385380257701214	1	1	0.9565215191304853	0.0	-4.961729316880115	0.006952140121059595
chr1	22000000	23000000	0.1446403557671716	1	0		-1.0		0.0
chr1	23000000	24000000	0.2612565203752717	1	1	0.9565215191304853	0.0	-4.975417949878009	0.006858271428599104
chr1	24000000	25000000	0.1119688702692482	1	1	0.9565215191304853	0.0	-5.001860807622284	0.006680491518637527
chr1	25000000	26000000	0.4095622365430515	1	0		-1.0		0.0
chr1	26000000	27000000	0.075371870007455	1	1	0.9565215191304853	0.0	-5.008343120600635	0.006637613049817197
chr1	27000000	28000000	0.5651177307945354	1	3	0.8695651507246428	1.0	-3.002001485967563	0.047335534587782044
chr1	28000000	29000000	0.3442598539258124	1	2	0.9130433732608817	0.585	-3.9172571767966806	0.01950747728948794
chr1	29000000	30000000	0.1124828965925437	1	1	0.9565215191304853	0.0	-5.001769759736313	0.006681095727032479
chr1	30000000	31000000	0.133095587929692	1	0		-1.0		0.0
chr1	31000000	32000000	0.5327983778944438	1	0		-1.0		0.0
chr1	32000000	33000000	0.0386829593489759	1	0		-1.0		0.0
chr1	33000000	34000000	0.1003943330794348	1	1	0.9565215191304853	0.0	-5.0039109694417565	0.006666900676926142
chr1	34000000	35000000	0.3920026432635466	1	0		-1.0		0.0
chr1	35000000	36000000	0.3773055130985123	1	3	0.8695651507246428	1.0	-3.0352680807036023	0.04585777077397193
chr1	36000000	37000000	0.3557419038555331	1	0		-1.0		0.0
chr1	37000000	38000000	0.2322710833517463	1	3	0.8695651507246428	1.0	-3.0609575787370433	0.044746753994460195
chr1	38000000	39000000	0.2960645957017473	1	0		-1.0		0.0
chr1	39000000	40000000	0.1548962334343993	1	2	0.9130433732608817	0.585	-3.9507985666908816	0.01887616691232896
chr1	40000000	41000000	0.1280142069569358	1	1	0.9565215191304853	0.0	-4.999018746975003	0.006699377508732543
chr1	41000000	42000000	0.0661964468820612	1	0		-1.0		0.0
chr1	42000000	43000000	0.5758499262297088	1	2	0.9130433732608817	0.585	-3.8762363466572207	0.02030774121595582
chr1	43000000	44000000	0.051733057968323	0	3	0.8695651507246428	2.0	-2.108678930372305	0.10825613253547488
chr1	44000000	45000000	0.3053812077567603	1	0		-1.0		0.0
chr1	45000000	46000000	0.8416997918448246	1	0		-1.0		0.0
chr1	46000000	47000000	0.0962669320196805	2	0		-1.585		0.0
chr1	47000000	48000000	0.076271342350715	1	0		-1.0		0.0
chr1	48000000	49000000	0.2188739254376779	1	0		-1.0		0.0
chr1	49000000	50000000	0.1231293430107824	1	1	0.9565215191304853	0.0	-4.999883987752365	0.006693622224422028
chr1	50000000	51000000	0.1114215296968734	1	1	0.9565215191304853	0.0	-5.001957756357714	0.006679848210922444
chr1	51000000	52000000	0.3637437806209465	1	0		-1.0		0.0
