chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	1.1032059965733196	1	0		-1.0		0.0
chr1	1000000	2000000	2.369359017105765	3	6	0.8695651840579723	0.8074	-2.8719900471959035	0.053555691866020355
chr1	2000000	3000000	1.7059853492249148	4	4	0.89130429657609	0.0	-4.01801493554774	0.017670765127778675
chr1	3000000	4000000	1.878962428345366	3	6	0.7391304064492765	0.8074	-1.555843526166118	0.17424388323000453
chr1	4000000	5000000	0.830030987644609	1	3	0.9275361607729522	1.0	-3.578637731098036	0.027155682791999366
chr1	5000000	6000000	0.4132212585767569	2	0		-1.585		0.0
chr1	6000000	7000000	0.924143791226232	3	1	0.9565215191304853	-1.0	-5.842259574671823	0.0028938784611439654
chr1	7000000	8000000	1.2908940917601397	2	6	0.8115941717874409	1.2224	-2.0309890911146153	0.1159874677032317
chr1	8000000	9000000	0.80915711353917	2	3	0.8695651507246428	0.415	-3.5345657691267274	0.028344569976954823
chr1	9000000	10000000	0.2834849440302287	1	0		-1.0		0.0
chr1	10000000	11000000	0.8259054792886493	1	3	0.8695651507246428	1.0	-2.9558089621386854	0.049462680787004824
chr1	11000000	12000000	0.825067466376689	1	3	0.9275361607729522	1.0	-3.5795169042024764	0.027132466228551966
chr1	12000000	13000000	0.2666951808632691	1	1	0.9565215191304853	0.0	-4.974454616839401	0.006864836034902446
chr1	13000000	14000000	0.0692835619256762	1	0		-1.0		0.0
chr1	14000000	15000000	0.2070419817247	1	1	0.9565215191304853	0.0	-4.985020802707366	0.0067931729147626815
chr1	15000000	16000000	0.4105781987662511	1	5	0.8521738738434801	1.585	-2.26651680112516	0.09393425039028176
chr1	16000000	17000000	0.3018417436360003	2	0		-1.585		0.0
chr1	17000000	18000000	0.3868280431069841	1	0		-1.0		0.0
chr1	18000000	19000000	1.5660618925801169	2	9	0.6859903206333875	1.737	-0.12470537321561181	0.4688639970226098
chr1	19000000	20000000	1.7777895482692427	1	6	0.8115941717874409	1.8074	-1.3689565903165883	0.2027884772718675
chr1	20000000	21000000	1.1585188995833766	1	6	0.8115941717874409	1.8074	-1.4786460767327485	0.18563200850755435
chr1	21000000	22000000	0.8961970085737168	1	1	0.9565215191304853	0.0	-4.862952913462821	0.007668372784288569
chr1	22000000	23000000	0.7601918375316976	2	3	0.8695651507246428	0.415	-3.543238836369431	0.028106678319289764
chr1	23000000	24000000	1.303856966614192	1	3	0.8695651507246428	1.0	-2.871150899807085	0.05359824207048139
chr1	24000000	25000000	0.8058371426498945	3	1	0.9565215191304853	-1.0	-5.863214863848686	0.0028340374456953593
chr1	25000000	26000000	1.2402172512776897	1	4	0.89130429657609	1.3219	-2.7994259438903724	0.0573552046930061
chr1	26000000	27000000	1.8478647396866972	4	4	0.9347825549456553	0.0	-4.4605539193661015	0.011423945778488088
chr1	27000000	28000000	2.2197474882705723	3	5	0.8521738738434801	0.585	-2.9303210525492123	0.050674877849044564
chr1	28000000	29000000	1.0116119418420189	4	3	0.8695651507246428	-0.3219	-4.224004401342714	0.01442866861617358
chr1	29000000	30000000	0.8237488634206347	2	2	0.9130433732608817	0.0	-4.408116998925906	0.012031566628106661
chr1	30000000	31000000	1.1180836360935071	1	3	0.8695651507246428	1.0	-2.9040563527909713	0.051953406965767904
chr1	31000000	32000000	1.877211030353647	2	5	0.7826086596521756	1.0	-1.8342554724498727	0.13773210531533983
chr1	32000000	33000000	2.667914329391256	3	11	0.6640316066690624	1.585	0.1570520565579443	0.5391825097068375
chr1	33000000	34000000	2.6600136252411355	2	5	0.8521738738434801	1.0	-2.4438715122424988	0.07988787031826637
chr1	34000000	35000000	1.6074209795458043	1	5	0.8521738738434801	1.585	-2.0545237570124035	0.11359607825844036
chr1	35000000	36000000	1.5023340227112856	3	2	0.9130433732608817	-0.415	-4.696387884514556	0.009045619567863122
chr1	36000000	37000000	0.6070057435857348	2	0		-1.585		0.0
chr1	37000000	38000000	1.5284818885828448	1	8	0.7826086731521746	2.1699	-0.7445429110219077	0.3220115340427268
chr1	38000000	39000000	2.209490255072189	2	6	0.8550724309903395	1.2224	-2.3359506545681956	0.08818898701397825
chr1	39000000	40000000	1.7805093658549271	2	6	0.8550724309903395	1.2224	-2.411934706969908	0.08226713110085272
chr1	40000000	41000000	2.2931255120199037	2	5	0.9565216951304367	1.0	-3.631264411917342	0.02579943995023292
chr1	41000000	42000000	1.7407452511220765	1	6	0.8695651840579723	1.8074	-1.9990776629457025	0.11929979551375426
chr1	42000000	43000000	2.071971205179037	1	1	0.9565215191304853	0.0	-4.654691682221369	0.009427130444685027
chr1	43000000	44000000	1.1773439885853811	3	0		-2.0		0.0
chr1	44000000	45000000	1.3481830194588031	1	3	0.8695651507246428	1.0	-2.863299563752811	0.05399790348638388
chr1	45000000	46000000	2.1827559282032905	1	3	0.8695651507246428	1.0	-2.715474256786808	0.06206640704921031
chr1	46000000	47000000	1.513746873909288	1	4	0.89130429657609	1.3219	-2.7509764914744776	0.06003152528706954
chr1	47000000	48000000	1.2846869636751608	2	1	0.9565215191304853	-0.585	-5.369931115434443	0.00463288836300665
chr1	48000000	49000000	0.8281743822153791	2	4	0.89130429657609	0.737	-3.4481016127031108	0.03082552378118848
chr1	49000000	50000000	0.9863674388093746	1	1	0.9565215191304853	0.0	-4.8469813052436	0.007790870472042911
chr1	50000000	51000000	1.216285959309289	3	2	0.9130433732608817	-0.415	-4.747054689459188	0.008602568362552881
chr1	51000000	52000000	1.04446208377043	2	4	0.89130429657609	0.737	-3.409791243961995	0.03199086149937027
chr1	52000000	53000000	1.283685076210737	1	0		-1.0		0.0
chr1	53000000	54000000	0.943517982320114	1	4	0.89130429657609	1.3219	-2.851979363790167	0.054579091526296045
