chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	0.3162069827402829	1	0		-1.0		0.0
chr1	1000000	2000000	0.3512607666236973	1	2	0.9130433732608817	0.585	-3.9160171268768185	0.019531209782071613
chr1	2000000	3000000	0.4656032758925743	1	0		-1.0		0.0
chr1	3000000	4000000	1.1286304001230016	1	1	0.9565215191304853	0.0	-4.821782708804954	0.007988095721853798
chr1	4000000	5000000	1.7601508397224568	1	3	0.8695651507246428	1.0	-2.7903289834086626	0.057849022245513165
chr1	5000000	6000000	0.979062300910293	1	2	0.9130433732608817	0.585	-3.804816591192936	0.021778420987271667
chr1	6000000	7000000	0.3062989770829425	1	1	0.9565215191304853	0.0	-4.9674397194327735	0.0069128273908715164
chr1	7000000	8000000	0.2723445165523399	1	2	0.9130433732608817	0.585	-3.9299953171214	0.019265321110489883
chr1	8000000	9000000	0.463313569954106	1	1	0.9565215191304853	0.0	-4.939628212318028	0.00710639653881747
chr1	9000000	10000000	0.8812064420159587	2	1	0.9565215191304853	-0.585	-5.441398366940129	0.004314721822683258
chr1	10000000	11000000	0.5376616192926056	2	3	0.8695651507246428	0.415	-3.582654922700214	0.027049756962412998
chr1	11000000	12000000	0.7219067281232294	1	2	0.9130433732608817	0.585	-3.8503657590211287	0.020828883540856605
chr1	12000000	13000000	0.3231978022703803	1	1	0.9565215191304853	0.0	-4.964446483018647	0.006933406437001907
chr1	13000000	14000000	0.5693918593880176	1	0		-1.0		0.0
chr1	14000000	15000000	0.3508244126718955	1	4	0.826086909021742	1.3219	-2.255456875435204	0.09487980427699777
chr1	15000000	16000000	0.6420912501542828	1	1	0.9565215191304853	0.0	-4.9079618771454445	0.007333354318430531
chr1	16000000	17000000	0.2584987615174201	2	1	0.9565215191304853	-0.585	-5.551696644125121	0.0038658642980693727
chr1	17000000	18000000	0.8577551874755911	2	4	0.826086909021742	0.737	-2.7413575972363926	0.060576600322792995
chr1	18000000	19000000	0.9056458288965804	1	3	0.9275361607729522	1.0	-3.5652443091427584	0.02751176332043786
chr1	19000000	20000000	0.2879248598147903	2	2	0.9130433732608817	0.0	-4.503025840301965	0.010954111758852258
chr1	20000000	21000000	0.2186838175015202	3	2	0.9130433732608817	-0.415	-4.923756858074422	0.007219263736755086
chr1	21000000	22000000	0.2567292067332527	1	0		-1.0		0.0
chr1	22000000	23000000	0.545302728490562	1	1	0.9565215191304853	0.0	-4.925105727342126	0.007209602617002019
chr1	23000000	24000000	0.3878098847271816	1	6	0.8115941717874409	1.8074	-1.6151593705490752	0.16587353449402473
chr1	24000000	25000000	0.403838330008782	1	1	0.9565215191304853	0.0	-4.950162876826873	0.007032449695706359
chr1	25000000	26000000	0.5099831809568771	1	0		-1.0		0.0
chr1	26000000	27000000	0.4378307834818158	1	2	0.9130433732608817	0.585	-3.9006832486955165	0.01982702318163626
chr1	27000000	28000000	0.5792201289777932	1	0		-1.0		0.0
chr1	28000000	29000000	0.0673928903557237	1	1	0.9565215191304853	0.0	-5.0097564124819485	0.006628300926433093
chr1	29000000	30000000	0.6431305214623197	1	2	0.9130433732608817	0.585	-3.8643191438114224	0.02054619832039307
chr1	30000000	31000000	0.5118024351974513	2	3	0.8695651507246428	0.415	-3.5872352796548954	0.026929471600580214
chr1	31000000	32000000	0.4198141901841086	1	3	0.8695651507246428	1.0	-3.0277386507723696	0.04618834856958473
chr1	32000000	33000000	0.8357772911735228	2	3	0.8695651507246428	0.415	-3.5298506197502544	0.028474719840845323
chr1	33000000	34000000	0.468397933432187	1	1	0.9565215191304853	0.0	-4.938727634808263	0.007112753741228347
chr1	34000000	35000000	0.6317064775092289	2	4	0.89130429657609	0.737	-3.4829013623928597	0.029802673891638765
chr1	35000000	36000000	0.3923357068824344	1	3	0.8695651507246428	1.0	-3.0326058291656155	0.045974398090738056
chr1	36000000	37000000	1.6320426712835476	2	3	0.8695651507246428	0.415	-3.388810606339991	0.03264699687816678
chr1	37000000	38000000	1.0845689317372331	1	3	0.8695651507246428	1.0	-2.909992708269841	0.0516617927075726
chr1	38000000	39000000	0.3373902779879527	1	2	0.9130433732608817	0.585	-3.918473963444198	0.01948421749148934
chr1	39000000	40000000	0.4840735161320864	1	1	0.9565215191304853	0.0	-4.935951067536304	0.007132389169575283
chr1	40000000	41000000	0.5715138510539948	1	1	0.9565215191304853	0.0	-4.920463032619755	0.0072429094233145775
chr1	41000000	42000000	0.3035240540267163	2	1	0.9565215191304853	-0.585	-5.5437214539210276	0.00389669795073794
chr1	42000000	43000000	0.4350991598848481	2	0		-1.585		0.0
chr1	43000000	44000000	0.6313036579911051	1	3	0.8695651507246428	1.0	-2.990278178270718	0.047867010069278224
chr1	44000000	45000000	0.4420766043024078	2	1	0.9565215191304853	-0.585	-5.519180071064209	0.003993124827917518
chr1	45000000	46000000	0.160617894822121	1	0		-1.0		0.0
chr1	46000000	47000000	0.6454860386210912	2	1	0.9565215191304853	-0.585	-5.483150789796051	0.00413901107568143
chr1	47000000	48000000	0.6901526253620962	2	1	0.9565215191304853	-0.585	-5.475239136030479	0.004171750227993715
chr1	48000000	49000000	0.3055578705506705	1	1	0.9565215191304853	0.0	-4.9675709893308015	0.006911926276071615
chr1	49000000	50000000	0.307009849009507	1	2	0.9130433732608817	0.585	-3.9238551544611147	0.019381677472365973
chr1	50000000	51000000	0.3542290450167424	1	2	0.9565216291304475	0.585	-4.383160977597632	0.012331855318788826
chr1	51000000	52000000	0.4752529960150626	2	2	0.9130433732608817	0.0	-4.469844989417608	0.011319492549173353
chr1	52000000	53000000	0.2293989109125802	1	2	0.9130433732608817	0.585	-3.93760213885024	0.01912212089298165
chr1	53000000	54000000	0.3139169460433444	2	0		-1.585		0.0
chr1	54000000	55000000	0.360688330229892	1	2	0.9130433732608817	0.585	-3.914347251819259	0.01956321312755103
chr1	55000000	56000000	1.3771173607271017	4	1	0.9565215191304853	-1.3219	-6.078858033398757	0.0022855554365918134
chr1	56000000	57000000	1.1825790939061167	5	4	0.826086909021742	-0.263	-3.6680793356737116	0.02489011730181152
chr1	57000000	58000000	0.9038734899845132	2	1	0.9565215191304853	-0.585	-5.437383423142102	0.004332004815307696
chr1	58000000	59000000	0.9862391198852118	4	0		-2.3219		0.0
chr1	59000000	60000000	0.984763996054096	4	3	0.8695651507246428	-0.3219	-4.228759894584732	0.01436119913250641
chr1	60000000	61000000	0.8918857689785376	2	2	0.9130433732608817	0.0	-4.396048120492069	0.012175875184106108
chr1	61000000	62000000	0.4207072787185062	3	1	0.9565215191304853	-1.0	-5.931431720352068	0.0026476498502585977
chr1	62000000	63000000	0.3380009448064998	4	2	0.9130433732608817	-0.737	-5.21955327167886	0.005380637395427447
chr1	63000000	64000000	0.6102677660391995	2	3	0.8695651507246428	0.415	-3.5697944214570327	0.02739028704261659
chr1	64000000	65000000	0.2633187274761726	1	3	0.8695651507246428	1.0	-3.0554582059738307	0.04498241123382471
