chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	2.792186410930007	1	1	0.9565215191304853	0.0	-4.527122199967404	0.010696101856981026
chr1	1000000	2000000	0.9903463732218682	1	3	0.8695651507246428	1.0	-2.926682057384479	0.05085022526710996
chr1	2000000	3000000	1.622348829262822	1	6	0.8695651840579723	1.8074	-2.0200488533853136	0.11711393942603059
chr1	3000000	4000000	1.1704042332504925	4	6	0.8695651840579723	0.4854	-3.4012878695928777	0.03225523983035627
chr1	4000000	5000000	1.166318406174781	2	7	0.7701863100976052	1.415	-1.4180873180951323	0.19496160689867448
chr1	5000000	6000000	0.8333602068072032	3	5	0.8521738738434801	0.585	-3.175887525302799	0.04008326905881316
chr1	6000000	7000000	0.7476138500854566	2	4	0.89130429657609	0.737	-3.462371049521238	0.030402062120331832
chr1	7000000	8000000	1.1851997589057373	3	5	0.8869564809391324	0.585	-3.487702994264964	0.0296641502422093
chr1	8000000	9000000	1.2054575148343667	3	4	0.826086909021742	0.3219	-3.0883351567319037	0.04359099091423145
chr1	9000000	10000000	1.1770419273662585	2	6	0.8115941717874409	1.2224	-2.0511553713448087	0.11393568948169089
chr1	10000000	11000000	1.5053385942181148	2	5	0.7826086596521756	1.0	-1.9001240819481477	0.1300944313804836
chr1	11000000	12000000	0.85562253892004	1	5	0.8869564809391324	1.585	-2.5618231954928765	0.07163619691022911
chr1	12000000	13000000	1.1505167428810927	3	7	0.7701863100976052	1.0	-1.8293527846558613	0.13831539298916853
chr1	13000000	14000000	0.7276972390419405	1	3	0.9275361607729522	1.0	-3.596763790117767	0.026680906218802956
chr1	14000000	15000000	0.8228833854103903	2	3	0.8695651507246428	0.415	-3.5321344772268812	0.028411607405764584
chr1	15000000	16000000	0.6552726177805748	4	2	0.9130433732608817	-0.737	-5.163355925757859	0.005689903002931619
chr1	16000000	17000000	0.7411323399258634	3	5	0.8521738738434801	0.585	-3.192223560884236	0.03945941496667857
chr1	17000000	18000000	1.4659847496028235	4	6	0.8115941717874409	0.4854	-2.725373079524113	0.061492647266955955
chr1	18000000	19000000	1.0612397494019197	2	6	0.8550724309903395	1.2224	-2.5393366999287252	0.07314612963347611
chr1	19000000	20000000	0.8907900801517648	3	5	0.7826086596521756	0.585	-2.417443718351927	0.08185216089036468
chr1	20000000	21000000	0.7240818924885062	2	8	0.902173887105979	1.585	-2.748807124721318	0.060154054653377725
chr1	21000000	22000000	0.2286810975667457	1	4	0.826086909021742	1.3219	-2.2770917414368173	0.09303806747099876
chr1	22000000	23000000	0.6840370775982096	2	5	0.7826086596521756	1.0	-2.0455986684508733	0.11449786736275464
chr1	23000000	24000000	0.3118072048645608	1	2	0.9130433732608817	0.585	-3.9230054137201105	0.019397834266203427
chr1	24000000	25000000	0.2965880478753191	2	3	0.8695651507246428	0.415	-3.6253555355798754	0.025948369502950278
chr1	25000000	26000000	0.8153885399069001	1	5	0.8521738738434801	1.585	-2.194814002825426	0.10021716099391623
chr1	26000000	27000000	0.3214375334568013	1	2	0.9130433732608817	0.585	-3.9212996235304036	0.019430307667761146
chr1	27000000	28000000	0.801889422077076	1	6	0.8115941717874409	1.8074	-1.54181474831688	0.17627161861948173
chr1	28000000	29000000	0.6112958392736738	2	5	0.7826086596521756	1.0	-2.058483098045633	0.11319801377526989
chr1	29000000	30000000	0.8600188982256172	2	8	0.793478238057066	1.585	-1.5555548926717462	0.1742854165741806
chr1	30000000	31000000	0.8784146606376702	3	5	0.7826086596521756	0.585	-2.419635737969789	0.08168757631108321
chr1	31000000	32000000	0.8794721551736124	1	6	0.8695651840579723	1.8074	-2.151632291134719	0.10417879016630682
chr1	32000000	33000000	0.3225983221512973	2	3	0.8695651507246428	0.415	-3.620748416490782	0.0260650693432312
chr1	33000000	34000000	0.7055147477513151	3	2	0.9130433732608817	-0.415	-4.8375260075990765	0.007864302762404178
chr1	34000000	35000000	0.8650173968327479	1	5	0.8521738738434801	1.585	-2.186023397555873	0.10101263266484847
chr1	35000000	36000000	0.4202359528626691	1	4	0.826086909021742	1.3219	-2.243162224928132	0.09594091149605335
chr1	36000000	37000000	1.1959106750961022	2	4	0.826086909021742	0.737	-2.6814611660966126	0.06407619380401895
chr1	37000000	38000000	0.7719679853919441	1	2	0.9130433732608817	0.585	-3.841498564021971	0.021010500832144396
chr1	38000000	39000000	0.5043043780236616	2	5	0.9043477844869585	1.0	-3.3869091690194377	0.032707099886306476
chr1	39000000	40000000	0.5672070396510254	1	3	0.8695651507246428	1.0	-3.0016314131796475	0.04735222577228984
chr1	40000000	41000000	0.5968042437317576	1	5	0.7826086596521756	1.585	-1.4852597283632107	0.18463428252687336
chr1	41000000	42000000	0.7740081490783162	5	5	0.9043477844869585	0.0	-4.32339416582109	0.013081426132144473
chr1	42000000	43000000	0.4169624866623529	4	3	0.9275361607729522	-0.3219	-4.952892319671493	0.007013415634407407
chr1	43000000	44000000	0.4919221204830335	2	2	0.9130433732608817	0.0	-4.466892439178421	0.011352583327768031
chr1	44000000	45000000	0.2991922635589512	1	3	0.8695651507246428	1.0	-3.0491040379582763	0.0452561704865209
chr1	45000000	46000000	0.5633647286042587	1	4	0.89130429657609	1.3219	-2.9193147287844745	0.05120698446456923
chr1	46000000	47000000	0.4242823111369906	1	2	0.9130433732608817	0.585	-3.9030830475175353	0.019780439403419333
chr1	47000000	48000000	0.8774695988738359	3	1	0.9565215191304853	-1.0	-5.850526829383294	0.0028701210364662387
chr1	48000000	49000000	1.0806264827531074	2	4	0.826086909021742	0.737	-2.7018810969892515	0.06286244803572483
chr1	49000000	50000000	0.9774911149064538	2	3	0.8695651507246428	0.415	-3.50474929034554	0.029177400736623463
chr1	50000000	51000000	0.6801947722238744	1	1	0.9565215191304853	0.0	-4.901212718638853	0.0073826490543688235
chr1	51000000	52000000	0.3833981475004018	3	1	0.9565215191304853	-1.0	-5.938040170874681	0.0026302565431645677
chr1	52000000	53000000	0.5897128483623684	2	4	0.826086909021742	0.737	-2.7888351041673403	0.05793049621814075
chr1	53000000	54000000	0.3972951841079544	1	7	0.8944099085004447	2.0	-2.314710794736275	0.08991192546959313
chr1	54000000	55000000	0.3025376223430132	3	2	0.9130433732608817	-0.415	-4.908904094090496	0.0073264985612929824
chr1	55000000	56000000	0.3728023336467543	2	1	0.9565215191304853	-0.585	-5.531450407444914	0.00394461931558363
chr1	56000000	57000000	0.4390160078377576	3	1	0.9565215191304853	-1.0	-5.928188752033958	0.0026562271883247214
chr1	57000000	58000000	0.5997290098697876	1	1	0.9565215191304853	0.0	-4.9154653691809616	0.007278933509984863
chr1	58000000	59000000	0.4333938072257339	2	0		-1.585		0.0
chr1	59000000	60000000	0.5040562476352966	3	4	0.826086909021742	0.3219	-3.2125721844902415	0.03869534070018638
chr1	60000000	61000000	0.3506936288155273	1	5	0.8521738738434801	1.585	-2.2771239689863965	0.09303534808204444
chr1	61000000	62000000	0.2694918794793612	1	0		-1.0		0.0
chr1	62000000	63000000	0.635929431884914	3	1	0.9565215191304853	-1.0	-5.893310088887214	0.0027502481749389998
chr1	63000000	64000000	0.252806605077235	2	2	0.9130433732608817	0.0	-4.509246227678903	0.010886923946230177
chr1	64000000	65000000	0.3155765235714658	1	0		-1.0		0.0
chr1	65000000	66000000	0.2959441938966849	2	0		-1.585		0.0
chr1	66000000	67000000	0.3273814273645112	2	2	0.9130433732608817	0.0	-4.496037021052324	0.011030088828862798
chr1	67000000	68000000	0.3277736787399017	1	2	0.9130433732608817	0.585	-3.920177321797815	0.019451702162204546
chr1	68000000	69000000	0.2620194449330273	1	0		-1.0		0.0
chr1	69000000	70000000	0.5131878663282166	2	3	0.9275361607729522	0.415	-4.210549389981885	0.014621260734517924
chr1	70000000	71000000	0.2798848691446935	1	1	0.9565215191304853	0.0	-4.972118368324072	0.00688078226408982
chr1	71000000	72000000	0.0974939125705565	1	0		-1.0		0.0
chr1	72000000	73000000	0.2499165584774885	2	0		-1.585		0.0
chr1	73000000	74000000	0.4592596553417896	1	2	0.9130433732608817	0.585	-3.8968876191855655	0.019900921708467096
chr1	74000000	75000000	0.8738017484139267	3	4	0.826086909021742	0.3219	-3.1470803124450235	0.04120647629026505
chr1	75000000	76000000	0.4303863251293593	1	4	0.89130429657609	1.3219	-2.9428687803329465	0.0500746371670927
chr1	76000000	77000000	0.4796919812785694	1	4	0.826086909021742	1.3219	-2.232630963297818	0.09685824869183583
chr1	77000000	78000000	0.577093150649199	1	3	0.8695651507246428	1.0	-2.999880317046893	0.04743128034648995
chr1	78000000	79000000	0.352095021885483	1	2	0.9130433732608817	0.585	-3.915869357833672	0.019534039721984364
chr1	79000000	80000000	0.6523345580710878	1	2	0.9130433732608817	0.585	-3.8626888613965953	0.020579031865480907
chr1	80000000	81000000	0.2550513135291297	1	0		-1.0		0.0
chr1	81000000	82000000	0.94895295184774	2	5	0.9043477844869585	1.0	-3.3081499483104615	0.03529265394346676
chr1	82000000	83000000	1.1135703872753293	1	4	0.826086909021742	1.3219	-2.1203540502039617	0.10713419858558712
chr1	83000000	84000000	0.7568514011175589	1	4	0.826086909021742	1.3219	-2.1835385761774955	0.1012385008222029
chr1	84000000	85000000	0.1113189862670362	1	2	0.9130433732608817	0.585	-3.9585172691214936	0.018733747249391277
chr1	85000000	86000000	0.1105676791515835	3	1	0.9565215191304853	-1.0	-5.986365784264188	0.0025064812246032666
chr1	86000000	87000000	0.8243706231892998	1	1	0.9565215191304853	0.0	-4.875675297998024	0.007572164832227279
chr1	87000000	88000000	1.0760983805897832	3	5	0.8521738738434801	0.585	-3.1328920665767805	0.041770695947953386
chr1	88000000	89000000	0.5211111938101709	1	1	0.9565215191304853	0.0	-4.929390698736043	0.007178997075124247
chr1	89000000	90000000	0.6015761689674601	4	2	0.9130433732608817	-0.737	-5.1728670109436035	0.005636345970248147
chr1	90000000	91000000	0.3145719441902876	2	2	0.9130433732608817	0.0	-4.498305925018011	0.0110053660965639
chr1	91000000	92000000	0.5822940722209902	3	1	0.9565215191304853	-1.0	-5.902810353541717	0.002724314653249781
chr1	92000000	93000000	0.9473273587434288	2	4	0.89130429657609	0.737	-3.426996416085035	0.031462330122358724
chr1	93000000	94000000	0.808754114435212	1	4	0.826086909021742	1.3219	-2.174345209788341	0.10207807040489354
chr1	94000000	95000000	0.4525362629737879	1	3	0.8695651507246428	1.0	-3.0219426916608096	0.046444362130520195
chr1	95000000	96000000	0.9279227643584737	2	1	0.9565215191304853	-0.585	-5.433123649874374	0.004350417082009259
chr1	96000000	97000000	0.7766519682933435	1	3	0.8695651507246428	1.0	-2.9645330835494654	0.049054114889862145
chr1	97000000	98000000	0.4338382459748255	1	3	0.9275361607729522	1.0	-3.648814120771582	0.025362000208132764
chr1	98000000	99000000	0.7604287909535983	3	3	0.8695651507246428	0.0	-3.9516634325706628	0.018860156382808753
chr1	99000000	100000000	0.7150562708101025	2	3	0.8695651507246428	0.415	-3.551233559102214	0.027889110899071985
chr1	100000000	101000000	0.3622763491123515	1	5	0.8521738738434801	1.585	-2.2750723577185985	0.09320860717224283
chr1	101000000	102000000	0.2127372945908314	2	0		-1.585		0.0
chr1	102000000	103000000	0.6203617866351339	3	0		-2.0		0.0
chr1	103000000	104000000	0.3078168460073427	3	2	0.9130433732608817	-0.415	-4.907969001601217	0.007333302455593652
chr1	104000000	105000000	0.9270054348283332	2	3	0.8695651507246428	0.415	-3.513691662038581	0.028925162074371544
chr1	105000000	106000000	0.2498036782243313	1	1	0.9565215191304853	0.0	-4.977446556233256	0.006844467926517625
chr1	106000000	107000000	0.2904017900452467	1	0		-1.0		0.0
chr1	107000000	108000000	0.6526011844224717	1	1	0.9565215191304853	0.0	-4.906100285134598	0.007346918355650089
chr1	108000000	109000000	0.9090990817540394	1	2	0.9130433732608817	0.585	-3.8172089588815323	0.02151597119630204
chr1	109000000	110000000	0.773339102174762	1	4	0.826086909021742	1.3219	-2.180618160903519	0.10150453688965716
chr1	110000000	111000000	0.429981052666097	1	3	0.8695651507246428	1.0	-3.0259378260013587	0.04626774874507168
chr1	111000000	112000000	0.4518535327770898	2	3	0.8695651507246428	0.415	-3.597853842526648	0.026652613209511924
chr1	112000000	113000000	0.9779815239143784	5	4	0.826086909021742	-0.263	-3.7043190677230378	0.024025538103599642
chr1	113000000	114000000	0.3632504498681923	1	3	0.9275361607729522	1.0	-3.661317117835331	0.025054768745930562
chr1	114000000	115000000	0.429161478066534	1	4	0.89130429657609	1.3219	-2.9430857336885508	0.050064318317697046
chr1	115000000	116000000	0.2495907736477098	1	4	0.89130429657609	1.3219	-2.974892534777683	0.048573120482661256
