chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	0.0	0	0		0.0		0.0
chr1	1000000	2000000	1.8641024750399833	1	2	0.9130433732608817	0.585	-3.648052174271249	0.025380841400764333
chr1	2000000	3000000	0.2417486664119685	1	0		-1.0		0.0
chr1	3000000	4000000	0.7208220412151509	1	1	0.9565215191304853	0.0	-4.894016536679316	0.007435571101529549
chr1	4000000	5000000	0.2064934914324547	1	3	0.9275361607729522	1.0	-3.689082990962797	0.024385401138682646
chr1	5000000	6000000	1.1330861837213138	1	1	0.9565215191304853	0.0	-4.82099346969679	0.007994352307509141
chr1	6000000	7000000	0.8931453985318689	1	0		-1.0		0.0
chr1	7000000	8000000	1.4201953406827252	1	4	0.826086909021742	1.3219	-2.0660425246488447	0.1124413825995769
chr1	8000000	9000000	0.7325403643481851	1	1	0.9565215191304853	0.0	-4.8919409065023505	0.007450905512549979
chr1	9000000	10000000	0.6842699746723593	1	1	0.9565215191304853	0.0	-4.9004908906875935	0.007387940596018712
chr1	10000000	11000000	0.7738237339046994	1	0		-1.0		0.0
chr1	11000000	12000000	0.7128676958172058	1	2	0.9130433732608817	0.585	-3.8519668147363495	0.02079625498259516
chr1	12000000	13000000	1.5458790486638696	1	0		-1.0		0.0
chr1	13000000	14000000	0.8477600056421162	1	0		-1.0		0.0
chr1	14000000	15000000	0.3575963729572367	1	1	0.9565215191304853	0.0	-4.958353571042117	0.006975484453977531
chr1	15000000	16000000	0.598382255144565	1	3	0.8695651507246428	1.0	-2.9961094440960876	0.04760194529732568
chr1	16000000	17000000	1.1730828813920129	2	0		-1.585		0.0
chr1	17000000	18000000	2.904684010118529	1	4	0.89130429657609	1.3219	-2.5046041170825655	0.07553604393828865
chr1	18000000	19000000	2.748528328916642	1	1	0.9565215191304853	0.0	-4.534855220423198	0.010614582250944046
chr1	19000000	20000000	0.7292730190495527	2	3	0.8695651507246428	0.415	-3.5487153906467865	0.027957462965209966
chr1	20000000	21000000	0.5264230067639488	1	0		-1.0		0.0
chr1	21000000	22000000	0.5510313818250343	3	0		-2.0		0.0
chr1	22000000	23000000	1.9394242395423815	1	3	0.8695651507246428	1.0	-2.758574842959643	0.059604198101232485
chr1	23000000	24000000	0.7632304153690512	1	3	0.8695651507246428	1.0	-2.9669104015287644	0.04894333702620844
chr1	24000000	25000000	0.9686378368671348	1	3	0.9275361607729522	1.0	-3.5540867304374295	0.02781186179907291
chr1	25000000	26000000	0.5965524502125845	2	0		-1.585		0.0
chr1	26000000	27000000	1.0594878951861926	1	4	0.89130429657609	1.3219	-2.8314379733512673	0.055648781257766705
chr1	27000000	28000000	0.6671080537434761	1	0		-1.0		0.0
chr1	28000000	29000000	0.2049077822481453	2	2	0.9130433732608817	0.0	-4.517730397382749	0.010795941121938449
chr1	29000000	30000000	1.4084146396413666	1	4	0.826086909021742	1.3219	-2.068129203630953	0.11223330389770887
chr1	30000000	31000000	0.3590417880457708	1	0		-1.0		0.0
chr1	31000000	32000000	0.2528300752394687	1	0		-1.0		0.0
chr1	32000000	33000000	0.4670677938646164	1	4	0.826086909021742	1.3219	-2.2348670464010567	0.09666281971017925
chr1	33000000	34000000	0.5683575563729066	2	1	0.9565215191304853	-0.585	-5.496812318279298	0.004083079660820398
chr1	34000000	35000000	0.4017753954223613	1	1	0.9565215191304853	0.0	-4.950528278022254	0.007029898560791325
chr1	35000000	36000000	0.3637964738173185	1	1	0.9565215191304853	0.0	-4.957255366435596	0.00698309564762844
chr1	36000000	37000000	0.5513975028701399	2	0		-1.585		0.0
chr1	37000000	38000000	0.4405157148094933	1	0		-1.0		0.0
chr1	38000000	39000000	0.8463222870580513	1	2	0.9130433732608817	0.585	-3.828328417528035	0.02128311416456626
chr1	39000000	40000000	0.8432942021782965	2	2	0.9130433732608817	0.0	-4.404654993783716	0.012072788415462332
chr1	40000000	41000000	0.3701593759162729	2	1	0.9565215191304853	-0.585	-5.531918546338129	0.003942780397186737
chr1	41000000	42000000	0.5667765026721043	1	0		-1.0		0.0
chr1	42000000	43000000	0.5488716768043669	2	1	0.9565215191304853	-0.585	-5.5002637916000126	0.004069068557608738
chr1	43000000	44000000	0.7871459148335394	2	2	0.9130433732608817	0.0	-4.414600365512641	0.01195474340713655
chr1	44000000	45000000	0.6692923311659991	2	0		-1.585		0.0
chr1	45000000	46000000	0.3928455892872335	2	1	0.9565215191304853	-0.585	-5.527900207831905	0.003958592854430105
chr1	46000000	47000000	1.00920560425454	1	0		-1.0		0.0
