chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	2.461645634524042	1	1	0.9565215191304853	0.0	-4.585669860962655	0.010093989410815447
chr1	1000000	2000000	3.2044971989926987	2	3	0.8695651507246428	0.415	-3.1102866202230963	0.04268493054169148
chr1	2000000	3000000	1.2861631341609652	2	2	0.9565216291304475	0.0	-4.793880608158638	0.008212262808475718
chr1	3000000	4000000	1.3092704801600823	1	4	0.89130429657609	1.3219	-2.7871947599523628	0.058020082214647425
chr1	4000000	5000000	0.493115579788403	1	0		-1.0		0.0
chr1	5000000	6000000	0.4010232100994835	1	0		-1.0		0.0
chr1	6000000	7000000	0.7446740840023209	1	2	0.9130433732608817	0.585	-3.846333047994486	0.02091128997530265
chr1	7000000	8000000	0.8945116255111318	1	0		-1.0		0.0
chr1	8000000	9000000	0.7156450168509894	3	6	0.8115941717874409	0.8074	-2.5413477399328466	0.07300990660366476
chr1	9000000	10000000	0.4092124752956816	1	1	0.9565215191304853	0.0	-4.949210971165436	0.007039099967754236
chr1	10000000	11000000	0.5017049431067573	1	1	0.9565215191304853	0.0	-4.932828067643221	0.007154538825451662
chr1	11000000	12000000	0.8207909514388749	2	2	0.9130433732608817	0.0	-4.408640924687335	0.012025340415088502
chr1	12000000	13000000	0.8691372648638787	1	2	0.9130433732608817	0.585	-3.8242872713774334	0.021367454865420066
chr1	13000000	14000000	2.1081962044187974	2	3	0.8695651507246428	0.415	-3.3044710100492916	0.03541812542628325
chr1	14000000	15000000	1.0324171586425188	3	6	0.8115941717874409	0.8074	-2.4852388744185605	0.07689949032394945
chr1	15000000	16000000	0.9407851582571172	2	2	0.9130433732608817	0.0	-4.387386723560996	0.012280492582607633
chr1	16000000	17000000	0.903337738932541	1	3	0.9275361607729522	1.0	-3.5656531339486737	0.027500827380048862
chr1	17000000	18000000	1.1428430967443624	1	3	0.9275361607729522	1.0	-3.5232302938737456	0.02865843677032792
chr1	18000000	19000000	0.2312903397207462	1	2	0.9130433732608817	0.585	-3.937267115940627	0.019128405751053106
chr1	19000000	20000000	0.6092731874414987	1	1	0.9565215191304853	0.0	-4.913774838653918	0.007291159380873304
chr1	20000000	21000000	0.6074541737804959	1	3	0.8695651507246428	1.0	-2.994502563327403	0.04767484782480379
chr1	21000000	22000000	0.5374521877973866	1	4	0.89130429657609	1.3219	-2.9239045366477656	0.05098444822066724
chr1	22000000	23000000	0.6321983445710657	1	3	0.8695651507246428	1.0	-2.9901197052158954	0.04787423311662149
chr1	23000000	24000000	0.6318011351033239	1	3	0.8695651507246428	1.0	-2.9901900616951	0.04787102620913126
chr1	24000000	25000000	0.9249261343705816	2	2	0.9130433732608817	0.0	-4.390195783200538	0.012246466221841508
chr1	25000000	26000000	0.6454559447930395	2	2	0.9130433732608817	0.0	-4.4396974697869105	0.011661902973621774
chr1	26000000	27000000	0.961429773797276	2	7	0.6956521510559014	1.415	-0.6526592032895637	0.3423905423894943
chr1	27000000	28000000	1.277272567936083	1	5	0.7826086596521756	1.585	-1.3647304877753852	0.2034725496610027
chr1	28000000	29000000	0.4495008142057557	1	4	0.89130429657609	1.3219	-2.9394830902564886	0.050235930400520566
chr1	29000000	30000000	0.6759770467643968	1	2	0.9130433732608817	0.585	-3.8585011408129173	0.02066360729246872
chr1	30000000	31000000	0.7345432804915126	1	3	0.9275361607729522	1.0	-3.5955511720610565	0.026712414820787206
chr1	31000000	32000000	0.6007851593079709	1	0		-1.0		0.0
chr1	32000000	33000000	0.7281445149300612	2	2	0.9130433732608817	0.0	-4.425051100206721	0.011831928657513993
chr1	33000000	34000000	0.6421468698731143	1	5	0.8521738738434801	1.585	-2.2254997617132544	0.09748385878156515
chr1	34000000	35000000	1.530511611279251	3	2	0.9130433732608817	-0.415	-4.69139687577706	0.009090467754687324
chr1	35000000	36000000	0.7618968034416942	1	1	0.9565215191304853	0.0	-4.886741091633024	0.00748945882342715
chr1	36000000	37000000	0.998535610747556	3	2	0.9130433732608817	-0.415	-4.785624132321305	0.008279784112984535
chr1	37000000	38000000	0.7124312885561004	2	3	0.9275361607729522	0.415	-4.175258021494856	0.015138527326581962
chr1	38000000	39000000	1.18263036988454	1	4	0.826086909021742	1.3219	-2.1081216699993	0.10830994038153956
chr1	39000000	40000000	0.4739474376720265	1	1	0.9565215191304853	0.0	-4.937744668360194	0.007119698974340582
chr1	40000000	41000000	0.3607444619302282	1	0		-1.0		0.0
chr1	41000000	42000000	0.4690838932994827	1	6	0.7391304064492765	1.8074	-0.8213141436863483	0.30548477488926784
chr1	42000000	43000000	0.8840889676016701	1	2	0.9130433732608817	0.585	-3.821638922714639	0.021422904439036865
chr1	43000000	44000000	0.4324050309705867	1	7	0.7701863100976052	2.0	-0.9722928935681345	0.2744237158676799
chr1	44000000	45000000	0.8772032050884815	1	3	0.8695651507246428	1.0	-2.9467227553093434	0.049891632049975244
chr1	45000000	46000000	0.710348039914193	1	2	0.9130433732608817	0.585	-3.852413113559866	0.02078716859910014
chr1	46000000	47000000	1.1592653486521796	1	3	0.9275361607729522	1.0	-3.5203214714043005	0.028739521155289313
chr1	47000000	48000000	1.78127682779265	3	2	0.9130433732608817	-0.415	-4.646979611905824	0.009499420900311216
chr1	48000000	49000000	0.648255486088039	2	2	0.9130433732608817	0.0	-4.439201595733294	0.011667619754085538
chr1	49000000	50000000	0.4755239491750433	1	2	0.9130433732608817	0.585	-3.894006775339217	0.01995718999286548
chr1	50000000	51000000	0.8280089302287612	1	2	0.9130433732608817	0.585	-3.8315722055380492	0.02121565041640309
chr1	51000000	52000000	0.954301768983138	1	1	0.9565215191304853	0.0	-4.852660997737171	0.007747087983433457
chr1	52000000	53000000	0.6911911165179094	1	4	0.826086909021742	1.3219	-2.1951687784339056	0.10018517410828276
chr1	53000000	54000000	1.0397979553348842	1	1	0.9565215191304853	0.0	-4.837517323817917	0.00786437051750984
chr1	54000000	55000000	0.850961459068599	1	4	0.826086909021742	1.3219	-2.166869153938366	0.10276535315040423
chr1	55000000	56000000	0.7267653362808653	1	3	0.8695651507246428	1.0	-2.9733693477194088	0.0486435611246703
chr1	56000000	57000000	0.6982377793068149	1	5	0.8521738738434801	1.585	-2.2155645531554873	0.0983614683556233
chr1	57000000	58000000	0.7924787571132588	2	4	0.826086909021742	0.737	-2.7529198085840783	0.05992196200292335
chr1	58000000	59000000	0.8881177465950261	1	4	0.826086909021742	1.3219	-2.160287776144095	0.10337377512261436
chr1	59000000	60000000	0.4836790828156863	1	0		-1.0		0.0
chr1	60000000	61000000	0.6250389996031331	2	4	0.9565216841304379	0.737	-4.18558681135898	0.014985300486681837
chr1	61000000	62000000	0.752083097354864	1	4	0.826086909021742	1.3219	-2.184383171011622	0.10116167763551898
chr1	62000000	63000000	0.5093603879885191	1	0		-1.0		0.0
chr1	63000000	64000000	0.7694329301637723	1	2	0.9130433732608817	0.585	-3.8419475904801192	0.021001266766334147
chr1	64000000	65000000	0.4936972469896798	1	2	0.9130433732608817	0.585	-3.890787795547416	0.020020247082919416
