chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	3.157335729611426	1	1	0.9565215191304853	0.0	-4.462444435380352	0.011402615059449641
chr1	1000000	2000000	2.018340871011336	3	3	0.8695651507246428	0.0	-3.7288533731709164	0.023456918754043245
chr1	2000000	3000000	1.409838324318386	2	3	0.8695651507246428	0.415	-3.428168972104248	0.031426619088713824
chr1	3000000	4000000	0.0954105670991087	1	1	0.9565215191304853	0.0	-5.004793728429221	0.0066610571921055794
chr1	4000000	5000000	0.1861937665597102	2	1	0.9565215191304853	-0.585	-5.564503803287378	0.003816857025944305
chr1	5000000	6000000	0.3422078055040933	1	2	0.9130433732608817	0.585	-3.917620649759523	0.019500526379553722
chr1	6000000	7000000	0.0683665040829999	1	0		-1.0		0.0
chr1	7000000	8000000	0.1562370701871627	1	1	0.9565215191304853	0.0	-4.994019718877213	0.006732725688414154
chr1	8000000	9000000	0.6656940493850514	3	2	0.9130433732608817	-0.415	-4.844579324209184	0.00780946016975782
chr1	9000000	10000000	0.2107385612824961	1	2	0.9130433732608817	0.585	-3.9409073886172257	0.01906022452590291
chr1	10000000	11000000	0.4243412881086565	2	1	0.9565215191304853	-0.585	-5.522321472531967	0.003980650356952149
chr1	11000000	12000000	0.6630990379206949	1	0		-1.0		0.0
chr1	12000000	13000000	2.6546404584255594	2	1	0.9565215191304853	-0.585	-5.127275508274509	0.0058977127002173115
chr1	13000000	14000000	0.9031824107468758	2	1	0.9565215191304853	-0.585	-5.437505831860827	0.0043314768693365835
chr1	14000000	15000000	1.2505813021820704	2	2	0.9565216291304475	0.0	-4.800183107532367	0.008161088858406135
chr1	15000000	16000000	0.8708099140333845	1	2	0.9130433732608817	0.585	-3.823991000225641	0.02137365103652174
chr1	16000000	17000000	2.7955131050553206	2	4	0.89130429657609	0.737	-3.099633015696499	0.043122395222220375
chr1	17000000	18000000	2.952728195261886	3	4	0.89130429657609	0.3219	-3.4803509878151475	0.029876505129257193
chr1	18000000	19000000	3.2408841607330325	3	8	0.7826086731521746	1.1699	-1.4254872036510822	0.1938028041725762
chr1	19000000	20000000	1.2112280454885975	2	0		-1.585		0.0
chr1	20000000	21000000	0.4050715844066537	2	0		-1.585		0.0
chr1	21000000	22000000	0.6793964522463773	1	0		-1.0		0.0
chr1	22000000	23000000	0.3469581560981019	1	0		-1.0		0.0
chr1	23000000	24000000	0.3451791652018801	2	0		-1.585		0.0
chr1	24000000	25000000	0.4535999804342894	2	3	0.8695651507246428	0.415	-3.597544499677964	0.02666063943465613
chr1	25000000	26000000	0.9966435636894172	1	1	0.9565215191304853	0.0	-4.845161127163415	0.007804953376248705
chr1	26000000	27000000	0.0803122132810871	1	1	0.9565215191304853	0.0	-5.007468052942328	0.006643385348355892
chr1	27000000	28000000	0.7936026531252827	2	4	0.826086909021742	0.737	-2.7527207363745276	0.05993317698583416
chr1	28000000	29000000	0.6779790380860597	3	2	0.9130433732608817	-0.415	-4.842403322320346	0.007826338931177708
chr1	29000000	30000000	0.6905662580122489	2	1	0.9565215191304853	-0.585	-5.475165870563988	0.004172054609201856
chr1	30000000	31000000	0.1503852500924218	1	1	0.9565215191304853	0.0	-4.995056233593604	0.006725797646730226
chr1	31000000	32000000	0.2105968813602357	1	0		-1.0		0.0
chr1	32000000	33000000	0.5100068291317696	1	1	0.9565215191304853	0.0	-4.931357580359023	0.007164991786977928
chr1	33000000	34000000	0.7161096196331078	3	1	0.9565215191304853	-1.0	-5.879108021287992	0.002789476331805157
chr1	34000000	35000000	0.3525382335025435	1	4	0.89130429657609	1.3219	-2.956657770990173	0.04942278834286026
chr1	35000000	36000000	0.2495881098383785	1	1	0.9565215191304853	0.0	-4.977484739191859	0.006844208378116671
chr1	36000000	37000000	1.7398008056220378	1	4	0.89130429657609	1.3219	-2.710936260721504	0.06233110831268363
chr1	37000000	38000000	1.629572545547139	1	5	0.9043477844869585	1.585	-2.611803692840046	0.06838260740509018
chr1	38000000	39000000	1.821485621719257	1	3	0.8695651507246428	1.0	-2.7794649439923704	0.05844399180518976
chr1	39000000	40000000	1.068593147244163	1	2	0.9565216291304475	0.585	-4.256627883136029	0.01397202123947237
chr1	40000000	41000000	2.2727593146497336	2	4	0.9130434257608727	0.737	-3.4260615905789784	0.031490829028104954
chr1	41000000	42000000	0.9066571669397891	3	1	0.9565215191304853	-1.0	-5.845356926114529	0.002884954788411191
chr1	42000000	43000000	0.7397559529190953	2	4	0.826086909021742	0.737	-2.7622584351228134	0.059398061731783754
chr1	43000000	44000000	1.452356840260578	2	3	0.8695651507246428	0.415	-3.420637799446908	0.031656671097879126
chr1	44000000	45000000	0.8642307585326994	1	2	0.9130433732608817	0.585	-3.8251563456032294	0.021349289310136216
chr1	45000000	46000000	0.4977898894893267	1	2	0.9130433732608817	0.585	-3.8900628784940663	0.020034474496967117
chr1	46000000	47000000	0.8547349264008082	1	3	0.8695651507246428	1.0	-2.9507024917220672	0.04970332033909314
chr1	47000000	48000000	0.9941277013207284	2	4	0.89130429657609	0.737	-3.4187068167760764	0.03171591801919989
chr1	48000000	49000000	0.6376542951683959	1	5	0.8521738738434801	1.585	-2.2262955175158146	0.09741387000583478
chr1	49000000	50000000	1.1142527387182612	1	0		-1.0		0.0
chr1	50000000	51000000	0.4651266318225433	1	2	0.9130433732608817	0.585	-3.895848419865599	0.019921201277357463
chr1	51000000	52000000	0.8401708941114094	1	1	0.9565215191304853	0.0	-4.8728766450885725	0.007593225235424168
chr1	52000000	53000000	1.184959689020871	1	3	0.9275361607729522	1.0	-3.515770312706848	0.02886683303795573
chr1	53000000	54000000	0.7321698054921768	1	4	0.826086909021742	1.3219	-2.1879103505443656	0.10084140915854155
chr1	54000000	55000000	0.3936135361306689	2	1	0.9565215191304853	-0.585	-5.527764183792933	0.0039591292228497625
chr1	55000000	56000000	0.5511819079421567	1	1	0.9565215191304853	0.0	-4.9240643665478405	0.007217060112581651
chr1	56000000	57000000	1.1970958530632858	1	2	0.9130433732608817	0.585	-3.7661969853583876	0.022616552818261217
chr1	57000000	58000000	0.4946533902622145	1	1	0.9565215191304853	0.0	-4.934077087294961	0.007145672059260774
chr1	58000000	59000000	0.9803284307096444	4	1	0.9565215191304853	-1.3219	-6.149140024062439	0.0021307674375903936
chr1	59000000	60000000	1.0423119480117018	2	2	0.9130433732608817	0.0	-4.369403598655442	0.012500546269771677
chr1	60000000	61000000	1.2736312480361809	1	2	0.9130433732608817	0.585	-3.7526405085819574	0.022918166655025416
chr1	61000000	62000000	0.7104968331709789	2	2	0.9130433732608817	0.0	-4.428176979259277	0.011795436800181159
chr1	62000000	63000000	0.4282344078623521	1	3	0.8695651507246428	1.0	-3.026247203769999	0.046254098734833916
chr1	63000000	64000000	0.5198173413034333	1	2	0.9130433732608817	0.585	-3.8861612243761563	0.0201112196605018
chr1	64000000	65000000	0.9534129822224856	2	0		-1.585		0.0
chr1	65000000	66000000	1.1689999103027486	1	3	0.8695651507246428	1.0	-2.895037711297001	0.05239941257660034
chr1	66000000	67000000	1.281059999198638	3	5	0.8521738738434801	0.585	-3.0965878517267162	0.04324822234119351
chr1	67000000	68000000	1.5728891685778752	2	2	0.9130433732608817	0.0	-4.2754241036615825	0.013715421118195112
chr1	68000000	69000000	1.0456580974132317	3	2	0.9130433732608817	-0.415	-4.7772774726306215	0.008348602495838124
chr1	69000000	70000000	1.0924440952126049	4	1	0.9565215191304853	-1.3219	-6.129281324663989	0.002173411770327473
chr1	70000000	71000000	0.8239084491988717	3	5	0.7826086596521756	0.585	-2.429290253894126	0.08096626423565599
chr1	71000000	72000000	1.4417206914133844	1	0		-1.0		0.0
chr1	72000000	73000000	1.176678546170986	2	0		-1.585		0.0
chr1	73000000	74000000	1.1025010579814696	1	2	0.9130433732608817	0.585	-3.7829522675797964	0.02224912410744974
chr1	74000000	75000000	1.6183013349145714	3	4	0.826086909021742	0.3219	-3.0152094132612897	0.04674347306864709
chr1	75000000	76000000	2.1214917131868796	2	1	0.9565215191304853	-0.585	-5.221710489445909	0.005369104952617889
chr1	76000000	77000000	2.5532512237826044	4	3	0.8695651507246428	-0.3219	-3.950938623990136	0.018873573245920247
chr1	77000000	78000000	2.2539461147286244	3	3	0.9275361607729522	0.0	-4.310680855630714	0.013246578940220542
chr1	78000000	79000000	1.4250456327079006	4	3	0.8695651507246428	-0.3219	-4.150774175892096	0.015507932462718232
chr1	79000000	80000000	1.7928722076504011	3	1	0.9565215191304853	-1.0	-5.6883844087247475	0.003373637466715266
chr1	80000000	81000000	1.3519771955093884	2	0		-1.585		0.0
chr1	81000000	82000000	1.9757032996816304	3	1	0.9565215191304853	-1.0	-5.656000105305283	0.003484291757662912
chr1	82000000	83000000	1.1738794983473668	2	1	0.9565215191304853	-0.585	-5.38955809757654	0.004543254362058
chr1	83000000	84000000	0.8792397916119667	1	1	0.9565215191304853	0.0	-4.865956492630555	0.007645550607447599
chr1	84000000	85000000	2.172819519652881	2	3	0.8695651507246428	0.415	-3.293024482955558	0.03581126731247936
chr1	85000000	86000000	2.4025793779572084	1	1	0.9565215191304853	0.0	-4.596132083516057	0.009989983858328447
chr1	86000000	87000000	1.1758727034475511	1	0		-1.0		0.0
chr1	87000000	88000000	0.7702602619650674	2	1	0.9565215191304853	-0.585	-5.461049919190251	0.004231113805939061
chr1	88000000	89000000	0.6257434585105774	3	1	0.9565215191304853	-1.0	-5.895114298711223	0.002745304233725703
chr1	89000000	90000000	1.6199861453536109	2	0		-1.585		0.0
chr1	90000000	91000000	0.480406857552496	3	0		-2.0		0.0
chr1	91000000	92000000	1.0580639384002848	4	2	0.9130433732608817	-0.737	-5.092010750291494	0.006108111769711732
chr1	92000000	93000000	1.1015925160588802	1	2	0.9130433732608817	0.585	-3.783113194788421	0.022245623549907955
chr1	93000000	94000000	0.5522580051596084	4	0		-2.3219		0.0
chr1	94000000	95000000	0.3314665646830779	2	0		-1.585		0.0
chr1	95000000	96000000	0.7827869478182676	2	0		-1.585		0.0
chr1	96000000	97000000	0.3818114414031344	1	1	0.9565215191304853	0.0	-4.954064431185418	0.007005257498002996
chr1	97000000	98000000	1.2934770045573187	3	2	0.9130433732608817	-0.415	-4.733382079386111	0.008719963003932848
chr1	98000000	99000000	0.5815840411654536	2	0		-1.585		0.0
chr1	99000000	100000000	1.4690398746042512	3	3	0.9275361607729522	0.0	-4.44970885985921	0.011547075009298639
chr1	100000000	101000000	2.0508862947726563	2	2	0.9130433732608817	0.0	-4.190757957458838	0.01490916166916015
chr1	101000000	102000000	1.2404507541515533	3	0		-2.0		0.0
chr1	102000000	103000000	0.6519421392708451	1	1	0.9565215191304853	0.0	-4.9062170197551715	0.007346067065890869
chr1	103000000	104000000	0.763837851414801	2	0		-1.585		0.0
chr1	104000000	105000000	0.4291488437445609	1	0		-1.0		0.0
chr1	105000000	106000000	0.3233357970464734	2	1	0.9565215191304853	-0.585	-5.5402122614194	0.0039103426698836015
chr1	106000000	107000000	0.2916085939154964	1	3	0.8695651507246428	1.0	-3.0504473098057403	0.04519816577060608
chr1	107000000	108000000	0.4895884313542207	2	1	0.9565215191304853	-0.585	-5.510764448720302	0.004026735369935685
chr1	108000000	109000000	2.7451916445972624	6	1	0.9565215191304853	-1.8074	-6.314391955604457	0.00180679560721958
chr1	109000000	110000000	3.48126914920579	3	6	0.8115941717874409	0.8074	-2.051481327982131	0.11390278688260856
chr1	110000000	111000000	1.927134050194219	5	3	0.8695651507246428	-0.585	-4.320798775021385	0.013114975791620955
chr1	111000000	112000000	1.3317660476578297	4	1	0.9565215191304853	-1.3219	-6.08689097061195	0.0022673107179176
chr1	112000000	113000000	0.698422679544882	2	3	0.8695651507246428	0.415	-3.554179815455571	0.027809345043264776
chr1	113000000	114000000	0.6469776782700891	2	2	0.9130433732608817	0.0	-4.439427929862946	0.011665010073596275
