chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	1.3585863972958043	1	1	0.9565215191304853	0.0	-4.781051317317682	0.00831741709937881
chr1	1000000	2000000	0.3008509607466694	1	1	0.9565215191304853	0.0	-4.968404709643727	0.006906205845478669
chr1	2000000	3000000	0.3239729853948807	1	1	0.9565215191304853	0.0	-4.964309177239687	0.006934351897200056
chr1	3000000	4000000	0.3799228218290036	1	2	0.9130433732608817	0.585	-3.9109403060687065	0.019628667102662607
chr1	4000000	5000000	0.2550125231181961	1	3	0.8695651507246428	1.0	-3.0569294581509325	0.044919250014897875
chr1	5000000	6000000	0.2756039713185099	2	4	0.826086909021742	0.737	-2.844472233869535	0.054967758852080925
chr1	6000000	7000000	0.2194266668763025	2	3	0.8695651507246428	0.415	-3.6390228913166673	0.02560515541886434
chr1	7000000	8000000	0.6759383231774034	2	6	0.8115941717874409	1.2224	-2.139914296221038	0.10527746204128881
chr1	8000000	9000000	0.3685448271505325	3	2	0.9130433732608817	-0.415	-4.897212442935274	0.007412021499278637
chr1	9000000	10000000	0.1822577673466523	2	2	0.9565216291304475	0.0	-4.989411936818989	0.006763609893228982
chr1	10000000	11000000	0.1916282812962131	2	3	0.9275361607729522	0.415	-4.267506240446545	0.013822941924684449
chr1	11000000	12000000	0.3788841581755116	1	3	0.8695651507246428	1.0	-3.034988460204719	0.045870007076717845
chr1	12000000	13000000	0.8797768193945106	2	3	0.8695651507246428	0.415	-3.5220571199883084	0.028691112630074442
chr1	13000000	14000000	0.7805707035889755	1	3	0.8695651507246428	1.0	-2.963838970138971	0.04908650389615683
chr1	14000000	15000000	0.8507249941209376	1	3	0.8695651507246428	1.0	-2.951412758571103	0.04966978310348684
chr1	15000000	16000000	0.6583899334565531	1	4	0.826086909021742	1.3219	-2.200978750102154	0.09966263146320907
chr1	16000000	17000000	0.3365941033567945	1	3	0.9275361607729522	1.0	-3.666038673692647	0.024939693439967364
chr1	17000000	18000000	0.3853064295722785	1	2	0.9130433732608817	0.585	-3.9099867243517643	0.019647025648584695
chr1	18000000	19000000	0.1706363683666247	1	1	0.9565215191304853	0.0	-4.99146921591795	0.006749803387787972
chr1	19000000	20000000	0.5787254300850067	1	4	0.826086909021742	1.3219	-2.215089476129565	0.09840360930957456
chr1	20000000	21000000	0.7803476804425595	1	5	0.7826086596521756	1.585	-1.4527492495433476	0.1895788144031269
chr1	21000000	22000000	0.3816934707490085	1	2	0.9130433732608817	0.585	-3.910626676525516	0.01963470330529167
chr1	22000000	23000000	1.1850674202624876	1	7	0.819875749458741	2.0	-1.3734557437021646	0.20206209278845166
chr1	23000000	24000000	1.58484813766426	1	6	0.8550724309903395	1.8074	-1.8708013515673763	0.13344902670710074
chr1	24000000	25000000	0.4790650389772586	2	4	0.826086909021742	0.737	-2.8084338069482344	0.056870126728947396
chr1	25000000	26000000	4.528200814008806	2	10	0.7043478098869569	1.8745	0.337843861115676	0.583666676132825
chr1	26000000	27000000	0.8211349577707812	2	3	0.8695651507246428	0.415	-3.532444170783699	0.028403059753105177
chr1	27000000	28000000	0.5028079598896094	1	3	0.8695651507246428	1.0	-3.01303822214063	0.046840313396502964
chr1	28000000	29000000	0.7693500337547614	2	1	0.9565215191304853	-0.585	-5.461211145085781	0.004230434581437251
chr1	29000000	30000000	0.6627965832245524	2	2	0.9565216291304475	0.0	-4.904295589017699	0.007360091606836363
chr1	30000000	31000000	0.3592723847887988	2	0		-1.585		0.0
chr1	31000000	32000000	1.2313615118506092	2	10	0.7043478098869569	1.8745	-0.24611504379568228	0.4387799490764033
chr1	32000000	33000000	0.3936029728961845	1	3	0.8695651507246428	1.0	-3.0323813622729965	0.04598424438106015
chr1	33000000	34000000	0.3651235726342188	1	1	0.9565215191304853	0.0	-4.957020301544407	0.0069847258545495915
