chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	1.1390748885855104	2	1	0.9565215191304853	-0.585	-5.39572292999318	0.004515458198435488
chr1	1000000	2000000	1.8153453878050687	2	0		-1.585		0.0
chr1	2000000	3000000	1.7253127595301532	5	5	0.8521738738434801	0.0	-3.593688961218999	0.026760872878005753
chr1	3000000	4000000	1.931677114280773	4	9	0.7439613336446597	1.0	-1.408901876749085	0.19640731700738281
chr1	4000000	5000000	1.9155064573912368	2	7	0.7701863100976052	1.415	-1.285385965719649	0.21663480785602018
chr1	5000000	6000000	0.8569733321707962	3	3	0.8695651507246428	0.0	-3.9345627978726174	0.0191792115838794
chr1	6000000	7000000	0.3919271395688439	1	1	0.9565215191304853	0.0	-4.952272668990823	0.007017732341329344
chr1	7000000	8000000	0.2181635368455019	2	0		-1.585		0.0
chr1	8000000	9000000	0.4111034953669397	1	4	0.89130429657609	1.3219	-2.946284288072218	0.04991242057681774
chr1	9000000	10000000	0.7651940370210131	1	1	0.9565215191304853	0.0	-4.886157062891024	0.007493801372274345
chr1	10000000	11000000	0.406654602520748	1	2	0.9565216291304475	0.585	-4.373875001441814	0.012445470157128446
chr1	11000000	12000000	0.6792783755010388	1	0		-1.0		0.0
chr1	12000000	13000000	0.2157473336539856	1	1	0.9565215191304853	0.0	-4.983478850760795	0.006803584420099527
chr1	13000000	14000000	0.4304092523760978	1	1	0.9565215191304853	0.0	-4.945456451882853	0.007065391001289423
chr1	14000000	15000000	1.218500481956935	2	6	0.913043443260871	1.2224	-3.135041126199197	0.04168476254889238
chr1	15000000	16000000	0.6493811955624333	1	3	0.8695651507246428	1.0	-2.9870761601933626	0.04801315593086839
chr1	16000000	17000000	0.269926094348436	1	1	0.9565215191304853	0.0	-4.973882335169673	0.006868738786697655
chr1	17000000	18000000	1.944894252538792	2	4	0.89130429657609	0.737	-3.2503004908407496	0.03731609113027961
chr1	18000000	19000000	0.1769955656604334	1	0		-1.0		0.0
chr1	19000000	20000000	0.4214622222227766	2	4	0.9347825549456553	0.737	-3.9878109138121127	0.018202771897146645
chr1	20000000	21000000	0.0362664741056124	1	0		-1.0		0.0
chr1	21000000	22000000	0.0167360502186251	0	1	0.9565215191304853	1.0	-4.034472313212951	0.017387345730814463
chr1	22000000	23000000	0.1411758264258962	1	0		-1.0		0.0
chr1	23000000	24000000	0.3361557237625403	1	1	0.9565215191304853	0.0	-4.962151286634785	0.006949227528958659
chr1	24000000	25000000	0.7181802867096407	1	2	0.9130433732608817	0.585	-3.851025812013603	0.020815425989733433
chr1	25000000	26000000	1.459781572319291	2	4	0.89130429657609	0.737	-3.3362269930254778	0.03434908577887903
chr1	26000000	27000000	0.6025405946111038	1	1	0.9565215191304853	0.0	-4.914967361909109	0.0072825329691042235
chr1	27000000	28000000	0.5998581297298333	1	0		-1.0		0.0
chr1	28000000	29000000	0.2997092615932928	1	1	0.9565215191304853	0.0	-4.968606935268406	0.00690481901726989
chr1	29000000	30000000	0.5758725493045684	1	1	0.9565215191304853	0.0	-4.919690989937669	0.007248462869794925
chr1	30000000	31000000	0.939918249282136	3	4	0.826086909021742	0.3219	-3.135369302018068	0.04167165483410989
chr1	31000000	32000000	0.6347648890107531	1	0		-1.0		0.0
chr1	32000000	33000000	0.9738350918215816	2	0		-1.585		0.0
chr1	33000000	34000000	0.6772101508144455	2	4	0.89130429657609	0.737	-3.4748414380843364	0.03003660765289695
chr1	34000000	35000000	0.0466182671895434	1	1	0.9565215191304853	0.0	-5.013436156953002	0.006604116074461104
chr1	35000000	36000000	1.448862726094311	1	2	0.9565216291304475	0.585	-4.189271913832014	0.014931002751931162
chr1	36000000	37000000	2.1344067562467455	1	4	0.826086909021742	1.3219	-1.9395364751016526	0.1256987884166417
chr1	37000000	38000000	0.80317624761238	2	4	0.89130429657609	0.737	-3.4525294546358483	0.030693515081553765
chr1	38000000	39000000	1.0351194282083758	3	0		-2.0		0.0
chr1	39000000	40000000	1.1161705619757312	1	3	0.8695651507246428	1.0	-2.9043952096670402	0.05193671935805389
chr1	40000000	41000000	2.080978114933969	5	1	0.9565215191304853	-1.585	-6.213143325272273	0.001998927976711792
chr1	41000000	42000000	0.2985196100080358	2	1	0.9565215191304853	-0.585	-5.544607875545195	0.003893258805675722
chr1	42000000	43000000	0.8598205623558779	2	0		-1.585		0.0
chr1	43000000	44000000	2.0987823569880755	2	3	0.8695651507246428	0.415	-3.3061384556032944	0.035361203455574246
chr1	44000000	45000000	2.0206500070879936	2	4	0.826086909021742	0.737	-2.5353776500356284	0.07341499048912056
chr1	45000000	46000000	1.6900328755215788	1	3	0.8695651507246428	1.0	-2.8027487606063426	0.057175818673732406
chr1	46000000	47000000	0.8716791052178854	1	4	0.826086909021742	1.3219	-2.1631995016293324	0.10310420567287319
chr1	47000000	48000000	2.984610532562194	3	4	0.826086909021742	0.3219	-2.7731993091272127	0.05878973439806415
chr1	48000000	49000000	2.8649825045726685	6	11	0.8379446465109598	0.7776	-2.4734094269719034	0.07774342910233464
chr1	49000000	50000000	0.8048513923552658	3	5	0.7826086596521756	0.585	-2.4326657711775868	0.08071544454770584
chr1	50000000	51000000	1.7323914443023345	3	3	0.9275361607729522	0.0	-4.403062214344245	0.012091800324772365
chr1	51000000	52000000	1.2643238743845604	1	1	0.9565215191304853	0.0	-4.797747745201624	0.008180825494353335
chr1	52000000	53000000	0.7199691836612292	1	2	0.9130433732608817	0.585	-3.85070895025326	0.020821885292466445
chr1	53000000	54000000	1.2687867375571669	3	4	0.826086909021742	0.3219	-3.0771178482249697	0.04406105129413013
chr1	54000000	55000000	1.7464056185758825	1	2	0.9130433732608817	0.585	-3.668899452865414	0.024870220319911696
chr1	55000000	56000000	0.5830631788286555	2	2	0.9130433732608817	0.0	-4.450748906617059	0.01153521021449592
chr1	56000000	57000000	0.478194198674112	2	1	0.9565215191304853	-0.585	-5.512782673762034	0.004018649333234349
chr1	57000000	58000000	0.3210163000112418	1	0		-1.0		0.0
chr1	58000000	59000000	0.3323857264947594	2	3	0.8695651507246428	0.415	-3.6190148039611723	0.026109114456052046
chr1	59000000	60000000	0.8480552626427698	3	2	0.9130433732608817	-0.415	-4.8122782489573295	0.008063765063896923
chr1	60000000	61000000	0.1596662780459521	2	0		-1.585		0.0
chr1	61000000	62000000	0.6426500469843406	1	0		-1.0		0.0
chr1	62000000	63000000	0.3042749148043739	1	3	0.8695651507246428	1.0	-3.048203763730964	0.04529508550886979
chr1	63000000	64000000	0.2145002605594328	1	0		-1.0		0.0
chr1	64000000	65000000	0.5085495606786381	1	4	0.826086909021742	1.3219	-2.2275195098964273	0.0973063042182509
chr1	65000000	66000000	0.0039840158606265	0	1	0.9565215191304853	1.0	-4.0367310414482676	0.017348797337962893
chr1	66000000	67000000	0.4362531257266795	1	2	0.9130433732608817	0.585	-3.9009626943131446	0.019821593188645254
chr1	67000000	68000000	1.533228511984496	2	6	0.8550724309903395	1.2224	-2.455734796509363	0.07902018477807696
chr1	68000000	69000000	1.0160849974971722	3	6	0.8695651840579723	0.8074	-3.111691270733946	0.04262756926653021
chr1	69000000	70000000	0.2771544530281304	1	0		-1.0		0.0
chr1	70000000	71000000	0.3587395232978623	2	1	0.9565215191304853	-0.585	-5.533941309359951	0.00393484449733059
chr1	71000000	72000000	0.7644741249882516	1	4	0.826086909021742	1.3219	-2.1821883867760716	0.101361419727145
chr1	72000000	73000000	0.0745575577625023	1	2	0.9130433732608817	0.585	-3.965028706763732	0.0186144231844301
chr1	73000000	74000000	0.1572095894927949	1	0		-1.0		0.0
chr1	74000000	75000000	0.2670820283818713	1	0		-1.0		0.0
chr1	75000000	76000000	0.2593052507070701	1	0		-1.0		0.0
chr1	76000000	77000000	0.8743927635481841	2	5	0.7826086596521756	1.0	-2.011881557083562	0.11796106807449297
chr1	77000000	78000000	0.743634042850946	2	0		-1.585		0.0
chr1	78000000	79000000	0.6595069029193308	1	2	0.9130433732608817	0.585	-3.8614184462324452	0.02060465336486245
chr1	79000000	80000000	0.5104158241869614	1	1	0.9565215191304853	0.0	-4.9312851363353225	0.0071655071471457945
chr1	80000000	81000000	0.045227037275481	1	0		-1.0		0.0
chr1	81000000	82000000	0.8436242311797497	1	7	0.8695651888198768	2.0	-1.9684141164104414	0.12255932836982117
chr1	82000000	83000000	0.1094798086298691	1	1	0.9565215191304853	0.0	-5.002301687378916	0.006677566537385654
chr1	83000000	84000000	0.4350318243686915	3	2	0.9565216291304475	-0.415	-5.353105420293166	0.00471112907164102
chr1	84000000	85000000	1.9630939601636004	4	6	0.8115941717874409	0.4854	-2.637321669183793	0.06677474457610884
chr1	85000000	86000000	0.7644022287117003	3	6	0.9420289493961367	0.8074	-3.935720471967592	0.019157446266544385
chr1	86000000	87000000	0.411764247385066	2	1	0.9565215191304853	-0.585	-5.524549204688388	0.0039718275866450995
chr1	87000000	88000000	0.1994676249525819	2	4	0.89130429657609	0.737	-3.559462487720954	0.027666878497098292
chr1	88000000	89000000	0.7557583784809956	3	3	0.9275361607729522	0.0	-4.576050195664386	0.010190564463618407
chr1	89000000	90000000	2.226470361235902	3	13	0.8896320912837665	1.8074	-2.1288904105552824	0.10632037477263842
chr1	90000000	91000000	1.6613610710875837	5	3	0.956521665797107	-0.585	-5.303213578423089	0.004950944958505024
chr1	91000000	92000000	1.8485199458227193	6	8	0.7826086731521746	0.3626	-2.4667028570222937	0.07822564985578025
chr1	92000000	93000000	1.730286673595037	4	10	0.8608695454173918	1.1375	-2.5667499928685755	0.07130923365443528
chr1	93000000	94000000	0.4419008185919235	1	1	0.9565215191304853	0.0	-4.943420986454278	0.007079685087542219
chr1	94000000	95000000	1.1297793745767963	1	4	0.89130429657609	1.3219	-2.818987461947007	0.05630671189973363
chr1	95000000	96000000	0.7231039509850543	3	0		-2.0		0.0
chr1	96000000	97000000	2.3166753699185665	4	9	0.830917853161568	1.0	-2.276047640579786	0.09312620821816457
chr1	97000000	98000000	1.2025087740360672	3	7	0.819875749458741	1.0	-2.3546231988964097	0.08669899683559824
chr1	98000000	99000000	1.5521597080658616	5	2	0.9130433732608817	-1.0	-5.263352636623615	0.005151243211085579
chr1	99000000	100000000	1.246084663359725	2	2	0.9565216291304475	0.0	-4.8009795831994575	0.008154644322586566
chr1	100000000	101000000	2.588272171576814	3	7	0.819875749458741	1.0	-2.109167232764122	0.10820900242973894
chr1	101000000	102000000	2.205555701994534	4	7	0.7701863100976052	0.6781	-1.9593092710631135	0.12354181972250276
chr1	102000000	103000000	1.2268870415154955	2	7	0.8819875486601607	1.415	-2.609938086602992	0.06850155425638792
chr1	103000000	104000000	1.0530426159795172	2	4	0.89130429657609	0.737	-3.408271400944747	0.03203796064893942
chr1	104000000	105000000	1.3633840778798725	3	8	0.8804347572961962	1.1699	-2.8102996806398384	0.05677013159287646
chr1	105000000	106000000	0.8944302429825033	1	3	0.956521665797107	1.0	-3.87901064475761	0.020252619013187496
chr1	106000000	107000000	1.7419798598068708	2	5	0.7826086596521756	1.0	-1.8582085496322156	0.13491199675431595
chr1	107000000	108000000	0.3789636733290278	1	1	0.9565215191304853	0.0	-4.9545688474986145	0.007001749557793671
chr1	108000000	109000000	0.3211382919707501	2	3	0.8695651507246428	0.415	-3.6210070271015002	0.02605850514120951
chr1	109000000	110000000	0.8197552862977813	1	2	0.9130433732608817	0.585	-3.83303414784998	0.02118531362500223
chr1	110000000	111000000	0.1170166343631073	1	0		-1.0		0.0
chr1	111000000	112000000	0.1714452003996727	1	1	0.9565215191304853	0.0	-4.991325950012339	0.006750763945187499
chr1	112000000	113000000	0.946813651961048	2	0		-1.585		0.0
chr1	113000000	114000000	0.3419412074221308	2	1	0.9565215191304853	-0.585	-5.536916742871899	0.003923199893918755
chr1	114000000	115000000	0.6456434740422412	3	2	0.9130433732608817	-0.415	-4.84813082033833	0.007781989547534926
chr1	115000000	116000000	0.4038146504264381	2	1	0.9565215191304853	-0.585	-5.5259572921045415	0.003966261008265816
chr1	116000000	117000000	0.0829026238778976	1	0		-1.0		0.0
chr1	117000000	118000000	0.0785099488307548	1	1	0.9565215191304853	0.0	-5.007787282446201	0.006641279004558
chr1	118000000	119000000	0.0842691041596985	1	1	0.9565215191304853	0.0	-5.006767181151939	0.006648012176739014
chr1	119000000	120000000	0.3705914367285396	1	2	0.9130433732608817	0.585	-3.912593145326297	0.01959688612515499
chr1	120000000	121000000	0.0	0	0		0.0		0.0
chr1	121000000	122000000	0.4839135325018056	2	1	0.9565215191304853	-0.585	-5.511769625926594	0.004022706094968224
chr1	122000000	123000000	0.0	0	0		0.0		0.0
chr1	123000000	124000000	0.0	0	0		0.0		0.0
chr1	124000000	125000000	0.0	0	0		0.0		0.0
chr1	125000000	126000000	0.0	0	0		0.0		0.0
chr1	126000000	127000000	0.0	0	0		0.0		0.0
chr1	127000000	128000000	0.0	0	0		0.0		0.0
chr1	128000000	129000000	0.0	0	0		0.0		0.0
chr1	129000000	130000000	0.0	0	0		0.0		0.0
chr1	130000000	131000000	0.0	0	0		0.0		0.0
chr1	131000000	132000000	0.0	0	0		0.0		0.0
chr1	132000000	133000000	0.0	0	0		0.0		0.0
chr1	133000000	134000000	0.0	0	0		0.0		0.0
chr1	134000000	135000000	0.0	0	0		0.0		0.0
chr1	135000000	136000000	0.0	0	0		0.0		0.0
chr1	136000000	137000000	0.0	0	0		0.0		0.0
chr1	137000000	138000000	0.0	0	0		0.0		0.0
chr1	138000000	139000000	0.0	0	0		0.0		0.0
chr1	139000000	140000000	0.0	0	0		0.0		0.0
chr1	140000000	141000000	0.0	0	0		0.0		0.0
chr1	141000000	142000000	0.0	0	0		0.0		0.0
