chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	0.732832087960912	1	0		-1.0		0.0
chr1	1000000	2000000	0.7305381261608019	2	1	0.9565215191304853	-0.585	-5.468085777719908	0.00420157340948088
chr1	2000000	3000000	1.1651373818646658	2	3	0.8695651507246428	0.415	-3.4715120899482113	0.03013375816496213
chr1	3000000	4000000	1.0892224117671616	1	4	0.89130429657609	1.3219	-2.8261711907909755	0.055926209810482935
chr1	4000000	5000000	0.2239051696931744	1	0		-1.0		0.0
chr1	5000000	6000000	0.0237958247183676	1	0		-1.0		0.0
chr1	6000000	7000000	0.3971537343680547	2	3	0.9275361607729522	0.415	-4.231102155349442	0.014328082221952986
chr1	7000000	8000000	1.0463083357258274	1	1	0.9565215191304853	0.0	-4.836364160361888	0.007873373209113965
chr1	8000000	9000000	0.6527503281448217	1	4	0.89130429657609	1.3219	-2.9034821351884252	0.05198169690093907
chr1	9000000	10000000	1.8514790741290097	1	4	0.826086909021742	1.3219	-1.9896505766019672	0.1202938346738914
chr1	10000000	11000000	1.0989871304977026	3	2	0.9130433732608817	-0.415	-4.7678314666516215	0.008427169357690032
chr1	11000000	12000000	0.754337238695169	2	1	0.9565215191304853	-0.585	-5.463870314841771	0.004219247482720036
chr1	12000000	13000000	0.0499815590429708	1	0		-1.0		0.0
chr1	13000000	14000000	0.6278814062176652	1	1	0.9565215191304853	0.0	-4.9104788226631575	0.00731505472309568
chr1	14000000	15000000	1.1391354303533698	1	4	0.826086909021742	1.3219	-2.115825793533978	0.10756812681364139
chr1	15000000	16000000	1.311622615659875	2	4	0.826086909021742	0.737	-2.6609654694903035	0.06531636663686412
chr1	16000000	17000000	0.610838104436763	3	1	0.9565215191304853	-1.0	-5.897754437779136	0.0027380856276233876
chr1	17000000	18000000	1.1917962635794317	2	1	0.9565215191304853	-0.585	-5.386384556604245	0.004557629651309913
chr1	18000000	19000000	0.6314251070377139	3	2	0.9130433732608817	-0.415	-4.8506492755205874	0.0077625675579949815
chr1	19000000	20000000	1.1665618178801154	3	1	0.9565215191304853	-1.0	-5.799320822612266	0.0030204608669818387
chr1	20000000	21000000	0.5875539879914582	1	2	0.9130433732608817	0.585	-3.874163242552652	0.02034902736277197
chr1	21000000	22000000	1.4112306208577057	2	4	0.826086909021742	0.737	-2.6433222129331364	0.06640178608068423
chr1	22000000	23000000	0.7048243948159758	1	3	0.8695651507246428	1.0	-2.9772556785278814	0.04846402712522644
chr1	23000000	24000000	1.0475061607933558	1	4	0.89130429657609	1.3219	-2.83356026074647	0.05553735594291584
chr1	24000000	25000000	0.8344663898108879	2	0		-1.585		0.0
chr1	25000000	26000000	1.563171281400372	2	2	0.9130433732608817	0.0	-4.277145402831521	0.013692156053138194
chr1	26000000	27000000	1.3911335401823934	1	5	0.9043477844869585	1.585	-2.6540376532183396	0.06574058658525098
chr1	27000000	28000000	1.2622664391940046	2	5	0.7826086596521756	1.0	-1.9431786977340622	0.1252990586263565
chr1	28000000	29000000	0.3378651207929404	1	1	0.9565215191304853	0.0	-4.961848506448538	0.006951317307533805
chr1	29000000	30000000	0.444108691023545	1	2	0.9130433732608817	0.585	-3.8995712624331578	0.019848644967807822
chr1	30000000	31000000	0.3050889400080434	1	1	0.9565215191304853	0.0	-4.96765404954122	0.0069113561615493655
chr1	31000000	32000000	0.4179789036716568	1	2	0.9130433732608817	0.585	-3.9041995505021534	0.01975880293620095
chr1	32000000	33000000	0.5551532968945327	1	6	0.7391304064492765	1.8074	-0.8060689375773222	0.3087288132850181
chr1	33000000	34000000	0.6500173841653325	1	1	0.9565215191304853	0.0	-4.906557945648315	0.0073435814168892515
chr1	34000000	35000000	0.1621649239565208	1	2	0.9130433732608817	0.585	-3.9495110861167877	0.01890002564445385
chr1	35000000	36000000	0.3194323713814402	1	1	0.9565215191304853	0.0	-4.96511344209578	0.006928815710637899
chr1	36000000	37000000	0.4659161213402263	1	2	0.9130433732608817	0.585	-3.8957085800396536	0.019923931741948956
chr1	37000000	38000000	0.47752626144436	1	3	0.8695651507246428	1.0	-3.0175162908559363	0.04664078942768132
chr1	38000000	39000000	0.6393035474776645	2	3	0.8695651507246428	0.415	-3.564651403682114	0.027527630871390783
chr1	39000000	40000000	3.997590212681324	3	7	0.8322981092990249	1.0	-1.993159006088285	0.11992305566225211
chr1	40000000	41000000	1.3273282741109993	1	2	0.9130433732608817	0.585	-3.7431293211476415	0.023132119176394357
chr1	41000000	42000000	0.4712959891927757	1	4	0.826086909021742	1.3219	-2.234118119296248	0.09672823512214876
chr1	42000000	43000000	0.3276669330075688	1	2	0.9130433732608817	0.585	-3.920196229337808	0.019451341535666286
chr1	43000000	44000000	0.9326559844249962	2	3	0.8695651507246428	0.415	-3.5126907977403254	0.028953288106853704
chr1	44000000	45000000	1.1675790975679092	2	3	0.8695651507246428	0.415	-3.4710795964301804	0.030146400666103423
chr1	45000000	46000000	0.6683902475592864	1	0		-1.0		0.0
chr1	46000000	47000000	0.9199436558981332	2	3	0.8695651507246428	0.415	-3.5149424930051083	0.028890048806973052
chr1	47000000	48000000	1.1509934388432326	1	2	0.9130433732608817	0.585	-3.7743629627853403	0.02243674546763345
chr1	48000000	49000000	0.6041270028094363	2	5	0.7826086596521756	1.0	-2.0597528917806214	0.11307060911027136
chr1	49000000	50000000	0.3879614410298302	1	2	0.9565216291304475	0.585	-4.377186063071789	0.012404840913702236
chr1	50000000	51000000	0.4007073024415897	1	0		-1.0		0.0
chr1	51000000	52000000	0.6244394858054085	1	0		-1.0		0.0
chr1	52000000	53000000	0.8664737580820705	1	1	0.9565215191304853	0.0	-4.8682177004957055	0.007628413692029103
chr1	53000000	54000000	0.2606138359909553	1	3	0.8695651507246428	1.0	-3.0559373150006426	0.044961833678421166
chr1	54000000	55000000	0.9370041647489682	1	5	0.7826086596521756	1.585	-1.425001173086315	0.19387875448238837
chr1	55000000	56000000	0.497972205748197	3	4	0.826086909021742	0.3219	-3.2136498319313826	0.038655274280332295
chr1	56000000	57000000	0.2755176489712516	1	2	0.9130433732608817	0.585	-3.929433270032459	0.01927594339271409
chr1	57000000	58000000	0.5800639560512812	1	6	0.7391304064492765	1.8074	-0.8016565898986618	0.30967126979657783
chr1	58000000	59000000	0.2146499576744172	2	2	0.9130433732608817	0.0	-4.51600479611075	0.010814385054055216
chr1	59000000	60000000	0.5645580461727016	2	1	0.9565215191304853	-0.585	-5.497485313718979	0.004080343899861881
chr1	60000000	61000000	0.1266822970446979	1	3	0.8695651507246428	1.0	-3.079660192474516	0.04395409261962733
chr1	61000000	62000000	0.3225672526691849	1	1	0.9565215191304853	0.0	-4.9645581703108865	0.006932637475003393
chr1	62000000	63000000	0.5978459055996561	1	3	0.8695651507246428	1.0	-2.9962044460249624	0.047597638474973405
chr1	63000000	64000000	0.3773858977877076	2	2	0.9130433732608817	0.0	-4.487179884530721	0.011127125867655307
chr1	64000000	65000000	1.269733134156708	3	4	0.826086909021742	0.3219	-3.0769502159350006	0.04406811245138036
chr1	65000000	66000000	0.3664485774963091	1	3	0.8695651507246428	1.0	-3.0371911359828827	0.045773701253547454
chr1	66000000	67000000	0.81982426092581	2	2	0.9130433732608817	0.0	-4.4088121515751695	0.01202330628435643
chr1	67000000	68000000	0.3258967736706388	3	0		-2.0		0.0
chr1	68000000	69000000	0.4393403258334856	2	4	0.826086909021742	0.737	-2.815470121994033	0.05649390215130708
chr1	69000000	70000000	0.7505495965490363	2	0		-1.585		0.0
chr1	70000000	71000000	0.634799722716445	1	1	0.9565215191304853	0.0	-4.9092534027514825	0.007323958539086077
chr1	71000000	72000000	0.5067749003290536	1	3	0.8695651507246428	1.0	-3.0123355703027466	0.046871694190931776
chr1	72000000	73000000	0.1539076225202684	1	2	0.9130433732608817	0.585	-3.950973676271267	0.01887292418110616
chr1	73000000	74000000	1.499807685555261	1	0		-1.0		0.0
chr1	74000000	75000000	1.1322063099631785	2	2	0.9130433732608817	0.0	-4.353480889553872	0.012698634125491562
chr1	75000000	76000000	1.0155253151920158	2	3	0.8695651507246428	0.415	-3.498012410591226	0.02936883661834668
chr1	76000000	77000000	0.5018670730138348	2	2	0.9130433732608817	0.0	-4.465130920627766	0.011372371114812681
chr1	77000000	78000000	0.988998041198426	1	0		-1.0		0.0
