chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	1.170387342150446	1	0		-1.0		0.0
chr1	1000000	2000000	2.678294705830196	2	2	0.9130433732608817	0.0	-4.079627054471393	0.016632454836943956
chr1	2000000	3000000	0.6463442885169104	2	4	0.826086909021742	0.737	-2.7788041530819934	0.0584803646115061
chr1	3000000	4000000	0.4859562177127556	1	1	0.9565215191304853	0.0	-4.93561759045339	0.007134751081787451
chr1	4000000	5000000	0.3004633909015464	1	2	0.9130433732608817	0.585	-3.925014708251094	0.01935965123825716
chr1	5000000	6000000	0.4644620962022916	2	5	0.9043477844869585	1.0	-3.3939663086399054	0.03248456550846549
chr1	6000000	7000000	0.6409628564929983	1	4	0.826086909021742	1.3219	-2.204065554112522	0.09938599464325315
chr1	7000000	8000000	0.2847427504406705	1	3	0.8695651507246428	1.0	-3.0516634353336745	0.045145712536992996
chr1	8000000	9000000	0.667485222279848	1	5	0.8521738738434801	1.585	-2.22101165805773	0.09787943950051393
chr1	9000000	10000000	0.6916554149286416	1	5	0.7826086596521756	1.585	-1.468459035036899	0.1871769460480591
chr1	10000000	11000000	0.7138316725281988	1	4	0.826086909021742	1.3219	-2.1911585270741565	0.10054727075418883
chr1	11000000	12000000	1.0192602883563513	1	3	0.8695651507246428	1.0	-2.921560625409442	0.05109797787884343
chr1	12000000	13000000	0.7232134616518406	1	1	0.9565215191304853	0.0	-4.893592951805623	0.007438697930278231
chr1	13000000	14000000	1.0572067338663849	2	6	0.7391304064492765	1.2224	-1.292931992757424	0.21535695409138333
chr1	14000000	15000000	0.435611281825492	1	3	0.8695651507246428	1.0	-3.0249405609990374	0.04631177501973665
chr1	15000000	16000000	0.4667610688879628	1	4	0.826086909021742	1.3219	-2.2349213756434185	0.09665807583255427
chr1	16000000	17000000	0.4191548683669843	1	1	0.9565215191304853	0.0	-4.947449905963891	0.007051419714899693
chr1	17000000	18000000	0.7345691209290699	2	2	0.9130433732608817	0.0	-4.423913129702301	0.011845241127602478
chr1	18000000	19000000	0.4796474674444146	1	2	0.9130433732608817	0.585	-3.893276389356683	0.019971480549538845
chr1	19000000	20000000	0.5189630736628019	1	2	0.9130433732608817	0.585	-3.886312538149805	0.020108237973023427
chr1	20000000	21000000	0.3988199194702182	2	1	0.9565215191304853	-0.585	-5.526841993284126	0.003962767503231123
chr1	21000000	22000000	0.4962763603801066	1	0		-1.0		0.0
chr1	22000000	23000000	0.5979994235317521	1	5	0.8521738738434801	1.585	-2.233319461752398	0.09679803781421219
chr1	23000000	24000000	0.6651080675356495	1	7	0.7701863100976052	2.0	-0.9310749275261969	0.28270668591176035
chr1	24000000	25000000	0.4647774150609152	2	2	0.9130433732608817	0.0	-4.471700496532647	0.011298745716174372
chr1	25000000	26000000	0.5033001212968577	1	3	0.8695651507246428	1.0	-3.012951047119321	0.046844205592276256
