chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	0.1343788564427463	1	0		-1.0		0.0
chr1	1000000	2000000	0.3381929325866331	2	2	0.9130433732608817	0.0	-4.494122012715151	0.011050998128229638
chr1	2000000	3000000	1.090428399600805	1	5	0.8869564809391324	1.585	-2.520232762747141	0.07445190417140027
chr1	3000000	4000000	0.8536724282782684	3	7	0.819875749458741	1.0	-2.416411497261044	0.08192976825690826
chr1	4000000	5000000	0.4901207887426375	1	4	0.826086909021742	1.3219	-2.230783741025789	0.09701995803046877
chr1	5000000	6000000	0.6408557882353749	2	2	0.9565216291304475	0.0	-4.908181893881384	0.00733175286342478
chr1	6000000	7000000	0.4653694205710348	5	4	0.826086909021742	-0.263	-3.79511645730667	0.021986035272863642
chr1	7000000	8000000	0.6170295977645903	4	1	0.9565215191304853	-1.3219	-6.21349001785901	0.001998236467883134
chr1	8000000	9000000	1.8380347586231016	4	10	0.7478260697565221	1.1375	-1.3317238044928903	0.20887437069131867
chr1	9000000	10000000	1.0724239140194527	3	5	0.7826086596521756	0.585	-2.385271481552034	0.08430273682459823
chr1	10000000	11000000	0.1557565079641136	1	1	0.9565215191304853	0.0	-4.994104839371054	0.006732156477856064
chr1	11000000	12000000	0.4788056930749391	5	5	0.8521738738434801	0.0	-3.8144788859857135	0.02157352265780529
chr1	12000000	13000000	1.1047088790741275	2	7	0.819875749458741	1.415	-1.9634796234790413	0.12309096561644405
chr1	13000000	14000000	0.933937433611669	2	2	0.9130433732608817	0.0	-4.388599639756964	0.012265788994654955
chr1	14000000	15000000	0.2331345563033635	2	3	0.8695651507246428	0.415	-3.6365948554420546	0.025665803603920227
chr1	15000000	16000000	0.7171182976726387	6	5	0.7826086596521756	-0.2224	-3.2428945923617665	0.037583051210971
chr1	16000000	17000000	0.8552541056873757	5	5	0.8521738738434801	0.0	-3.7477997479880347	0.02302681614772604
chr1	17000000	18000000	0.6582105312998605	4	7	0.8322981092990249	0.6781	-2.9014852162929907	0.052080192352351756
chr1	18000000	19000000	0.6641790162692542	3	4	0.89130429657609	0.3219	-3.8857145951724945	0.020120023161087887
chr1	19000000	20000000	0.4280569025842364	1	2	0.9130433732608817	0.585	-3.902414465859164	0.019793406812183823
chr1	20000000	21000000	0.4706286323675743	2	5	0.8869564809391324	1.0	-3.205806191274843	0.03894780922997085
chr1	21000000	22000000	0.4803138813123055	2	6	0.8115941717874409	1.2224	-2.1745646459577257	0.10205795905038276
chr1	22000000	23000000	0.9242556373291784	3	7	0.819875749458741	1.0	-2.403909312688227	0.08287507721070653
chr1	23000000	24000000	1.1039939647917718	3	8	0.8369564976766312	1.1699	-2.388574992661626	0.0840480696459402
chr1	24000000	25000000	1.4202537924663297	6	12	0.688405783907005	0.8931	-1.0071279072605126	0.2675422999700509
chr1	25000000	26000000	1.34629687238104	4	1	0.9565215191304853	-1.3219	-6.084317170764542	0.002273140555949161
chr1	26000000	27000000	1.1191437069501546	2	16	0.7010869464436141	2.5025	0.38719658699906834	0.5956076529226842
chr1	27000000	28000000	1.1842550134907963	5	6	0.7391304064492765	0.2224	-2.254685113637998	0.09494610207389702
chr1	28000000	29000000	2.083443958653296	3	9	0.7439613336446597	1.3219	-1.0651876269643443	0.2563193412060267
chr1	29000000	30000000	0.4990094149780475	2	3	0.9275361607729522	0.415	-4.213060775028273	0.014585122077061604
chr1	30000000	31000000	0.6446414947723236	2	6	0.8695651840579723	1.2224	-2.76901733756472	0.05902156494725305
chr1	31000000	32000000	1.032066427845609	4	7	0.8819875486601607	0.6781	-3.3697448838340893	0.033254509502528694
chr1	32000000	33000000	0.7219223770265089	7	5	0.8521738738434801	-0.415	-4.1798829499540195	0.015069727042550829
chr1	33000000	34000000	0.7227859478959715	2	2	0.9130433732608817	0.0	-4.426000246540627	0.011820836441438737
chr1	34000000	35000000	0.5329400242205447	1	1	0.9565215191304853	0.0	-4.927295494748302	0.007193945985989669
chr1	35000000	36000000	0.3805044218628257	1	6	0.8115941717874409	1.8074	-1.6164533644939265	0.1656945755315221
chr1	36000000	37000000	0.2546438826126129	1	1	0.9565215191304853	0.0	-4.976589225864658	0.006850298198259564
chr1	37000000	38000000	0.1973421031746056	1	0		-1.0		0.0
chr1	38000000	39000000	0.5074858098476875	1	2	0.9565216291304475	0.585	-4.356015082891042	0.01266690118811923
chr1	39000000	40000000	0.3493435521923693	2	1	0.9565215191304853	-0.585	-5.5356055885359945	0.003928326967926613
chr1	40000000	41000000	0.5847916508748581	1	4	0.89130429657609	1.3219	-2.9155194445992345	0.05139169208873467
chr1	41000000	42000000	1.1937020735412878	3	9	0.7439613336446597	1.3219	-1.2227848433478208	0.22744674121917993
chr1	42000000	43000000	1.417693145650034	2	6	0.8115941717874409	1.2224	-2.0085295685637687	0.11831027679134157
chr1	43000000	44000000	0.7949196211275087	3	4	0.826086909021742	0.3219	-3.1610524586267017	0.040657982664819424
chr1	44000000	45000000	0.982778054956623	3	5	0.8521738738434801	0.585	-3.1494216059835205	0.04111407458578459
chr1	45000000	46000000	1.2848018161793746	4	5	0.8521738738434801	0.263	-3.4128557610475374	0.03189609721832972
chr1	46000000	47000000	1.378820369056605	2	5	0.8521738738434801	1.0	-2.670805294053328	0.06471820726060398
chr1	47000000	48000000	0.6274643552088923	1	3	0.8695651507246428	1.0	-2.990958222046845	0.047836026085591454
chr1	48000000	49000000	0.9003550589965057	1	4	0.826086909021742	1.3219	-2.1581202190101	0.10357485366353553
chr1	49000000	50000000	0.5035915356271206	3	1	0.9565215191304853	-1.0	-5.916750689381871	0.002686701605607224
chr1	50000000	51000000	0.7022407635997427	1	2	0.9130433732608817	0.585	-3.8538491302305307	0.020757958496592833
chr1	51000000	52000000	0.6523074826671222	3	3	0.8695651507246428	0.0	-3.970814624059803	0.018509020340980387
chr1	52000000	53000000	1.379539896266098	1	3	0.8695651507246428	1.0	-2.8577454175650248	0.0542823249299604
chr1	53000000	54000000	0.9356485569428844	3	6	0.913043443260871	0.8074	-3.5936083761038784	0.026762971775497583
