chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	0.6612842777560153	2	0		-1.585		0.0
chr1	1000000	2000000	1.0197080896043231	2	1	0.9565215191304853	-0.585	-5.416866000318203	0.004421407427466418
chr1	2000000	3000000	0.8364524530482123	1	2	0.9130433732608817	0.585	-3.8300766305684064	0.021246729096460866
chr1	3000000	4000000	1.3677631764276446	3	5	0.8521738738434801	0.585	-3.0812303872625426	0.043888156918395586
chr1	4000000	5000000	1.690030564332547	6	5	0.7826086596521756	-0.2224	-3.0705656646395	0.04433785306376957
chr1	5000000	6000000	1.0612022221105422	3	6	0.8115941717874409	0.8074	-2.480140265538963	0.07726220162715094
chr1	6000000	7000000	1.101885648855934	1	9	0.830917853161568	2.3219	-1.1901305224053242	0.23323559275581163
chr1	7000000	8000000	1.3567132605479904	1	6	0.8550724309903395	1.8074	-1.9112101737158183	0.12884495646536048
chr1	8000000	9000000	1.5704977564112732	2	8	0.6521738942934788	1.585	0.09021639279530014	0.5225388133265992
chr1	9000000	10000000	1.0114682211643666	2	4	0.89130429657609	0.737	-3.415635344359494	0.03181037878483209
chr1	10000000	11000000	1.4512899636678536	2	6	0.7391304064492765	1.2224	-1.2231292543685228	0.22738622881364248
chr1	11000000	12000000	0.9571780241398472	1	3	0.8695651507246428	1.0	-2.9325570640294725	0.05056741820005606
chr1	12000000	13000000	2.0880491650766504	2	4	0.89130429657609	0.737	-3.224943905852344	0.038237754610073754
chr1	13000000	14000000	1.361193045972502	1	1	0.9565215191304853	0.0	-4.78058960973438	0.008321226237919426
chr1	14000000	15000000	0.3936046307952852	2	0		-1.585		0.0
chr1	15000000	16000000	1.952696672107268	2	4	0.826086909021742	0.737	-2.5474140131833387	0.07260040646385113
chr1	16000000	17000000	0.979082328410748	1	2	0.9130433732608817	0.585	-3.80481304378399	0.0217784965618306
chr1	17000000	18000000	1.042812529332164	2	5	0.8869564809391324	1.0	-3.1044570349296663	0.04292378054888634
chr1	18000000	19000000	0.7858984588744522	1	3	0.8695651507246428	1.0	-2.9628952813943883	0.049130571221993324
chr1	19000000	20000000	0.6214095919613172	3	5	0.7826086596521756	0.585	-2.465158247472349	0.07833709867021077
chr1	20000000	21000000	0.7928675035067179	3	2	0.9130433732608817	-0.415	-4.82205348530825	0.007985950297224313
chr1	21000000	22000000	1.1880785621206025	2	2	0.9130433732608817	0.0	-4.343584411080255	0.012823310266604921
chr1	22000000	23000000	1.0914027990186326	2	3	0.8695651507246428	0.415	-3.4845724675725247	0.029754392711633933
chr1	23000000	24000000	0.416842040340152	2	0		-1.585		0.0
chr1	24000000	25000000	0.8664297570501942	3	5	0.7826086596521756	0.585	-2.421758586714594	0.08152847276091305
chr1	25000000	26000000	1.0720968064380147	1	1	0.9565215191304853	0.0	-4.83179632864908	0.007909134620774076
chr1	26000000	27000000	1.500542187096627	2	5	0.7826086596521756	1.0	-1.9009736546429226	0.12999831556010133
chr1	27000000	28000000	0.3471544359500567	1	0		-1.0		0.0
chr1	28000000	29000000	0.6801007929055101	1	2	0.9130433732608817	0.585	-3.8577707144681694	0.020678393831168037
chr1	29000000	30000000	1.0093053625796848	5	7	0.8447204691393089	0.415	-3.23187474063423	0.03798368295077457
chr1	30000000	31000000	1.1748091095944528	2	1	0.9565215191304853	-0.585	-5.389393438423912	0.004543999112471643
chr1	31000000	32000000	0.6022305174605185	2	3	0.8695651507246428	0.415	-3.5712180343323814	0.02735238741708524
chr1	32000000	33000000	0.6368400221507624	1	2	0.9130433732608817	0.585	-3.8654333604148574	0.020523787741859423
chr1	33000000	34000000	1.5135470722934237	4	3	0.8695651507246428	-0.3219	-4.135098190802495	0.01574909120533287
chr1	34000000	35000000	0.759451316290443	2	1	0.9565215191304853	-0.585	-5.462964474162726	0.0042230550326085034
chr1	35000000	36000000	0.4181033593471204	2	2	0.9130433732608817	0.0	-4.479967727041746	0.011206763938415146
chr1	36000000	37000000	0.7724512137710726	1	3	0.8695651507246428	1.0	-2.9652771501495634	0.049019417457200315
chr1	37000000	38000000	0.4345352546631802	3	0		-2.0		0.0
chr1	38000000	39000000	1.0076939566160965	2	1	0.9565215191304853	-0.585	-5.41899402637597	0.004412050029579397
chr1	39000000	40000000	1.1352977743921224	1	1	0.9565215191304853	0.0	-4.8206017375109385	0.007997459515965142
chr1	40000000	41000000	0.6856993813738321	2	3	0.8695651507246428	0.415	-3.5564334537393556	0.027748480506162736
chr1	41000000	42000000	1.3176568012340697	4	1	0.9565215191304853	-1.3219	-6.089390097604688	0.0022616642942677456
chr1	42000000	43000000	1.4854162072959345	6	3	0.9275361607729522	-0.8074	-5.241497101558472	0.005264466467928895
chr1	43000000	44000000	0.9488906084702986	4	6	0.8550724309903395	0.4854	-3.2846340070463267	0.03610211161233759
chr1	44000000	45000000	1.7257805764955512	1	4	0.9347825549456553	1.3219	-3.1810892599003564	0.03988360212063887
chr1	45000000	46000000	0.7890065437158644	2	3	0.8695651507246428	0.415	-3.5381349769675996	0.02824643517726542
chr1	46000000	47000000	1.0285076587492998	1	2	0.9130433732608817	0.585	-3.796058488546648	0.021965788224094136
chr1	47000000	48000000	1.1010678285571478	4	5	0.7826086596521756	0.263	-2.6971285596837715	0.06314300595799462
chr1	48000000	49000000	1.0510154665655285	4	2	0.9130433732608817	-0.737	-5.093259224213541	0.006100537202351053
chr1	49000000	50000000	0.971027315008663	1	4	0.826086909021742	1.3219	-2.145602261825636	0.10474289078144267
chr1	50000000	51000000	1.0316061862180552	4	2	0.9130433732608817	-0.737	-5.09669712975216	0.006079727433773004
chr1	51000000	52000000	0.6059963120775422	1	1	0.9565215191304853	0.0	-4.914355261408468	0.007286959483120863
chr1	52000000	53000000	0.9364870569363616	2	2	0.9130433732608817	0.0	-4.3881480328971305	0.012271261570363014
chr1	53000000	54000000	1.397016835002741	1	5	0.7826086596521756	1.585	-1.343520557700879	0.20693170028261101
chr1	54000000	55000000	1.1594493292154926	2	3	0.8695651507246428	0.415	-3.4725195970456646	0.03010432698491034
chr1	55000000	56000000	0.4791679125390344	1	3	0.8695651507246428	1.0	-3.0172255102968517	0.046653720813796797
chr1	56000000	57000000	0.8026078559943297	2	3	0.8695651507246428	0.415	-3.535725818772266	0.028312638344249817
chr1	57000000	58000000	1.3903941083606282	1	5	0.8521738738434801	1.585	-2.092965052574086	0.10978246351115942
chr1	58000000	59000000	1.2970870033367818	2	8	0.728260848627718	1.585	-0.7766338973558851	0.31504581128057113
chr1	59000000	60000000	0.9315896741252808	1	4	0.89130429657609	1.3219	-2.8540921879688703	0.054470171890267656
chr1	60000000	61000000	1.2222320851065485	3	4	0.89130429657609	0.3219	-3.7868683885201655	0.022164091617140644
chr1	61000000	62000000	1.2084393900215398	3	4	0.826086909021742	0.3219	-3.0878069864423345	0.0436130160737251
chr1	62000000	63000000	0.9208564990626034	3	3	0.8695651507246428	0.0	-3.9232473709556954	0.0193932323976941
chr1	63000000	64000000	1.472795508679737	3	2	0.9130433732608817	-0.415	-4.701619949752094	0.008998840668586132
chr1	64000000	65000000	0.5003883308839518	1	1	0.9565215191304853	0.0	-4.933061275076571	0.007152882461485637
chr1	65000000	66000000	0.5355330847416622	2	1	0.9565215191304853	-0.585	-5.502626414979592	0.004059505209614605
chr1	66000000	67000000	0.2899725401318873	2	0		-1.585		0.0
chr1	67000000	68000000	0.3181784479759666	3	1	0.9565215191304853	-1.0	-5.949592333665268	0.0026001247752228626
chr1	68000000	69000000	0.4614819420217335	1	2	0.9130433732608817	0.585	-3.89649399244884	0.019908600799867147
chr1	69000000	70000000	0.1629281774011262	1	1	0.9565215191304853	0.0	-4.992834543840397	0.006740656058555162
chr1	70000000	71000000	0.6184882554850617	3	2	0.9130433732608817	-0.415	-4.852940739851513	0.007744937882138876
chr1	71000000	72000000	0.6146507497133582	1	3	0.8695651507246428	1.0	-2.9932278561865013	0.047732755403865096
chr1	72000000	73000000	0.6666936462396138	2	1	0.9565215191304853	-0.585	-5.4793943521338955	0.004154523536053685
chr1	73000000	74000000	0.679294446160998	1	2	0.9130433732608817	0.585	-3.8579135401623414	0.020675501694905132
chr1	74000000	75000000	0.8593330828261512	3	1	0.9565215191304853	-1.0	-5.853739294134967	0.002860942003707707
chr1	75000000	76000000	1.2416614727558342	2	4	0.89130429657609	0.737	-3.3748619287340063	0.03309039575227097
chr1	76000000	77000000	0.8862900710305022	1	3	0.8695651507246428	1.0	-2.9451132269707605	0.04996798294485085
chr1	77000000	78000000	0.8784504630469594	2	2	0.9130433732608817	0.0	-4.398427874498829	0.012147285602668827
chr1	78000000	79000000	0.4748279461780051	1	2	0.9130433732608817	0.585	-3.89413005618815	0.019954778897692062
chr1	79000000	80000000	0.4526110210723439	1	0		-1.0		0.0
chr1	80000000	81000000	1.253792124206785	2	3	0.8695651507246428	0.415	-3.4558089508175254	0.030596095427539643
chr1	81000000	82000000	0.720347241034732	2	0		-1.585		0.0
chr1	82000000	83000000	1.1071210170205816	2	3	0.9275361607729522	0.415	-4.105347855881688	0.016216958737529395
chr1	83000000	84000000	0.6096268545829293	2	0		-1.585		0.0
chr1	84000000	85000000	0.7619448025982081	4	3	0.8695651507246428	-0.3219	-4.268227166198048	0.013813117803613063
chr1	85000000	86000000	0.7254762784283679	2	3	0.8695651507246428	0.415	-3.549387895519538	0.027939192878760902
chr1	86000000	87000000	1.6511059203944631	2	5	0.8521738738434801	1.0	-2.622576200121345	0.0676995121891826
chr1	87000000	88000000	1.4051439752640291	1	6	0.8550724309903395	1.8074	-1.9026317916542057	0.12981089735750967
chr1	88000000	89000000	0.8766334753142573	2	2	0.9130433732608817	0.0	-4.398749711891974	0.012143424247453063
chr1	89000000	90000000	0.8693675817103386	1	1	0.9565215191304853	0.0	-4.867705126505259	0.0076322949698736505
chr1	90000000	91000000	1.3563303057497196	3	2	0.9130433732608817	-0.415	-4.722249069381544	0.008816724138623515
chr1	91000000	92000000	1.0401056008580525	2	4	0.89130429657609	0.737	-3.410562894248107	0.03196697408845842
chr1	92000000	93000000	1.0379657776669329	2	2	0.9130433732608817	0.0	-4.370173422308486	0.0124910469145055
chr1	93000000	94000000	0.7501074863405979	1	5	0.7826086596521756	1.585	-1.458105601192191	0.18875723958313398
chr1	94000000	95000000	0.7417267369273803	2	0		-1.585		0.0
chr1	95000000	96000000	1.070437866416884	1	1	0.9565215191304853	0.0	-4.832090171542005	0.00790682929230661
chr1	96000000	97000000	0.9301395376055006	2	4	0.826086909021742	0.737	-2.7285363821389774	0.06131034198910537
chr1	97000000	98000000	0.5388038765145686	1	2	0.9130433732608817	0.585	-3.8827981983704003	0.020177601070804095
chr1	98000000	99000000	1.366336483388869	1	5	0.8521738738434801	1.585	-2.097226304957264	0.10936670211083313
chr1	99000000	100000000	0.5694955821406817	1	1	0.9565215191304853	0.0	-4.9208205223232	0.007240339364346164
chr1	100000000	101000000	0.9672457830209824	1	3	0.8695651507246428	1.0	-2.9307737931714444	0.05065310231565766
chr1	101000000	102000000	1.0371763862393446	3	3	0.8695651507246428	0.0	-3.9026439906542416	0.01978895414831446
chr1	102000000	103000000	0.9602170114526074	1	1	0.9565215191304853	0.0	-4.851613249212548	0.007755146255700289
chr1	103000000	104000000	0.9972222602167268	2	1	0.9565215191304853	-0.585	-5.4208488454318875	0.004403910066160112
chr1	104000000	105000000	0.8700957590901117	2	1	0.9565215191304853	-0.585	-5.443366367694654	0.004306275327163668
chr1	105000000	106000000	0.471196905099704	1	1	0.9565215191304853	0.0	-4.938231861650994	0.007116255827514951
chr1	106000000	107000000	0.9323602455560772	3	1	0.9565215191304853	-1.0	-5.8408042196384224	0.0028980809334139554
chr1	107000000	108000000	0.615070403046885	1	1	0.9565215191304853	0.0	-4.912747995861113	0.007298595428839771
chr1	108000000	109000000	0.5090174143212396	1	1	0.9565215191304853	0.0	-4.931532832331081	0.007163745212636977
chr1	109000000	110000000	0.4471927747658437	1	5	0.7826086596521756	1.585	-1.5117599431362878	0.18067811611903015
chr1	110000000	111000000	0.4886692585472012	1	1	0.9565215191304853	0.0	-4.935137037957663	0.007138156048251237
chr1	111000000	112000000	0.5132483134048829	1	1	0.9565215191304853	0.0	-4.930783426318462	0.007169077276486416
chr1	112000000	113000000	0.8611166171738103	2	2	0.9130433732608817	0.0	-4.40149816477575	0.012110498082290784
chr1	113000000	114000000	0.4332259039384203	2	6	0.7391304064492765	1.2224	-1.4034557789461788	0.19726830412337495
chr1	114000000	115000000	0.7084610124721293	2	5	0.8869564809391324	1.0	-3.163679680544581	0.0405556316828077
chr1	115000000	116000000	1.1010243385214316	3	4	0.826086909021742	0.3219	-3.106833080860688	0.04282627536264936
chr1	116000000	117000000	1.3793562030813544	1	3	0.9275361607729522	1.0	-3.481337462007988	0.02984792651639223
chr1	117000000	118000000	0.6115985404781901	1	2	0.9130433732608817	0.585	-3.8699043056581415	0.020434102696743586
chr1	118000000	119000000	0.7619046648772345	1	1	0.9565215191304853	0.0	-4.886739699161366	0.007489469174186882
chr1	119000000	120000000	1.3744487724353789	3	3	0.8695651507246428	0.0	-3.842903980526679	0.02098161218817918
chr1	120000000	121000000	0.0	0	0		0.0		0.0
chr1	121000000	122000000	0.0	0	0		0.0		0.0
chr1	122000000	123000000	0.0	0	0		0.0		0.0
chr1	123000000	124000000	0.0	0	0		0.0		0.0
chr1	124000000	125000000	0.0	0	0		0.0		0.0
chr1	125000000	126000000	0.8413822255416559	1	0		-1.0		0.0
chr1	126000000	127000000	0.0	0	0		0.0		0.0
chr1	127000000	128000000	0.0	0	0		0.0		0.0
chr1	128000000	129000000	0.0	0	0		0.0		0.0
chr1	129000000	130000000	0.0	0	0		0.0		0.0
chr1	130000000	131000000	0.0	0	0		0.0		0.0
chr1	131000000	132000000	0.0	0	0		0.0		0.0
chr1	132000000	133000000	0.0	0	0		0.0		0.0
chr1	133000000	134000000	0.0	0	0		0.0		0.0
chr1	134000000	135000000	0.0	0	0		0.0		0.0
chr1	135000000	136000000	0.0	0	0		0.0		0.0
chr1	136000000	137000000	0.0	0	0		0.0		0.0
chr1	137000000	138000000	0.0	0	0		0.0		0.0
chr1	138000000	139000000	0.0	0	0		0.0		0.0
chr1	139000000	140000000	0.0	0	0		0.0		0.0
chr1	140000000	141000000	0.0	0	0		0.0		0.0
chr1	141000000	142000000	0.0	0	0		0.0		0.0
chr1	142000000	143000000	0.0	0	0		0.0		0.0
chr1	143000000	144000000	0.8001903630648339	1	1	0.9565215191304853	0.0	-4.87995827236487	0.007540046807966665
chr1	144000000	145000000	0.4432060275282169	1	0		-1.0		0.0
chr1	145000000	146000000	0.9288157079068856	2	0		-1.585		0.0
chr1	146000000	147000000	0.4030348654190414	1	0		-1.0		0.0
chr1	147000000	148000000	1.2303589675881952	1	1	0.9565215191304853	0.0	-4.803763843640283	0.008132155628485292
chr1	148000000	149000000	0.4744891344330479	1	1	0.9565215191304853	0.0	-4.937648719295539	0.007120377271205912
chr1	149000000	150000000	0.1835533563368221	1	0		-1.0		0.0
chr1	150000000	151000000	0.4931217813615323	2	3	0.8695651507246428	0.415	-3.5905441258427917	0.026842901273652766
chr1	151000000	152000000	0.998128402398916	1	3	0.8695651507246428	1.0	-2.925303650728977	0.050916794550607825
chr1	152000000	153000000	1.001970695402867	1	6	0.7391304064492765	1.8074	-0.7269255596888513	0.3258697544285678
chr1	153000000	154000000	1.0165273476352592	2	5	0.7826086596521756	1.0	-1.986705699704288	0.12060581968570644
chr1	154000000	155000000	0.772267281883372	1	4	0.826086909021742	1.3219	-2.1808080091024324	0.10148722378445783
chr1	155000000	156000000	0.4965146164948026	1	1	0.9565215191304853	0.0	-4.9337474140737445	0.007148011342731844
chr1	156000000	157000000	0.8709631732816785	1	0		-1.0		0.0
chr1	157000000	158000000	0.6630000524349517	3	2	0.9130433732608817	-0.415	-4.845056503520831	0.007805763627234927
chr1	158000000	159000000	1.1547383787799332	2	3	0.8695651507246428	0.415	-3.4733540330631074	0.030079972625648307
chr1	159000000	160000000	1.3839697939568438	2	1	0.9565215191304853	-0.585	-5.35234545610011	0.00471469383545081
chr1	160000000	161000000	0.793766000995757	1	3	0.8695651507246428	1.0	-2.9615017280966907	0.0491957144340585
chr1	161000000	162000000	0.5728740835062505	2	2	0.9130433732608817	0.0	-4.452553669422032	0.011514650170388172
chr1	162000000	163000000	0.4767649313695763	1	1	0.9565215191304853	0.0	-4.937245614453278	0.007123227658721426
chr1	163000000	164000000	1.1804041104585314	5	2	0.9130433732608817	-1.0	-5.329200550876315	0.004824554975097288
chr1	164000000	165000000	1.130257153153599	4	4	0.826086909021742	0.0	-3.418487423269137	0.03172265629012341
chr1	165000000	166000000	0.386861165793805	2	0		-1.585		0.0
chr1	166000000	167000000	0.7603144769845636	3	1	0.9565215191304853	-1.0	-5.871278152214962	0.0028113416526854766
chr1	167000000	168000000	0.8320222356318565	3	1	0.9565215191304853	-1.0	-5.858576779665226	0.0028471749681606767
chr1	168000000	169000000	0.7971842830364335	2	2	0.9130433732608817	0.0	-4.412822300534156	0.011975763839469205
chr1	169000000	170000000	0.9338042669168808	1	0		-1.0		0.0
chr1	170000000	171000000	0.580630046712983	2	2	0.9565216291304475	0.0	-4.918849492403359	0.007254520732497355
chr1	171000000	172000000	0.8114507953223034	1	1	0.9565215191304853	0.0	-4.877963746976388	0.007554986898949373
chr1	172000000	173000000	0.2178436269499939	1	1	0.9565215191304853	0.0	-4.983107540840804	0.0068060939305446865
chr1	173000000	174000000	0.7408106025302663	2	1	0.9565215191304853	-0.585	-5.466266245889068	0.004209193057187102
chr1	174000000	175000000	0.5655631629340756	2	0		-1.585		0.0
chr1	175000000	176000000	1.0332764181886187	2	4	0.826086909021742	0.737	-2.7102680668462478	0.062370172955570374
chr1	176000000	177000000	1.3123513875200512	1	5	0.8521738738434801	1.585	-2.1067885172993863	0.10843876204845246
chr1	177000000	178000000	0.8299397696012072	5	5	0.8521738738434801	0.0	-3.752283597707298	0.02292616029425834
chr1	178000000	179000000	1.021861044289468	1	2	0.9130433732608817	0.585	-3.7972357827201284	0.02194051029816268
chr1	179000000	180000000	0.584680430814188	2	2	0.9130433732608817	0.0	-4.450462447796388	0.011538476917762889
chr1	180000000	181000000	0.5378334527960211	1	3	0.8695651507246428	1.0	-3.0068342653787035	0.047118077110896536
chr1	181000000	182000000	1.0393089028294489	1	2	0.9565216291304475	0.585	-4.2618149103861525	0.013900740444002703
chr1	182000000	183000000	0.6519461191145859	3	2	0.9130433732608817	-0.415	-4.8470144523940135	0.007790614243022559
chr1	183000000	184000000	1.1106973414453027	2	1	0.9565215191304853	-0.585	-5.400749356771464	0.004492920242677989
chr1	184000000	185000000	0.4901810525658936	1	2	0.9130433732608817	0.585	-3.8914106081436577	0.020008031502644758
chr1	185000000	186000000	0.6294808352753312	1	4	0.826086909021742	1.3219	-2.206099328865222	0.09920410294165534
chr1	186000000	187000000	0.5672897460449886	3	1	0.9565215191304853	-1.0	-5.9054680232306636	0.002717103584059587
chr1	187000000	188000000	0.2918227175183769	2	1	0.9565215191304853	-0.585	-5.545794075309924	0.003888661308858604
chr1	188000000	189000000	0.2123234348990381	2	0		-1.585		0.0
