chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	0.0	0	0		0.0		0.0
chr1	1000000	2000000	0.7523165175831812	4	6	0.8115941717874409	0.4854	-2.8517829166573314	0.05458922912747222
chr1	2000000	3000000	1.3181472470533002	2	10	0.8521738934434787	1.8745	-1.8208197853995314	0.13933553428934278
chr1	3000000	4000000	0.2249336324525295	2	2	0.9565216291304475	0.0	-4.981852893393045	0.006814580310123995
chr1	4000000	5000000	0.0801599624766105	1	2	0.9130433732608817	0.585	-3.9640363702189756	0.01863255977772626
chr1	5000000	6000000	0.1844147863404495	1	5	0.7826086596521756	1.585	-1.5583049919820864	0.1738900041933757
chr1	6000000	7000000	1.0578119987468266	1	5	0.8869564809391324	1.585	-2.5260100045169684	0.07405477870417819
chr1	7000000	8000000	1.3632009569016263	2	7	0.7701863100976052	1.415	-1.3832141234437154	0.20049329347650852
chr1	8000000	9000000	1.0640353476202715	2	8	0.8369564976766312	1.585	-1.987087745697674	0.1205653057391032
chr1	9000000	10000000	1.3989626143647342	3	13	0.775919718713661	1.8074	-1.0523282583098608	0.2587782620099988
chr1	10000000	11000000	1.423214271917339	3	13	0.5886287521276049	1.8074	0.9665443514599703	0.7244301781764528
chr1	11000000	12000000	0.7556631704337873	2	5	0.7826086596521756	1.0	-2.032911761112696	0.11579047344390561
chr1	12000000	13000000	1.3541997090980908	1	3	0.8695651507246428	1.0	-2.8622338462061148	0.05405236849127642
chr1	13000000	14000000	0.8995875835634557	1	5	0.8869564809391324	1.585	-2.5540358036999127	0.07215582390032757
chr1	14000000	15000000	0.9258849532467456	2	1	0.9565215191304853	-0.585	-5.433484601026723	0.0043488539050359045
chr1	15000000	16000000	1.6341207695546878	2	4	0.89130429657609	0.737	-3.305346832553579	0.03538821627660159
chr1	16000000	17000000	2.0455292455189547	5	16	0.8043478145244566	1.5025	-1.543687849930567	0.175999809284929
chr1	17000000	18000000	0.7957354910402801	1	4	0.826086909021742	1.3219	-2.1766511581116887	0.10186690533135564
chr1	18000000	19000000	0.5351717872869681	2	4	0.826086909021742	0.737	-2.7984957928995593	0.057405514560915576
chr1	19000000	20000000	0.8927959302745618	1	8	0.8369564976766312	2.1699	-1.4417270564782836	0.19127804643647112
chr1	20000000	21000000	0.9359323417083668	1	11	0.782608679288538	2.585	-0.4409344449771755	0.3915183322595274
chr1	21000000	22000000	1.2314391098126718	1	12	0.8550724473792274	2.7004	-1.0544584594986528	0.2583698737089109
chr1	22000000	23000000	0.5844202744529472	3	4	0.826086909021742	0.3219	-3.19833755404769	0.03922833152962819
chr1	23000000	24000000	1.967619149262939	3	16	0.8152173795855979	2.0875	-1.098615017216293	0.24999948839756458
chr1	24000000	25000000	0.595439122290323	1	4	0.89130429657609	1.3219	-2.9136334910607102	0.05148371125499238
chr1	25000000	26000000	1.0135564336927434	2	7	0.7701863100976052	1.415	-1.4451455717698902	0.19074979174268616
