chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	0.4456570265122099	1	0		-1.0		0.0
chr1	1000000	2000000	0.4193668322595862	2	1	0.9565215191304853	-0.585	-5.523202582444801	0.0039771584545116884
chr1	2000000	3000000	2.4222075313855225	1	0		-1.0		0.0
chr1	3000000	4000000	3.799410418236061	4	2	0.9130433732608817	-0.737	-4.606444563519952	0.00988850522579203
chr1	4000000	5000000	0.060166494878477	1	0		-1.0		0.0
chr1	5000000	6000000	0.5531152358959486	1	2	0.9130433732608817	0.585	-3.8802632717372845	0.020227778755292837
chr1	6000000	7000000	1.1858283979922533	1	2	0.9130433732608817	0.585	-3.768192754676022	0.0225724782555161
chr1	7000000	8000000	1.9110180764174935	2	1	0.9565215191304853	-0.585	-5.258991030951255	0.005173643477922912
chr1	8000000	9000000	0.5973640230653561	1	2	0.9130433732608817	0.585	-3.872425621512056	0.020383695627286605
chr1	9000000	10000000	0.184964737775616	1	1	0.9565215191304853	0.0	-4.9889312763514795	0.0067668396702781596
chr1	10000000	11000000	0.7003268351789447	1	1	0.9565215191304853	0.0	-4.897646788862065	0.0074088266636516496
chr1	11000000	12000000	0.9855481258559192	3	0		-2.0		0.0
chr1	12000000	13000000	0.6547763738587649	3	0		-2.0		0.0
chr1	13000000	14000000	5.657834872436255	4	4	0.826086909021742	0.0	-2.616531645466262	0.06808202039683546
chr1	14000000	15000000	3.5911796836875474	2	1	0.9565215191304853	-0.585	-4.961389224392699	0.006954488447999565
chr1	15000000	16000000	3.796652481622293	3	2	0.9565216291304475	-0.415	-4.757671995178344	0.008512488809070911
chr1	16000000	17000000	4.209568826692012	2	4	0.9130434257608727	0.737	-3.083000537850774	0.04381393782601521
chr1	17000000	18000000	4.335508276771078	1	3	0.8695651507246428	1.0	-2.3341639201889475	0.08833276709893988
chr1	18000000	19000000	0.576967579976396	2	0		-1.585		0.0
chr1	19000000	20000000	3.4731696910468584	1	0		-1.0		0.0
chr1	20000000	21000000	2.707947090701996	6	2	0.9565216291304475	-1.2224	-5.745199929963515	0.0031878998857060503
chr1	21000000	22000000	0.6540871313974619	1	2	0.9130433732608817	0.585	-3.862378433527158	0.020585289636631962
chr1	22000000	23000000	0.3415629363388603	2	0		-1.585		0.0
chr1	23000000	24000000	0.8439738714848657	1	1	0.9565215191304853	0.0	-4.872203035519264	0.007598302950285741
chr1	24000000	25000000	0.7956281898791313	1	1	0.9565215191304853	0.0	-4.880766355930179	0.007534002167259916
chr1	25000000	26000000	0.2798466145260359	1	0		-1.0		0.0
chr1	26000000	27000000	0.6160949000572504	1	0		-1.0		0.0
chr1	27000000	28000000	0.7585387290795409	1	2	0.9130433732608817	0.585	-3.8438772464784776	0.02096162927625116
chr1	28000000	29000000	0.3175510632276217	2	1	0.9565215191304853	-0.585	-5.541236893352127	0.003906353703315203
chr1	29000000	30000000	0.7231298053967348	1	0		-1.0		0.0
chr1	30000000	31000000	0.265408342742794	1	0		-1.0		0.0
chr1	31000000	32000000	0.8211524386780611	1	0		-1.0		0.0
chr1	32000000	33000000	0.3884625096277716	1	1	0.9565215191304853	0.0	-4.952886348130412	0.00701345722170126
chr1	33000000	34000000	0.5391333721441134	1	2	0.9130433732608817	0.585	-3.8827398358330223	0.02017875495764771
chr1	34000000	35000000	0.8328880798263212	1	2	0.9130433732608817	0.585	-3.8307079769255035	0.021233604023635222
chr1	35000000	36000000	0.3126016744384663	1	1	0.9565215191304853	0.0	-4.9663233422277	0.00692049558559657
chr1	36000000	37000000	0.396844759070424	1	1	0.9565215191304853	0.0	-4.951401626323674	0.007023804795201845
chr1	37000000	38000000	0.8730535072755079	1	2	0.9130433732608817	0.585	-3.823593599523739	0.021381964975962925
chr1	38000000	39000000	2.283746228148893	2	1	0.9565215191304853	-0.585	-5.192970851207518	0.005524784956513247
