chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	4.874745320123132	1	3	0.8695651507246428	1.0	-2.238650537684266	0.09633295236316122
chr1	1000000	2000000	2.0175252711241813	2	3	0.8695651507246428	0.415	-3.320531270820678	0.03487352293903423
chr1	2000000	3000000	1.4509995606304469	2	2	0.9130433732608817	0.0	-4.297014031302417	0.013426412988667664
chr1	3000000	4000000	0.2710128077472133	4	0		-2.3219		0.0
chr1	4000000	5000000	1.726796304539966	3	6	0.8115941717874409	0.8074	-2.3622456531941856	0.08609733189825292
chr1	5000000	6000000	0.6744191700894042	3	1	0.9565215191304853	-1.0	-5.886492521116318	0.0027690101421304005
chr1	6000000	7000000	0.9458669008353492	1	1	0.9565215191304853	0.0	-4.8541550397317055	0.0077356116195120535
chr1	7000000	8000000	1.0003463754865545	2	2	0.9130433732608817	0.0	-4.37683683016288	0.012409120081023201
chr1	8000000	9000000	1.0666325260746516	2	1	0.9565215191304853	-0.585	-5.408554420643434	0.004458144937619375
chr1	9000000	10000000	1.1045869925245348	1	4	0.826086909021742	1.3219	-2.121945251011847	0.10698208506841914
chr1	10000000	11000000	0.8795553993563203	1	5	0.7826086596521756	1.585	-1.4351768944523036	0.19229334543422677
chr1	11000000	12000000	0.663278186398093	1	1	0.9565215191304853	0.0	-4.904209100939681	0.007360723508795609
chr1	12000000	13000000	0.2643605260569548	1	0		-1.0		0.0
chr1	13000000	14000000	0.6165002390586989	2	2	0.9130433732608817	0.0	-4.44482630400109	0.011602936345383324
chr1	14000000	15000000	0.3618173842275904	2	1	0.9565215191304853	-0.585	-5.533396137413955	0.003936981801225742
chr1	15000000	16000000	0.733938017403398	1	0		-1.0		0.0
chr1	16000000	17000000	0.613455837269993	2	1	0.9565215191304853	-0.585	-5.488824199868794	0.00411569162743428
chr1	17000000	18000000	0.2280665693282735	2	2	0.9130433732608817	0.0	-4.513628353363336	0.010839836469651826
chr1	18000000	19000000	0.7556812757589171	1	3	0.8695651507246428	1.0	-2.9682475571786835	0.04888113278309744
chr1	19000000	20000000	1.1979076327349016	3	1	0.9565215191304853	-1.0	-5.793768635793766	0.0030372265953668267
chr1	20000000	21000000	0.41862444592401	3	1	0.9565215191304853	-1.0	-5.931800646055238	0.002646675829093727
chr1	21000000	22000000	0.2153327761802934	3	0		-2.0		0.0
chr1	22000000	23000000	0.3659210349010986	1	1	0.9565215191304853	0.0	-4.956879049530161	0.006985705638198822
chr1	23000000	24000000	0.7532973953193096	2	0		-1.585		0.0
chr1	24000000	25000000	1.5862089695881103	2	3	0.9275361607729522	0.415	-4.020488494991876	0.017627879011448425
chr1	25000000	26000000	1.3612712549240014	2	1	0.9565215191304853	-0.585	-5.356365977812537	0.004695865194968547
chr1	26000000	27000000	0.2558962975769923	2	1	0.9565215191304853	-0.585	-5.552157610479085	0.0038640895597142734
chr1	27000000	28000000	0.8891330749537705	2	1	0.9565215191304853	-0.585	-5.439994347069653	0.004320757839252623
chr1	28000000	29000000	0.1707435812175282	1	1	0.9565215191304853	0.0	-4.991450225638695	0.0067499307044375945
chr1	29000000	30000000	0.5386383249832098	2	2	0.9130433732608817	0.0	-4.458617742985714	0.011445832566194901
chr1	30000000	31000000	0.7025097736469315	3	2	0.9130433732608817	-0.415	-4.8380582693281005	0.007860150901603923
chr1	31000000	32000000	1.0112828742298272	1	3	0.8695651507246428	1.0	-2.9229736399941375	0.05102950851851392
