chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	0.8469457988323645	1	2	0.9130433732608817	0.585	-3.8282179768242104	0.021285414781874717
chr1	1000000	2000000	2.388087440115939	5	6	0.7391304064492765	0.2224	-2.04145401526793	0.11491875778257787
chr1	2000000	3000000	2.2124161092425703	2	6	0.8550724309903395	1.2224	-2.3354324071073176	0.08823066906278021
chr1	3000000	4000000	1.3916697205653694	4	8	0.793478238057066	0.848	-2.1867824866951366	0.10094372135220728
chr1	4000000	5000000	1.2646757533107396	5	5	0.9043477844869585	0.0	-4.236483737200722	0.014252277593080285
chr1	5000000	6000000	0.3710290440203843	2	5	0.8521738738434801	1.0	-2.8493122410440606	0.054716879240599745
chr1	6000000	7000000	1.3539319103495222	4	10	0.8608695454173918	1.1375	-2.633412543044786	0.06701875813800041
chr1	7000000	8000000	0.586653945336419	3	8	0.728260848627718	1.1699	-1.311035690867831	0.21231358717070517
chr1	8000000	9000000	1.426706780443057	5	4	0.9347825549456553	-0.263	-4.794011855728319	0.008211193889437978
chr1	9000000	10000000	1.1322207394459929	7	8	0.7826086731521746	0.1699	-2.783244993520861	0.05823632899538118
chr1	10000000	11000000	1.36681479455922	5	4	0.89130429657609	-0.263	-4.3369506976072785	0.012907557563517785
chr1	11000000	12000000	1.321853689029079	5	8	0.8804347572961965	0.585	-3.3933476247228134	0.03250401594766202
chr1	12000000	13000000	1.0922981291538432	3	2	0.9565216291304475	-0.415	-5.23668588133468	0.005289721700236137
chr1	13000000	14000000	0.9911464224210996	3	3	0.9275361607729522	0.0	-4.534356642606308	0.010619819549523343
chr1	14000000	15000000	0.4531744409422757	2	1	0.9565215191304853	-0.585	-5.517214345732417	0.004000950498577036
chr1	15000000	16000000	1.394164822100433	5	8	0.8586956274864138	0.585	-3.146704551841066	0.04122132458868467
chr1	16000000	17000000	1.887363761843604	2	12	0.7971014339975848	2.1155	-0.890408815338656	0.29102546950424646
chr1	17000000	18000000	1.202470442092367	4	6	0.8115941717874409	0.4854	-2.7720485502822854	0.05885344225351111
chr1	18000000	19000000	1.2740887268126295	1	6	0.913043443260871	1.8074	-2.5494047320699478	0.07246648617045365
chr1	19000000	20000000	0.8573296951332656	4	3	0.9275361607729522	-0.3219	-4.874891443908696	0.007578057634491234
chr1	20000000	21000000	1.187424769747464	3	7	0.9316769880212965	1.0	-3.5598740844687162	0.027655808111515093
chr1	21000000	22000000	2.0552196913006764	2	15	0.8521738999768117	2.415	-1.1582737092077178	0.23898110268827238
chr1	22000000	23000000	1.1742831816303916	4	5	0.8869564809391324	0.263	-3.806567299428294	0.021741154896223823
chr1	23000000	24000000	1.494631678698978	8	3	0.8695651507246428	-1.1699	-4.973098371948528	0.0068740887062200455
chr1	24000000	25000000	1.1769455089512402	5	5	0.9391303915826108	0.0	-4.626158838812771	0.009697341475714901
chr1	25000000	26000000	1.211993717532133	3	4	0.89130429657609	0.3219	-3.788681878766087	0.022124822164484772
chr1	26000000	27000000	1.0075707696295035	3	5	0.7826086596521756	0.585	-2.396758717570248	0.08342019464947141
chr1	27000000	28000000	1.5084626225467872	2	10	0.7739130256782613	1.8745	-0.9453044338776273	0.27983011798242224
