chr	start	end	cnv	num.intra.bin	num.inter.bin	gini	log2ratio	eta	pred
chr1	0	1000000	1.2849445970902351	1	0		-1.0		0.0
chr1	1000000	2000000	1.1955349563540882	1	3	0.8695651507246428	1.0	-2.8903376410133914	0.05263328009214116
chr1	2000000	3000000	0.9066575689153707	2	1	0.9565215191304853	-0.585	-5.4368902878890175	0.0043341323452833974
chr1	3000000	4000000	0.9248428714960144	3	6	0.8985506901932381	0.8074	-3.4396324707666244	0.031079549884989417
chr1	4000000	5000000	2.0468388359273235	2	3	0.8695651507246428	0.415	-3.315339050141227	0.03504870205227967
chr1	5000000	6000000	1.267351425131276	2	4	0.826086909021742	0.737	-2.668807087952956	0.06483926345041155
chr1	6000000	7000000	1.704804048042559	5	4	0.826086909021742	-0.263	-3.5755792516886453	0.027236599428124477
chr1	7000000	8000000	1.94141495374122	4	7	0.8322981092990249	0.6781	-2.6741952028501963	0.06451331941328457
chr1	8000000	9000000	0.3851847811423936	1	1	0.9565215191304853	0.0	-4.95346692199571	0.007009415106366246
chr1	9000000	10000000	1.064360048561897	2	5	0.9043477844869585	1.0	-3.2877082477483253	0.03599528431547427
chr1	10000000	11000000	2.0240632804760046	3	3	0.8695651507246428	0.0	-3.7278397805574537	0.023480148025792864
chr1	11000000	12000000	2.239091462267798	4	8	0.7826086731521746	0.848	-1.9197638926112424	0.12788789767253267
chr1	12000000	13000000	2.504453206434195	3	7	0.6956521510559014	1.0	-0.7878148226484347	0.31263806184075027
chr1	13000000	14000000	2.788597398139864	4	4	0.89130429657609	0.0	-3.8262552261453555	0.02132634192482821
chr1	14000000	15000000	2.7306108927006325	10	10	0.7043478098869569	0.0	-1.8255470070790762	0.13876960638899088
chr1	15000000	16000000	1.855061702975576	2	8	0.8152173678668485	1.585	-1.6131408779742067	0.16615300051350929
chr1	16000000	17000000	1.1108828060107483	2	5	0.7826086596521756	1.0	-1.9699928104502407	0.12238965905358647
chr1	17000000	18000000	2.209682347115732	4	13	0.729096977067147	1.4854	-0.7220144288047416	0.32694954631062917
chr1	18000000	19000000	1.826751336598933	3	9	0.8019323466559318	1.3219	-1.7342143330778352	0.15004931376870206
chr1	19000000	20000000	2.023281694523192	5	9	0.8502415241653254	0.737	-2.7947282659770263	0.057609716162194666
chr1	20000000	21000000	0.6626262001758114	3	1	0.9565215191304853	-1.0	-5.888581373245654	0.0027632480923016913
chr1	21000000	22000000	1.176039183898984	1	7	0.6956521510559014	2.0	-0.03885588411364971	0.4902872509501427
chr1	22000000	23000000	1.8966191277336333	2	7	0.819875749458741	1.415	-1.8232110209746493	0.13904902182010978
chr1	23000000	24000000	2.533801384325834	3	4	0.89130429657609	0.3219	-3.5545541925610022	0.0277992251784002
chr1	24000000	25000000	2.843819073368324	3	11	0.6640316066690624	1.585	0.18820951746127523	0.5469139756031155
chr1	25000000	26000000	1.9312038119948771	4	8	0.793478238057066	0.848	-2.0912164889871896	0.10995346774606135
chr1	26000000	27000000	0.9378623320763356	2	0		-1.585		0.0
chr1	27000000	28000000	0.8115469333780232	1	5	0.7826086596521756	1.585	-1.4472230227823646	0.19042931346052652
chr1	28000000	29000000	0.8041284673736455	2	1	0.9565215191304853	-0.585	-5.455050949168037	0.004256464053531101
chr1	29000000	30000000	0.9447434423713896	1	3	0.8695651507246428	1.0	-2.934759562873679	0.05046178006117316
chr1	30000000	31000000	0.7037983692770418	3	2	0.9130433732608817	-0.415	-4.83783002438679	0.007861931039814939
chr1	31000000	32000000	1.024339942393103	1	3	0.9275361607729522	1.0	-3.5442203895081317	0.02807987794935411
chr1	32000000	33000000	0.7210519676576506	1	1	0.9565215191304853	0.0	-4.893975810522756	0.007435871678135703
chr1	33000000	34000000	2.0009291432138343	4	3	0.8695651507246428	-0.3219	-4.048769718492123	0.01714475224466383
chr1	34000000	35000000	1.585840055447512	2	5	0.8521738738434801	1.0	-2.6341365400498225	0.06697350278896297
chr1	35000000	36000000	2.059085520747138	4	3	0.8695651507246428	-0.3219	-4.038468659985653	0.017319199565894287
chr1	36000000	37000000	1.769438829891676	1	16	0.6032608608933424	3.0875	2.130428297509744	0.893825661192578
chr1	37000000	38000000	1.6958233107650762	1	5	0.7826086596521756	1.585	-1.2905938948051867	0.21575230492882733
chr1	38000000	39000000	1.8388575079372136	5	4	0.826086909021742	-0.263	-3.551834778735894	0.02787281567393738
chr1	39000000	40000000	2.595907162040358	8	10	0.6434782460695655	0.2895	-0.9097268023939895	0.2870557451810907
chr1	40000000	41000000	2.6365138977710942	6	6	0.8695651840579723	0.0	-3.6193586636637853	0.026100372412635405
chr1	41000000	42000000	2.1821852173884593	4	14	0.6583850823513754	1.585	0.13175265504204514	0.5328905991792737
chr1	42000000	43000000	2.2462216679856293	5	5	0.7826086596521756	0.0	-2.753150552442807	0.05990896521649052
chr1	43000000	44000000	1.0909712506395084	4	4	0.89130429657609	0.0	-4.12695047246635	0.01587588903884913
chr1	44000000	45000000	1.2737653030584712	5	9	0.7439613336446597	0.737	-1.7842952875047615	0.1437735630116397
chr1	45000000	46000000	0.9316985797201504	3	5	0.9043477844869585	0.585	-3.719672728674518	0.023668139548929133
